timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,438.0,608.0,321.0,208.0
100.0,439.0,609.0,321.0,208.0
200.0,439.0,609.0,321.0,208.0
300.0,439.0,608.0,321.0,208.0
400.0,438.0,608.0,322.0,208.0
500.0,439.0,608.0,321.0,209.0
600.0,439.0,609.0,321.0,208.0
700.0,438.0,608.0,321.0,207.0
800.0,439.0,608.0,322.0,208.0
900.0,438.0,608.0,322.0,208.0
1000.0,438.0,608.0,321.0,207.0
1100.0,438.0,608.0,322.0,206.0
1200.0,437.0,608.0,322.0,207.0
1300.0,437.0,609.0,321.0,207.0
1400.0,438.0,609.0,321.0,207.0
1500.0,437.0,609.0,321.0,206.0
1600.0,437.0,609.0,321.0,205.0
1700.0,438.0,609.0,321.0,205.0
1800.0,437.0,608.0,322.0,204.0
1900.0,436.0,609.0,322.0,203.0
2000.0,437.0,608.0,321.0,203.0
2100.0,437.0,608.0,321.0,203.0
2200.0,436.0,609.0,321.0,203.0
2300.0,436.0,608.0,322.0,203.0
2400.0,437.0,608.0,320.0,203.0
2500.0,436.0,608.0,321.0,202.0
2600.0,436.0,608.0,321.0,204.0
2700.0,436.0,608.0,321.0,202.0
2800.0,436.0,608.0,322.0,203.0
2900.0,436.0,608.0,321.0,203.0
3000.0,436.0,608.0,322.0,201.0
3100.0,436.0,608.0,322.0,202.0
3200.0,435.0,608.0,322.0,201.0
3300.0,436.0,607.0,321.0,201.0
3400.0,435.0,607.0,321.0,200.0
3500.0,435.0,608.0,321.0,200.0
3600.0,435.0,608.0,321.0,199.0
3700.0,435.0,607.0,321.0,199.0
3800.0,434.0,607.0,321.0,199.0
3900.0,434.0,608.0,321.0,198.0
4000.0,434.0,608.0,321.0,198.0
4100.0,435.0,607.0,321.0,197.0
4200.0,434.0,607.0,320.0,197.0
4300.0,434.0,607.0,321.0,197.0
4400.0,434.0,608.0,321.0,197.0
4500.0,433.0,607.0,320.0,197.0
4600.0,434.0,607.0,321.0,197.0
4700.0,433.0,607.0,321.0,197.0
4800.0,434.0,608.0,321.0,197.0
4900.0,434.0,607.0,321.0,198.0
5000.0,434.0,608.0,321.0,198.0
