timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,489.6,649.2,344.7,254.6
100.0,445.7,637.9,352.2,195.0
200.0,480.4,644.3,352.5,242.0
300.0,425.4,606.0,322.5,199.4
400.0,446.6,654.7,359.2,216.4
500.0,487.2,692.9,370.4,257.4
600.0,488.0,645.7,343.6,247.8
700.0,446.3,652.3,356.8,224.3
800.0,450.0,645.6,352.3,240.0
900.0,460.4,672.7,352.8,197.7
1000.0,462.0,664.5,351.8,216.1
1100.0,481.5,649.5,350.2,247.0
1200.0,473.5,632.0,332.7,220.9
1300.0,459.6,660.4,353.9,220.6
1400.0,425.0,607.6,316.0,189.2
1500.0,460.7,637.9,346.3,236.4
1600.0,440.2,603.0,327.1,208.0
1700.0,445.2,603.0,322.3,208.8
1800.0,448.3,656.5,360.6,220.3
1900.0,433.6,640.2,358.4,225.3
2000.0,477.2,644.1,347.5,249.5
2100.0,456.3,612.3,319.5,211.0
2200.0,464.3,627.8,330.3,228.7
2300.0,482.5,672.7,371.0,242.8
2400.0,473.0,688.0,371.0,239.8
2500.0,461.5,649.6,357.3,241.6
2600.0,463.3,668.1,355.6,203.9
2700.0,450.9,672.6,355.7,211.6
2800.0,501.0,676.2,356.8,276.9
2900.0,482.2,681.2,371.0,241.2
3000.0,431.4,604.2,316.0,200.1
3100.0,439.2,651.8,360.1,212.9
3200.0,467.8,624.0,333.3,226.4
3300.0,435.4,617.6,316.0,191.5
3400.0,451.6,659.4,357.6,191.1
3500.0,438.6,614.5,319.2,205.3
3600.0,477.0,649.0,355.6,257.8
3700.0,482.4,620.3,326.6,246.4
3800.0,503.8,676.7,371.0,254.6
3900.0,438.9,603.0,316.0,201.3
4000.0,497.7,695.0,371.0,260.6
4100.0,431.2,603.2,319.0,186.5
4200.0,461.9,668.1,363.3,217.0
4300.0,458.7,651.9,361.9,222.4
4400.0,474.6,645.1,340.7,247.4
4500.0,425.0,603.0,316.0,181.9
4600.0,440.0,603.0,317.5,197.5
4700.0,457.9,671.6,357.5,191.3
4800.0,474.9,675.0,368.7,228.0
4900.0,426.6,637.4,349.9,207.0
5000.0,489.4,650.7,351.6,246.2
5100.0,445.3,669.5,353.4,188.8
5200.0,492.4,695.0,368.9,255.9
5300.0,474.4,617.6,328.2,222.0
5400.0,497.1,663.7,354.8,269.7
5500.0,431.2,644.6,353.6,212.7
5600.0,431.4,641.0,344.5,205.1
5700.0,495.5,644.9,346.8,266.6
5800.0,479.4,690.2,368.5,234.5
5900.0,501.2,692.5,368.8,306.0
6000.0,476.5,683.0,370.9,228.9
6100.0,465.5,661.8,350.4,209.6
6200.0,469.7,663.9,360.8,214.3
6300.0,425.0,612.5,316.0,184.7
6400.0,491.1,674.9,367.8,245.8
6500.0,497.0,672.8,362.4,268.1
6600.0,511.7,692.8,364.2,299.8
6700.0,457.3,657.1,360.8,196.6
6800.0,435.4,637.0,350.1,188.0
6900.0,476.0,635.5,323.6,224.6
7000.0,446.2,609.0,316.2,198.3
7100.0,425.0,607.9,319.4,186.3
7200.0,427.4,607.0,321.6,183.7
7300.0,498.5,688.5,361.0,273.9
7400.0,443.5,607.8,323.2,194.7
7500.0,448.6,647.9,358.6,224.8
7600.0,490.8,653.0,340.9,257.0
7700.0,465.4,636.5,323.3,222.3
7800.0,454.0,663.9,359.1,201.0
7900.0,457.0,609.5,329.2,227.2
8000.0,476.0,682.2,366.5,223.6
8100.0,492.6,684.8,364.1,253.7
8200.0,459.8,673.7,355.5,200.6
8300.0,433.7,603.0,316.0,200.8
8400.0,457.8,666.1,353.3,213.0
8500.0,482.3,671.6,371.0,236.4
8600.0,471.7,644.6,340.8,255.2
8700.0,440.3,603.0,323.7,189.4
8800.0,490.1,661.2,348.6,246.2
8900.0,437.3,631.1,346.6,186.3
9000.0,429.6,603.0,323.5,199.9
9100.0,444.7,664.9,351.3,231.8
9200.0,477.7,688.4,366.9,235.2
9300.0,426.6,603.9,316.0,194.5
9400.0,461.5,678.9,361.7,222.5
9500.0,449.1,658.7,351.8,231.2
9600.0,457.2,609.0,329.0,226.1
9700.0,441.4,645.5,356.3,232.9
9800.0,461.2,646.9,358.5,223.0
9900.0,450.9,643.5,348.1,231.8
10000.0,476.8,679.5,365.2,225.9
10100.0,498.6,673.5,348.4,258.9
10200.0,448.3,650.9,354.7,207.7
10300.0,434.9,616.2,319.2,191.5
10400.0,466.3,668.1,359.6,226.5
10500.0,514.0,689.2,371.0,305.9
10600.0,476.0,641.5,344.9,252.5
10700.0,432.1,603.0,318.6,184.8
10800.0,445.0,632.9,350.5,214.3
10900.0,487.5,631.4,346.2,258.1
11000.0,439.1,649.5,348.5,194.3
11100.0,449.1,664.2,352.0,196.8
11200.0,460.3,608.5,327.8,226.3
11300.0,474.7,657.1,352.7,230.5
11400.0,493.8,689.3,370.0,251.2
11500.0,466.1,655.8,358.9,216.7
11600.0,479.6,647.1,341.7,256.4
11700.0,491.2,680.6,371.0,251.5
11800.0,450.9,667.0,363.0,199.5
11900.0,514.0,685.9,371.0,298.8
12000.0,478.3,673.9,364.8,222.2
12100.0,466.5,666.6,363.3,207.9
12200.0,479.6,679.1,371.0,238.4
12300.0,493.9,692.7,371.0,243.1
12400.0,500.6,690.3,371.0,298.8
12500.0,475.2,649.4,345.1,225.0
12600.0,503.9,669.9,356.6,265.3
12700.0,504.4,683.7,367.1,298.9
12800.0,485.9,675.0,362.8,239.4
12900.0,475.2,645.4,354.0,229.9
13000.0,475.5,656.6,352.7,234.7
13100.0,490.0,648.1,350.9,264.9
13200.0,470.2,685.4,361.5,238.7
13300.0,467.8,685.9,371.0,229.0
13400.0,458.0,679.7,364.7,216.0
13500.0,499.4,684.0,359.6,261.5
13600.0,436.7,614.0,316.0,209.1
13700.0,489.5,636.0,350.2,239.5
13800.0,477.3,658.5,352.3,234.4
13900.0,447.3,648.1,353.5,226.7
14000.0,488.1,684.4,371.0,240.9
14100.0,451.4,669.4,361.1,233.6
14200.0,514.0,685.2,364.5,306.0
14300.0,485.4,669.9,360.9,253.0
14400.0,434.1,603.0,321.9,206.0
14500.0,494.0,695.0,371.0,254.8
14600.0,469.5,682.7,366.9,236.0
14700.0,441.2,652.5,353.2,207.4
14800.0,441.7,644.4,362.7,220.1
14900.0,492.0,641.4,351.2,267.1
15000.0,431.7,611.0,319.1,187.6
15100.0,430.5,611.9,316.0,186.2
15200.0,456.6,673.0,367.7,205.3
15300.0,459.2,655.3,358.2,224.4
15400.0,425.0,604.6,321.9,184.8
15500.0,474.4,668.0,364.9,229.7
15600.0,467.2,676.2,352.1,228.2
15700.0,451.1,649.4,351.2,234.3
15800.0,485.7,660.9,353.2,246.7
15900.0,471.0,666.9,364.1,227.4
16000.0,444.8,661.9,360.7,224.9
16100.0,438.9,607.2,321.6,196.9
16200.0,429.9,608.2,316.7,181.0
16300.0,501.0,691.0,371.0,301.3
16400.0,486.5,691.8,371.0,240.6
16500.0,462.2,660.9,366.0,211.7
16600.0,425.0,603.0,319.1,184.3
16700.0,486.1,647.0,349.1,234.0
16800.0,425.0,648.0,348.1,192.4
16900.0,435.5,644.8,350.5,196.6
17000.0,434.3,645.0,344.6,195.6
17100.0,434.0,641.0,348.4,197.0
17200.0,469.8,641.5,337.2,252.1
17300.0,429.8,614.3,325.1,201.6
17400.0,475.3,678.4,371.0,240.9
17500.0,472.6,649.0,347.2,236.8
17600.0,494.1,652.5,348.7,251.0
17700.0,464.4,678.1,360.1,217.2
17800.0,452.8,664.2,351.8,217.0
17900.0,445.6,671.0,359.8,190.5
18000.0,449.8,655.4,364.0,230.1
18100.0,483.1,634.1,341.5,243.5
18200.0,431.8,603.0,326.7,205.9
18300.0,457.3,652.1,347.5,235.3
18400.0,474.8,643.1,349.7,238.1
18500.0,444.8,639.4,343.4,196.5
18600.0,489.1,656.1,357.5,249.2
18700.0,488.6,651.2,359.7,254.2
18800.0,481.4,644.2,353.6,239.1
18900.0,480.5,674.4,371.0,247.4
19000.0,438.2,657.3,348.2,220.5
19100.0,449.6,605.3,319.9,190.2
19200.0,441.1,603.9,317.8,193.0
19300.0,425.5,603.7,316.2,188.3
19400.0,430.5,615.0,316.1,203.1
19500.0,437.7,607.3,323.4,203.3
19600.0,477.5,653.7,345.2,226.8
19700.0,442.1,616.0,319.7,196.5
19800.0,432.7,609.8,321.0,182.2
19900.0,466.6,651.0,354.5,212.1
20000.0,449.8,609.2,329.7,220.6
20100.0,470.1,634.0,343.4,248.9
20200.0,439.3,607.6,325.1,195.8
20300.0,475.9,631.7,331.6,242.7
20400.0,431.6,636.9,362.6,219.3
20500.0,514.0,688.3,371.0,297.7
20600.0,463.4,645.2,353.1,238.2
20700.0,431.3,648.6,345.7,200.0
20800.0,492.1,693.6,371.0,251.7
20900.0,475.9,650.4,343.5,255.1
21000.0,433.6,644.0,348.8,190.5
21100.0,471.5,650.0,347.8,236.7
21200.0,470.1,657.5,361.8,213.8
21300.0,455.8,668.5,353.2,211.8
21400.0,503.6,695.0,370.5,306.0
21500.0,437.4,636.5,360.0,217.1
21600.0,469.5,663.5,352.1,229.0
21700.0,453.8,653.1,361.2,215.7
21800.0,473.5,666.5,366.4,216.9
