timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,447.9,647.9,349.6,239.3
100.0,509.0,686.0,382.0,286.3
200.0,446.9,638.7,349.5,195.3
300.0,437.6,627.7,335.0,186.7
400.0,467.3,671.8,375.2,254.4
500.0,438.6,645.5,352.5,190.5
600.0,484.7,656.2,357.3,292.7
700.0,429.9,621.0,335.0,189.6
800.0,469.1,653.0,362.6,270.6
900.0,440.6,633.5,339.7,196.0
1000.0,473.8,672.1,382.0,242.4
1100.0,486.6,686.0,382.0,253.9
1200.0,480.5,686.0,378.5,246.7
1300.0,446.6,621.0,335.2,197.2
1400.0,445.4,642.2,344.2,223.9
1500.0,442.4,633.0,343.0,188.7
1600.0,444.6,622.6,349.9,207.0
1700.0,448.4,642.8,344.9,218.7
1800.0,498.8,673.7,382.0,265.2
1900.0,490.4,681.7,382.0,256.1
2000.0,467.5,670.6,370.6,258.3
2100.0,446.9,648.4,338.2,205.8
2200.0,431.3,625.1,335.0,192.1
2300.0,497.7,677.8,382.0,268.6
2400.0,439.3,634.8,352.7,213.8
2500.0,437.8,621.0,337.7,191.5
2600.0,450.1,630.9,343.8,220.4
2700.0,446.5,633.6,343.5,205.9
2800.0,471.3,668.6,363.6,252.6
2900.0,443.1,642.6,339.2,188.5
3000.0,448.5,626.9,346.6,225.0
3100.0,435.5,633.1,346.0,235.8
3200.0,455.9,649.6,343.0,244.0
3300.0,436.0,632.3,339.1,189.1
3400.0,437.4,645.3,339.3,198.9
3500.0,431.2,645.7,341.7,196.0
3600.0,452.8,644.1,347.2,205.0
3700.0,504.4,683.2,382.0,264.6
3800.0,438.2,621.0,340.2,189.1
3900.0,443.7,647.5,342.6,204.4
4000.0,437.6,638.3,342.6,195.4
4100.0,439.6,629.1,335.4,202.2
4200.0,484.4,656.3,358.5,295.0
4300.0,450.3,653.3,352.2,228.8
4400.0,435.2,621.0,341.0,201.8
4500.0,441.7,648.9,342.6,188.7
4600.0,481.3,665.3,372.7,281.2
4700.0,439.4,646.3,337.7,223.1
4800.0,433.7,624.6,335.0,202.1
4900.0,449.9,646.0,339.9,217.1
5000.0,451.2,635.7,348.3,220.5
5100.0,493.0,676.2,367.3,295.0
5200.0,441.1,646.3,351.5,224.2
5300.0,438.4,631.9,341.2,224.0
5400.0,507.9,686.0,375.5,270.2
5500.0,448.5,633.7,339.4,203.3
5600.0,446.0,636.7,346.6,195.5
5700.0,500.9,686.0,381.2,253.8
5800.0,443.0,642.0,336.7,205.4
5900.0,438.8,625.9,336.1,206.3
6000.0,445.9,626.0,345.2,196.6
6100.0,447.1,629.5,336.5,198.3
6200.0,446.6,636.8,348.0,208.9
6300.0,449.9,634.8,340.1,203.6
6400.0,472.9,640.1,350.3,264.8
6500.0,450.6,632.7,347.9,234.5
6600.0,428.8,631.1,335.2,190.6
6700.0,428.0,621.0,335.0,204.0
6800.0,465.6,653.6,350.7,231.6
6900.0,436.1,625.3,336.6,214.4
7000.0,434.0,621.0,348.6,199.6
7100.0,452.3,632.9,355.8,233.5
7200.0,507.9,686.0,376.1,299.0
7300.0,464.0,632.8,345.5,233.6
7400.0,477.6,673.2,360.2,278.5
7500.0,433.2,621.0,335.0,186.0
7600.0,468.0,661.1,357.1,282.6
7700.0,437.1,640.5,335.2,202.8
7800.0,431.4,639.0,335.6,198.3
7900.0,470.8,653.3,358.1,284.4
8000.0,428.0,621.0,339.8,190.6
8100.0,434.2,644.4,346.1,203.0
8200.0,503.7,673.7,372.9,271.8
8300.0,428.0,621.0,335.0,186.9
8400.0,434.7,637.7,350.3,199.1
8500.0,484.1,651.6,362.2,262.2
8600.0,502.0,686.0,373.8,303.1
8700.0,474.3,647.3,350.4,265.7
8800.0,476.2,659.9,371.0,249.0
8900.0,477.5,670.9,376.5,247.4
9000.0,437.3,647.9,351.6,208.5
9100.0,453.9,651.7,354.2,235.6
9200.0,446.3,642.5,344.4,201.8
9300.0,435.7,625.3,343.3,217.9
9400.0,450.7,643.2,343.5,230.8
9500.0,460.0,651.7,348.9,239.4
9600.0,446.3,633.6,351.2,199.3
9700.0,435.2,643.5,350.9,198.0
9800.0,438.3,627.2,340.4,202.6
9900.0,438.5,631.4,343.4,199.4
10000.0,480.9,668.9,382.0,250.7
10100.0,476.9,686.0,373.7,252.8
10200.0,486.1,668.5,362.8,254.6
10300.0,437.8,633.3,350.9,203.0
10400.0,468.6,655.2,349.9,268.5
10500.0,440.3,641.3,343.4,190.6
10600.0,433.0,641.3,341.1,191.5
10700.0,483.1,656.0,368.6,261.1
10800.0,461.1,655.0,347.8,233.3
10900.0,441.6,635.5,340.1,188.4
11000.0,441.3,628.8,337.1,198.9
11100.0,430.5,621.0,335.0,218.0
11200.0,499.9,673.3,377.7,298.1
11300.0,488.0,674.4,367.8,290.7
11400.0,490.4,674.5,382.0,250.1
11500.0,447.4,643.0,350.7,230.2
11600.0,430.0,621.0,343.1,220.3
11700.0,458.7,658.0,358.3,250.4
11800.0,441.0,644.1,346.9,202.9
11900.0,463.0,655.9,353.6,242.7
12000.0,428.0,621.0,335.0,200.8
12100.0,435.2,625.7,335.8,222.2
12200.0,484.9,657.1,370.6,276.9
12300.0,443.2,645.9,345.1,206.7
12400.0,431.5,621.0,335.0,195.0
12500.0,440.9,634.4,335.5,208.5
12600.0,497.8,671.9,382.0,287.7
12700.0,496.7,685.0,382.0,259.2
12800.0,480.1,660.5,382.0,258.7
12900.0,481.7,683.5,367.4,286.7
13000.0,476.8,648.5,361.3,256.7
13100.0,438.7,643.2,339.0,212.4
