timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,499.4,692.2,380.3,290.1
100.0,467.9,685.0,378.4,266.7
200.0,458.5,661.0,364.0,217.0
300.0,453.0,676.4,367.8,221.6
400.0,476.6,665.2,379.3,246.2
500.0,472.2,678.2,370.3,238.1
600.0,463.6,667.1,372.8,247.5
700.0,472.4,673.8,371.5,261.4
800.0,468.8,680.0,382.7,229.0
900.0,462.8,680.4,368.7,229.8
1000.0,484.9,682.1,384.0,255.5
1100.0,458.4,662.1,367.9,214.0
1200.0,476.8,685.6,374.1,280.0
1300.0,467.4,669.6,376.4,237.5
1400.0,496.1,694.0,384.0,301.0
1500.0,468.4,668.6,375.8,238.6
1600.0,463.4,669.4,369.1,234.5
1700.0,469.1,689.0,370.1,232.5
1800.0,479.8,670.1,375.6,293.8
1900.0,474.4,661.0,364.0,228.6
2000.0,472.9,677.2,374.7,226.4
2100.0,489.0,688.0,371.9,260.1
2200.0,460.3,683.0,368.4,222.3
2300.0,467.8,676.1,379.2,226.2
2400.0,493.6,694.0,383.0,309.1
2500.0,463.3,676.2,382.9,258.1
2600.0,486.8,678.4,377.6,265.3
2700.0,471.2,662.4,379.8,251.5
2800.0,484.7,668.3,382.8,253.3
2900.0,453.0,661.0,365.3,208.6
3000.0,475.7,671.6,380.4,259.3
3100.0,494.4,690.7,375.8,321.0
3200.0,472.4,671.2,364.5,278.7
3300.0,489.2,679.5,381.0,318.0
3400.0,460.2,678.7,370.9,213.9
3500.0,454.9,669.1,368.2,233.0
3600.0,458.0,667.9,369.0,223.3
3700.0,467.4,673.0,376.0,263.5
3800.0,459.9,682.3,371.2,250.8
3900.0,460.6,665.4,364.2,216.6
4000.0,480.7,665.5,384.0,257.3
4100.0,453.0,661.0,364.2,210.0
4200.0,478.7,678.0,377.0,251.6
4300.0,453.0,672.0,367.0,207.9
4400.0,456.0,688.1,375.7,227.0
4500.0,460.0,676.7,369.0,209.7
4600.0,480.8,676.7,370.2,245.3
4700.0,465.3,661.0,366.9,210.5
4800.0,474.0,671.4,380.5,263.8
4900.0,453.0,661.0,369.0,205.0
5000.0,469.5,674.6,376.5,249.7
5100.0,482.6,676.3,370.1,295.5
5200.0,470.2,672.0,368.3,225.8
5300.0,476.8,669.8,380.2,244.4
5400.0,463.9,672.9,374.8,230.1
5500.0,478.7,667.5,371.4,231.2
5600.0,487.6,677.7,380.7,318.0
5700.0,467.3,678.8,376.1,250.2
5800.0,501.0,689.2,381.5,282.1
5900.0,493.1,680.2,370.4,321.0
6000.0,490.1,691.4,384.0,302.1
6100.0,469.1,689.4,382.9,249.3
6200.0,469.1,667.7,374.4,251.2
6300.0,488.7,671.2,374.9,260.9
6400.0,476.3,687.6,377.3,246.7
6500.0,482.3,688.3,378.8,234.8
6600.0,468.1,661.5,366.5,227.9
6700.0,469.5,678.0,379.8,273.6
6800.0,460.4,677.5,367.3,242.5
6900.0,468.1,661.0,374.4,273.1
7000.0,480.3,663.1,376.9,243.2
7100.0,470.2,666.1,383.7,253.6
7200.0,453.1,676.6,364.0,207.1
7300.0,472.8,680.0,382.3,255.8
7400.0,478.9,671.7,367.5,228.1
7500.0,464.9,679.2,369.1,219.4
7600.0,496.8,683.3,384.0,291.8
7700.0,457.7,672.2,375.9,220.1
7800.0,453.0,661.0,375.7,231.2
7900.0,476.2,680.9,371.3,233.9
8000.0,456.7,679.2,369.3,228.3
8100.0,477.5,688.9,372.2,253.4
8200.0,458.5,669.5,367.8,239.0
8300.0,476.4,667.9,380.7,254.4
8400.0,460.9,661.0,370.6,213.0
8500.0,467.2,673.2,371.9,238.7
8600.0,473.0,665.2,380.9,256.8
8700.0,484.1,692.4,378.8,265.2
8800.0,465.8,661.0,364.0,235.6
8900.0,455.1,680.0,370.1,231.8
9000.0,473.8,681.7,381.3,247.4
9100.0,464.3,686.1,377.8,244.4
9200.0,460.2,675.2,369.8,225.7
9300.0,476.0,669.2,373.8,241.8
9400.0,501.0,681.4,370.9,311.2
9500.0,478.8,674.8,378.4,251.0
9600.0,453.0,667.6,366.8,207.2
9700.0,453.0,686.4,378.6,227.4
9800.0,463.4,661.0,370.4,243.5
9900.0,455.7,664.2,378.5,247.2
10000.0,470.0,662.5,376.9,224.2
10100.0,468.4,661.0,367.2,227.3
10200.0,465.5,661.0,364.0,216.5
10300.0,474.2,663.0,379.8,246.7
10400.0,488.0,675.5,380.0,261.7
10500.0,472.0,669.7,372.5,232.5
10600.0,496.7,694.0,384.0,291.6
10700.0,463.4,664.8,369.6,230.4
10800.0,467.6,665.4,364.5,224.5
10900.0,466.4,682.8,372.2,240.9
11000.0,467.9,666.6,371.4,232.4
11100.0,454.2,684.0,377.2,221.5
11200.0,492.8,682.6,379.1,293.8
11300.0,471.1,672.9,380.6,228.8
11400.0,470.6,682.1,370.3,252.4
11500.0,470.8,690.1,380.4,256.3
11600.0,471.5,688.8,380.6,234.6
11700.0,456.7,674.6,370.7,211.7
11800.0,465.5,670.4,364.8,228.7
11900.0,500.2,694.0,371.1,320.2
12000.0,467.5,677.6,374.2,248.5
12100.0,458.1,684.4,375.0,239.8
12200.0,479.8,689.3,384.0,254.4
12300.0,463.2,680.1,366.2,230.8
12400.0,454.4,661.0,367.7,223.8
12500.0,488.0,686.0,384.0,285.6
12600.0,461.6,674.3,370.7,229.4
12700.0,453.8,661.3,374.6,246.2
12800.0,501.0,678.8,376.2,320.0
12900.0,455.4,668.0,370.9,223.3
13000.0,470.5,674.2,364.0,225.3
13100.0,480.8,688.9,381.4,234.1
13200.0,453.0,661.0,364.0,208.9
13300.0,485.5,671.1,384.0,258.0
13400.0,468.8,661.0,381.8,267.4
13500.0,464.9,668.4,373.7,264.8
13600.0,483.4,663.7,371.3,279.5
13700.0,468.0,671.5,373.9,251.8
13800.0,459.5,672.0,364.0,258.6
13900.0,464.4,669.0,367.8,234.8
14000.0,467.7,668.7,373.3,247.1
14100.0,453.4,674.8,367.3,224.7
14200.0,480.4,668.3,382.9,250.4
14300.0,459.5,661.0,370.5,219.6
14400.0,471.7,685.0,379.2,267.0
14500.0,468.2,668.3,376.6,243.7
14600.0,469.3,673.5,371.8,253.9
14700.0,461.2,661.0,366.0,224.0
14800.0,463.5,661.0,372.4,227.1
14900.0,463.0,671.6,375.4,225.1
15000.0,463.2,675.0,364.7,210.9
15100.0,472.8,675.0,369.9,261.5
15200.0,464.7,673.8,381.4,256.9
15300.0,465.6,664.8,371.1,216.9
15400.0,472.0,670.3,382.5,272.0
15500.0,468.9,682.1,382.3,269.7
15600.0,456.4,679.4,370.0,240.9
15700.0,471.6,679.3,382.2,250.1
15800.0,501.0,679.6,376.0,302.6
15900.0,478.5,671.3,373.3,226.1
16000.0,464.0,691.0,374.3,247.1
16100.0,469.7,681.0,374.8,256.0
16200.0,475.6,685.7,382.6,248.8
16300.0,454.9,661.0,372.6,205.8
16400.0,484.3,673.2,381.6,248.7
16500.0,462.1,661.0,371.5,218.1
16600.0,493.6,687.6,383.7,285.3
16700.0,467.8,667.9,381.9,237.0
16800.0,487.6,691.6,384.0,319.0
16900.0,462.1,666.6,369.0,260.3
17000.0,468.7,672.8,375.0,254.2
17100.0,463.2,677.4,366.0,216.7
17200.0,465.5,683.6,376.9,238.9
17300.0,472.6,666.8,376.7,257.1
17400.0,454.9,675.1,366.5,220.9
17500.0,454.9,675.5,371.1,205.0
17600.0,470.7,666.9,384.0,254.8
17700.0,484.0,693.4,379.3,265.2
17800.0,477.6,671.9,379.7,242.9
17900.0,472.6,675.8,383.7,248.4
18000.0,470.1,661.0,364.0,227.5
18100.0,472.5,688.8,373.2,259.6
18200.0,466.6,668.8,382.2,245.1
18300.0,459.2,664.8,370.2,219.6
18400.0,467.9,663.2,378.1,244.0
18500.0,462.0,665.9,366.7,217.0
18600.0,456.0,662.1,376.8,219.5
18700.0,462.4,669.4,382.6,242.4
18800.0,501.0,694.0,378.9,315.9
