timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,390.0,639.0,353.1,230.9
100.0,392.4,639.0,341.2,229.0
200.0,392.0,634.0,342.5,230.8
300.0,396.0,634.0,351.4,235.0
400.0,390.0,634.0,350.1,233.4
500.0,396.0,634.0,344.5,233.2
600.0,392.3,637.7,348.2,233.1
700.0,396.0,639.0,345.0,228.0
800.0,390.0,634.3,345.7,231.0
900.0,396.0,634.0,358.0,231.0
1000.0,390.0,634.0,345.7,229.4
1100.0,396.0,634.0,351.5,232.4
1200.0,396.0,639.0,353.7,230.5
1300.0,395.8,639.0,344.1,234.5
1400.0,390.0,634.0,350.6,234.3
1500.0,396.0,634.0,346.6,228.6
1600.0,396.0,634.2,349.4,235.0
1700.0,396.0,634.0,353.9,229.0
1800.0,396.0,638.9,345.3,234.6
1900.0,396.0,636.5,351.0,228.0
2000.0,396.0,639.0,348.5,234.3
2100.0,390.0,638.0,350.2,228.7
2200.0,395.3,634.0,340.0,229.7
2300.0,393.0,639.0,347.5,228.0
2400.0,390.0,634.0,349.3,233.5
2500.0,396.0,634.0,352.3,234.4
2600.0,390.0,639.0,342.9,234.3
2700.0,390.0,637.8,358.0,231.4
2800.0,391.6,638.6,355.4,230.5
2900.0,393.1,634.0,351.6,232.2
3000.0,393.7,639.0,342.0,230.2
3100.0,392.0,639.0,345.1,234.2
3200.0,390.0,639.0,355.8,228.0
3300.0,390.0,634.0,351.4,230.5
3400.0,390.0,636.3,344.7,229.4
3500.0,393.4,634.0,344.1,228.4
3600.0,396.0,634.0,350.6,234.0
3700.0,393.8,639.0,351.6,235.0
3800.0,394.7,634.0,352.5,231.8
3900.0,396.0,634.0,350.8,230.1
4000.0,391.1,639.0,353.4,228.1
4100.0,390.0,639.0,356.4,231.6
4200.0,390.0,636.0,346.5,228.0
4300.0,390.8,639.0,358.0,235.0
4400.0,396.0,639.0,347.4,235.0
4500.0,390.0,634.0,348.4,233.2
4600.0,396.0,634.0,347.3,232.6
4700.0,394.3,639.0,358.0,235.0
4800.0,396.0,634.0,350.2,228.0
4900.0,390.0,634.0,346.4,233.6
5000.0,391.8,634.0,354.2,235.0
5100.0,390.0,634.0,350.7,229.6
5200.0,390.0,634.0,352.1,228.1
5300.0,390.0,634.0,345.3,228.1
5400.0,395.0,634.0,346.9,228.0
5500.0,390.0,634.0,353.4,228.5
5600.0,393.6,634.0,348.5,232.7
5700.0,390.0,635.0,341.5,234.3
5800.0,396.0,636.0,348.6,228.4
5900.0,396.0,636.0,349.9,229.1
6000.0,394.8,639.0,352.2,231.6
6100.0,390.0,639.0,345.6,235.0
6200.0,390.0,634.0,348.5,231.1
6300.0,396.0,634.8,348.9,234.0
6400.0,395.5,634.0,341.5,233.7
6500.0,392.9,634.0,351.6,228.0
6600.0,390.0,634.0,343.2,228.8
6700.0,390.0,639.0,358.0,235.0
6800.0,395.5,639.0,344.6,231.5
6900.0,390.0,639.0,358.0,229.9
7000.0,395.6,634.3,355.4,234.2
7100.0,391.0,637.0,348.7,229.7
7200.0,390.0,639.0,352.6,233.3
7300.0,396.0,634.0,358.0,234.1
7400.0,396.0,634.0,358.0,235.0
7500.0,391.5,637.8,347.3,230.7
7600.0,396.0,634.0,357.5,230.4
7700.0,396.0,634.0,351.5,234.0
7800.0,396.0,639.0,354.2,232.2
7900.0,396.0,634.0,343.3,232.4
8000.0,394.7,634.0,345.4,235.0
8100.0,390.0,634.0,352.1,235.0
8200.0,396.0,637.6,340.0,232.4
8300.0,394.5,637.3,353.3,234.6
8400.0,392.3,639.0,355.2,231.6
8500.0,396.0,639.0,355.6,232.4
8600.0,390.0,636.2,353.6,228.7
8700.0,390.0,634.0,347.5,232.4
8800.0,396.0,634.0,340.5,228.5
8900.0,390.0,639.0,358.0,234.3
9000.0,390.0,639.0,346.7,230.1
9100.0,390.0,639.0,354.8,229.5
9200.0,390.0,634.0,354.9,234.8
9300.0,390.0,634.0,349.7,228.0
9400.0,390.0,634.0,340.0,228.4
9500.0,390.0,634.0,341.7,230.6
9600.0,390.0,639.0,351.9,231.8
9700.0,395.9,639.0,348.3,229.7
9800.0,395.0,639.0,343.4,232.7
9900.0,393.3,634.0,340.0,233.0
10000.0,395.5,639.0,352.5,235.0
10100.0,390.0,634.0,354.2,235.0
10200.0,391.2,634.0,341.6,230.0
10300.0,396.0,634.0,357.7,232.5
10400.0,396.0,639.0,358.0,229.8
10500.0,392.7,634.0,349.4,233.7
10600.0,390.8,634.0,353.3,234.9
10700.0,390.4,639.0,358.0,235.0
10800.0,390.0,634.0,358.0,234.0
10900.0,395.8,638.6,358.0,234.1
11000.0,396.0,634.0,340.9,235.0
11100.0,396.0,639.0,348.3,229.0
11200.0,396.0,634.0,358.0,229.7
11300.0,396.0,639.0,342.0,228.6
11400.0,396.0,639.0,355.1,230.2
11500.0,390.0,634.0,346.4,233.6
11600.0,391.0,639.0,358.0,232.2
11700.0,396.0,634.0,347.5,228.8
11800.0,390.0,634.0,348.6,231.5
11900.0,390.0,639.0,351.0,232.7
12000.0,390.0,639.0,346.2,228.2
12100.0,390.6,634.0,358.0,232.5
12200.0,390.0,636.2,340.0,229.3
12300.0,396.0,634.0,358.0,229.6
12400.0,394.9,639.0,354.1,234.3
12500.0,392.5,634.0,344.4,228.0
12600.0,390.0,639.0,347.7,228.0
12700.0,396.0,636.5,344.7,232.9
12800.0,396.0,638.1,355.8,231.3
12900.0,390.0,639.0,355.6,230.3
13000.0,395.9,639.0,350.6,232.2
13100.0,396.0,637.4,358.0,232.3
13200.0,393.0,639.0,358.0,235.0
13300.0,390.0,634.0,354.3,235.0
13400.0,390.0,635.7,347.5,235.0
13500.0,393.8,639.0,356.9,228.0
13600.0,396.0,639.0,358.0,233.9
13700.0,390.0,639.0,347.5,233.1
13800.0,394.1,635.2,348.5,234.4
13900.0,390.0,634.0,347.4,232.5
14000.0,390.0,639.0,352.0,235.0
14100.0,396.0,639.0,355.9,235.0
14200.0,396.0,637.1,356.4,231.7
14300.0,394.6,635.7,346.6,230.3
14400.0,396.0,634.0,353.0,231.2
14500.0,391.1,638.3,353.5,233.3
14600.0,396.0,639.0,353.5,229.5
14700.0,390.0,634.0,345.0,228.2
14800.0,392.1,634.0,350.6,230.0
14900.0,390.0,634.0,354.0,230.7
15000.0,392.1,634.0,340.0,229.4
15100.0,390.0,634.0,358.0,232.1
15200.0,396.0,639.0,358.0,231.4
15300.0,396.0,639.0,358.0,231.3
15400.0,392.1,634.0,344.4,232.8
15500.0,390.0,634.0,349.7,235.0
15600.0,390.0,639.0,357.0,231.6
15700.0,390.0,634.0,340.6,232.2
15800.0,392.0,634.0,346.8,234.1
15900.0,390.0,637.7,354.2,235.0
16000.0,390.0,637.2,350.6,230.5
16100.0,390.0,639.0,344.5,233.2
16200.0,396.0,635.0,351.5,235.0
16300.0,393.1,639.0,348.6,232.8
16400.0,391.8,636.3,340.0,235.0
16500.0,396.0,639.0,358.0,235.0
16600.0,391.1,634.0,358.0,234.0
16700.0,396.0,639.0,348.9,233.8
16800.0,390.0,639.0,348.9,228.0
16900.0,390.0,634.0,346.9,232.9
17000.0,390.0,639.0,340.6,231.3
17100.0,396.0,634.0,341.6,228.4
17200.0,390.0,634.0,343.0,228.3
17300.0,390.0,638.8,358.0,231.1
17400.0,391.0,634.0,344.8,228.0
17500.0,390.8,634.0,346.1,228.0
17600.0,393.6,634.0,358.0,231.9
17700.0,396.0,639.0,356.3,231.6
17800.0,393.4,639.0,342.8,228.1
17900.0,390.0,639.0,345.0,231.9
18000.0,393.2,636.1,356.9,231.1
18100.0,390.0,639.0,347.7,228.4
18200.0,396.0,639.0,351.2,233.4
18300.0,394.0,634.0,350.4,235.0
18400.0,391.2,636.8,357.4,232.9
18500.0,390.8,634.0,341.9,228.9
18600.0,390.0,634.0,347.0,228.8
18700.0,390.0,634.0,348.5,230.8
18800.0,396.0,639.0,356.5,235.0
18900.0,390.0,636.0,342.1,229.0
19000.0,391.0,634.9,352.1,231.5
19100.0,390.3,635.8,357.9,230.8
19200.0,396.0,634.0,344.1,228.0
19300.0,390.0,634.0,358.0,235.0
19400.0,392.6,634.0,344.0,229.3
19500.0,390.0,634.0,346.8,235.0
19600.0,391.2,639.0,347.1,228.0
19700.0,391.6,634.0,354.2,235.0
19800.0,391.2,634.0,351.7,235.0
19900.0,390.0,639.0,351.1,228.5
20000.0,396.0,634.0,354.5,233.9
20100.0,390.0,639.0,347.0,230.6
20200.0,393.4,639.0,351.0,233.4
20300.0,390.0,639.0,345.0,231.3
20400.0,396.0,634.9,358.0,231.2
20500.0,396.0,634.0,358.0,235.0
20600.0,390.0,634.0,351.7,231.0
20700.0,396.0,634.0,358.0,229.2
20800.0,390.3,639.0,354.5,233.3
20900.0,394.9,634.0,354.8,235.0
21000.0,392.1,639.0,351.2,235.0
21100.0,390.0,634.0,340.0,228.0
21200.0,392.2,634.0,354.0,233.1
21300.0,396.0,639.0,356.3,234.1
21400.0,396.0,634.0,352.7,232.0
21500.0,396.0,634.0,355.6,231.8
21600.0,396.0,639.0,346.4,234.4
21700.0,395.3,639.0,351.7,229.0
21800.0,395.1,634.0,349.0,231.8
21900.0,390.0,639.0,355.6,232.7
22000.0,390.0,639.0,354.5,230.4
22100.0,391.4,634.0,358.0,229.9
22200.0,390.0,634.0,358.0,233.4
22300.0,390.0,634.0,353.9,231.3
22400.0,390.0,639.0,353.5,232.5
22500.0,390.0,634.0,351.1,229.1
22600.0,392.8,634.0,351.0,235.0
22700.0,394.7,635.0,351.9,234.3
22800.0,391.5,634.0,351.9,230.2
22900.0,396.0,639.0,357.5,234.9
23000.0,395.6,634.0,347.4,228.0
23100.0,392.0,634.0,352.3,234.3
23200.0,393.8,634.0,358.0,232.4
23300.0,390.0,636.9,358.0,230.8
23400.0,390.0,639.0,351.7,231.9
23500.0,394.5,639.0,352.7,228.0
23600.0,390.0,634.0,348.7,235.0
23700.0,396.0,639.0,357.2,235.0
23800.0,396.0,636.4,350.2,235.0
23900.0,390.0,639.0,349.7,231.5
24000.0,390.8,637.1,346.1,228.8
24100.0,396.0,639.0,353.2,232.6
24200.0,390.0,639.0,349.9,234.4
24300.0,396.0,634.2,344.4,232.3
24400.0,396.0,634.0,358.0,230.9
24500.0,390.0,634.0,348.0,228.1
24600.0,391.8,634.0,354.6,229.9
24700.0,390.0,639.0,350.6,235.0
24800.0,392.7,639.0,351.0,231.1
24900.0,390.0,636.0,341.4,233.7
25000.0,390.0,636.4,350.7,235.0
25100.0,390.0,634.0,340.0,233.1
25200.0,390.0,638.4,343.0,228.0
25300.0,396.0,639.0,354.8,228.0
25400.0,392.9,634.0,353.2,233.3
25500.0,394.6,634.0,344.5,234.5
25600.0,393.5,638.3,344.0,228.0
25700.0,390.0,639.0,346.0,228.0
25800.0,392.5,639.0,344.2,228.1
25900.0,396.0,637.5,341.0,235.0
26000.0,391.8,634.0,349.2,235.0
26100.0,396.0,634.0,351.6,229.3
26200.0,396.0,635.7,351.3,231.7
26300.0,390.0,634.8,351.6,228.8
26400.0,390.0,634.0,353.8,230.5
26500.0,394.0,634.0,356.9,235.0
26600.0,391.3,634.0,352.9,228.0
26700.0,390.0,639.0,344.6,228.0
26800.0,392.9,634.0,350.6,235.0
26900.0,391.8,634.0,358.0,232.7
27000.0,394.8,635.0,357.2,230.4
27100.0,390.0,639.0,345.1,228.0
27200.0,395.9,639.0,340.0,230.4
27300.0,394.0,639.0,347.2,232.9
27400.0,391.3,634.0,349.7,235.0
27500.0,390.0,634.0,343.9,229.0
27600.0,390.0,639.0,347.5,228.0
27700.0,394.8,639.0,355.9,228.0
27800.0,395.5,634.0,348.7,230.8
27900.0,396.0,634.0,341.1,228.2
28000.0,395.3,635.3,349.4,231.2
28100.0,391.4,637.0,347.5,228.0
28200.0,390.0,634.0,350.5,232.2
28300.0,392.8,639.0,345.0,229.6
28400.0,396.0,635.5,353.7,233.9
28500.0,390.0,635.8,342.4,228.0
28600.0,395.6,634.0,350.2,231.6
28700.0,390.0,635.4,353.2,233.6
28800.0,390.0,634.0,350.3,235.0
28900.0,390.6,639.0,341.2,231.0
29000.0,390.0,634.0,348.9,229.3
29100.0,396.0,634.0,343.0,228.0
29200.0,390.0,635.5,340.0,228.0
29300.0,390.0,639.0,349.7,230.2
29400.0,396.0,634.0,358.0,230.3
29500.0,390.1,634.0,351.6,235.0
