timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,405.4,651.0,373.7,235.0
100.0,403.0,648.0,371.0,235.0
200.0,403.0,648.0,371.0,229.0
300.0,406.8,649.6,376.0,229.0
400.0,406.2,651.0,372.2,230.2
500.0,403.0,651.0,371.0,233.1
600.0,407.0,648.0,372.8,234.5
700.0,403.0,648.0,372.1,229.3
800.0,403.0,651.0,376.0,229.5
900.0,407.0,651.0,373.6,230.7
1000.0,407.0,650.4,371.0,233.9
1100.0,403.0,648.0,376.0,229.7
1200.0,403.0,651.0,371.0,229.4
1300.0,407.0,648.0,371.0,233.3
1400.0,407.0,651.0,375.6,230.1
1500.0,403.0,648.0,371.0,235.0
1600.0,407.0,648.0,371.0,229.0
1700.0,407.0,651.0,376.0,235.0
1800.0,407.0,648.0,375.5,232.6
1900.0,407.0,648.0,371.0,229.0
2000.0,407.0,648.8,371.5,229.0
2100.0,403.0,651.0,372.8,229.0
2200.0,403.8,651.0,372.1,231.7
2300.0,407.0,651.0,371.0,230.3
2400.0,407.0,648.0,375.0,231.5
2500.0,405.8,651.0,376.0,229.6
2600.0,403.0,648.0,376.0,235.0
2700.0,407.0,651.0,371.0,229.0
2800.0,407.0,648.0,371.0,229.6
2900.0,403.0,649.7,371.0,230.6
3000.0,407.0,650.5,376.0,229.9
3100.0,407.0,648.0,376.0,233.3
3200.0,403.0,648.0,371.0,229.0
3300.0,405.0,648.6,375.8,229.0
3400.0,407.0,648.0,371.0,230.3
3500.0,407.0,648.1,376.0,229.1
3600.0,403.0,648.0,371.0,234.4
3700.0,407.0,651.0,371.0,229.2
3800.0,407.0,651.0,376.0,229.0
3900.0,404.2,651.0,376.0,229.0
4000.0,407.0,648.0,376.0,234.2
4100.0,403.3,648.0,376.0,230.4
4200.0,406.8,651.0,371.3,229.8
4300.0,403.8,651.0,371.0,233.3
4400.0,403.4,648.0,376.0,233.9
4500.0,407.0,648.0,376.0,229.0
4600.0,404.6,648.0,376.0,229.0
4700.0,407.0,648.0,374.4,235.0
4800.0,403.0,648.0,372.7,231.7
4900.0,404.9,648.0,375.4,229.8
5000.0,407.0,648.0,371.4,229.0
5100.0,403.0,648.0,376.0,233.6
5200.0,407.0,648.0,376.0,234.3
5300.0,403.0,648.0,376.0,232.8
5400.0,407.0,649.2,376.0,234.8
5500.0,407.0,648.0,371.8,231.8
5600.0,404.3,651.0,376.0,229.0
5700.0,403.0,651.0,371.0,230.0
5800.0,407.0,648.0,376.0,232.8
5900.0,407.0,651.0,371.0,233.5
6000.0,403.2,651.0,371.0,229.9
6100.0,404.6,651.0,374.1,234.2
6200.0,404.5,651.0,372.7,230.2
6300.0,407.0,648.0,371.0,231.1
6400.0,403.4,651.0,375.9,232.7
6500.0,403.0,649.4,372.1,229.0
6600.0,403.0,648.0,376.0,229.0
6700.0,403.3,651.0,376.0,232.3
6800.0,403.3,651.0,375.5,232.0
6900.0,407.0,648.0,372.1,230.4
7000.0,407.0,648.0,371.0,235.0
7100.0,407.0,650.2,371.0,232.7
7200.0,403.0,648.0,371.0,235.0
7300.0,407.0,648.0,372.0,229.0
7400.0,407.0,648.8,376.0,233.7
7500.0,405.2,651.0,374.0,233.1
7600.0,407.0,650.4,371.0,230.5
7700.0,403.0,648.0,371.9,233.3
