timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,563.0,926.0,655.1,723.8
100.0,569.3,918.8,663.0,693.0
200.0,563.0,924.6,652.0,692.0
300.0,572.8,919.6,662.6,689.6
400.0,573.8,926.0,652.0,717.1
500.0,563.9,918.0,656.1,708.7
600.0,575.0,926.0,659.3,715.8
700.0,575.0,918.0,663.0,707.9
800.0,572.0,918.0,652.0,708.0
900.0,573.2,918.0,663.0,720.5
1000.0,567.7,926.0,663.0,724.6
1100.0,572.1,919.8,658.9,708.2
1200.0,566.6,926.0,657.1,690.1
1300.0,570.3,918.0,654.5,713.3
1400.0,575.0,918.0,663.0,713.2
1500.0,563.0,926.0,654.0,688.7
1600.0,572.5,923.2,652.0,695.8
1700.0,563.0,918.0,652.0,699.4
1800.0,563.0,924.6,652.0,702.7
1900.0,563.0,926.0,663.0,709.8
2000.0,565.3,918.0,652.6,711.4
2100.0,563.0,918.0,653.9,686.1
2200.0,572.5,926.0,652.8,725.4
2300.0,563.0,926.0,652.0,685.9
2400.0,567.2,920.2,652.0,712.2
2500.0,563.0,926.0,661.0,718.1
2600.0,567.0,918.0,653.4,708.1
2700.0,565.3,918.0,663.0,707.4
2800.0,575.0,921.9,652.0,719.8
2900.0,575.0,926.0,652.0,704.9
3000.0,571.4,918.0,659.6,713.4
3100.0,569.6,918.0,652.0,725.5
3200.0,572.4,918.0,655.1,728.0
3300.0,568.6,926.0,652.0,699.6
3400.0,566.2,926.0,657.5,687.3
3500.0,569.2,926.0,655.8,717.2
3600.0,565.5,918.0,660.6,712.7
3700.0,563.1,918.0,652.0,694.0
3800.0,567.1,926.0,661.4,713.5
3900.0,563.0,918.0,652.0,719.8
4000.0,563.0,918.2,652.0,691.8
4100.0,563.0,926.0,663.0,728.0
4200.0,574.3,926.0,655.9,714.5
4300.0,563.0,918.0,663.0,689.5
4400.0,566.4,926.0,663.0,713.0
4500.0,570.6,926.0,653.8,704.2
4600.0,563.0,918.0,661.6,691.5
4700.0,575.0,926.0,663.0,719.5
4800.0,574.5,918.0,652.0,698.0
4900.0,565.3,926.0,659.0,720.2
5000.0,563.0,918.0,658.3,708.4
5100.0,574.5,926.0,661.9,722.6
5200.0,563.0,918.5,652.0,711.8
5300.0,569.6,926.0,653.9,713.2
5400.0,575.0,921.7,663.0,728.0
5500.0,566.1,926.0,658.1,728.0
5600.0,563.0,926.0,655.9,712.8
5700.0,563.0,918.0,663.0,706.3
5800.0,575.0,926.0,663.0,728.0
5900.0,563.0,918.3,653.3,700.3
6000.0,563.0,918.0,656.8,708.9
6100.0,566.6,918.0,659.2,722.5
6200.0,566.4,926.0,663.0,728.0
6300.0,563.0,918.0,663.0,712.6
6400.0,572.8,926.0,658.7,713.1
6500.0,575.0,918.0,663.0,728.0
6600.0,571.3,918.0,663.0,711.9
6700.0,563.0,923.5,659.1,683.0
6800.0,563.0,926.0,663.0,723.3
6900.0,575.0,918.2,652.0,695.5
7000.0,563.0,922.1,663.0,695.6
7100.0,574.2,924.2,661.3,724.2
7200.0,569.9,918.0,652.0,708.0
7300.0,575.0,921.5,657.4,715.6
7400.0,563.0,926.0,652.0,715.7
7500.0,568.2,918.0,663.0,694.1
7600.0,563.2,918.0,652.0,702.5
7700.0,575.0,926.0,655.5,702.6
7800.0,575.0,924.4,654.5,712.7
7900.0,575.0,918.0,653.0,728.0
8000.0,565.6,926.0,659.5,683.0
8100.0,575.0,920.9,663.0,714.0
8200.0,572.6,925.2,652.0,708.1
8300.0,575.0,926.0,653.9,715.1
8400.0,563.0,925.4,652.0,704.1
8500.0,565.5,926.0,655.7,683.0
8600.0,563.0,918.0,663.0,685.2
8700.0,575.0,918.0,658.6,723.3
8800.0,563.0,926.0,652.0,690.0
8900.0,566.4,921.5,663.0,698.8
9000.0,563.0,918.0,663.0,708.7
9100.0,566.3,918.0,658.0,711.1
9200.0,574.8,920.6,652.0,697.1
9300.0,563.0,926.0,663.0,696.9
9400.0,575.0,926.0,663.0,718.0
9500.0,563.0,926.0,663.0,701.3
9600.0,569.3,926.0,656.4,702.1
9700.0,563.0,918.0,663.0,710.5
9800.0,574.5,918.0,663.0,705.5
9900.0,565.0,918.0,663.0,710.7
10000.0,569.5,923.3,655.3,714.8
10100.0,563.0,918.0,652.0,716.1
10200.0,570.6,918.0,652.0,699.3
10300.0,563.2,918.0,663.0,708.2
10400.0,575.0,920.8,660.5,728.0
10500.0,573.1,926.0,654.4,725.5
10600.0,563.0,918.0,653.6,715.5
10700.0,573.7,926.0,652.0,702.0
10800.0,575.0,918.0,663.0,728.0
10900.0,574.7,926.0,663.0,708.0
11000.0,573.5,918.0,660.6,716.3
11100.0,567.6,923.3,652.0,728.0
11200.0,575.0,918.0,663.0,728.0
11300.0,571.4,926.0,652.0,704.7
11400.0,563.7,926.0,663.0,726.3
11500.0,563.0,918.0,652.0,699.1
11600.0,563.0,918.8,661.1,713.5
11700.0,563.0,926.0,652.0,707.6
11800.0,573.4,926.0,663.0,713.8
11900.0,563.0,918.0,652.4,698.8
12000.0,563.0,918.0,663.0,713.9
12100.0,563.0,926.0,663.0,728.0
12200.0,575.0,920.2,659.7,724.9
12300.0,563.0,918.0,652.0,721.6
12400.0,573.4,926.0,655.9,705.3
12500.0,564.8,918.0,662.2,702.3
12600.0,563.0,926.0,663.0,697.8
12700.0,572.6,926.0,653.6,724.2
12800.0,565.6,921.6,660.0,698.6
12900.0,575.0,918.0,663.0,702.5
13000.0,575.0,926.0,663.0,708.0
13100.0,568.4,923.6,663.0,686.7
13200.0,573.0,922.8,661.6,722.2
13300.0,563.3,926.0,657.9,712.7
13400.0,572.0,926.0,652.0,692.0
13500.0,575.0,926.0,663.0,726.6
13600.0,575.0,926.0,661.2,709.5
13700.0,563.0,926.0,657.2,683.0
13800.0,572.4,918.0,652.2,716.6
13900.0,563.0,926.0,663.0,712.8
14000.0,568.2,918.0,663.0,727.3
14100.0,574.4,926.0,655.1,728.0
14200.0,575.0,921.0,663.0,727.4
14300.0,571.4,926.0,658.1,720.3
14400.0,568.5,920.6,663.0,690.4
14500.0,567.0,918.0,663.0,720.0
14600.0,575.0,926.0,659.1,728.0
14700.0,565.2,926.0,652.0,708.1
14800.0,575.0,926.0,652.0,714.1
14900.0,563.8,918.0,657.8,700.6
15000.0,563.0,926.0,663.0,728.0
15100.0,563.0,926.0,659.5,700.9
15200.0,575.0,918.0,663.0,692.4
15300.0,565.4,926.0,652.0,728.0
15400.0,574.2,923.2,659.7,713.9
15500.0,575.0,918.0,663.0,728.0
15600.0,563.0,918.0,652.0,713.5
15700.0,573.5,926.0,663.0,721.2
15800.0,563.0,918.0,657.2,683.0
15900.0,575.0,926.0,660.1,723.8
16000.0,575.0,926.0,657.1,728.0
16100.0,566.2,918.0,659.5,705.4
16200.0,564.2,918.0,663.0,728.0
16300.0,574.5,918.0,652.0,691.8
16400.0,569.5,924.1,659.7,715.7
16500.0,563.6,926.0,652.0,717.4
