timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,564.0,921.0,654.0,724.0
100.0,558.4,921.0,650.0,730.0
200.0,557.0,921.0,654.0,732.9
300.0,564.0,923.0,654.0,724.0
400.0,564.0,923.0,650.0,734.0
500.0,557.0,921.0,650.3,724.0
600.0,564.0,921.0,650.4,724.0
700.0,558.1,921.3,651.3,734.0
800.0,564.0,923.0,651.4,724.0
900.0,560.5,921.0,654.0,734.0
1000.0,560.4,923.0,654.0,724.0
1100.0,561.3,921.0,654.0,734.0
1200.0,563.9,921.0,650.0,725.7
1300.0,563.0,923.0,654.0,724.0
1400.0,557.0,921.0,654.0,724.0
1500.0,563.0,921.0,654.0,724.0
1600.0,557.0,923.0,650.0,728.6
1700.0,564.0,923.0,650.6,724.0
1800.0,557.0,921.0,654.0,731.6
1900.0,561.1,923.0,650.0,724.0
2000.0,560.3,921.0,654.0,734.0
2100.0,557.0,923.0,654.0,730.6
2200.0,557.1,921.0,650.0,724.0
2300.0,562.4,921.0,654.0,734.0
2400.0,564.0,923.0,654.0,726.8
2500.0,564.0,923.0,650.0,734.0
2600.0,557.0,923.0,654.0,734.0
2700.0,557.0,923.0,654.0,734.0
2800.0,562.1,921.8,650.0,724.0
2900.0,564.0,921.0,650.0,734.0
3000.0,557.0,923.0,650.0,734.0
3100.0,557.0,921.0,650.5,724.0
3200.0,557.0,921.0,650.0,734.0
3300.0,557.0,923.0,654.0,724.0
3400.0,557.0,921.0,650.0,734.0
3500.0,564.0,921.0,650.0,732.7
3600.0,557.0,921.0,650.0,734.0
3700.0,564.0,921.0,654.0,728.1
3800.0,557.0,921.0,650.0,734.0
3900.0,564.0,923.0,654.0,724.0
4000.0,557.0,921.0,654.0,729.9
4100.0,557.0,921.3,650.0,731.7
4200.0,561.9,921.0,654.0,724.0
4300.0,564.0,921.0,654.0,732.0
4400.0,557.0,921.0,650.0,734.0
4500.0,564.0,921.0,651.5,734.0
4600.0,564.0,921.0,650.0,734.0
4700.0,558.2,923.0,650.0,734.0
4800.0,557.0,923.0,654.0,724.0
4900.0,564.0,921.0,651.6,724.0
5000.0,564.0,923.0,654.0,729.0
5100.0,557.0,923.0,650.0,724.5
5200.0,557.0,923.0,650.0,734.0
5300.0,564.0,921.0,654.0,734.0
5400.0,564.0,923.0,654.0,734.0
5500.0,557.0,923.0,650.0,734.0
5600.0,557.0,921.0,654.0,734.0
5700.0,564.0,923.0,650.0,725.9
5800.0,564.0,923.0,650.0,724.0
5900.0,564.0,921.7,653.1,730.5
6000.0,557.0,923.0,654.0,733.5
6100.0,560.6,923.0,650.0,734.0
6200.0,558.6,923.0,650.0,727.1
6300.0,557.0,921.0,650.0,733.9
6400.0,562.7,921.0,654.0,724.3
6500.0,562.3,921.0,650.8,734.0
6600.0,557.0,921.3,654.0,724.8
6700.0,559.2,921.0,654.0,724.0
6800.0,561.2,921.0,654.0,727.1
6900.0,557.4,923.0,650.0,724.0
7000.0,557.0,923.0,654.0,734.0
7100.0,564.0,921.0,650.6,734.0
7200.0,564.0,923.0,654.0,733.8
7300.0,560.8,921.0,650.0,724.0
7400.0,564.0,923.0,654.0,724.0
7500.0,564.0,923.0,650.0,728.9
7600.0,564.0,923.0,654.0,734.0
7700.0,557.0,921.0,654.0,726.7
7800.0,557.0,921.0,654.0,734.0
7900.0,560.5,921.0,650.9,724.0
8000.0,562.3,921.0,654.0,730.0
8100.0,564.0,921.0,650.3,732.6
8200.0,557.0,923.0,654.0,734.0
8300.0,564.0,921.0,654.0,724.0
8400.0,559.5,923.0,650.0,734.0
8500.0,564.0,923.0,650.0,734.0
8600.0,564.0,923.0,654.0,724.0
8700.0,564.0,923.0,654.0,728.3
8800.0,559.1,923.0,650.0,724.0
8900.0,557.0,921.0,653.1,727.9
9000.0,557.0,923.0,653.5,734.0
9100.0,563.7,921.0,654.0,725.6
9200.0,564.0,921.0,650.0,734.0
9300.0,564.0,923.0,650.0,725.9
9400.0,557.0,923.0,654.0,733.6
9500.0,557.0,923.0,650.8,724.0
9600.0,557.0,923.0,650.7,734.0
9700.0,557.0,922.2,654.0,724.0
9800.0,564.0,921.0,654.0,734.0
9900.0,557.0,922.1,650.0,724.0
10000.0,557.0,921.0,654.0,734.0
10100.0,564.0,923.0,651.9,728.3
10200.0,557.0,921.0,654.0,734.0
10300.0,557.0,923.0,654.0,724.0
10400.0,564.0,921.0,650.0,732.2
10500.0,561.7,923.0,654.0,734.0
10600.0,561.1,923.0,654.0,734.0
10700.0,557.0,923.0,650.0,729.0
10800.0,559.5,921.0,654.0,732.3
10900.0,561.8,921.0,650.0,724.0
11000.0,557.0,921.0,653.3,734.0
11100.0,564.0,921.0,654.0,734.0
11200.0,564.0,921.0,650.0,734.0
11300.0,557.0,921.0,654.0,734.0
11400.0,564.0,923.0,653.0,734.0
11500.0,557.0,923.0,654.0,730.2
11600.0,564.0,921.0,650.0,724.0
11700.0,560.5,921.0,650.0,729.0
11800.0,557.0,921.9,653.9,724.0
11900.0,563.9,921.0,653.0,724.0
12000.0,563.1,922.4,654.0,724.0
12100.0,557.3,923.0,654.0,734.0
12200.0,564.0,921.0,650.1,726.8
12300.0,557.2,923.0,650.0,724.0
12400.0,564.0,923.0,650.0,732.8
12500.0,560.0,923.0,652.2,734.0
12600.0,557.0,921.0,652.1,727.0
12700.0,561.0,923.0,650.0,724.0
12800.0,564.0,921.0,650.0,729.3
12900.0,564.0,921.0,650.0,724.9
13000.0,564.0,923.0,650.0,734.0
13100.0,557.0,921.0,654.0,734.0
