timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,862.0,948.0,915.0,1007.0
100.0,862.0,958.0,897.6,1007.0
200.0,854.2,948.0,915.0,1002.0
300.0,850.0,948.0,905.0,1002.0
400.0,850.1,957.7,899.8,1002.0
500.0,862.0,958.0,914.3,1007.0
600.0,858.9,957.2,903.1,1007.0
700.0,850.0,948.0,910.0,1007.0
800.0,862.0,948.0,914.2,1002.6
900.0,850.0,956.9,902.7,1004.0
1000.0,862.0,948.0,915.0,1004.0
1100.0,850.0,951.3,915.0,1007.0
1200.0,850.0,953.5,907.0,1002.0
1300.0,861.4,948.0,896.7,1002.0
1400.0,862.0,958.0,915.0,1007.0
1500.0,862.0,948.0,895.0,1002.0
1600.0,862.0,949.9,902.1,1002.7
1700.0,850.0,950.5,915.0,1007.0
1800.0,852.8,948.0,897.4,1007.0
1900.0,850.0,958.0,912.4,1007.0
2000.0,862.0,958.0,901.2,1002.0
2100.0,850.0,958.0,915.0,1002.0
2200.0,862.0,948.0,902.9,1002.0
2300.0,851.3,958.0,905.0,1006.9
2400.0,862.0,948.3,910.7,1002.0
2500.0,854.2,958.0,900.1,1007.0
2600.0,862.0,955.9,915.0,1002.0
2700.0,862.0,958.0,910.8,1003.7
2800.0,859.1,958.0,901.2,1002.0
2900.0,859.5,958.0,900.1,1007.0
3000.0,862.0,958.0,896.7,1002.0
3100.0,860.8,948.0,897.9,1007.0
3200.0,856.6,948.0,900.2,1002.0
3300.0,860.1,948.0,915.0,1002.0
3400.0,853.7,948.0,907.1,1002.0
3500.0,862.0,958.0,915.0,1007.0
3600.0,861.5,948.5,915.0,1007.0
3700.0,850.1,948.0,902.3,1002.0
3800.0,858.4,948.0,900.2,1007.0
3900.0,862.0,958.0,914.1,1002.0
4000.0,857.7,948.0,915.0,1002.0
4100.0,850.0,948.0,915.0,1007.0
4200.0,862.0,958.0,915.0,1002.0
4300.0,862.0,948.0,915.0,1002.0
4400.0,854.9,948.0,914.1,1007.0
4500.0,855.4,948.0,903.6,1002.0
4600.0,851.0,951.2,903.5,1007.0
4700.0,862.0,958.0,915.0,1007.0
4800.0,859.9,958.0,914.5,1006.8
4900.0,850.7,948.0,915.0,1002.0
5000.0,850.8,948.0,915.0,1002.0
5100.0,862.0,958.0,913.8,1007.0
5200.0,862.0,948.0,911.7,1002.0
5300.0,850.0,948.0,915.0,1002.0
5400.0,850.0,955.7,900.7,1002.0
5500.0,852.5,958.0,915.0,1002.0
5600.0,858.5,948.0,915.0,1002.0
5700.0,857.0,958.0,915.0,1002.0
5800.0,860.8,958.0,897.3,1002.0
5900.0,862.0,958.0,915.0,1007.0
6000.0,854.1,948.0,910.7,1002.0
6100.0,861.9,958.0,909.6,1007.0
6200.0,862.0,958.0,906.1,1002.0
6300.0,850.0,948.0,915.0,1002.0
6400.0,862.0,958.0,915.0,1002.0
6500.0,862.0,958.0,908.2,1002.0
6600.0,850.0,957.1,895.0,1002.0
6700.0,860.2,948.0,904.7,1002.0
6800.0,850.0,948.0,897.9,1002.0
6900.0,852.0,948.0,905.9,1007.0
7000.0,850.5,958.0,897.4,1002.0
7100.0,862.0,958.0,903.2,1006.2
7200.0,856.0,958.0,904.0,1007.0
7300.0,850.0,958.0,915.0,1007.0
7400.0,861.4,958.0,897.4,1002.0
7500.0,850.0,948.0,915.0,1007.0
7600.0,862.0,958.0,915.0,1002.0
7700.0,850.0,958.0,912.5,1007.0
7800.0,859.6,958.0,915.0,1002.0
7900.0,850.0,951.2,915.0,1002.0
8000.0,862.0,958.0,915.0,1002.0
8100.0,862.0,958.0,911.6,1002.0
8200.0,856.3,958.0,902.3,1007.0
8300.0,850.7,949.9,911.6,1002.0
8400.0,862.0,951.9,901.6,1002.0
8500.0,862.0,948.0,915.0,1007.0
8600.0,850.0,948.0,900.8,1002.0
8700.0,858.4,949.1,915.0,1007.0
8800.0,862.0,958.0,915.0,1007.0
8900.0,856.1,958.0,914.7,1007.0
9000.0,850.9,958.0,915.0,1002.0
9100.0,850.0,958.0,915.0,1007.0
9200.0,850.0,958.0,915.0,1007.0
9300.0,850.0,958.0,908.3,1002.0
9400.0,850.0,953.9,900.8,1007.0
9500.0,850.0,958.0,896.7,1002.0
9600.0,855.2,958.0,895.0,1007.0
9700.0,862.0,957.2,899.5,1007.0
9800.0,862.0,948.0,915.0,1002.0
9900.0,855.6,948.0,900.9,1007.0
10000.0,862.0,958.0,915.0,1004.9
10100.0,850.0,958.0,915.0,1002.0
10200.0,862.0,958.0,913.2,1003.5
10300.0,857.5,949.9,914.5,1002.0
10400.0,858.2,958.0,915.0,1007.0
10500.0,860.3,958.0,915.0,1007.0
10600.0,850.0,953.6,907.3,1004.5
10700.0,850.0,948.6,897.2,1007.0
10800.0,862.0,948.0,895.1,1002.0
10900.0,850.0,958.0,915.0,1002.0
11000.0,862.0,948.0,915.0,1002.0
11100.0,862.0,948.0,915.0,1002.0
11200.0,858.0,958.0,911.6,1007.0
11300.0,854.6,956.2,915.0,1002.0
11400.0,850.0,958.0,895.0,1007.0
11500.0,862.0,950.4,905.2,1003.5
11600.0,857.9,956.6,915.0,1007.0
11700.0,862.0,958.0,915.0,1004.4
11800.0,862.0,948.0,915.0,1002.0
11900.0,850.0,958.0,911.1,1004.3
12000.0,852.1,951.3,908.8,1002.0
12100.0,862.0,950.6,915.0,1007.0
12200.0,850.0,949.4,915.0,1002.0
12300.0,858.9,958.0,910.3,1002.0
12400.0,851.2,958.0,915.0,1002.0
12500.0,862.0,948.0,915.0,1007.0
12600.0,862.0,957.0,895.0,1007.0
12700.0,862.0,958.0,895.0,1003.7
12800.0,862.0,948.0,913.2,1007.0
12900.0,850.0,948.0,915.0,1002.0
13000.0,850.0,950.4,904.5,1007.0
13100.0,850.0,955.7,904.0,1007.0
13200.0,862.0,958.0,911.6,1002.0
13300.0,862.0,958.0,896.7,1002.0
13400.0,850.0,948.0,897.1,1002.0
13500.0,862.0,958.0,915.0,1002.0
13600.0,858.5,948.0,915.0,1002.0
13700.0,850.0,948.0,914.8,1002.4
13800.0,859.0,948.0,904.1,1002.0
13900.0,862.0,958.0,901.7,1002.0
14000.0,851.2,958.0,915.0,1002.0
14100.0,857.1,952.4,914.5,1007.0
14200.0,862.0,948.0,895.0,1002.0
14300.0,850.0,948.0,915.0,1007.0
14400.0,862.0,948.0,915.0,1002.0
14500.0,862.0,948.0,905.3,1007.0
14600.0,862.0,958.0,904.2,1002.0
14700.0,850.0,949.9,915.0,1004.1
14800.0,862.0,948.0,895.0,1002.6
14900.0,850.0,948.5,902.7,1002.0
15000.0,862.0,958.0,908.5,1002.0
15100.0,862.0,948.0,899.6,1007.0
15200.0,850.0,958.0,897.7,1004.4
15300.0,861.0,958.0,915.0,1007.0
15400.0,862.0,958.0,906.0,1007.0
15500.0,862.0,958.0,914.7,1007.0
15600.0,850.0,949.0,915.0,1006.2
15700.0,858.3,958.0,913.9,1007.0
15800.0,856.6,958.0,901.6,1004.9
15900.0,862.0,958.0,915.0,1002.0
16000.0,862.0,957.2,915.0,1002.5
16100.0,855.3,948.0,912.7,1002.2
16200.0,850.1,948.0,915.0,1002.0
16300.0,850.0,958.0,915.0,1007.0
16400.0,858.8,948.0,901.1,1002.0
16500.0,862.0,948.4,912.2,1002.0
16600.0,852.2,948.0,915.0,1002.0
16700.0,853.5,958.0,896.5,1007.0
16800.0,862.0,948.0,915.0,1007.0
16900.0,857.2,958.0,915.0,1007.0
17000.0,858.8,953.4,915.0,1007.0
17100.0,862.0,958.0,911.7,1007.0
17200.0,862.0,958.0,915.0,1007.0
17300.0,850.0,958.0,915.0,1007.0
17400.0,853.2,950.9,897.2,1006.7
17500.0,862.0,953.3,915.0,1004.5
17600.0,862.0,956.7,915.0,1007.0
17700.0,862.0,958.0,915.0,1002.0
17800.0,850.0,950.5,902.2,1002.0
17900.0,862.0,958.0,913.5,1007.0
18000.0,850.0,948.0,915.0,1007.0
18100.0,850.0,958.0,907.1,1007.0
18200.0,855.0,948.0,895.2,1007.0
18300.0,850.0,948.0,905.9,1006.4
18400.0,850.0,958.0,915.0,1007.0
18500.0,862.0,951.3,911.6,1002.0
18600.0,859.0,956.8,896.2,1002.0
18700.0,850.0,958.0,914.8,1007.0
18800.0,862.0,958.0,915.0,1006.0
18900.0,850.0,958.0,908.9,1007.0
19000.0,858.0,957.0,915.0,1007.0
19100.0,850.0,958.0,909.0,1007.0
19200.0,850.0,948.0,904.9,1002.0
19300.0,862.0,958.0,915.0,1002.0
19400.0,850.0,958.0,915.0,1002.2
19500.0,850.0,948.0,900.1,1002.0
19600.0,850.0,948.0,905.5,1007.0
19700.0,862.0,950.7,915.0,1002.0
19800.0,862.0,948.5,915.0,1007.0
19900.0,862.0,958.0,902.7,1007.0
20000.0,862.0,958.0,900.9,1007.0
20100.0,850.0,958.0,902.4,1007.0
20200.0,856.6,958.0,895.0,1003.1
20300.0,862.0,958.0,915.0,1007.0
