timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,815.0,944.0,894.6,977.0
100.0,815.0,942.0,893.0,977.0
200.0,812.0,942.0,896.0,992.0
300.0,815.0,944.0,896.0,982.5
400.0,815.0,944.0,896.0,992.0
500.0,815.0,942.0,896.0,992.0
600.0,815.0,944.0,896.0,990.6
700.0,815.0,942.0,896.0,992.0
800.0,812.0,944.0,896.0,977.0
900.0,815.0,944.0,896.0,977.2
1000.0,812.0,944.0,893.0,992.0
1100.0,812.0,942.0,896.0,980.7
1200.0,812.0,942.0,893.0,992.0
1300.0,812.0,942.0,896.0,992.0
1400.0,812.0,942.0,896.0,977.0
1500.0,812.0,944.0,895.5,992.0
1600.0,815.0,944.0,896.0,988.1
1700.0,815.0,944.0,896.0,980.0
1800.0,815.0,944.0,893.0,977.0
1900.0,812.0,944.0,896.0,979.8
2000.0,815.0,942.0,895.1,977.0
2100.0,815.0,942.2,896.0,985.7
2200.0,812.0,942.0,893.0,977.4
2300.0,814.4,942.0,896.0,977.0
2400.0,815.0,942.0,893.0,981.6
2500.0,812.0,942.0,896.0,992.0
2600.0,812.0,944.0,896.0,978.8
2700.0,815.0,944.0,893.0,988.9
2800.0,812.0,942.0,896.0,989.6
2900.0,815.0,942.0,894.5,992.0
3000.0,815.0,944.0,896.0,992.0
3100.0,815.0,944.0,896.0,992.0
3200.0,815.0,942.0,896.0,977.3
3300.0,815.0,942.0,896.0,977.0
3400.0,815.0,942.0,896.0,977.0
3500.0,815.0,942.0,893.0,989.3
3600.0,815.0,944.0,896.0,979.9
3700.0,812.0,942.0,893.0,990.5
3800.0,812.0,942.0,893.0,992.0
3900.0,815.0,942.0,896.0,977.0
4000.0,812.0,944.0,896.0,986.5
4100.0,812.0,942.0,896.0,977.0
4200.0,812.0,942.0,893.8,977.0
4300.0,812.4,944.0,893.0,992.0
4400.0,815.0,944.0,896.0,977.0
4500.0,812.0,944.0,896.0,977.0
4600.0,812.4,944.0,893.0,977.0
4700.0,812.0,944.0,893.8,989.1
4800.0,812.0,942.0,896.0,989.6
4900.0,812.0,944.0,893.0,981.3
5000.0,812.0,944.0,893.0,988.2
5100.0,815.0,942.0,896.0,992.0
5200.0,815.0,944.0,896.0,982.8
5300.0,812.0,944.0,896.0,992.0
5400.0,812.0,944.0,893.0,991.8
5500.0,812.0,944.0,893.0,984.4
5600.0,812.0,944.0,896.0,992.0
5700.0,812.0,944.0,893.0,992.0
5800.0,812.0,942.0,893.0,992.0
5900.0,815.0,944.0,893.0,977.0
6000.0,812.0,944.0,896.0,977.0
6100.0,812.0,942.0,893.0,984.5
6200.0,815.0,942.0,896.0,992.0
6300.0,812.0,942.0,893.0,992.0
6400.0,815.0,942.0,896.0,992.0
6500.0,815.0,942.0,893.0,978.0
6600.0,815.0,944.0,893.0,992.0
6700.0,815.0,942.0,893.0,980.0
6800.0,812.0,942.0,896.0,977.0
6900.0,812.0,942.0,893.0,979.4
7000.0,812.0,942.0,895.6,977.0
7100.0,812.0,944.0,896.0,977.0
7200.0,815.0,942.0,893.0,986.8
7300.0,812.0,942.0,893.0,983.6
7400.0,812.0,944.0,896.0,977.0
7500.0,812.0,942.0,893.0,977.0
7600.0,815.0,942.0,893.0,977.0
7700.0,815.0,942.0,896.0,977.0
7800.0,812.0,944.0,893.0,977.0
7900.0,815.0,942.0,893.0,992.0
8000.0,812.0,944.0,893.0,985.3
8100.0,813.7,942.0,896.0,992.0
8200.0,815.0,942.0,893.0,990.9
