timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,753.5,833.8,710.9,730.7
100.0,754.4,847.6,740.2,745.5
200.0,755.4,869.0,788.0,789.6
300.0,729.4,838.0,731.3,742.7
400.0,732.6,829.3,745.4,746.0
500.0,762.0,851.7,786.1,796.0
600.0,729.3,828.8,723.7,713.5
700.0,762.0,861.9,788.0,782.3
800.0,744.0,869.0,782.4,796.0
900.0,741.6,829.9,708.6,725.8
1000.0,714.0,787.0,667.0,755.3
1100.0,760.3,863.8,774.3,786.7
1200.0,732.1,855.5,751.0,755.5
1300.0,731.1,818.0,690.7,715.3
1400.0,762.0,847.5,767.4,778.2
1500.0,732.6,835.8,724.3,733.6
1600.0,757.1,849.0,767.2,763.9
1700.0,729.3,828.8,718.4,746.9
1800.0,735.9,823.6,745.7,753.7
1900.0,762.0,849.8,770.2,771.7
2000.0,731.7,794.6,702.3,743.5
2100.0,757.2,854.6,756.2,771.6
2200.0,744.2,867.9,767.1,753.7
2300.0,714.0,800.8,694.8,744.2
2400.0,759.7,852.1,769.7,769.3
2500.0,760.8,861.0,771.9,796.0
2600.0,734.1,838.6,759.1,765.7
2700.0,731.7,805.4,716.0,710.1
2800.0,743.4,847.0,747.8,748.8
2900.0,740.9,869.0,767.8,756.4
3000.0,746.9,840.5,763.8,757.3
3100.0,722.0,805.3,695.8,745.5
3200.0,747.7,835.0,754.6,749.6
3300.0,714.0,798.2,686.0,751.2
3400.0,758.5,835.8,763.3,756.9
3500.0,744.7,830.9,717.2,710.0
3600.0,749.1,847.4,775.6,771.7
3700.0,749.1,853.0,750.2,775.9
3800.0,732.1,856.3,733.0,747.8
3900.0,720.3,799.5,702.6,716.1
4000.0,754.2,860.4,735.1,755.3
4100.0,727.3,821.3,703.1,721.2
4200.0,750.9,836.6,732.7,740.2
4300.0,762.0,858.3,753.1,762.5
4400.0,744.2,833.9,722.5,755.9
4500.0,740.8,833.1,740.7,761.7
4600.0,740.7,849.0,757.1,750.5
4700.0,736.8,810.1,688.7,721.0
4800.0,744.7,861.1,753.5,750.8
4900.0,738.1,858.2,765.4,764.4
5000.0,745.5,823.2,723.1,737.0
5100.0,758.0,844.8,752.7,765.3
5200.0,762.0,867.0,769.1,780.2
5300.0,747.7,810.6,715.1,714.1
5400.0,745.2,837.4,743.3,730.8
5500.0,759.1,869.0,761.4,760.3
5600.0,762.0,869.0,788.0,778.2
