timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,809.0,940.7,893.5,981.0
100.0,817.5,941.0,894.0,985.0
200.0,818.0,941.0,893.9,969.0
300.0,811.2,941.0,894.0,985.0
400.0,818.0,941.0,885.0,976.2
500.0,809.0,941.0,885.0,985.0
600.0,818.0,941.0,889.0,970.1
700.0,809.0,936.0,885.0,970.8
800.0,818.0,940.8,894.0,969.0
900.0,809.0,936.0,886.9,969.0
1000.0,816.3,941.0,885.0,979.3
1100.0,814.0,936.0,889.5,969.0
1200.0,818.0,936.0,885.0,976.5
1300.0,818.0,936.0,887.1,969.0
1400.0,816.9,936.0,894.0,975.4
1500.0,809.0,941.0,885.0,981.6
1600.0,809.0,941.0,885.0,985.0
1700.0,809.0,941.0,885.0,972.1
1800.0,814.3,936.0,894.0,977.3
1900.0,809.0,940.9,894.0,969.0
2000.0,809.0,941.0,885.0,969.0
2100.0,813.4,941.0,885.0,985.0
2200.0,809.0,941.0,890.7,969.0
2300.0,809.0,941.0,894.0,985.0
2400.0,818.0,936.0,894.0,969.0
2500.0,809.0,941.0,885.0,973.6
2600.0,809.0,936.0,894.0,982.9
2700.0,812.0,941.0,887.0,979.9
2800.0,810.2,936.0,885.0,969.0
2900.0,817.7,941.0,894.0,975.5
3000.0,818.0,936.0,894.0,983.8
3100.0,813.8,941.0,894.0,970.1
3200.0,818.0,936.0,885.0,972.3
3300.0,809.0,936.0,894.0,969.0
3400.0,816.7,941.0,894.0,969.0
3500.0,818.0,941.0,885.0,979.9
3600.0,809.0,936.0,894.0,969.0
3700.0,809.0,937.8,891.9,969.0
3800.0,814.0,936.0,894.0,981.6
3900.0,809.9,936.0,885.0,984.0
4000.0,809.0,936.0,894.0,969.0
4100.0,814.8,941.0,893.0,969.0
4200.0,818.0,941.0,886.6,985.0
4300.0,813.0,936.0,894.0,985.0
4400.0,809.0,941.0,885.0,980.6
4500.0,809.0,941.0,894.0,969.0
4600.0,818.0,941.0,890.2,980.6
4700.0,811.6,936.0,894.0,975.5
4800.0,813.2,941.0,894.0,985.0
4900.0,809.0,936.0,894.0,969.0
5000.0,818.0,936.0,885.0,971.2
5100.0,818.0,936.0,889.2,972.8
5200.0,809.0,941.0,894.0,982.7
5300.0,818.0,941.0,885.0,985.0
5400.0,809.0,941.0,885.0,970.5
5500.0,809.0,936.0,891.2,985.0
5600.0,818.0,937.2,893.9,985.0
5700.0,812.5,936.0,889.4,985.0
5800.0,809.0,936.0,894.0,985.0
5900.0,816.1,941.0,894.0,969.0
6000.0,818.0,941.0,894.0,975.7
6100.0,818.0,941.0,885.0,985.0
6200.0,813.9,941.0,886.8,970.8
6300.0,809.0,939.0,894.0,969.0
6400.0,818.0,936.0,894.0,977.0
6500.0,813.8,941.0,888.4,969.0
6600.0,809.0,936.0,885.0,969.0
6700.0,809.0,941.0,894.0,969.0
6800.0,810.4,937.5,889.5,973.1
6900.0,818.0,936.0,885.0,969.0
7000.0,818.0,941.0,893.8,985.0
7100.0,818.0,936.0,894.0,969.0
7200.0,818.0,936.0,890.7,982.5
7300.0,818.0,936.0,894.0,985.0
7400.0,809.0,936.0,894.0,969.0
7500.0,809.0,936.0,893.3,969.0
7600.0,818.0,941.0,894.0,969.0
7700.0,818.0,941.0,894.0,982.5
7800.0,814.3,936.0,894.0,985.0
7900.0,809.0,941.0,888.6,985.0
8000.0,817.5,936.0,885.0,969.3
8100.0,809.0,941.0,885.0,977.4
8200.0,809.0,941.0,885.0,976.1
8300.0,809.0,936.0,894.0,969.0
8400.0,809.0,936.3,885.0,969.1
8500.0,818.0,941.0,885.0,985.0
8600.0,815.6,940.6,891.1,982.3
8700.0,812.2,941.0,894.0,969.0
8800.0,818.0,941.0,894.0,985.0
8900.0,818.0,936.0,894.0,983.7
9000.0,818.0,940.2,894.0,984.2
9100.0,809.0,936.0,885.0,985.0
9200.0,809.0,941.0,885.0,969.0
9300.0,816.1,936.0,885.0,974.8
9400.0,812.6,941.0,894.0,985.0
9500.0,810.4,936.0,885.0,969.1
