timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,811.4,935.0,891.0,980.0
100.0,814.0,935.0,891.0,965.0
200.0,807.0,935.0,885.0,980.0
300.0,814.0,938.0,891.0,980.0
400.0,814.0,938.0,891.0,976.8
500.0,814.0,935.0,891.0,970.4
600.0,814.0,938.0,889.7,965.0
700.0,807.0,938.0,886.4,980.0
800.0,809.7,935.0,885.0,980.0
900.0,814.0,935.0,891.0,977.0
1000.0,814.0,935.0,891.0,975.4
1100.0,814.0,938.0,891.0,965.0
1200.0,809.1,938.0,885.0,980.0
1300.0,807.0,938.0,885.0,965.0
1400.0,814.0,938.0,891.0,977.0
1500.0,807.0,938.0,891.0,974.8
1600.0,807.0,938.0,885.0,977.0
1700.0,814.0,938.0,886.9,969.7
1800.0,814.0,935.0,891.0,974.2
1900.0,814.0,938.0,885.0,965.0
2000.0,813.9,935.0,885.0,969.1
2100.0,807.0,935.0,885.0,965.0
2200.0,814.0,938.0,887.0,969.2
2300.0,813.0,936.2,885.0,980.0
2400.0,807.0,938.0,885.0,980.0
2500.0,807.0,935.0,885.0,978.9
2600.0,814.0,935.7,885.0,965.0
2700.0,807.0,935.0,890.0,965.0
2800.0,814.0,935.0,891.0,978.2
2900.0,807.0,935.0,890.9,980.0
3000.0,814.0,935.0,891.0,977.4
3100.0,807.0,935.0,885.0,980.0
3200.0,814.0,935.0,891.0,969.6
3300.0,814.0,938.0,890.0,980.0
3400.0,814.0,935.0,887.2,965.0
3500.0,814.0,938.0,885.0,965.0
3600.0,807.5,936.2,885.0,965.0
3700.0,807.0,935.0,891.0,965.0
3800.0,814.0,935.0,885.0,980.0
3900.0,814.0,938.0,885.0,965.0
4000.0,807.0,936.3,885.0,980.0
4100.0,807.0,935.0,885.0,965.0
4200.0,807.0,935.0,891.0,980.0
4300.0,811.2,938.0,891.0,965.0
4400.0,814.0,938.0,889.9,965.0
4500.0,813.0,938.0,891.0,977.0
4600.0,814.0,938.0,885.0,966.9
4700.0,812.3,938.0,889.8,979.3
