timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,829.0,888.6,831.2,627.1
100.0,812.1,904.8,829.0,674.2
200.0,815.2,897.2,806.0,549.1
300.0,809.1,874.7,789.0,467.3
400.0,824.1,895.8,826.0,684.8
500.0,825.6,905.0,824.9,592.7
600.0,819.4,867.0,789.0,463.1
700.0,794.2,879.5,790.5,441.0
800.0,818.5,887.0,801.5,508.6
900.0,829.0,899.2,846.0,667.1
1000.0,820.7,905.0,823.3,629.4
1100.0,799.4,869.5,802.2,470.9
1200.0,826.6,880.3,812.3,496.6
1300.0,819.4,898.2,846.0,701.7
1400.0,811.7,896.8,799.8,477.8
1500.0,798.2,876.6,803.7,456.1
1600.0,815.4,895.9,821.2,599.1
1700.0,829.0,905.0,819.6,648.0
1800.0,811.9,884.3,836.2,636.2
1900.0,825.7,896.9,810.4,507.5
2000.0,828.7,891.8,832.7,594.5
2100.0,809.1,888.8,789.0,457.5
2200.0,812.4,903.3,818.1,535.6
2300.0,800.7,867.3,789.0,479.6
2400.0,822.4,895.2,822.9,549.3
2500.0,813.1,905.0,831.8,611.3
2600.0,808.3,884.9,824.2,618.3
2700.0,806.4,886.4,803.6,441.0
2800.0,796.8,895.9,793.6,479.8
2900.0,821.3,882.1,789.0,458.0
3000.0,817.7,882.7,841.7,600.1
3100.0,817.8,877.3,833.8,584.3
3200.0,829.0,905.0,846.0,680.2
3300.0,812.5,880.7,813.0,500.2
3400.0,810.1,867.0,802.0,452.6
3500.0,799.3,869.0,789.0,478.2
3600.0,802.4,884.6,809.2,530.8
3700.0,792.1,892.9,812.6,469.9
3800.0,813.0,869.5,789.0,457.7
3900.0,803.2,867.0,792.1,441.0
4000.0,809.7,867.0,789.4,449.1
4100.0,829.0,901.8,838.1,707.1
4200.0,829.0,905.0,835.7,637.5
4300.0,789.0,881.8,789.0,441.0
4400.0,814.7,895.2,821.2,519.1
4500.0,808.8,905.0,842.3,631.0
4600.0,825.0,905.0,843.1,670.9
4700.0,809.6,867.0,801.4,476.3
4800.0,822.3,901.9,846.0,709.4
4900.0,822.4,885.9,817.9,537.4
5000.0,812.1,905.0,827.4,700.1
5100.0,821.2,904.0,827.6,716.0
5200.0,803.3,867.0,800.3,452.3
5300.0,829.0,905.0,845.1,645.7
5400.0,829.0,888.5,842.0,621.2
5500.0,821.7,903.1,828.0,534.2
5600.0,829.0,886.1,824.7,596.1
5700.0,820.6,881.3,812.9,509.0
5800.0,814.6,887.2,809.4,476.3
5900.0,808.8,895.5,818.5,496.2
6000.0,805.4,897.4,826.5,537.6
6100.0,829.0,897.2,846.0,620.0
6200.0,797.5,869.1,795.0,478.7
6300.0,811.7,899.3,836.9,713.4
6400.0,794.8,873.9,789.0,476.8
6500.0,808.0,879.8,789.0,450.4
6600.0,796.2,874.9,789.0,447.2
6700.0,825.6,887.5,828.9,538.3
6800.0,810.8,894.8,846.0,632.5
6900.0,814.2,893.4,798.9,475.8
7000.0,829.0,888.9,817.2,601.9
7100.0,824.8,887.3,805.7,549.6
7200.0,814.7,869.7,789.0,454.6
7300.0,811.3,877.6,820.2,587.0
7400.0,815.4,901.2,829.2,628.3
7500.0,815.4,905.0,836.5,641.7
7600.0,829.0,892.9,815.2,628.1
7700.0,806.7,870.5,797.0,527.7
7800.0,790.7,879.3,792.7,441.0
7900.0,807.8,867.0,789.0,443.9
8000.0,821.7,902.4,842.7,645.6
8100.0,795.1,867.0,806.4,469.4
8200.0,802.8,887.7,810.6,475.0
8300.0,815.6,886.0,835.7,617.9
8400.0,829.0,901.8,846.0,647.2
8500.0,798.5,887.5,799.2,448.7
8600.0,829.0,883.2,821.6,613.3
8700.0,829.0,903.8,834.1,626.5
8800.0,813.7,905.0,837.6,699.8
8900.0,807.0,878.8,789.0,467.5
9000.0,829.0,897.8,840.8,646.3
9100.0,814.7,870.4,805.7,481.6
9200.0,802.3,868.6,794.7,441.0
9300.0,829.0,895.7,828.9,610.6
9400.0,829.0,898.9,810.3,495.7
9500.0,824.2,905.0,827.1,694.5
9600.0,828.6,903.6,841.6,706.0
9700.0,806.7,902.6,814.7,604.9
9800.0,807.6,887.6,809.3,545.4
9900.0,799.9,876.5,802.0,491.6
10000.0,810.4,905.0,846.0,709.7
10100.0,801.0,883.1,801.4,480.4
10200.0,820.9,887.1,835.9,591.3
10300.0,818.1,895.7,806.9,547.2
10400.0,829.0,897.3,844.6,636.6
10500.0,804.1,898.2,825.1,540.3
10600.0,820.9,889.3,829.6,644.7
