timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,415.0,746.0,481.0,523.0
100.0,410.5,757.0,483.5,526.0
200.0,415.0,758.0,494.1,557.1
300.0,408.0,756.2,481.0,524.2
400.0,414.4,746.0,481.3,523.0
500.0,410.0,755.4,495.0,547.1
600.0,408.0,755.0,481.0,525.7
700.0,409.7,753.8,481.0,533.8
800.0,414.6,746.0,484.1,530.8
900.0,410.8,746.0,489.8,533.0
1000.0,408.9,746.0,490.6,523.0
1100.0,415.0,754.6,481.0,523.0
1200.0,408.0,758.0,482.2,534.8
1300.0,414.4,753.3,481.0,527.8
1400.0,415.0,747.3,489.1,523.0
1500.0,408.9,746.0,491.3,545.0
1600.0,413.2,754.4,481.0,535.1
1700.0,409.4,758.0,481.0,527.7
1800.0,414.6,746.0,488.0,523.0
1900.0,411.7,746.0,483.7,533.4
2000.0,415.0,748.1,488.7,546.6
2100.0,415.0,749.8,481.0,527.3
2200.0,408.0,754.9,488.7,523.0
2300.0,408.0,758.0,490.9,524.9
2400.0,408.8,758.0,485.4,552.1
2500.0,408.5,758.0,489.7,547.7
2600.0,413.1,755.4,489.5,549.4
2700.0,413.2,758.0,486.2,523.0
2800.0,414.2,758.0,488.9,545.4
2900.0,409.1,758.0,491.5,578.0
3000.0,408.0,749.9,481.0,547.7
3100.0,415.0,758.0,493.7,539.5
3200.0,413.0,758.0,495.0,575.0
3300.0,415.0,755.6,487.8,527.9
3400.0,415.0,753.9,481.0,551.0
3500.0,409.3,748.7,488.5,572.7
3600.0,413.8,757.0,481.0,523.0
3700.0,408.1,746.0,481.0,523.0
3800.0,408.0,755.0,481.0,523.0
3900.0,415.0,758.0,485.2,578.0
4000.0,408.0,748.6,482.9,523.0
4100.0,415.0,746.0,485.2,523.0
4200.0,408.0,755.5,481.4,527.2
4300.0,408.0,746.0,483.6,523.0
4400.0,408.0,746.0,481.6,528.2
4500.0,415.0,758.0,484.9,578.0
4600.0,415.0,758.0,484.3,551.8
4700.0,408.0,752.7,489.3,523.0
4800.0,408.0,758.0,487.9,523.0
4900.0,408.0,758.0,490.9,532.9
5000.0,415.0,754.1,495.0,567.4
5100.0,415.0,748.5,485.0,554.4
5200.0,410.7,758.0,488.9,523.0
5300.0,415.0,749.6,490.5,578.0
5400.0,415.0,756.5,493.4,528.7
5500.0,413.9,756.6,486.3,538.2
5600.0,415.0,758.0,484.2,545.8
5700.0,409.5,746.0,483.1,523.0
5800.0,412.9,758.0,481.0,523.0
5900.0,408.0,758.0,481.0,525.2
6000.0,408.0,758.0,484.1,541.2
6100.0,408.0,751.0,483.0,549.5
6200.0,408.0,758.0,481.0,531.9
6300.0,411.6,751.6,481.0,535.7
6400.0,408.0,758.0,486.4,534.0
6500.0,415.0,758.0,490.0,542.3
6600.0,408.7,746.0,481.0,527.0
6700.0,410.4,751.3,493.3,552.2
6800.0,409.4,758.0,495.0,578.0
6900.0,409.2,746.0,486.8,523.0
7000.0,411.1,749.9,492.0,562.1
7100.0,413.7,746.0,481.0,536.3
7200.0,410.5,756.1,481.0,545.4
7300.0,415.0,746.0,491.1,527.0
7400.0,409.4,746.0,486.1,523.0
7500.0,408.0,746.0,491.0,536.3
7600.0,408.0,748.9,482.9,534.0
7700.0,408.0,755.8,489.0,529.3
7800.0,408.9,758.0,489.2,526.7
7900.0,412.3,758.0,486.8,527.7
8000.0,415.0,757.4,486.9,523.5
8100.0,408.0,746.0,481.3,523.7
8200.0,408.3,758.0,495.0,568.0
8300.0,415.0,746.0,489.7,524.6
8400.0,413.0,752.9,495.0,574.3
8500.0,408.0,758.0,485.9,556.3
8600.0,409.4,752.0,482.6,525.5
8700.0,410.1,747.3,488.2,578.0
8800.0,409.3,749.8,495.0,548.3
8900.0,411.6,746.0,481.0,523.0
9000.0,414.8,746.0,481.0,523.0
9100.0,412.7,746.0,483.2,523.0
9200.0,415.0,758.0,486.1,542.7
9300.0,415.0,758.0,485.5,578.0
9400.0,415.0,758.0,482.5,556.4
9500.0,410.5,746.0,484.4,523.0
9600.0,415.0,748.6,495.0,553.4
9700.0,408.0,746.0,486.5,524.5
9800.0,415.0,755.2,486.0,555.5
9900.0,408.0,746.0,486.4,547.7
10000.0,415.0,758.0,490.8,566.6
10100.0,411.8,746.0,481.0,523.0
10200.0,415.0,748.0,492.9,548.6
10300.0,408.0,746.0,491.8,538.8
10400.0,408.0,758.0,484.8,533.9
10500.0,415.0,750.4,485.4,529.4
10600.0,411.6,749.8,492.9,572.6
10700.0,408.0,755.4,495.0,531.5
10800.0,413.5,746.0,484.2,523.0
10900.0,408.0,758.0,495.0,565.9
11000.0,408.5,755.9,485.6,533.1
11100.0,409.3,746.0,481.7,523.0
11200.0,408.0,758.0,488.8,575.3
11300.0,412.8,758.0,495.0,568.5
11400.0,409.3,746.0,486.5,547.4
11500.0,409.8,758.0,486.5,563.4
11600.0,413.9,746.0,482.5,524.2
11700.0,409.1,746.5,485.5,530.8
11800.0,415.0,746.0,481.0,542.8
11900.0,408.0,750.1,491.3,553.6
12000.0,415.0,758.0,491.9,566.5
12100.0,414.2,748.5,486.5,531.3
12200.0,410.6,746.0,487.4,532.9
12300.0,408.0,758.0,494.5,561.2
12400.0,412.2,746.0,490.1,523.0
12500.0,415.0,750.5,495.0,576.1
12600.0,412.8,758.0,487.9,546.9
12700.0,408.0,753.8,484.1,523.0
12800.0,408.4,749.7,481.0,554.3
12900.0,415.0,758.0,492.3,578.0
13000.0,408.0,755.7,486.8,554.3
13100.0,415.0,758.0,481.0,548.5
13200.0,415.0,746.0,493.8,534.0
13300.0,414.9,746.0,481.6,523.0
13400.0,415.0,746.0,481.0,526.5
13500.0,408.0,758.0,481.7,525.1
13600.0,415.0,758.0,495.0,564.3
13700.0,408.7,747.5,495.0,554.3
13800.0,408.6,749.1,495.0,553.2
13900.0,408.0,756.4,481.0,536.3
14000.0,408.0,750.0,481.0,531.6
14100.0,410.6,758.0,495.0,540.3
14200.0,410.7,754.0,486.2,551.9
14300.0,415.0,758.0,481.6,526.7
14400.0,408.2,754.7,489.8,523.0
14500.0,408.0,746.0,495.0,541.3
14600.0,415.0,752.3,495.0,578.0
14700.0,415.0,751.0,485.4,541.2
14800.0,409.8,758.0,481.0,532.6
14900.0,408.0,750.3,481.0,532.7
15000.0,408.0,746.0,481.0,534.2
15100.0,408.0,749.4,495.0,567.2
15200.0,415.0,758.0,495.0,573.2
15300.0,414.8,753.8,489.4,548.3
15400.0,415.0,758.0,495.0,571.4
15500.0,412.7,758.0,494.4,556.0
15600.0,408.0,755.3,491.6,523.0
15700.0,415.0,758.0,481.0,549.7
15800.0,415.0,746.0,489.7,547.3
15900.0,408.0,758.0,489.4,523.0
16000.0,415.0,756.5,489.2,523.0
16100.0,408.0,747.7,481.0,523.0
16200.0,409.5,758.0,495.0,576.3
16300.0,408.0,752.5,487.2,523.0
16400.0,415.0,758.0,488.4,578.0
16500.0,414.4,753.5,488.9,543.5
16600.0,408.0,746.5,487.9,534.4
16700.0,411.9,746.0,487.8,523.0
16800.0,415.0,746.8,495.0,571.3
16900.0,409.0,746.0,481.0,523.0
17000.0,415.0,755.4,495.0,569.8
17100.0,408.0,746.0,481.0,529.7
17200.0,415.0,746.0,481.0,523.0
17300.0,408.0,749.8,481.0,534.7
17400.0,414.8,758.0,495.0,574.1
17500.0,415.0,746.0,481.0,530.8
17600.0,414.0,746.0,489.3,523.0
17700.0,412.1,748.0,484.3,565.6
