timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,542.0,750.0,617.0,750.4
100.0,542.0,752.5,630.1,754.5
200.0,536.0,755.3,645.2,756.7
300.0,542.0,763.6,658.4,746.2
400.0,542.0,766.0,634.6,757.0
500.0,542.0,750.0,627.9,739.1
600.0,542.0,777.0,650.4,757.0
700.0,536.0,750.0,639.7,750.9
800.0,542.0,777.0,644.9,757.0
900.0,542.0,750.0,639.3,754.4
1000.0,536.0,754.0,636.5,757.0
1100.0,536.0,774.4,620.1,737.0
1200.0,536.0,763.9,640.4,737.0
1300.0,537.5,760.1,638.0,738.3
1400.0,536.0,765.4,651.9,740.8
1500.0,541.2,756.0,628.3,757.0
1600.0,539.2,759.8,623.8,755.5
1700.0,539.9,777.0,651.3,755.6
1800.0,536.0,758.7,646.6,744.8
1900.0,536.0,765.4,655.7,741.4
2000.0,542.0,772.0,640.4,739.6
2100.0,536.0,756.1,617.0,745.1
2200.0,542.0,765.0,650.0,747.2
2300.0,536.0,763.8,656.5,753.5
2400.0,541.9,777.0,653.0,738.4
2500.0,542.0,754.7,640.4,751.0
2600.0,542.0,760.5,623.2,746.6
2700.0,542.0,770.8,659.0,756.4
2800.0,542.0,763.3,625.9,746.1
2900.0,536.0,751.2,641.3,757.0
3000.0,542.0,763.3,656.0,747.9
3100.0,542.0,777.0,653.6,739.8
3200.0,542.0,777.0,654.0,753.6
3300.0,536.9,774.0,623.4,738.4
3400.0,542.0,767.7,659.0,737.0
3500.0,542.0,764.4,637.9,753.7
3600.0,542.0,760.3,644.6,744.7
3700.0,536.0,768.5,641.2,737.0
3800.0,536.5,750.0,631.2,740.6
3900.0,538.1,777.0,659.0,757.0
4000.0,542.0,762.9,654.3,751.4
4100.0,540.5,760.3,648.8,737.0
4200.0,538.8,755.7,628.0,757.0
4300.0,537.9,767.3,645.7,757.0
4400.0,536.0,773.1,623.3,744.9
4500.0,542.0,752.9,622.5,757.0
4600.0,542.0,776.9,642.1,745.2
4700.0,536.0,777.0,650.1,748.1
4800.0,542.0,764.2,646.6,755.3
4900.0,542.0,773.6,633.3,749.5
5000.0,538.2,777.0,642.5,754.7
5100.0,536.0,777.0,649.7,737.0
5200.0,536.0,775.2,646.3,754.7
5300.0,536.0,777.0,644.3,746.7
5400.0,541.7,773.3,630.1,737.0
5500.0,536.0,774.8,654.5,755.5
5600.0,536.0,777.0,648.0,737.3
5700.0,537.4,758.0,640.3,750.0
5800.0,536.0,770.9,639.2,757.0
5900.0,539.7,777.0,646.7,757.0
6000.0,536.0,771.0,624.7,746.7
6100.0,538.9,762.7,624.2,757.0
6200.0,536.0,777.0,644.8,737.0
6300.0,542.0,760.4,623.6,751.3
6400.0,536.0,777.0,644.5,741.8
6500.0,542.0,750.0,617.0,745.6
6600.0,539.4,751.6,634.9,757.0
6700.0,542.0,764.6,659.0,737.3
6800.0,536.0,777.0,650.6,746.2
6900.0,542.0,768.1,645.8,753.7
7000.0,536.0,772.6,639.1,746.8
7100.0,536.0,769.0,637.6,757.0
