timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,589.2,900.8,666.8,326.7
100.0,663.5,898.8,698.2,432.6
200.0,646.7,897.3,677.3,472.4
300.0,665.2,908.3,695.3,464.7
400.0,589.0,897.0,662.8,342.0
500.0,640.0,921.3,696.9,567.3
600.0,643.6,917.4,677.0,495.1
700.0,642.9,913.3,677.8,363.9
800.0,665.3,910.0,699.4,452.5
900.0,619.6,909.1,661.5,445.3
1000.0,676.0,923.9,679.8,444.3
1100.0,603.9,897.0,663.9,342.3
1200.0,663.0,920.2,701.3,534.2
1300.0,611.3,897.0,664.0,416.2
1400.0,620.9,897.1,674.9,370.1
1500.0,676.0,927.8,707.7,513.9
1600.0,656.9,932.9,700.9,457.0
1700.0,651.3,922.3,685.4,505.2
1800.0,648.2,932.8,701.4,437.3
1900.0,658.7,917.2,701.7,467.9
2000.0,662.7,910.7,697.0,446.4
2100.0,637.3,924.2,690.2,500.5
2200.0,611.4,917.0,664.3,432.1
2300.0,640.3,924.7,687.1,490.8
2400.0,629.8,909.2,683.8,481.5
2500.0,619.1,912.3,656.7,389.9
2600.0,630.6,911.3,702.7,557.0
2700.0,614.6,897.0,684.2,447.6
2800.0,621.1,928.4,677.9,506.2
2900.0,656.8,929.9,698.3,451.8
3000.0,671.2,931.1,702.2,452.6
3100.0,661.1,905.0,686.0,431.7
3200.0,593.9,908.0,674.7,332.7
3300.0,666.3,923.2,706.0,446.8
3400.0,655.5,897.0,673.5,426.3
3500.0,632.2,917.5,691.1,424.7
3600.0,598.0,897.0,653.0,345.9
3700.0,630.0,908.1,657.5,446.3
3800.0,608.5,918.6,672.0,435.0
3900.0,653.6,920.7,686.2,413.5
4000.0,660.6,916.7,700.2,500.2
4100.0,659.1,931.5,702.7,601.0
4200.0,645.7,924.4,686.1,430.7
4300.0,589.0,897.0,662.3,323.0
4400.0,589.0,904.9,653.9,331.9
4500.0,619.6,907.2,669.3,429.7
4600.0,646.9,925.6,683.8,428.8
4700.0,622.1,906.6,669.9,421.7
4800.0,628.4,900.9,683.2,476.8
4900.0,669.5,933.0,709.0,479.3
5000.0,644.7,897.0,681.8,375.5
5100.0,663.6,906.9,693.7,521.4
5200.0,607.9,929.0,692.2,365.2
5300.0,615.2,914.3,662.9,509.3
5400.0,601.1,897.0,659.9,344.2
5500.0,664.6,901.6,702.1,453.5
5600.0,657.9,933.0,695.2,510.0
5700.0,670.6,914.1,690.7,564.0
5800.0,670.9,932.5,705.8,494.0
5900.0,645.8,904.4,676.8,417.1
6000.0,633.5,905.5,659.9,459.6
6100.0,645.9,905.3,679.6,433.3
6200.0,616.2,911.5,666.4,459.7
6300.0,635.1,908.6,666.3,385.8
6400.0,675.4,931.7,686.1,621.0
6500.0,651.1,913.8,690.0,545.5
6600.0,644.6,897.0,682.5,436.9
6700.0,589.0,908.3,653.0,338.2
6800.0,662.8,933.0,688.8,476.8
6900.0,596.9,905.5,665.1,323.8
7000.0,656.6,925.3,701.1,507.3
7100.0,669.0,926.8,691.9,457.8
7200.0,620.4,906.8,673.2,486.1
7300.0,608.5,898.7,659.2,378.8
7400.0,663.6,899.8,675.6,418.3
7500.0,654.1,904.7,680.3,440.9
7600.0,617.6,900.4,653.0,373.7
7700.0,674.6,930.8,705.0,523.4
7800.0,647.5,926.1,689.0,476.6
7900.0,665.7,909.7,705.9,600.2
8000.0,655.2,904.1,690.7,413.7
8100.0,653.8,921.7,709.0,545.9
8200.0,658.3,904.7,681.3,453.2
8300.0,676.0,932.7,698.6,501.8
8400.0,643.3,913.4,679.4,488.1
8500.0,658.2,933.0,698.8,446.2
8600.0,670.1,927.1,705.8,514.9
8700.0,612.4,916.4,669.0,420.4
8800.0,676.0,933.0,690.0,523.1
8900.0,655.3,900.4,687.8,411.3
9000.0,653.8,925.4,683.9,439.3
9100.0,665.8,933.0,685.3,612.4
9200.0,634.0,905.8,700.4,521.6
9300.0,676.0,933.0,699.2,524.1
9400.0,664.5,918.7,693.9,454.0
9500.0,664.5,932.7,684.5,531.9
9600.0,658.3,908.7,697.1,530.0
9700.0,625.3,906.6,664.2,391.7
9800.0,648.1,919.1,703.0,447.8
9900.0,667.3,926.2,709.0,499.3
10000.0,631.7,925.7,666.6,384.5
10100.0,612.8,910.8,663.6,488.4
10200.0,615.4,906.6,676.8,500.6
10300.0,631.7,900.7,702.2,547.8
10400.0,595.2,905.6,683.2,330.4
10500.0,643.6,926.2,692.7,441.4
10600.0,594.7,897.0,669.0,339.3
10700.0,623.4,904.9,669.0,418.8
10800.0,659.2,913.1,674.6,389.4
10900.0,651.7,910.2,689.6,413.7
11000.0,662.2,930.7,687.1,441.7
11100.0,656.8,933.0,698.3,526.0
11200.0,631.3,897.0,674.2,399.3
11300.0,649.1,933.0,682.5,511.2
11400.0,624.9,897.0,670.8,376.1
11500.0,658.8,903.9,693.3,434.9
11600.0,676.0,933.0,709.0,525.7
11700.0,651.6,897.0,686.6,475.7
11800.0,665.7,933.0,709.0,564.2
11900.0,597.4,897.0,653.0,337.7
12000.0,672.0,907.1,698.9,476.7
12100.0,676.0,919.8,677.6,442.0
12200.0,670.9,923.9,694.1,543.0
12300.0,644.4,897.0,671.7,423.7
12400.0,671.4,933.0,709.0,549.9
12500.0,659.2,917.4,681.1,415.2
12600.0,657.1,900.7,680.3,378.9
12700.0,660.9,933.0,701.9,543.9
12800.0,666.9,912.7,696.6,497.2
12900.0,590.4,908.7,653.0,352.4
13000.0,635.6,907.6,665.7,384.8
13100.0,626.9,929.7,699.0,413.8
13200.0,657.8,911.2,674.0,429.4
13300.0,654.9,913.5,703.7,535.8
13400.0,655.8,923.0,684.1,461.1
13500.0,671.3,914.1,707.7,450.9
13600.0,627.6,907.5,673.3,446.5
13700.0,589.0,897.0,653.0,324.0
13800.0,589.0,912.4,653.0,337.9
13900.0,665.7,931.7,689.9,443.7
14000.0,654.0,933.0,709.0,507.1
14100.0,631.3,911.7,682.4,440.4
14200.0,624.4,902.8,665.0,385.9
14300.0,666.1,903.9,677.7,374.4
14400.0,649.7,923.0,697.2,449.2
14500.0,628.6,902.0,657.0,435.3
14600.0,630.7,907.1,667.6,486.3
14700.0,666.4,911.5,699.3,470.0
14800.0,654.3,930.7,674.5,445.2
14900.0,616.4,908.4,669.1,403.0
15000.0,643.6,931.3,680.1,575.0
15100.0,589.0,913.9,656.7,329.3
15200.0,651.0,933.0,704.0,492.3
15300.0,620.7,932.3,680.9,512.3
15400.0,632.2,910.4,688.0,479.3
15500.0,651.8,897.0,669.0,413.9
15600.0,650.3,898.6,663.9,402.5
15700.0,662.8,921.7,678.5,419.3
15800.0,676.0,933.0,687.7,481.0
15900.0,657.6,918.5,697.1,446.8
16000.0,667.8,928.3,685.2,472.9
16100.0,654.8,933.0,687.2,556.8
16200.0,661.2,933.0,695.2,458.8
16300.0,676.0,933.0,708.9,532.4
16400.0,648.9,911.3,698.1,512.1
16500.0,629.4,897.0,673.7,429.1
16600.0,647.9,913.6,675.6,433.5
16700.0,657.8,900.5,689.3,449.6
16800.0,598.7,913.4,674.9,327.3
16900.0,638.9,907.3,671.2,449.0
17000.0,672.3,915.5,686.3,507.1
17100.0,676.0,917.4,688.5,546.2
17200.0,661.0,922.0,672.2,371.5
17300.0,662.4,933.0,695.7,598.3
17400.0,649.7,904.6,680.8,380.1
17500.0,638.2,907.0,693.3,439.6
17600.0,665.8,933.0,705.5,531.5
17700.0,666.7,933.0,700.2,540.7
17800.0,671.4,933.0,693.6,492.3
17900.0,636.0,929.0,683.8,453.8
18000.0,608.8,910.6,680.2,405.7
18100.0,638.8,926.9,674.6,487.6
18200.0,673.1,902.6,709.0,465.5
18300.0,668.5,930.0,705.7,503.8
18400.0,676.0,933.0,682.3,536.2
18500.0,671.9,932.8,696.8,531.4
18600.0,666.0,910.0,683.5,457.0
18700.0,673.7,929.9,707.2,549.4
18800.0,630.0,932.5,700.0,554.3
18900.0,609.2,897.0,664.4,340.4
19000.0,657.6,933.0,687.7,471.0
19100.0,654.5,900.0,702.0,447.1
19200.0,589.0,897.0,657.9,328.2
19300.0,663.2,926.3,709.0,555.0
19400.0,673.8,916.0,709.0,605.2
19500.0,593.5,897.0,672.3,327.4
19600.0,629.7,913.9,667.2,434.4
19700.0,647.7,897.0,697.2,436.5
19800.0,617.9,909.1,669.5,415.3
19900.0,659.2,910.2,668.3,387.2
20000.0,591.1,915.5,657.9,323.0
20100.0,621.5,927.6,680.6,490.5
20200.0,652.2,927.8,688.3,422.8
20300.0,603.7,897.0,665.0,404.1
20400.0,623.8,922.4,664.8,422.8
20500.0,676.0,933.0,687.7,618.9
20600.0,662.2,909.1,693.1,533.3
20700.0,644.0,897.0,671.2,381.8
20800.0,616.8,917.9,665.6,442.0
20900.0,626.2,897.0,669.3,481.8
21000.0,627.3,916.3,676.7,490.3
21100.0,657.3,920.2,681.8,450.8
21200.0,656.0,918.9,686.8,506.7
21300.0,632.6,933.0,691.2,558.4
21400.0,626.1,898.3,663.5,389.7
21500.0,614.5,909.9,663.7,438.0
21600.0,663.5,900.7,699.0,441.9
21700.0,646.8,932.7,703.4,443.0
21800.0,611.6,897.0,665.1,399.4
21900.0,628.9,897.0,663.9,448.9
22000.0,631.9,927.8,682.9,411.8
22100.0,627.7,899.2,673.9,425.4
22200.0,619.5,901.5,657.9,408.3
22300.0,604.8,911.8,655.9,457.4
22400.0,666.5,897.3,686.8,462.6
22500.0,661.8,922.8,699.0,521.6
22600.0,656.4,928.3,709.0,505.9
22700.0,643.7,910.7,667.3,409.1
22800.0,676.0,919.2,703.1,492.5
22900.0,651.0,910.0,688.0,416.6
23000.0,661.5,908.7,686.4,420.7
23100.0,667.2,901.8,709.0,528.6
23200.0,629.8,907.2,668.4,400.1
23300.0,591.8,897.0,662.7,333.4
23400.0,664.4,933.0,692.8,489.0
23500.0,657.0,928.2,686.8,469.1
23600.0,656.2,922.6,692.6,387.3
23700.0,622.9,919.6,669.2,379.3
23800.0,648.8,923.6,689.2,394.9
23900.0,674.3,924.9,693.8,487.1
24000.0,628.6,927.1,662.2,386.3
24100.0,655.3,924.2,696.6,452.1
24200.0,648.2,901.5,692.7,559.4
24300.0,620.8,915.1,681.8,422.8
24400.0,651.3,898.6,678.1,413.9
24500.0,624.1,898.2,661.8,407.6
24600.0,648.4,897.8,688.8,390.1
24700.0,653.5,930.3,690.0,507.1
24800.0,676.0,906.9,708.0,526.2
24900.0,663.8,925.6,706.1,523.1
25000.0,601.1,917.9,685.1,364.5
25100.0,667.3,909.7,676.1,421.7
25200.0,647.5,921.5,709.0,461.8
25300.0,635.2,909.2,673.7,481.5
25400.0,676.0,926.2,704.0,539.4
25500.0,637.0,899.4,662.8,394.1
25600.0,617.0,897.0,680.3,404.8
25700.0,669.8,925.3,689.6,467.1
25800.0,653.3,924.9,692.0,500.9
25900.0,667.8,931.1,703.4,538.3
26000.0,639.5,923.5,691.2,412.6
26100.0,658.0,933.0,709.0,617.8
26200.0,589.0,904.9,666.3,325.1
26300.0,625.1,905.6,676.0,407.3
26400.0,658.6,905.2,697.9,432.7
26500.0,649.3,910.4,698.9,441.0
26600.0,656.5,931.2,692.6,433.3
26700.0,627.1,924.3,675.4,385.0
26800.0,661.5,913.6,697.2,540.9
26900.0,675.9,911.4,709.0,561.0
27000.0,591.5,913.0,653.0,332.0
27100.0,657.4,909.0,695.5,446.3
27200.0,623.9,897.0,672.0,406.4
27300.0,609.5,897.0,675.4,384.3
27400.0,635.7,909.0,668.9,391.2
27500.0,646.4,921.0,692.4,497.8
27600.0,631.7,917.6,670.0,494.5
27700.0,649.4,897.0,673.6,371.4
27800.0,620.5,926.5,669.7,462.9
27900.0,645.5,908.8,695.7,431.1
28000.0,624.2,918.3,668.4,431.7
28100.0,654.5,919.2,677.7,368.7
28200.0,667.2,933.0,685.2,461.9
28300.0,666.4,903.0,704.8,458.9
28400.0,644.0,923.7,677.7,383.3
28500.0,623.7,906.8,663.7,404.2
28600.0,650.0,924.6,680.8,463.0
28700.0,656.0,926.7,695.4,447.3
28800.0,653.2,902.1,679.3,431.0
28900.0,661.1,933.0,690.4,510.9
29000.0,668.4,920.1,706.0,565.0
29100.0,640.6,915.6,686.4,435.2
29200.0,610.7,915.9,677.1,440.0
29300.0,653.4,916.7,695.3,486.6
29400.0,621.8,917.9,659.9,386.0
29500.0,654.6,931.3,685.7,464.4
29600.0,646.0,911.1,681.9,422.3
29700.0,644.2,897.0,681.6,445.1
29800.0,660.8,921.0,697.2,433.9
29900.0,621.8,905.1,705.3,428.3
30000.0,628.7,928.6,679.6,549.4
30100.0,675.7,903.8,709.0,514.7
30200.0,612.7,915.7,671.8,387.0
30300.0,640.4,901.2,674.5,412.4
30400.0,622.6,911.3,674.2,433.4
30500.0,647.9,909.7,682.6,542.0
30600.0,608.0,897.3,665.1,409.8
30700.0,660.1,904.1,709.0,512.7
30800.0,673.5,929.7,705.5,613.9
30900.0,599.0,897.0,657.0,355.6
31000.0,660.3,918.2,678.9,416.8
31100.0,651.7,906.9,703.5,455.1
31200.0,656.8,904.5,706.1,532.3
31300.0,589.0,897.0,671.2,334.3
31400.0,655.4,912.2,699.9,500.3
31500.0,658.3,907.9,685.8,381.6
31600.0,589.0,914.3,659.5,339.1
31700.0,667.3,908.6,689.8,456.3
31800.0,619.5,911.5,674.4,421.9
31900.0,608.1,922.4,682.5,377.5
32000.0,657.8,922.6,696.1,451.1
32100.0,633.6,897.0,655.0,392.3
32200.0,672.9,914.2,684.5,547.9
32300.0,666.9,900.9,693.2,449.8
32400.0,664.5,928.6,684.9,435.0
32500.0,603.9,897.0,653.0,397.7
32600.0,651.6,908.8,675.8,471.1
32700.0,667.7,918.4,709.0,572.9
32800.0,599.3,915.4,683.5,352.3
32900.0,589.0,897.0,663.4,323.0
33000.0,674.9,916.0,694.3,559.1
33100.0,661.2,933.0,681.3,597.9
33200.0,647.3,925.1,688.2,414.1
33300.0,666.1,931.1,694.7,414.5
33400.0,644.9,911.5,677.9,423.4
33500.0,659.1,910.2,690.7,481.0
33600.0,666.8,913.7,707.6,510.0
33700.0,676.0,933.0,709.0,537.5
33800.0,619.1,897.0,653.0,371.9
33900.0,605.5,908.1,668.4,422.0
34000.0,652.2,905.2,684.3,398.3
34100.0,674.3,922.2,705.7,492.1
34200.0,673.6,905.8,709.0,565.3
34300.0,661.3,913.2,695.0,527.7
34400.0,665.3,905.7,701.7,443.2
34500.0,604.5,901.2,659.4,326.6
34600.0,591.9,919.7,684.6,323.0
34700.0,622.1,904.9,660.6,390.7
34800.0,669.5,915.7,690.3,481.4
34900.0,622.9,925.7,664.5,470.9
35000.0,619.2,897.0,662.8,420.3
35100.0,658.2,902.9,693.1,421.2
35200.0,643.6,931.1,681.2,528.2
35300.0,617.5,897.0,675.8,386.0
