timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,705.0,965.0,800.0,923.0
100.0,697.0,965.5,805.0,923.0
200.0,705.0,967.0,804.8,931.0
300.0,704.1,965.0,805.0,931.0
400.0,705.0,965.0,805.0,931.0
500.0,701.5,965.0,800.0,923.0
600.0,697.0,967.0,800.0,929.2
700.0,697.0,965.0,800.0,929.2
800.0,699.3,967.0,800.0,923.0
900.0,698.5,965.0,800.0,931.0
1000.0,697.0,967.0,805.0,931.0
1100.0,705.0,967.0,800.0,931.0
1200.0,705.0,965.0,800.0,923.0
1300.0,700.8,965.0,800.0,923.0
1400.0,697.0,967.0,800.0,923.0
1500.0,704.3,965.0,805.0,931.0
1600.0,697.0,965.0,805.0,923.6
1700.0,700.0,965.0,805.0,931.0
1800.0,697.0,967.0,805.0,927.9
1900.0,705.0,965.0,802.1,931.0
2000.0,705.0,965.0,802.4,931.0
2100.0,697.0,967.0,805.0,926.0
2200.0,698.1,967.0,805.0,923.0
2300.0,705.0,965.0,800.0,927.5
2400.0,698.3,967.0,800.0,931.0
2500.0,705.0,965.0,800.0,923.0
2600.0,697.0,965.0,803.9,931.0
2700.0,703.4,965.0,805.0,923.0
2800.0,697.0,967.0,805.0,931.0
2900.0,705.0,967.0,800.0,931.0
3000.0,697.0,965.0,804.4,923.0
3100.0,697.0,967.0,801.8,923.0
3200.0,705.0,965.0,803.3,926.4
3300.0,705.0,967.0,800.0,931.0
3400.0,705.0,965.0,805.0,923.0
3500.0,705.0,967.0,805.0,931.0
3600.0,705.0,965.0,805.0,929.3
3700.0,697.0,967.0,804.5,923.0
3800.0,705.0,967.0,800.0,923.0
3900.0,702.5,965.0,800.0,929.0
4000.0,700.1,967.0,800.0,931.0
4100.0,705.0,965.0,800.0,930.6
4200.0,697.0,965.0,800.0,931.0
4300.0,705.0,965.0,800.0,923.0
4400.0,697.0,965.0,800.0,923.0
4500.0,697.0,965.0,800.0,924.7
4600.0,698.0,967.0,804.2,931.0
4700.0,701.9,965.0,800.0,923.0
4800.0,705.0,967.0,805.0,923.5
4900.0,697.0,967.0,805.0,931.0
5000.0,697.0,967.0,800.0,931.0
5100.0,697.0,967.0,805.0,923.0
5200.0,697.0,967.0,802.5,931.0
5300.0,697.0,967.0,800.0,923.0
5400.0,705.0,966.7,805.0,931.0
5500.0,698.4,965.0,801.8,923.0
5600.0,705.0,965.0,800.0,923.0
5700.0,697.0,967.0,800.0,923.0
5800.0,705.0,965.0,802.4,931.0
5900.0,702.6,965.0,805.0,931.0
6000.0,700.2,965.0,805.0,931.0
6100.0,705.0,967.0,800.0,931.0
6200.0,697.0,965.0,805.0,926.1
6300.0,697.0,967.0,800.0,930.1
6400.0,697.0,967.0,800.0,923.0
6500.0,703.2,967.0,800.0,923.0
6600.0,701.6,965.0,800.0,923.0
6700.0,705.0,967.0,802.2,927.6
6800.0,697.0,965.0,800.0,923.0
6900.0,705.0,967.0,800.0,923.0
7000.0,705.0,965.0,804.3,923.0
7100.0,698.7,965.0,805.0,931.0
7200.0,697.0,965.0,805.0,931.0
7300.0,697.4,965.0,805.0,931.0
7400.0,697.0,967.0,800.0,923.0
7500.0,701.1,967.0,803.4,931.0
7600.0,697.0,967.0,805.0,931.0
7700.0,703.3,965.0,800.0,923.0
7800.0,697.0,967.0,800.0,931.0
7900.0,698.5,967.0,805.0,923.0
8000.0,705.0,967.0,800.0,923.0
8100.0,705.0,967.0,800.0,931.0
8200.0,697.0,967.0,800.0,923.0
8300.0,697.0,967.0,800.0,923.0
8400.0,697.0,967.0,805.0,923.0
8500.0,705.0,965.0,805.0,931.0
8600.0,697.0,967.0,805.0,923.0
8700.0,697.0,967.0,805.0,923.0
8800.0,699.1,965.0,805.0,930.4
8900.0,697.0,965.2,805.0,931.0
9000.0,697.0,967.0,800.4,923.0
9100.0,697.0,967.0,800.0,931.0
9200.0,705.0,967.0,805.0,931.0
9300.0,697.1,965.0,800.0,931.0
9400.0,705.0,965.0,800.0,931.0
9500.0,704.4,966.9,805.0,925.9
9600.0,697.0,965.0,803.7,931.0
9700.0,705.0,965.0,800.0,929.3
9800.0,699.2,967.0,805.0,928.4
9900.0,705.0,965.0,805.0,931.0
10000.0,705.0,965.0,805.0,923.0
10100.0,705.0,967.0,805.0,923.0
10200.0,705.0,965.0,805.0,931.0
10300.0,697.0,967.0,800.0,924.7
10400.0,697.0,965.0,800.0,931.0
10500.0,697.0,965.0,805.0,923.0
10600.0,705.0,965.0,800.0,923.0
10700.0,703.6,967.0,800.0,924.8
10800.0,704.1,965.0,800.0,923.0
10900.0,705.0,965.0,805.0,931.0
11000.0,705.0,967.0,800.0,923.0
11100.0,705.0,967.0,801.1,931.0
11200.0,703.5,965.1,805.0,925.9
11300.0,697.0,966.8,800.0,928.8
11400.0,697.0,967.0,805.0,931.0
11500.0,704.2,965.0,800.0,923.0
11600.0,699.2,967.0,805.0,923.0
11700.0,703.1,967.0,805.0,931.0
11800.0,699.2,965.0,805.0,926.4
11900.0,705.0,967.0,800.0,931.0
12000.0,697.0,967.0,800.0,923.0
12100.0,699.3,965.0,805.0,923.0
12200.0,697.0,965.0,800.0,931.0
12300.0,705.0,966.6,805.0,923.0
12400.0,697.0,967.0,804.8,931.0
12500.0,705.0,965.0,800.0,931.0
12600.0,697.0,967.0,805.0,923.0
12700.0,705.0,967.0,805.0,924.9
12800.0,700.1,965.0,805.0,926.1
12900.0,699.4,965.0,800.0,927.9
13000.0,697.0,967.0,800.0,923.0
13100.0,697.0,965.0,805.0,931.0
13200.0,697.0,965.0,805.0,923.0
13300.0,704.8,966.2,805.0,923.0
13400.0,697.0,965.0,800.0,931.0
13500.0,697.7,967.0,805.0,928.4
13600.0,697.0,967.0,802.7,923.0
13700.0,704.9,965.0,805.0,931.0
13800.0,700.9,967.0,805.0,923.0
13900.0,700.9,965.0,800.0,923.0
14000.0,705.0,965.0,805.0,923.0
14100.0,697.0,967.0,800.0,931.0
14200.0,705.0,967.0,805.0,923.0
14300.0,697.0,965.0,800.0,923.0
14400.0,705.0,967.0,800.0,923.0
14500.0,697.0,965.0,805.0,923.0
14600.0,705.0,965.0,801.7,923.6
14700.0,705.0,967.0,800.0,923.0
14800.0,697.0,965.0,805.0,924.9
14900.0,697.0,967.0,800.4,924.4
15000.0,705.0,965.0,800.0,931.0
15100.0,705.0,967.0,805.0,931.0
15200.0,697.0,965.0,800.0,931.0
15300.0,697.0,967.0,804.1,931.0
15400.0,697.0,967.0,800.0,927.2
15500.0,705.0,965.0,805.0,927.3
15600.0,699.9,967.0,805.0,923.0
15700.0,705.0,965.0,805.0,924.5
15800.0,699.3,967.0,805.0,931.0
15900.0,697.0,967.0,803.4,931.0
16000.0,697.0,965.0,805.0,924.9
16100.0,702.2,967.0,805.0,928.8
16200.0,703.2,965.0,800.0,923.0
16300.0,699.6,965.0,800.0,931.0
16400.0,697.0,966.9,800.0,931.0
16500.0,697.0,965.0,805.0,927.4
16600.0,700.0,967.0,805.0,931.0
16700.0,705.0,965.0,800.9,923.0
16800.0,705.0,967.0,803.2,931.0
16900.0,703.1,965.0,800.0,926.6
17000.0,701.4,967.0,805.0,924.9
17100.0,697.0,965.0,805.0,931.0
17200.0,705.0,965.0,805.0,924.8
17300.0,705.0,965.0,800.0,931.0
17400.0,697.0,965.0,800.0,927.1
17500.0,699.4,965.0,800.0,931.0
17600.0,705.0,965.0,800.0,923.0
17700.0,705.0,965.2,803.1,931.0
17800.0,705.0,967.0,805.0,931.0
17900.0,697.0,965.0,804.4,923.0
18000.0,705.0,965.0,804.0,931.0
18100.0,705.0,967.0,800.0,923.0
18200.0,697.0,965.0,800.0,931.0
18300.0,697.0,967.0,803.2,923.0
18400.0,705.0,967.0,800.3,923.0
18500.0,705.0,966.6,805.0,931.0
18600.0,705.0,967.0,805.0,928.3
18700.0,697.0,967.0,805.0,931.0
18800.0,697.0,967.0,805.0,923.0
18900.0,705.0,965.0,800.0,923.0
19000.0,705.0,965.0,800.0,923.0
19100.0,697.0,967.0,801.8,929.7
19200.0,697.0,967.0,800.0,924.6
19300.0,705.0,965.0,805.0,931.0
19400.0,705.0,965.5,805.0,927.0
19500.0,697.0,965.5,800.0,931.0
19600.0,698.2,967.0,800.0,923.0
19700.0,697.0,967.0,805.0,931.0
19800.0,705.0,967.0,801.6,931.0
19900.0,697.0,967.0,800.0,931.0
20000.0,697.2,965.0,803.9,931.0
20100.0,698.1,967.0,805.0,923.0
20200.0,697.0,965.0,800.0,931.0
20300.0,697.0,965.0,805.0,923.0
20400.0,700.5,967.0,800.0,931.0
20500.0,697.0,967.0,800.0,931.0
20600.0,705.0,965.3,800.0,923.0
20700.0,703.0,967.0,805.0,923.0
20800.0,705.0,965.0,800.0,931.0
20900.0,697.0,967.0,800.0,931.0
21000.0,698.7,967.0,805.0,931.0
21100.0,705.0,967.0,801.6,925.0
21200.0,701.9,965.0,800.0,931.0
21300.0,705.0,965.0,800.0,923.0
21400.0,697.0,967.0,800.0,923.0
21500.0,705.0,965.0,800.0,930.6
21600.0,700.1,967.0,800.0,931.0
21700.0,697.5,965.0,805.0,923.0
21800.0,705.0,966.3,800.0,931.0
21900.0,705.0,967.0,800.0,925.9
22000.0,698.5,965.0,805.0,923.0
22100.0,697.0,967.0,800.0,923.0
22200.0,697.0,965.6,800.0,923.4
22300.0,705.0,967.0,800.0,926.1
22400.0,705.0,965.0,805.0,928.4
22500.0,697.8,967.0,800.0,931.0
22600.0,705.0,967.0,800.0,930.5
22700.0,705.0,965.0,805.0,923.8
22800.0,705.0,965.0,805.0,931.0
22900.0,697.0,967.0,805.0,930.1
23000.0,698.3,967.0,800.0,923.0
23100.0,704.4,965.0,805.0,923.0
23200.0,705.0,965.0,801.9,923.0
23300.0,705.0,965.0,800.0,931.0
23400.0,697.0,965.0,800.0,930.7
23500.0,705.0,967.0,801.6,923.0
23600.0,697.0,967.0,800.0,923.0
23700.0,697.0,965.0,800.0,923.0
23800.0,704.2,967.0,805.0,928.7
23900.0,697.2,965.0,804.3,931.0
24000.0,697.0,965.0,805.0,923.0
24100.0,697.0,965.0,805.0,923.0
24200.0,699.8,967.0,801.9,923.0
24300.0,697.0,965.0,800.0,931.0
24400.0,701.3,965.0,804.6,931.0
24500.0,697.0,965.0,800.0,928.4
24600.0,697.1,966.6,800.0,923.0
24700.0,705.0,965.0,805.0,926.0
24800.0,697.0,965.0,805.0,931.0
24900.0,697.0,965.0,805.0,926.5
25000.0,700.9,965.0,800.0,923.0
25100.0,697.0,967.0,800.0,924.8
25200.0,699.6,967.0,800.0,923.0
25300.0,705.0,965.0,805.0,931.0
25400.0,697.0,967.0,805.0,923.0
25500.0,697.0,965.0,800.0,923.0
25600.0,697.0,967.0,800.0,931.0
25700.0,705.0,965.0,805.0,931.0
25800.0,697.2,967.0,805.0,923.0
25900.0,699.1,965.0,800.0,923.0
26000.0,697.0,967.0,805.0,923.0
26100.0,701.9,967.0,800.0,923.0
26200.0,705.0,967.0,800.0,928.0
26300.0,705.0,967.0,800.0,931.0
26400.0,699.2,967.0,800.0,929.3
26500.0,697.0,965.0,805.0,926.9
26600.0,697.9,967.0,805.0,931.0
26700.0,698.1,965.0,800.0,931.0
26800.0,703.7,967.0,802.2,923.0
26900.0,705.0,965.0,805.0,923.0
27000.0,697.0,966.1,805.0,931.0
27100.0,697.0,967.0,800.0,931.0
