timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,496.0,732.0,619.0,608.0
100.0,496.0,732.0,623.0,618.0
200.0,501.5,732.0,619.0,618.0
300.0,497.0,732.0,619.0,618.0
400.0,496.3,732.0,619.0,618.0
500.0,500.4,732.0,619.0,608.0
600.0,496.0,728.0,619.0,612.2
700.0,502.0,732.0,619.0,611.9
800.0,502.0,728.0,620.1,613.6
900.0,502.0,728.0,621.0,615.1
1000.0,496.0,728.0,619.0,618.0
1100.0,502.0,732.0,623.0,618.0
1200.0,502.0,728.0,623.0,611.7
1300.0,496.0,728.0,623.0,617.1
1400.0,498.4,732.0,623.0,608.0
1500.0,497.5,728.0,623.0,616.9
1600.0,501.0,728.0,623.0,617.1
1700.0,502.0,732.0,619.0,618.0
1800.0,502.0,732.0,623.0,615.9
1900.0,496.0,732.0,620.1,608.0
2000.0,502.0,732.0,623.0,618.0
2100.0,499.5,732.0,622.0,618.0
2200.0,501.6,728.0,619.0,608.0
2300.0,502.0,729.9,619.0,611.1
2400.0,496.0,732.0,623.0,618.0
2500.0,502.0,732.0,620.4,617.6
2600.0,496.0,728.0,623.0,610.1
2700.0,501.6,732.0,619.0,608.0
2800.0,496.0,728.0,623.0,614.3
2900.0,497.8,728.0,623.0,608.0
3000.0,496.0,732.0,619.0,618.0
3100.0,496.0,728.0,619.0,618.0
3200.0,502.0,732.0,619.0,608.0
3300.0,499.0,728.0,623.0,609.5
3400.0,497.3,728.0,623.0,618.0
3500.0,496.0,731.8,620.1,608.0
3600.0,502.0,728.0,623.0,616.9
3700.0,501.1,728.0,619.0,608.0
3800.0,496.0,728.0,621.4,608.0
3900.0,502.0,732.0,623.0,608.0
4000.0,496.0,728.0,619.0,608.0
4100.0,502.0,732.0,619.0,617.9
4200.0,498.6,728.0,620.9,618.0
4300.0,501.7,732.0,619.0,616.4
4400.0,496.0,732.0,623.0,613.3
4500.0,496.0,732.0,623.0,608.0
4600.0,502.0,728.0,619.0,618.0
4700.0,502.0,729.9,619.0,608.0
4800.0,496.0,732.0,619.0,618.0
4900.0,502.0,732.0,619.0,618.0
5000.0,499.0,732.0,623.0,618.0
5100.0,496.0,728.0,623.0,610.6
5200.0,502.0,728.0,621.4,608.0
5300.0,496.0,732.0,619.0,608.0
5400.0,498.7,728.0,623.0,618.0
5500.0,496.2,728.0,619.0,618.0
5600.0,499.3,728.0,622.5,618.0
5700.0,499.7,732.0,623.0,618.0
5800.0,499.3,728.0,623.0,610.1
5900.0,502.0,732.0,619.4,618.0
6000.0,496.0,732.0,623.0,613.3
6100.0,498.0,728.0,619.0,609.1
6200.0,502.0,728.0,620.9,618.0
6300.0,498.0,728.0,621.2,608.0
6400.0,496.0,728.0,623.0,613.6
6500.0,496.0,728.0,623.0,613.9
6600.0,502.0,732.0,619.0,608.0
6700.0,496.0,732.0,623.0,613.1
6800.0,499.3,732.0,619.0,617.7
6900.0,501.4,728.0,619.0,618.0
7000.0,501.4,728.0,619.0,608.0
7100.0,502.0,732.0,623.0,608.0
7200.0,496.0,732.0,622.3,618.0
7300.0,496.3,728.0,619.0,618.0
7400.0,502.0,728.0,620.7,618.0
7500.0,502.0,728.0,619.0,613.6
7600.0,499.2,728.0,623.0,618.0
7700.0,496.0,729.1,619.2,608.0
7800.0,502.0,729.9,621.9,608.0
7900.0,496.0,728.0,619.0,615.9
8000.0,502.0,732.0,623.0,610.8
8100.0,502.0,728.0,623.0,608.0
8200.0,502.0,731.2,623.0,618.0
8300.0,496.0,732.0,623.0,609.3
8400.0,502.0,732.0,619.0,608.0
8500.0,496.0,732.0,623.0,608.0
8600.0,496.0,732.0,623.0,616.8
8700.0,496.0,728.0,619.0,618.0
8800.0,502.0,732.0,623.0,618.0
8900.0,502.0,732.0,623.0,618.0
9000.0,502.0,732.0,619.0,614.5
9100.0,496.0,732.0,623.0,616.7
9200.0,496.2,729.8,619.0,612.4
9300.0,499.6,728.0,623.0,617.2
9400.0,498.2,732.0,619.0,608.4
9500.0,496.0,728.0,619.0,612.5
9600.0,496.0,732.0,623.0,608.0
9700.0,502.0,732.0,623.0,611.1
9800.0,496.0,732.0,619.0,618.0
9900.0,502.0,732.0,623.0,618.0
10000.0,500.8,728.0,619.0,618.0
10100.0,496.0,729.0,619.4,614.9
10200.0,502.0,732.0,619.0,618.0
10300.0,496.8,728.0,623.0,616.1
10400.0,501.5,732.0,623.0,608.0
10500.0,502.0,728.0,623.0,608.0
10600.0,496.0,728.0,623.0,613.5
10700.0,502.0,732.0,623.0,608.0
10800.0,501.7,728.0,619.0,608.8
10900.0,502.0,728.3,619.0,616.2
11000.0,502.0,732.0,620.5,618.0
11100.0,502.0,732.0,619.0,618.0
11200.0,496.0,728.0,623.0,618.0
11300.0,497.5,728.0,619.9,613.6
11400.0,502.0,728.0,623.0,608.0
11500.0,496.0,728.0,622.2,613.3
11600.0,502.0,728.0,623.0,608.4
11700.0,496.0,728.0,623.0,617.7
11800.0,496.0,729.4,619.0,608.0
11900.0,496.0,728.6,619.0,609.3
12000.0,501.2,728.0,619.0,612.3
12100.0,502.0,731.0,623.0,618.0
12200.0,502.0,728.0,619.0,608.7
12300.0,502.0,732.0,621.4,609.4
12400.0,502.0,728.0,623.0,608.0
12500.0,496.8,732.0,623.0,608.0
12600.0,496.6,728.0,623.0,618.0
12700.0,502.0,728.3,619.0,609.3
12800.0,497.5,728.0,619.0,613.2
12900.0,501.1,728.0,619.0,618.0
13000.0,502.0,732.0,623.0,614.1
13100.0,502.0,728.0,623.0,614.4
13200.0,498.9,728.0,623.0,608.0
13300.0,496.0,728.0,619.0,611.2
13400.0,496.0,728.0,623.0,609.4
13500.0,502.0,728.0,623.0,608.0
13600.0,496.0,732.0,619.0,608.0
13700.0,501.6,728.0,623.0,608.0
13800.0,496.0,732.0,619.0,608.0
13900.0,496.6,728.0,623.0,609.9
14000.0,496.0,732.0,620.3,611.9
14100.0,502.0,728.0,623.0,618.0
14200.0,502.0,732.0,619.0,608.0
14300.0,496.0,728.0,619.0,608.0
14400.0,499.7,732.0,619.0,616.2
14500.0,496.2,728.0,621.8,608.5
14600.0,496.0,728.0,620.7,615.6
14700.0,496.0,728.0,623.0,618.0
14800.0,498.6,732.0,623.0,611.9
14900.0,502.0,728.0,619.0,618.0
15000.0,502.0,728.0,619.0,616.4
15100.0,497.8,728.7,623.0,608.0
15200.0,502.0,731.1,623.0,618.0
15300.0,496.2,728.0,619.4,608.0
15400.0,502.0,732.0,619.0,616.7
15500.0,502.0,730.6,619.0,609.6
15600.0,502.0,728.0,619.0,617.1
15700.0,502.0,729.5,623.0,608.0
15800.0,496.0,732.0,619.9,609.2
15900.0,502.0,728.7,619.0,618.0
16000.0,500.1,732.0,620.2,618.0
16100.0,496.0,730.1,623.0,618.0
16200.0,496.0,732.0,623.0,614.4
16300.0,496.0,728.0,619.0,618.0
16400.0,496.0,728.0,619.0,618.0
16500.0,502.0,732.0,619.0,613.2
16600.0,496.0,728.3,619.0,618.0
16700.0,500.0,728.0,619.0,613.0
16800.0,496.0,728.0,619.0,608.0
16900.0,502.0,732.0,623.0,618.0
17000.0,502.0,728.0,619.0,611.8
17100.0,502.0,732.0,623.0,618.0
17200.0,502.0,732.0,623.0,613.3
17300.0,496.4,728.0,620.2,609.6
17400.0,496.0,728.0,623.0,618.0
17500.0,496.0,728.0,623.0,608.0
17600.0,496.0,729.2,619.0,608.0
17700.0,496.0,732.0,623.0,611.5
17800.0,496.0,728.0,622.8,618.0
17900.0,502.0,728.0,623.0,617.1
18000.0,496.0,728.0,619.0,610.0
18100.0,496.0,732.0,623.0,615.7
18200.0,502.0,730.8,619.0,613.5
18300.0,496.0,730.3,623.0,618.0
18400.0,502.0,732.0,620.1,618.0
18500.0,496.0,728.0,619.0,610.3
18600.0,496.0,732.0,623.0,618.0
18700.0,501.8,732.0,623.0,612.2
18800.0,499.2,732.0,623.0,618.0
18900.0,502.0,728.0,620.5,612.7
19000.0,502.0,728.0,619.0,613.2
19100.0,498.7,728.0,619.0,618.0
19200.0,502.0,728.1,619.0,609.1
19300.0,502.0,730.1,619.0,608.0
19400.0,496.0,728.0,619.0,615.2
19500.0,496.0,732.0,623.0,608.0
19600.0,502.0,730.9,623.0,618.0
19700.0,500.7,732.0,619.0,609.0
19800.0,496.0,732.0,619.0,608.0
19900.0,502.0,728.0,623.0,614.4
20000.0,496.0,732.0,619.0,613.0
20100.0,496.3,732.0,621.7,608.0
20200.0,498.2,728.0,619.0,608.0
20300.0,496.0,728.0,623.0,613.1
20400.0,496.0,728.0,623.0,612.7
20500.0,502.0,728.0,623.0,608.0
20600.0,496.0,731.1,623.0,616.4
20700.0,496.0,732.0,619.0,617.2
20800.0,497.0,732.0,619.0,613.1
20900.0,496.0,732.0,622.3,612.1
21000.0,496.0,732.0,619.0,610.0
21100.0,496.0,732.0,623.0,611.6
21200.0,496.0,728.0,623.0,608.0
21300.0,499.0,732.0,621.8,614.1
21400.0,498.0,732.0,622.3,618.0
21500.0,496.0,730.9,619.0,618.0
21600.0,496.0,728.0,623.0,615.0
21700.0,496.0,728.0,621.7,608.0
21800.0,496.0,728.0,623.0,618.0
21900.0,496.0,732.0,619.0,608.0
22000.0,496.0,732.0,623.0,616.5
22100.0,496.0,732.0,623.0,608.0
22200.0,502.0,732.0,623.0,610.5
22300.0,496.0,732.0,619.0,608.0
22400.0,496.0,732.0,623.0,608.0
