timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,480.6,781.2,486.0,359.6
100.0,539.5,830.0,516.6,544.1
200.0,470.0,770.5,447.0,428.3
300.0,481.8,801.3,447.3,487.0
400.0,469.1,769.3,487.8,386.1
500.0,486.4,777.7,498.6,376.1
600.0,502.9,802.5,487.4,459.8
700.0,467.2,774.3,453.1,406.6
800.0,467.9,770.4,463.4,382.6
900.0,526.3,802.8,496.3,524.3
1000.0,497.4,797.3,481.6,487.3
1100.0,473.8,764.3,455.6,453.7
1200.0,464.4,760.0,452.7,424.3
1300.0,461.2,789.8,459.6,424.1
1400.0,492.5,784.6,457.1,492.5
1500.0,483.3,779.9,465.9,418.2
1600.0,461.6,760.0,446.0,402.8
1700.0,467.2,786.4,466.4,449.1
1800.0,478.5,797.7,477.5,390.2
1900.0,459.8,765.3,456.6,389.1
2000.0,484.4,783.9,447.4,475.4
2100.0,518.7,809.4,512.3,430.5
2200.0,501.1,805.6,482.1,449.4
2300.0,483.3,760.0,461.9,467.3
2400.0,541.7,819.0,531.5,559.7
2500.0,454.0,781.3,452.0,435.2
2600.0,510.7,810.1,511.2,396.2
2700.0,545.0,816.4,511.4,557.5
2800.0,494.9,785.3,502.0,361.8
2900.0,477.8,780.6,449.2,426.1
3000.0,556.0,823.2,517.9,561.0
3100.0,509.8,797.3,472.9,463.8
3200.0,478.7,768.0,463.1,454.8
3300.0,482.7,760.0,461.6,455.5
3400.0,479.6,766.1,462.6,395.9
3500.0,480.1,783.8,475.0,404.3
3600.0,487.3,776.4,462.0,414.8
3700.0,460.0,763.8,444.0,420.8
3800.0,551.3,822.0,508.4,561.0
3900.0,454.0,766.2,445.5,407.0
4000.0,517.2,818.4,491.6,492.8
4100.0,493.5,777.9,452.3,493.6
4200.0,477.7,790.2,451.6,459.6
4300.0,556.0,829.6,528.3,551.9
4400.0,545.1,820.5,517.6,547.2
4500.0,543.2,834.8,516.4,553.8
4600.0,487.0,772.9,467.7,417.3
4700.0,470.2,760.0,455.1,364.8
4800.0,496.4,777.7,483.7,437.3
4900.0,518.7,790.4,511.8,407.4
5000.0,475.3,775.1,472.7,422.8
5100.0,556.0,836.0,510.5,561.0
5200.0,465.4,770.9,455.6,450.7
5300.0,463.2,768.9,451.4,437.6
5400.0,456.7,790.1,450.8,454.1
