timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,387.1,664.9,340.5,336.7
100.0,398.3,653.6,347.5,380.8
200.0,383.5,675.2,345.4,301.8
300.0,408.2,668.3,353.7,378.7
400.0,415.7,666.2,351.7,375.4
500.0,364.0,634.0,329.1,266.0
600.0,366.8,652.1,335.2,279.2
700.0,417.3,660.4,359.9,447.0
800.0,390.8,658.7,347.5,417.8
900.0,369.9,657.0,340.3,304.4
1000.0,376.7,654.5,343.6,285.5
1100.0,384.2,642.2,341.3,336.5
1200.0,382.2,675.6,355.3,310.5
1300.0,391.1,666.1,342.7,325.3
1400.0,406.9,657.3,356.3,383.4
1500.0,406.8,667.8,354.2,368.1
1600.0,371.2,634.0,333.6,275.6
1700.0,395.7,648.3,344.8,338.2
1800.0,418.0,660.1,358.2,424.2
1900.0,386.8,651.7,332.5,304.1
2000.0,390.7,645.5,349.7,341.0
2100.0,395.8,654.4,353.8,342.9
2200.0,393.4,663.4,352.6,353.1
2300.0,399.8,670.1,345.8,355.5
2400.0,378.6,660.5,347.1,302.7
2500.0,397.2,650.7,346.7,351.3
2600.0,398.3,661.1,342.3,332.8
2700.0,405.6,678.0,357.7,361.3
2800.0,399.8,645.3,347.5,345.7
2900.0,410.1,678.0,362.0,354.9
3000.0,385.5,648.2,342.2,333.4
3100.0,365.3,635.6,343.6,300.5
3200.0,373.1,662.3,349.3,313.2
3300.0,369.5,645.7,346.0,308.2
3400.0,416.5,667.4,358.2,419.1
3500.0,410.7,678.0,362.0,354.4
3600.0,418.0,675.1,355.1,391.2
3700.0,385.8,640.3,334.8,308.6
3800.0,418.0,666.1,355.7,394.4
3900.0,392.5,644.9,340.9,337.7
4000.0,370.2,646.4,328.0,266.0
4100.0,371.1,642.6,328.0,272.5
4200.0,377.4,636.4,342.4,285.7
4300.0,376.6,637.9,337.7,317.3
4400.0,418.0,654.3,359.3,392.7
4500.0,381.1,634.0,332.6,280.8
4600.0,418.0,676.1,353.1,369.3
4700.0,367.9,634.0,328.0,287.1
4800.0,414.0,662.9,349.2,372.3
4900.0,367.4,637.2,338.4,304.4
5000.0,394.9,659.4,351.2,327.2
5100.0,394.1,650.0,348.0,328.5
5200.0,394.3,668.3,342.9,369.5
5300.0,387.8,671.2,344.9,354.4
5400.0,385.4,645.1,344.2,340.9
5500.0,376.1,656.6,350.9,332.4
5600.0,382.3,648.2,340.6,353.3
5700.0,365.0,654.4,332.5,303.4
5800.0,396.4,668.9,343.2,366.2
5900.0,381.4,656.0,338.0,357.5
6000.0,375.9,655.3,343.4,304.7
6100.0,395.3,653.3,347.3,341.5
6200.0,418.0,662.7,355.8,426.6
6300.0,416.2,678.0,362.0,373.0
6400.0,384.7,669.7,345.5,312.6
6500.0,418.0,664.6,362.0,398.3
6600.0,394.8,641.1,346.5,329.3
6700.0,390.4,667.1,348.8,337.8
6800.0,403.8,662.5,345.9,330.5
6900.0,393.8,670.2,343.9,418.3
7000.0,386.8,656.8,351.2,307.7
7100.0,392.4,654.1,351.1,365.5
7200.0,396.7,665.6,346.3,362.8
7300.0,389.3,656.8,344.2,366.9
7400.0,368.6,634.0,328.0,287.9
7500.0,398.3,652.6,343.1,327.6
7600.0,383.9,645.2,346.7,331.5
7700.0,406.6,661.6,354.8,393.4
7800.0,413.7,658.3,356.5,426.9
7900.0,389.2,670.3,356.1,307.9
8000.0,390.9,658.9,343.3,341.5
8100.0,402.7,656.4,356.6,407.5
8200.0,397.4,662.0,346.2,341.0
8300.0,398.1,670.9,351.9,364.6
8400.0,371.3,659.4,341.2,302.2
8500.0,395.2,662.5,352.8,327.3
8600.0,392.8,648.9,346.4,336.8
8700.0,392.1,666.7,340.5,323.7
8800.0,397.4,665.6,358.3,440.0
8900.0,398.6,651.7,352.0,350.8
9000.0,364.0,646.8,328.0,288.3
9100.0,394.6,664.7,347.4,338.4
9200.0,393.3,667.4,345.9,371.7
9300.0,384.6,655.6,338.1,352.7
9400.0,380.6,649.6,345.5,308.0
9500.0,401.2,670.4,357.8,325.7
9600.0,384.7,671.0,353.0,355.4
9700.0,375.7,638.3,334.8,306.8
9800.0,397.3,668.2,350.2,354.9
9900.0,379.1,659.1,340.6,314.8
10000.0,397.4,651.4,346.9,330.7
10100.0,376.7,657.8,350.1,324.2
10200.0,384.7,668.8,357.2,304.5
10300.0,381.6,649.2,341.6,355.2
10400.0,381.9,642.5,348.3,334.2
10500.0,369.0,651.5,342.5,311.4
10600.0,410.6,670.2,347.5,406.1
10700.0,384.4,653.9,341.1,334.4
10800.0,402.7,643.0,344.3,332.6
10900.0,386.3,667.6,346.3,358.9
11000.0,369.9,649.7,337.8,308.7
11100.0,373.6,648.8,342.8,304.6
11200.0,392.6,658.0,351.4,348.1
11300.0,411.5,668.7,350.8,411.9
11400.0,389.1,649.2,340.8,330.0
11500.0,385.2,649.0,352.5,325.9
11600.0,395.1,642.4,345.1,322.6
11700.0,397.3,657.0,341.9,327.9
11800.0,371.9,650.3,343.4,305.1
11900.0,378.8,659.3,341.3,329.7
12000.0,402.7,677.7,362.0,373.4
12100.0,408.0,678.0,356.8,407.5
12200.0,414.1,666.5,353.7,346.6
12300.0,393.2,649.8,349.1,325.1
12400.0,367.2,641.9,335.2,279.9
12500.0,416.4,678.0,357.4,371.6
12600.0,416.9,678.0,358.3,377.6
12700.0,400.2,669.3,357.3,339.7
12800.0,396.5,667.8,348.9,323.7
12900.0,396.2,654.8,353.4,319.1
13000.0,401.2,667.8,347.0,327.0
13100.0,402.1,649.9,349.3,359.8
13200.0,392.5,657.7,340.6,303.7
13300.0,364.7,637.9,342.3,299.7
13400.0,404.2,662.6,357.5,352.6
13500.0,384.5,643.2,353.5,337.3
13600.0,364.0,636.3,335.6,266.0
13700.0,387.3,655.8,346.7,327.1
13800.0,409.1,677.4,357.9,391.0
13900.0,389.0,661.2,345.0,341.2
14000.0,382.8,655.1,343.3,306.8
14100.0,367.0,650.5,328.0,271.6
14200.0,395.3,665.2,359.6,351.8
14300.0,395.2,654.7,351.4,373.7
14400.0,365.6,653.0,342.3,308.1
14500.0,389.5,668.5,348.5,351.9
14600.0,373.2,652.0,338.3,310.7
14700.0,373.7,637.1,335.6,276.9
14800.0,388.2,645.6,349.5,320.9
14900.0,364.0,634.0,328.0,266.0
15000.0,364.0,644.8,328.2,270.4
15100.0,376.3,653.2,334.6,294.4
15200.0,410.4,674.8,359.7,360.6
15300.0,408.5,672.3,362.0,370.9
15400.0,402.5,649.1,350.8,349.3
15500.0,414.2,663.2,352.3,343.8
15600.0,376.4,654.1,332.9,296.2
15700.0,394.2,657.8,356.7,344.7
15800.0,374.8,652.7,335.3,305.3
15900.0,391.6,651.5,351.7,340.4
16000.0,374.7,644.5,339.5,278.9
16100.0,401.0,674.7,350.8,414.5
16200.0,389.6,665.9,347.5,356.8
16300.0,394.9,650.9,346.9,362.6
16400.0,385.0,651.2,346.4,335.4
16500.0,396.1,664.8,352.5,359.4
16600.0,392.2,654.8,353.5,341.8
16700.0,397.8,659.6,355.1,420.6
16800.0,397.1,651.2,346.8,354.6
16900.0,372.2,650.6,345.8,314.8
17000.0,380.7,661.2,343.6,311.8
17100.0,390.5,658.6,346.6,356.5
17200.0,386.6,659.2,351.2,348.8
17300.0,390.2,652.4,350.7,372.2
17400.0,390.5,663.8,347.9,364.4
17500.0,395.4,653.5,347.4,319.1
17600.0,385.6,657.1,352.6,312.6
17700.0,389.9,657.7,347.3,341.7
17800.0,395.7,646.9,342.6,350.3
17900.0,401.0,660.0,360.9,325.3
18000.0,392.5,667.8,349.8,309.1
18100.0,411.9,675.5,362.0,402.9
18200.0,406.7,662.0,355.8,404.2
18300.0,405.1,661.5,348.7,363.1
18400.0,403.3,668.6,351.5,398.0
18500.0,391.2,660.5,350.6,332.8
18600.0,391.4,666.5,345.8,364.3
18700.0,386.9,648.3,350.3,342.6
18800.0,408.2,677.1,357.8,419.4
18900.0,417.5,672.1,359.4,400.3
19000.0,391.6,663.6,354.5,324.7
19100.0,374.1,647.3,333.6,287.4
19200.0,390.8,644.5,342.8,341.3
19300.0,384.9,648.9,343.5,319.4
19400.0,385.1,666.2,339.2,332.6
19500.0,386.1,647.1,350.6,373.1
19600.0,399.8,678.0,355.7,431.9
19700.0,391.7,658.9,350.1,364.8
19800.0,377.7,658.1,351.7,326.2
19900.0,368.7,652.1,342.8,299.3
20000.0,388.9,659.3,352.4,299.4
20100.0,392.3,648.8,348.5,321.4
20200.0,400.4,649.9,349.0,358.3
20300.0,406.5,653.3,352.5,364.6
20400.0,372.0,640.6,342.0,306.9
20500.0,373.9,656.5,337.1,343.5
20600.0,388.5,655.8,341.9,330.1
20700.0,384.7,663.9,343.0,328.3
20800.0,410.0,670.7,362.0,373.4
20900.0,416.5,678.0,357.1,442.9
21000.0,374.4,654.0,335.6,304.7
21100.0,390.9,661.2,351.9,368.8
21200.0,391.2,656.7,345.4,349.7
21300.0,410.5,665.7,359.8,419.9
21400.0,369.6,641.6,335.3,311.8
21500.0,392.8,669.3,353.0,366.1
21600.0,385.1,663.2,351.3,308.3
21700.0,387.1,650.7,346.6,364.8
21800.0,385.7,653.8,343.6,333.7
21900.0,413.2,668.9,356.1,397.9
22000.0,394.5,674.2,351.9,311.6
22100.0,368.3,650.6,328.0,269.6
22200.0,414.6,678.0,362.0,354.9
22300.0,386.5,660.6,345.0,365.7
22400.0,412.8,659.8,357.6,359.2
22500.0,403.5,675.6,359.0,402.6
22600.0,392.5,676.5,360.6,306.2
22700.0,394.7,671.3,353.4,353.2
22800.0,382.7,655.2,334.1,299.5
22900.0,404.0,672.7,348.9,351.9
23000.0,386.4,661.0,339.4,319.1
23100.0,383.5,659.7,340.0,322.2
