timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,232.6,413.9,201.7,370.9
100.0,254.1,453.1,215.8,370.7
200.0,254.8,456.5,232.6,394.6
300.0,243.7,430.5,203.5,325.6
400.0,256.2,466.7,229.1,376.9
500.0,245.1,437.5,207.9,390.5
600.0,251.8,443.4,217.2,315.2
700.0,238.4,421.6,198.1,260.1
800.0,239.0,434.6,204.7,383.3
900.0,259.0,461.9,234.0,338.3
1000.0,255.0,464.6,230.4,382.4
1100.0,256.3,469.0,233.5,350.7
1200.0,245.3,427.4,206.1,251.4
1300.0,254.4,444.6,225.2,311.5
1400.0,233.4,404.6,204.5,358.7
1500.0,251.7,453.9,226.7,380.9
1600.0,240.0,429.3,208.3,295.8
1700.0,249.1,457.2,225.0,400.0
1800.0,250.5,431.5,208.1,256.8
1900.0,259.0,463.1,227.3,381.2
2000.0,241.1,425.4,209.9,307.4
2100.0,259.0,450.8,222.3,380.9
2200.0,257.9,453.5,221.9,296.9
2300.0,247.3,436.6,213.3,394.6
2400.0,259.0,453.1,224.8,325.9
2500.0,251.5,445.1,219.6,379.6
2600.0,242.6,442.8,206.5,393.3
2700.0,247.1,440.6,216.1,281.6
2800.0,253.5,461.8,233.3,353.6
2900.0,256.4,451.0,228.3,367.8
3000.0,251.0,457.6,232.1,377.9
3100.0,239.2,414.1,203.2,380.8
3200.0,234.5,399.4,203.3,363.6
3300.0,253.2,437.3,219.6,291.4
3400.0,238.2,418.0,198.9,250.4
3500.0,251.6,429.0,211.3,277.3
3600.0,253.4,437.0,220.5,294.5
3700.0,230.8,393.9,189.0,300.5
3800.0,239.4,435.3,209.7,314.5
3900.0,252.5,432.5,208.8,311.5
4000.0,244.5,422.7,196.4,246.8
4100.0,244.1,423.3,200.7,265.9
4200.0,239.9,427.3,211.9,299.4
4300.0,252.9,464.9,228.8,355.5
4400.0,247.2,442.0,211.1,375.1
4500.0,245.5,425.2,207.5,296.0
4600.0,252.1,469.0,233.1,386.6
4700.0,254.6,461.9,227.9,350.7
4800.0,248.1,430.4,205.2,351.1
4900.0,258.0,448.3,222.1,365.0
5000.0,240.6,434.7,218.0,307.6
5100.0,259.0,447.3,224.4,353.2
5200.0,259.0,446.4,223.0,304.1
5300.0,247.1,428.7,207.0,300.7
5400.0,254.4,447.7,215.3,301.0
5500.0,231.4,405.7,201.6,374.1
5600.0,246.3,443.2,213.0,379.9
5700.0,246.3,424.9,206.2,304.2
5800.0,256.6,466.2,234.0,422.8
5900.0,241.7,432.9,205.9,248.3
6000.0,259.0,466.7,223.2,381.8
6100.0,249.9,429.4,207.6,258.4
6200.0,246.3,426.3,206.9,284.5
6300.0,254.6,451.6,229.4,384.9
6400.0,240.0,439.9,210.1,327.3
6500.0,239.1,424.9,201.1,262.8
6600.0,256.2,448.3,214.2,291.1
6700.0,244.5,427.5,203.7,363.0
6800.0,249.2,437.7,205.6,312.7
6900.0,225.0,400.8,195.1,303.9
7000.0,258.2,452.5,223.5,383.0
7100.0,242.5,434.1,215.3,306.6
7200.0,243.1,437.6,212.6,383.7
7300.0,244.9,441.4,205.8,359.1
7400.0,249.3,426.6,208.1,295.2
7500.0,259.0,465.3,233.1,380.1
7600.0,252.6,443.9,223.3,436.0
7700.0,258.9,465.2,234.0,362.1
7800.0,235.7,425.6,202.8,404.0
7900.0,242.7,429.0,211.5,288.0
8000.0,235.3,406.7,198.3,354.9
8100.0,247.3,430.5,205.8,333.6
8200.0,255.0,447.2,221.0,303.7
8300.0,242.8,424.7,204.2,258.9
8400.0,242.2,429.0,212.8,295.3
8500.0,242.4,420.6,201.3,252.8
8600.0,254.1,448.2,221.3,436.0
8700.0,229.7,407.5,192.2,330.7
8800.0,250.0,440.5,205.7,309.6
8900.0,241.6,425.2,209.6,259.5
9000.0,244.2,425.9,212.5,275.6
9100.0,253.2,436.8,216.3,275.3
9200.0,247.9,444.7,211.5,380.9
9300.0,237.6,426.3,196.3,251.3
9400.0,225.0,390.3,189.0,285.5
9500.0,245.1,421.4,199.5,244.0
9600.0,246.6,417.8,200.1,244.0
9700.0,247.1,442.1,211.9,291.9
9800.0,245.6,440.3,208.9,398.7
9900.0,259.0,463.2,234.0,401.2
10000.0,250.2,428.5,215.5,269.3
10100.0,257.4,440.1,221.1,305.6
10200.0,240.5,429.8,203.3,382.0
10300.0,243.6,424.8,210.7,265.3
10400.0,255.7,463.6,231.3,353.1
10500.0,245.0,433.3,211.6,258.9
10600.0,248.0,439.6,218.9,287.9
10700.0,258.9,439.9,218.8,311.9
10800.0,240.0,426.4,212.8,296.8
10900.0,230.7,406.4,199.0,338.3
11000.0,241.0,421.0,214.9,288.4
11100.0,238.4,432.0,214.3,337.7
11200.0,228.3,404.9,202.9,331.3
11300.0,259.0,463.0,234.0,357.1
11400.0,234.5,428.6,207.5,408.5
11500.0,255.0,461.1,224.2,385.1
11600.0,256.2,468.2,234.0,370.3
11700.0,230.0,390.0,189.0,290.6
11800.0,249.4,438.5,210.6,367.3
11900.0,252.4,448.3,216.0,310.5
12000.0,255.4,461.1,229.4,401.5
12100.0,244.9,439.4,212.6,359.3
12200.0,259.0,464.8,233.3,363.7
12300.0,250.2,450.0,226.3,385.2
12400.0,245.2,433.4,207.4,313.5
12500.0,226.7,395.7,192.9,306.3
12600.0,246.4,421.0,210.1,253.3
12700.0,234.4,411.8,203.5,359.5
12800.0,259.0,464.4,226.6,378.8
12900.0,245.4,445.4,213.9,384.2
13000.0,257.8,446.8,222.9,312.2
13100.0,244.6,436.6,207.3,293.2
13200.0,258.0,465.6,223.8,381.2
13300.0,240.5,432.3,202.3,334.4
13400.0,252.8,431.3,211.4,266.9
13500.0,249.4,448.8,212.7,330.6
13600.0,247.2,432.3,204.4,335.1
13700.0,259.0,449.5,223.0,378.8
13800.0,244.4,434.4,206.6,301.9
13900.0,253.7,443.4,219.8,287.3
14000.0,249.6,443.4,219.8,364.2
14100.0,241.2,437.8,211.7,310.6
14200.0,244.4,436.7,203.2,369.1
14300.0,239.5,435.8,215.3,327.8
14400.0,249.1,431.6,205.2,289.1
14500.0,247.0,434.9,211.4,276.8
14600.0,244.1,434.6,209.5,363.8
14700.0,241.6,434.0,199.6,289.5
14800.0,240.8,430.0,211.7,276.9
14900.0,246.0,439.3,207.8,319.8
15000.0,245.9,448.8,206.5,389.0
15100.0,248.1,430.3,209.1,260.6
15200.0,244.2,436.7,209.8,362.2
15300.0,250.5,432.3,212.8,266.2
15400.0,248.6,437.2,213.7,279.2
15500.0,246.5,441.0,213.4,274.2
15600.0,239.2,438.9,205.5,366.6
15700.0,248.3,435.4,214.2,261.5
15800.0,253.8,452.7,220.4,347.5
15900.0,255.9,446.6,226.6,372.1
16000.0,249.1,437.7,212.7,256.2
16100.0,232.0,404.4,196.9,338.2
16200.0,225.0,390.0,194.9,300.5
16300.0,256.9,458.6,230.8,410.0
16400.0,225.0,390.0,192.7,280.7
16500.0,248.7,448.4,208.1,327.5
16600.0,225.0,401.0,194.6,311.6
16700.0,254.1,446.3,216.3,316.4
16800.0,251.0,441.4,208.8,313.2
16900.0,253.2,450.7,226.1,363.3
17000.0,225.0,395.5,191.4,291.7
17100.0,258.5,446.9,222.0,315.5
17200.0,243.9,434.0,215.4,317.4
17300.0,245.2,420.0,198.1,246.0
17400.0,250.1,452.3,219.0,300.8
17500.0,253.6,437.5,211.4,274.2
17600.0,248.0,433.1,202.1,256.6
17700.0,249.0,449.3,218.2,409.2
17800.0,257.8,462.2,224.6,369.8
17900.0,240.1,432.5,218.8,329.7
18000.0,228.6,393.2,192.6,287.0
18100.0,225.4,396.8,189.0,275.4
18200.0,241.9,426.7,204.8,335.9
18300.0,244.5,439.5,206.3,292.4
18400.0,240.7,430.3,206.8,294.2
18500.0,242.7,428.4,210.4,253.0
18600.0,238.9,434.9,203.9,403.9
18700.0,242.2,422.6,203.7,343.4
18800.0,259.0,460.5,227.5,357.2
18900.0,232.1,418.4,200.0,384.9
19000.0,231.5,405.9,197.5,340.3
19100.0,238.3,437.4,210.3,314.8
19200.0,247.7,442.7,223.2,376.0
19300.0,252.5,454.2,226.9,384.2
19400.0,225.0,392.3,189.0,293.0
19500.0,240.6,423.3,200.8,244.0
19600.0,243.6,434.1,201.2,334.5
19700.0,229.8,408.4,196.8,334.2
19800.0,251.7,453.1,212.0,382.1
19900.0,239.0,433.0,213.9,293.4
20000.0,254.4,467.7,228.9,414.3
20100.0,241.6,432.3,212.7,294.6
20200.0,254.3,439.1,209.0,312.5
20300.0,235.6,400.1,198.5,357.4
20400.0,246.9,434.4,218.3,291.7
20500.0,242.7,428.2,207.0,265.7
