timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,261.4,467.2,226.0,319.8
100.0,251.0,463.9,216.2,305.2
200.0,261.3,455.7,222.3,279.5
300.0,251.2,462.5,224.1,288.7
400.0,251.3,451.1,226.0,303.9
500.0,264.0,472.0,234.6,314.1
600.0,250.0,453.9,220.0,295.5
700.0,249.0,448.3,220.3,272.8
800.0,257.3,470.3,224.0,337.9
900.0,257.3,461.5,224.5,346.0
1000.0,246.0,458.8,217.5,311.1
1100.0,252.0,459.7,217.1,289.0
1200.0,259.2,458.3,230.4,320.0
1300.0,259.5,464.4,222.7,345.7
1400.0,249.0,455.7,224.2,339.9
1500.0,258.5,453.2,228.9,312.5
1600.0,264.0,469.4,235.6,358.7
1700.0,252.5,459.2,222.5,312.3
1800.0,257.0,466.5,225.6,343.9
1900.0,262.2,462.9,231.7,356.2
2000.0,259.1,448.8,220.3,282.7
2100.0,250.7,453.8,215.0,275.1
2200.0,252.7,459.1,220.1,302.8
2300.0,258.2,479.2,232.3,312.9
2400.0,264.0,483.5,238.7,399.3
2500.0,255.0,462.7,229.5,326.1
2600.0,246.3,456.4,225.2,308.7
2700.0,255.0,463.0,226.4,325.0
2800.0,254.5,448.4,221.8,276.4
2900.0,255.6,453.5,221.1,302.6
3000.0,252.8,453.1,222.3,274.8
3100.0,258.0,462.9,229.7,302.0
3200.0,261.5,462.5,224.8,339.3
3300.0,260.0,471.8,231.3,349.6
3400.0,257.6,466.2,230.9,355.2
3500.0,260.7,465.1,236.1,371.1
3600.0,258.4,479.1,229.1,342.9
3700.0,256.4,459.4,224.2,305.9
3800.0,258.4,459.7,224.8,290.9
3900.0,261.5,471.4,230.7,331.0
4000.0,249.6,464.8,220.1,317.4
4100.0,261.8,475.1,231.1,341.5
4200.0,255.1,468.3,220.9,303.6
4300.0,257.7,470.0,229.2,309.4
4400.0,259.9,483.4,232.6,396.7
4500.0,256.6,456.7,225.1,292.3
4600.0,250.0,458.9,225.0,275.8
4700.0,252.2,459.2,223.9,303.3
4800.0,254.0,473.6,230.7,361.8
4900.0,251.6,452.7,222.0,281.4
5000.0,258.2,459.0,225.9,299.7
5100.0,249.5,448.0,219.1,306.1
5200.0,252.7,450.0,224.4,283.3
5300.0,252.4,448.0,217.9,313.1
5400.0,257.5,454.1,223.3,299.4
5500.0,247.2,448.0,218.9,277.2
5600.0,253.8,453.8,223.1,347.4
5700.0,254.5,457.0,223.1,303.3
5800.0,261.6,463.6,228.7,289.0
5900.0,256.8,466.2,228.9,350.5
6000.0,247.6,448.0,220.2,267.5
6100.0,255.7,458.8,227.7,340.6
6200.0,253.7,458.8,218.5,272.9
6300.0,257.6,455.9,227.4,346.2
