timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,244.0,458.8,213.2,313.0
100.0,250.8,466.6,220.4,360.0
200.0,241.8,456.6,212.2,284.2
300.0,242.6,454.7,214.5,309.2
400.0,251.7,467.7,220.6,278.5
500.0,249.0,460.4,217.5,322.2
600.0,254.0,456.9,216.3,336.3
700.0,254.0,457.1,214.1,267.3
800.0,240.3,439.0,211.8,248.4
900.0,247.2,456.6,219.7,317.9
1000.0,252.1,462.4,217.2,329.9
1100.0,251.1,455.3,215.5,305.1
1200.0,241.8,444.8,209.5,243.6
1300.0,253.1,464.5,217.7,349.3
1400.0,254.0,468.0,224.0,344.7
1500.0,249.8,468.0,218.3,333.7
1600.0,244.2,444.9,211.4,286.8
1700.0,254.0,459.3,224.0,326.4
1800.0,250.7,456.3,221.6,294.5
1900.0,246.1,456.3,217.6,297.8
2000.0,250.6,457.8,217.7,330.3
2100.0,254.0,457.9,224.0,334.4
2200.0,250.4,464.8,216.8,309.2
2300.0,244.2,449.6,219.1,305.3
2400.0,249.6,452.4,220.0,335.7
2500.0,246.0,454.1,216.6,285.8
2600.0,246.0,450.2,215.8,296.8
2700.0,252.2,468.0,222.4,346.0
2800.0,249.5,457.9,213.1,294.0
2900.0,245.5,442.2,208.0,245.3
3000.0,249.4,468.0,223.2,338.3
3100.0,246.3,447.6,213.6,284.2
3200.0,241.7,439.0,209.2,240.3
3300.0,239.0,440.9,208.7,237.8
3400.0,253.6,467.4,217.2,334.5
3500.0,239.0,443.3,216.8,261.4
3600.0,240.1,448.2,208.0,232.7
3700.0,252.9,456.2,222.9,339.3
3800.0,248.6,449.8,219.8,316.8
3900.0,242.1,447.1,216.8,278.0
4000.0,254.0,451.1,218.3,283.7
4100.0,246.5,453.7,216.5,313.8
4200.0,247.5,452.9,215.0,327.3
4300.0,247.5,463.5,214.2,300.7
4400.0,246.0,452.3,208.0,247.7
4500.0,249.4,461.9,215.2,302.2
4600.0,254.0,464.0,216.0,282.0
4700.0,253.4,458.5,214.0,317.2
4800.0,248.3,465.7,220.9,328.1
4900.0,253.6,452.9,209.0,263.4
5000.0,253.5,467.3,219.0,347.0
5100.0,249.9,447.6,216.5,299.1
5200.0,241.3,461.1,212.6,308.6
5300.0,254.0,458.5,215.9,284.5
5400.0,245.9,448.9,220.7,331.9
5500.0,245.5,468.0,218.3,305.1
5600.0,250.2,464.9,215.6,318.2
5700.0,253.3,465.3,217.3,351.8
5800.0,253.9,449.5,219.0,328.3
5900.0,244.8,449.9,218.3,301.0
6000.0,254.0,453.4,216.9,277.8
6100.0,247.3,454.1,220.3,283.3
6200.0,246.4,464.2,220.6,283.6
6300.0,254.0,465.7,220.3,311.4
6400.0,243.6,453.9,219.3,314.1
6500.0,251.9,459.9,224.0,339.5
6600.0,247.9,453.6,220.8,291.9
6700.0,248.8,468.0,220.1,313.0
6800.0,250.6,463.8,224.0,332.8
6900.0,252.8,460.5,216.1,332.2
7000.0,247.3,454.8,211.7,264.2
7100.0,250.6,446.3,212.8,307.9
7200.0,248.0,465.9,219.9,313.3
7300.0,254.0,463.9,224.0,342.3
7400.0,251.7,468.0,224.0,344.8
7500.0,248.8,454.4,216.0,302.4
7600.0,251.9,457.5,221.1,339.9
7700.0,246.8,449.7,215.2,283.0
7800.0,252.1,465.1,214.0,331.6
7900.0,241.1,439.0,209.7,235.0
8000.0,246.6,457.5,218.9,346.3
8100.0,244.0,462.6,214.1,283.3
8200.0,241.7,455.4,218.2,305.2
8300.0,254.0,463.5,217.6,299.5
8400.0,251.7,459.1,212.8,277.4
8500.0,241.2,451.6,218.2,300.9
8600.0,252.6,467.3,221.1,349.6
8700.0,249.8,466.3,219.8,307.4
8800.0,249.3,451.7,223.8,328.9
8900.0,249.9,451.0,221.2,316.2
9000.0,249.4,466.5,220.8,296.3
9100.0,246.0,453.0,213.2,304.0
9200.0,242.5,459.0,212.7,319.1
9300.0,246.7,455.0,216.0,291.4
9400.0,253.5,453.9,213.2,290.1
9500.0,247.4,463.9,213.0,314.2
9600.0,243.1,468.0,221.6,314.1
9700.0,251.3,451.3,214.1,313.6
9800.0,246.9,463.5,215.9,307.7
9900.0,251.1,463.5,214.5,323.9
10000.0,250.8,467.3,221.4,291.7
10100.0,251.4,467.6,214.8,321.4
10200.0,249.3,453.4,221.3,312.2
10300.0,247.2,458.7,216.5,301.7
10400.0,239.0,440.8,208.0,230.2
10500.0,244.3,459.3,216.7,303.7
10600.0,249.5,463.8,220.5,290.7
10700.0,250.1,453.7,214.2,293.5
10800.0,250.7,465.2,216.0,275.9
10900.0,243.9,439.0,208.3,237.6
11000.0,245.7,460.8,219.1,314.7
11100.0,246.9,461.1,217.9,329.4
11200.0,254.0,456.8,220.1,322.7
11300.0,251.6,462.6,214.3,310.5
11400.0,250.8,463.3,217.2,285.6
11500.0,247.4,462.3,224.0,351.2
11600.0,254.0,459.3,218.0,302.3
11700.0,247.5,449.9,217.4,322.5
11800.0,249.0,455.6,216.7,320.2
11900.0,248.8,454.8,221.2,307.4
12000.0,253.4,460.6,215.3,357.0
12100.0,240.4,454.9,209.5,241.7
12200.0,253.1,458.2,212.8,269.0
12300.0,246.5,444.6,213.0,301.2
12400.0,253.6,464.3,220.7,331.9
12500.0,247.7,464.7,217.1,286.0
12600.0,251.6,463.9,218.6,341.1
12700.0,250.0,449.9,214.6,279.7
12800.0,248.5,460.6,213.8,302.8
12900.0,239.0,439.0,210.5,249.8
13000.0,251.3,461.4,220.1,310.9
13100.0,244.9,460.8,216.2,345.4
