timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,481.4,757.5,457.5,370.5
100.0,461.5,721.1,429.0,340.8
200.0,453.2,724.7,434.1,338.8
300.0,454.1,730.5,426.1,335.5
400.0,478.4,764.0,449.5,360.2
500.0,450.8,725.4,419.4,314.2
600.0,492.4,772.8,447.7,379.6
700.0,445.3,743.6,424.0,330.7
800.0,451.4,748.3,439.5,341.9
900.0,454.7,719.7,417.7,347.1
1000.0,441.9,716.3,427.5,305.6
1100.0,447.4,719.0,430.5,317.2
1200.0,498.6,767.5,456.0,392.5
1300.0,496.3,779.9,456.0,389.5
1400.0,446.6,713.0,424.1,318.7
1500.0,488.5,756.1,444.3,394.5
1600.0,452.3,741.4,428.7,332.1
1700.0,460.5,716.2,419.0,313.5
1800.0,476.2,747.0,451.4,359.7
1900.0,492.4,761.9,456.6,369.9
2000.0,437.3,727.5,417.0,310.3
2100.0,489.8,766.9,451.6,354.1
2200.0,433.8,729.5,420.2,348.4
2300.0,491.0,746.0,444.3,354.8
2400.0,455.6,717.7,427.9,331.1
2500.0,486.4,760.7,458.2,379.9
2600.0,437.4,721.8,425.6,329.1
2700.0,484.1,771.9,441.8,383.1
2800.0,475.2,765.3,432.9,320.2
2900.0,486.9,773.9,451.6,392.7
3000.0,465.9,732.2,440.5,299.5
3100.0,488.0,771.3,457.2,372.1
3200.0,489.0,782.3,455.5,378.4
3300.0,466.6,730.9,435.2,356.4
3400.0,463.4,720.9,430.4,339.5
3500.0,445.9,722.3,441.3,337.2
3600.0,474.3,765.7,460.0,358.3
3700.0,442.3,728.2,430.6,303.6
3800.0,480.3,762.4,460.0,374.2
3900.0,465.7,744.1,434.7,376.8
4000.0,458.0,716.3,424.4,344.0
4100.0,460.6,713.1,417.0,347.1
4200.0,478.6,766.8,451.2,376.8
4300.0,471.3,765.6,448.1,351.4
4400.0,444.2,731.5,435.9,294.7
4500.0,449.0,719.2,429.3,385.6
4600.0,496.5,769.4,451.6,385.5
4700.0,464.3,741.3,431.8,303.7
4800.0,489.9,772.0,446.1,387.0
4900.0,434.1,713.0,417.0,332.3
5000.0,445.6,719.4,420.3,314.6
5100.0,451.3,723.4,417.6,316.9
5200.0,469.8,745.3,446.2,341.6
5300.0,488.9,783.4,456.9,387.9
5400.0,443.7,713.0,417.2,315.2
5500.0,459.8,724.7,429.5,382.9
5600.0,436.2,749.5,422.7,299.6
5700.0,488.0,761.8,456.1,396.5
5800.0,499.5,788.0,457.1,397.7
5900.0,483.6,786.4,449.9,387.9
6000.0,493.4,764.1,455.6,386.2
6100.0,442.5,730.2,417.0,340.5
6200.0,465.1,713.0,422.7,336.7
6300.0,458.7,722.8,434.4,344.5
6400.0,462.1,747.8,439.9,307.4
6500.0,459.2,730.3,437.4,302.9
6600.0,457.5,719.7,436.0,327.7
6700.0,452.9,724.0,425.2,316.0
6800.0,436.8,744.8,430.2,328.1
6900.0,481.5,765.7,441.1,373.2
7000.0,444.2,737.6,432.6,329.7
7100.0,458.8,733.5,436.8,300.5
7200.0,441.9,713.0,417.0,313.7
7300.0,458.9,716.9,444.2,334.5
7400.0,458.9,732.3,433.3,329.7
7500.0,494.1,758.9,454.7,379.5
7600.0,485.5,759.4,445.4,369.2
7700.0,490.5,765.5,445.1,391.2
7800.0,482.4,784.2,457.2,394.7
7900.0,485.6,764.0,455.1,374.1
8000.0,479.8,762.0,460.0,386.5
8100.0,500.1,780.1,450.7,384.8
8200.0,447.2,727.2,438.4,351.8
8300.0,450.3,720.7,419.8,380.0
8400.0,499.2,776.0,448.6,388.5
8500.0,450.0,734.2,435.9,321.0
8600.0,501.0,771.0,449.1,386.9
8700.0,496.9,788.0,453.4,404.2
8800.0,493.3,788.0,455.3,410.0
8900.0,466.4,718.6,426.8,341.1
9000.0,456.1,733.9,417.0,336.2
9100.0,492.6,772.5,458.1,390.5
9200.0,437.3,719.2,418.6,326.4
9300.0,500.4,785.1,457.2,412.0
9400.0,483.8,763.6,443.9,371.7
9500.0,439.0,713.0,417.0,316.5
