timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,442.8,707.7,426.7,369.8
100.0,426.6,703.4,411.8,374.5
200.0,464.0,733.0,421.4,406.4
300.0,457.4,728.7,420.2,396.7
400.0,431.1,715.1,405.1,312.9
500.0,436.9,705.7,414.5,366.1
600.0,429.6,722.3,406.0,341.8
700.0,430.5,699.6,401.0,376.6
800.0,462.8,733.0,409.8,380.2
900.0,440.5,704.3,401.6,331.5
1000.0,442.1,712.3,424.5,377.6
1100.0,436.6,729.1,407.4,356.1
1200.0,448.4,712.1,404.4,406.5
1300.0,436.2,712.3,406.4,355.3
1400.0,452.9,733.0,423.0,408.5
1500.0,421.0,704.5,398.0,364.1
1600.0,464.0,714.6,419.6,395.6
1700.0,443.4,729.1,405.3,342.8
1800.0,464.0,717.1,422.3,414.0
1900.0,425.3,691.2,421.3,388.3
2000.0,446.9,712.4,420.4,397.9
2100.0,434.5,708.7,415.9,391.8
2200.0,439.7,703.0,405.6,309.6
2300.0,436.7,707.3,409.9,404.9
2400.0,435.3,702.1,410.7,364.5
2500.0,423.1,694.5,407.6,366.6
2600.0,439.3,695.1,409.8,371.2
2700.0,438.0,694.2,409.4,344.4
2800.0,438.0,713.9,419.9,388.6
2900.0,450.0,731.7,411.2,401.4
3000.0,448.9,720.0,420.8,374.3
3100.0,440.6,709.1,419.7,393.8
3200.0,437.7,691.0,402.3,390.2
3300.0,436.5,691.0,409.7,371.6
3400.0,455.5,723.5,427.0,384.5
3500.0,441.5,715.6,413.4,402.3
3600.0,438.2,694.3,415.7,383.5
3700.0,441.3,722.5,402.9,356.7
3800.0,448.1,733.0,413.8,363.0
3900.0,424.1,691.0,401.6,377.6
4000.0,442.8,714.4,405.0,385.9
4100.0,435.4,713.2,411.0,394.3
4200.0,421.0,698.0,398.0,353.4
4300.0,445.6,707.6,403.9,376.9
4400.0,450.1,733.0,419.1,399.9
4500.0,439.8,705.5,413.2,377.7
4600.0,447.6,733.0,418.6,405.0
4700.0,430.3,707.8,423.2,376.3
4800.0,464.0,717.9,415.5,394.5
4900.0,464.0,733.0,419.5,361.9
5000.0,429.6,696.9,417.8,373.9
5100.0,445.8,722.0,410.4,339.5
5200.0,449.8,727.8,409.5,382.1
5300.0,443.1,712.0,412.8,389.6
5400.0,436.2,695.7,399.6,354.8
5500.0,442.6,711.4,408.6,368.3
5600.0,459.6,712.5,422.0,394.2
5700.0,448.0,721.1,402.5,366.3
5800.0,430.7,707.9,398.3,313.5
5900.0,454.6,714.0,419.8,371.3
6000.0,464.0,724.4,417.3,385.6
6100.0,456.1,732.2,412.2,359.7
6200.0,445.1,711.6,398.0,407.3
6300.0,449.6,713.0,406.8,392.9
6400.0,432.8,691.0,415.3,389.6
6500.0,439.0,694.7,413.3,391.3
6600.0,452.3,730.8,413.3,364.1
6700.0,455.7,717.8,421.4,380.9
6800.0,447.4,729.8,424.5,400.5
6900.0,441.7,707.6,403.4,408.3
7000.0,464.0,714.6,412.1,367.0
7100.0,431.4,691.0,417.3,376.4
7200.0,442.5,691.0,420.6,384.0
7300.0,434.3,702.6,401.2,364.0
7400.0,453.5,703.7,398.6,406.6
7500.0,421.0,691.0,399.0,363.5
7600.0,456.3,710.8,420.0,348.1
7700.0,446.9,721.4,405.6,353.0
7800.0,434.1,691.0,423.0,381.1
7900.0,458.6,732.6,421.9,394.3
8000.0,460.1,733.0,413.2,398.7
8100.0,464.0,727.5,416.9,367.8
8200.0,449.1,717.7,417.6,402.2
8300.0,464.0,719.9,409.2,371.9
8400.0,446.1,691.0,418.9,372.5
8500.0,450.3,724.3,405.2,414.0
8600.0,445.1,710.7,413.2,388.8
8700.0,424.1,691.0,419.8,378.9
8800.0,454.5,731.0,414.0,345.3
8900.0,447.3,704.6,418.0,376.6
9000.0,447.6,694.7,414.6,342.6
9100.0,440.8,703.2,408.4,366.8
9200.0,459.1,733.0,413.7,395.8
9300.0,445.3,703.4,423.8,372.8
9400.0,434.2,715.3,417.0,386.7
9500.0,426.4,705.1,398.0,343.9
9600.0,461.5,712.4,418.9,370.1
9700.0,451.9,717.3,399.0,410.4
9800.0,445.2,713.3,398.0,391.4
9900.0,433.3,695.2,398.0,377.0
10000.0,447.8,733.0,404.4,359.3
10100.0,423.5,693.1,398.8,359.3
10200.0,426.4,694.2,409.3,359.7
10300.0,430.2,692.9,401.2,355.1
10400.0,427.7,695.7,403.8,351.0
10500.0,464.0,718.8,410.4,392.0
10600.0,449.0,725.6,407.8,385.2
10700.0,441.6,715.3,398.0,407.1
10800.0,423.9,698.8,411.2,387.9
10900.0,433.5,692.2,409.6,371.0
11000.0,462.2,729.1,408.7,369.6
11100.0,444.4,724.8,412.7,346.4
11200.0,438.4,691.0,413.2,367.9
11300.0,457.2,732.0,419.5,400.1
11400.0,444.9,702.3,402.6,414.0
11500.0,458.2,727.9,410.0,404.3
11600.0,440.1,708.3,418.7,393.7
11700.0,464.0,733.0,423.4,393.5
11800.0,447.0,711.2,416.6,347.5
11900.0,443.9,705.1,426.1,363.6
12000.0,436.7,701.4,419.2,371.4
12100.0,448.5,726.7,416.8,347.6
12200.0,434.9,706.4,409.2,365.5
12300.0,430.9,706.0,412.1,374.4
12400.0,437.2,702.1,409.4,340.8
12500.0,436.2,708.0,401.3,356.7
12600.0,433.4,696.6,410.7,333.4
12700.0,435.7,691.0,398.0,360.4
12800.0,434.0,711.7,416.6,396.1
12900.0,426.8,709.6,405.8,368.6
13000.0,457.1,722.9,406.0,354.7
13100.0,428.3,691.0,398.0,338.4
13200.0,452.0,733.0,412.0,403.1
13300.0,444.9,699.4,413.4,362.3
13400.0,446.0,723.2,407.1,350.3
13500.0,455.8,733.0,414.8,398.6
13600.0,450.2,691.0,415.9,382.2
13700.0,437.7,715.8,407.0,359.4
13800.0,462.1,733.0,406.6,362.8
13900.0,441.6,722.6,409.1,368.5
14000.0,443.6,691.0,412.4,384.1
14100.0,461.2,712.6,426.8,388.3
14200.0,435.9,695.0,417.7,365.3
14300.0,463.4,719.2,420.9,385.8
14400.0,448.7,707.7,408.7,354.0
14500.0,457.3,733.0,417.8,399.8
14600.0,431.6,699.9,410.1,334.8
14700.0,449.2,709.9,401.5,413.8
14800.0,437.4,691.0,412.9,367.7
14900.0,435.7,707.3,416.0,358.7
15000.0,443.2,706.3,411.3,357.4
15100.0,432.9,691.6,405.1,366.5
15200.0,438.5,722.9,415.9,362.4
15300.0,434.2,697.7,427.0,362.8
15400.0,464.0,732.8,410.7,394.9
15500.0,442.2,715.8,406.2,383.5
15600.0,433.1,691.0,402.2,375.8
15700.0,459.9,713.5,418.6,359.7
15800.0,443.2,716.8,407.5,414.0
15900.0,428.0,703.6,401.7,372.7
16000.0,447.4,691.0,416.3,347.4
16100.0,435.2,693.7,406.8,362.6
16200.0,448.6,731.0,416.6,398.8
16300.0,452.5,733.0,426.2,377.7
16400.0,459.1,710.4,417.0,349.9
16500.0,461.6,726.4,408.7,395.4
16600.0,454.1,716.1,421.8,396.2
16700.0,449.2,721.7,413.9,404.2
16800.0,446.9,725.2,406.2,400.4
16900.0,450.0,716.1,422.4,402.3
17000.0,458.3,723.0,416.0,389.8
17100.0,445.6,729.9,423.0,411.4
17200.0,426.0,708.0,398.0,358.1
17300.0,443.9,701.7,409.4,330.3
17400.0,450.0,705.7,421.6,356.5
17500.0,443.2,701.7,414.6,361.4
17600.0,436.6,707.0,416.9,374.1
17700.0,440.9,705.9,411.0,331.2
17800.0,434.2,713.0,426.3,391.4
17900.0,430.3,712.6,405.9,379.8
18000.0,431.4,697.9,398.0,335.1
18100.0,464.0,733.0,419.5,411.0
