timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,520.0,773.0,676.0,705.2
100.0,519.4,778.0,670.0,701.0
200.0,520.0,773.0,676.0,710.0
300.0,515.0,773.0,676.0,701.0
400.0,520.0,775.7,670.0,710.0
500.0,518.3,778.0,676.0,710.0
600.0,515.0,777.7,670.0,701.0
700.0,520.0,773.0,671.7,701.0
800.0,517.7,773.0,676.0,710.0
900.0,520.0,773.0,676.0,701.0
1000.0,515.0,778.0,673.5,706.4
1100.0,515.0,773.0,672.0,701.0
1200.0,515.0,775.4,670.0,710.0
1300.0,520.0,778.0,676.0,705.6
1400.0,516.2,773.0,670.0,701.0
1500.0,515.0,773.0,670.7,701.0
1600.0,515.0,773.0,670.0,701.0
1700.0,517.3,773.0,675.8,710.0
1800.0,520.0,778.0,676.0,701.2
1900.0,515.7,774.7,676.0,701.0
2000.0,520.0,778.0,670.0,710.0
2100.0,515.8,773.0,676.0,707.0
2200.0,520.0,773.0,670.0,710.0
2300.0,515.0,778.0,676.0,710.0
2400.0,520.0,773.0,676.0,705.8
2500.0,515.0,773.0,676.0,710.0
2600.0,515.0,778.0,670.0,710.0
2700.0,518.1,773.0,670.0,702.7
2800.0,515.0,778.0,671.4,710.0
2900.0,515.0,778.0,670.0,710.0
3000.0,515.0,776.5,676.0,707.3
3100.0,515.0,773.0,674.5,706.5
3200.0,515.0,773.0,676.0,709.0
3300.0,517.0,778.0,676.0,701.0
3400.0,520.0,773.0,672.1,710.0
3500.0,515.0,774.5,676.0,706.3
3600.0,520.0,778.0,672.7,710.0
3700.0,515.0,778.0,676.0,701.0
3800.0,515.0,773.0,670.0,710.0
3900.0,515.0,778.0,676.0,701.0
4000.0,520.0,773.0,670.0,701.0
4100.0,520.0,778.0,670.0,709.5
4200.0,516.5,778.0,676.0,701.0
4300.0,515.0,773.0,670.0,701.0
4400.0,520.0,778.0,672.2,708.3
4500.0,520.0,774.6,674.7,701.8
4600.0,519.0,776.5,670.0,702.2
4700.0,515.0,778.0,675.2,710.0
4800.0,516.9,777.6,670.0,708.7
4900.0,520.0,773.0,672.0,704.6
5000.0,515.0,778.0,670.0,710.0
5100.0,518.3,778.0,676.0,704.6
5200.0,517.7,778.0,670.0,701.0
5300.0,515.0,778.0,670.0,701.0
5400.0,515.0,778.0,675.0,701.0
5500.0,515.0,773.0,676.0,701.0
