timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,507.0,770.0,675.0,685.9
100.0,510.9,776.0,668.0,688.7
200.0,507.4,776.0,674.0,684.0
300.0,514.8,776.0,670.9,688.3
400.0,507.0,775.4,671.2,699.5
500.0,508.6,770.0,671.2,684.0
600.0,507.5,773.3,668.0,692.0
700.0,516.0,770.0,668.3,689.3
800.0,507.0,776.0,675.0,699.4
900.0,509.3,776.0,668.0,684.0
1000.0,515.6,770.0,675.0,690.4
1100.0,516.0,776.0,675.0,702.0
1200.0,513.2,770.0,675.0,689.5
1300.0,516.0,771.7,675.0,689.9
1400.0,514.3,770.0,675.0,702.0
1500.0,516.0,772.7,675.0,686.0
1600.0,516.0,770.0,674.5,685.5
1700.0,510.8,770.0,673.3,684.3
1800.0,509.0,776.0,675.0,684.0
1900.0,508.9,771.5,675.0,696.7
2000.0,507.0,770.0,675.0,687.4
2100.0,516.0,776.0,669.6,689.2
2200.0,507.0,770.0,673.1,688.2
2300.0,516.0,774.9,669.1,687.1
2400.0,515.9,770.0,675.0,685.2
2500.0,507.2,776.0,671.4,684.0
2600.0,507.0,776.0,675.0,686.6
2700.0,516.0,776.0,675.0,702.0
2800.0,507.0,771.8,674.9,702.0
2900.0,516.0,775.3,668.0,694.8
3000.0,511.5,774.2,673.0,702.0
3100.0,507.0,776.0,675.0,693.0
3200.0,507.0,770.0,675.0,688.2
3300.0,509.4,776.0,668.0,686.9
3400.0,507.0,776.0,668.0,684.0
3500.0,516.0,776.0,669.5,697.3
3600.0,507.4,773.4,675.0,684.0
3700.0,508.9,770.0,675.0,702.0
3800.0,514.0,776.0,668.0,702.0
3900.0,516.0,770.6,673.7,687.0
4000.0,512.3,776.0,675.0,702.0
4100.0,507.1,770.0,668.0,694.7
4200.0,515.4,776.0,668.0,702.0
4300.0,507.0,770.0,673.4,692.6
4400.0,514.8,776.0,675.0,688.1
4500.0,510.9,770.8,668.0,702.0
4600.0,516.0,770.0,668.0,702.0
4700.0,516.0,776.0,668.0,697.8
4800.0,516.0,770.0,675.0,700.2
4900.0,507.0,776.0,674.2,701.3
5000.0,510.9,770.0,675.0,702.0
5100.0,507.0,776.0,668.0,702.0
5200.0,507.0,770.0,675.0,700.4
5300.0,507.0,776.0,671.8,685.2
5400.0,515.9,770.0,668.0,684.0
5500.0,515.5,774.7,673.1,690.4
5600.0,507.0,770.0,675.0,696.8
