timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,297.0,565.5,286.6,420.7
100.0,292.5,551.3,284.8,407.6
200.0,294.4,552.5,279.6,384.2
300.0,305.2,551.5,276.3,281.0
400.0,290.0,529.0,274.6,333.8
500.0,296.5,529.6,281.0,313.9
600.0,290.0,533.3,279.6,307.9
700.0,307.4,569.2,294.0,376.8
800.0,300.4,563.7,284.9,417.3
900.0,302.4,596.0,303.4,422.2
1000.0,292.0,551.8,291.0,432.6
1100.0,298.9,564.0,284.2,372.8
1200.0,302.6,558.2,289.6,419.4
1300.0,290.0,546.4,288.9,386.3
1400.0,296.0,529.0,269.9,282.3
1500.0,306.1,546.2,279.2,287.6
1600.0,309.0,573.7,294.0,387.3
1700.0,298.4,548.9,276.2,345.4
1800.0,296.2,533.5,273.9,350.2
1900.0,293.0,562.3,290.3,419.3
2000.0,294.1,550.6,282.4,363.6
2100.0,306.8,572.5,296.6,377.6
2200.0,307.7,560.5,274.3,305.9
2300.0,291.1,529.1,269.0,322.0
2400.0,306.2,559.5,295.1,394.7
2500.0,300.1,587.8,295.7,396.9
2600.0,296.5,553.3,281.5,348.5
2700.0,304.9,532.3,274.9,276.6
2800.0,299.6,590.3,301.1,443.5
2900.0,301.3,552.2,290.8,415.2
3000.0,307.2,576.5,295.7,380.4
3100.0,299.9,547.0,284.3,300.1
3200.0,293.7,530.0,271.6,305.5
3300.0,306.7,563.0,291.3,340.6
3400.0,291.5,549.3,281.8,387.5
3500.0,295.3,549.1,284.3,389.9
3600.0,290.0,529.0,269.0,298.2
3700.0,296.1,531.6,274.6,283.0
3800.0,303.7,560.5,277.9,341.7
3900.0,298.5,560.8,278.1,366.6
4000.0,308.0,592.0,307.0,415.9
4100.0,305.0,562.4,287.6,378.4
4200.0,305.0,568.4,284.7,393.8
4300.0,290.0,540.4,283.8,345.1
4400.0,298.1,552.9,284.9,402.3
4500.0,293.0,535.8,275.6,326.1
4600.0,292.6,543.2,284.0,356.1
4700.0,290.0,539.3,284.6,386.3
4800.0,290.0,539.7,278.7,351.5
4900.0,307.6,574.5,292.2,387.4
5000.0,303.7,579.8,306.9,439.7
5100.0,296.3,565.7,280.9,335.0
5200.0,296.4,541.2,279.1,356.4
5300.0,309.0,566.2,291.7,349.0
5400.0,307.4,556.0,284.8,317.7
5500.0,296.0,556.2,301.8,416.6
5600.0,298.7,562.5,286.4,323.1
5700.0,299.9,564.8,282.9,334.1
5800.0,298.4,550.3,276.0,339.3
5900.0,297.0,543.6,277.0,270.0
6000.0,293.1,547.2,278.3,366.1
6100.0,297.9,545.2,280.7,290.0
6200.0,299.6,530.8,273.9,316.4
6300.0,292.7,556.6,278.9,338.5
6400.0,299.0,558.5,290.3,338.0
6500.0,305.3,589.2,300.3,419.8
6600.0,290.0,537.3,281.4,337.1
6700.0,309.0,555.5,275.9,311.1
6800.0,306.7,546.6,279.1,305.2
6900.0,294.9,571.2,289.5,380.2
