timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,510.0,724.0,473.0,376.0
100.0,509.0,723.0,472.0,375.0
200.0,510.0,724.0,472.0,373.0
300.0,511.0,723.0,473.0,371.0
400.0,511.0,723.0,473.0,369.0
500.0,510.0,723.0,473.0,369.0
600.0,510.0,724.0,473.0,368.0
700.0,510.0,724.0,474.0,366.0
800.0,511.0,724.0,473.0,368.0
900.0,510.0,725.0,473.0,367.0
1000.0,511.0,725.0,474.0,365.0
1100.0,510.0,725.0,474.0,366.0
1200.0,512.0,725.0,475.0,366.0
1300.0,512.0,725.0,475.0,363.0
1400.0,512.0,726.0,474.0,363.0
1500.0,512.0,726.0,474.0,361.0
1600.0,512.0,726.0,475.0,360.0
1700.0,512.0,725.0,474.0,360.0
1800.0,512.0,726.0,474.0,357.0
1900.0,513.0,726.0,475.0,357.0
2000.0,513.0,726.0,476.0,355.0
2100.0,513.0,725.0,476.0,354.0
2200.0,513.0,726.0,476.0,352.0
2300.0,514.0,726.0,476.0,351.0
2400.0,513.0,726.0,477.0,349.0
2500.0,514.0,726.0,477.0,346.0
2600.0,514.0,725.0,477.0,344.0
2700.0,514.0,725.0,477.0,342.0
2800.0,514.0,726.0,477.0,339.0
2900.0,514.0,725.0,476.0,337.0
3000.0,515.0,725.0,477.0,335.0
3100.0,515.0,726.0,476.0,334.0
3200.0,515.0,726.0,477.0,332.0
3300.0,514.0,726.0,477.0,330.0
3400.0,515.0,727.0,477.0,331.0
3500.0,515.0,726.0,477.0,332.0
3600.0,515.0,726.0,477.0,334.0
3700.0,515.0,726.0,477.0,336.0
3800.0,516.0,727.0,478.0,337.0
3900.0,515.0,727.0,477.0,340.0
4000.0,516.0,728.0,478.0,344.0
4100.0,516.0,728.0,477.0,345.0
4200.0,515.0,728.0,478.0,346.0
4300.0,516.0,728.0,479.0,349.0
4400.0,515.0,728.0,478.0,350.0
4500.0,516.0,728.0,478.0,351.0
4600.0,516.0,728.0,479.0,354.0
4700.0,516.0,729.0,478.0,352.0
4800.0,517.0,728.0,479.0,352.0
4900.0,516.0,729.0,479.0,352.0
5000.0,517.0,728.0,479.0,352.0
5100.0,518.0,729.0,478.0,350.0
5200.0,518.0,729.0,479.0,350.0
5300.0,517.0,728.0,479.0,349.0
5400.0,518.0,728.0,478.0,349.0
5500.0,517.0,729.0,478.0,348.0
5600.0,517.0,729.0,479.0,345.0
5700.0,518.0,728.0,478.0,344.0
5800.0,519.0,728.0,479.0,343.0
5900.0,518.0,728.0,479.0,341.0
6000.0,519.0,728.0,479.0,340.0
6100.0,518.0,729.0,479.0,339.0
6200.0,518.0,729.0,478.0,337.0
6300.0,518.0,729.0,479.0,338.0
6400.0,519.0,729.0,479.0,336.0
6500.0,519.0,728.0,479.0,334.0
6600.0,519.0,729.0,479.0,334.0
6700.0,520.0,729.0,479.0,335.0
6800.0,519.0,729.0,479.0,333.0
6900.0,520.0,729.0,479.0,333.0
7000.0,520.0,729.0,479.0,333.0
7100.0,520.0,730.0,480.0,332.0
7200.0,520.0,730.0,480.0,331.0
7300.0,520.0,729.0,480.0,331.0
7400.0,519.0,730.0,479.0,330.0
7500.0,520.0,729.0,479.0,329.0
7600.0,521.0,728.0,480.0,329.0
7700.0,520.0,729.0,479.0,331.0
7800.0,520.0,729.0,479.0,330.0
