timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,577.6,773.7,543.5,392.4
100.0,555.3,780.5,537.7,437.2
200.0,600.0,800.5,577.1,409.6
300.0,595.8,812.0,580.0,406.8
400.0,524.0,746.8,499.5,372.5
500.0,592.5,795.9,556.8,378.6
600.0,510.0,724.7,488.0,339.8
700.0,562.3,777.6,546.1,388.0
800.0,535.5,742.1,501.6,409.4
900.0,522.3,756.0,489.3,392.5
1000.0,574.6,812.0,571.2,482.7
1100.0,600.0,812.0,582.0,473.3
1200.0,600.0,797.0,574.8,431.0
1300.0,591.0,806.3,570.4,384.0
1400.0,526.8,746.8,500.6,396.8
1500.0,529.6,738.0,475.5,372.1
1600.0,591.1,801.8,575.9,415.6
1700.0,576.4,806.6,577.1,493.7
1800.0,585.4,782.8,541.2,390.1
1900.0,600.0,803.1,578.8,448.0
2000.0,599.4,812.0,578.4,377.6
2100.0,516.8,723.0,477.8,342.5
2200.0,564.2,786.0,543.7,495.7
2300.0,523.9,725.5,490.4,401.2
2400.0,600.0,795.5,581.2,370.2
2500.0,530.9,723.0,477.7,351.1
2600.0,553.7,767.9,529.7,504.6
2700.0,516.2,732.0,478.2,340.3
2800.0,586.4,812.0,572.7,429.4
2900.0,592.3,811.0,576.0,388.1
3000.0,572.1,778.4,536.9,384.3
3100.0,554.0,753.7,513.7,500.7
3200.0,571.8,789.6,546.7,380.4
3300.0,600.0,812.0,570.4,459.1
3400.0,594.6,810.0,577.5,447.1
3500.0,590.8,812.0,556.9,385.8
3600.0,513.1,723.0,472.0,335.2
3700.0,543.3,770.7,501.3,434.2
3800.0,595.4,802.5,563.4,442.6
3900.0,577.5,791.8,558.3,484.5
4000.0,586.1,795.2,564.6,403.0
4100.0,574.7,801.2,568.2,492.5
4200.0,545.9,745.5,515.6,414.2
4300.0,591.6,812.0,566.6,375.1
4400.0,546.2,752.6,508.9,396.8
4500.0,600.0,800.7,572.4,372.9
4600.0,543.3,746.3,496.1,380.7
4700.0,533.7,752.4,487.6,401.9
4800.0,548.0,788.4,531.8,499.1
