timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,595.0,803.0,577.0,434.1
100.0,599.3,804.6,577.0,411.6
200.0,600.9,814.7,584.6,383.9
300.0,610.0,802.0,578.5,386.9
400.0,602.0,803.7,587.3,443.1
500.0,595.0,814.4,577.0,432.3
600.0,610.0,816.0,594.0,413.3
700.0,608.6,802.0,585.2,380.0
800.0,597.9,816.0,582.9,428.9
900.0,610.0,802.0,577.7,404.6
1000.0,595.0,802.0,578.8,386.4
1100.0,603.8,815.1,594.0,403.2
1200.0,595.0,802.0,582.3,433.5
1300.0,603.8,816.0,584.4,493.7
1400.0,595.0,809.1,588.5,420.0
1500.0,608.2,814.4,577.0,390.2
1600.0,595.0,816.0,578.3,435.0
1700.0,598.0,816.0,580.7,477.2
1800.0,606.2,802.0,577.5,387.5
1900.0,602.7,814.5,578.5,437.6
2000.0,595.0,816.0,584.8,460.0
2100.0,595.0,811.5,594.0,463.5
2200.0,604.2,814.2,592.8,417.1
2300.0,610.0,805.7,585.3,412.6
2400.0,601.4,802.0,584.7,437.0
2500.0,610.0,802.6,589.9,419.3
2600.0,595.3,802.0,585.9,391.8
2700.0,595.0,807.7,588.1,395.4
2800.0,610.0,816.0,590.7,435.5
2900.0,607.7,806.6,579.6,408.5
3000.0,599.9,802.0,586.0,381.0
3100.0,595.0,807.7,577.0,406.8
3200.0,607.7,811.6,588.2,447.7
3300.0,607.4,811.6,577.0,428.7
3400.0,610.0,803.8,577.0,419.1
3500.0,595.0,815.8,577.4,465.3
3600.0,610.0,802.0,583.5,443.7
3700.0,598.5,802.0,577.0,425.3
3800.0,610.0,805.2,587.8,409.7
3900.0,600.3,816.0,588.7,410.2
4000.0,610.0,802.0,578.0,411.4
4100.0,597.5,802.0,577.0,433.4
4200.0,608.4,815.2,577.0,389.0
4300.0,596.0,809.7,580.5,374.8
4400.0,595.0,816.0,594.0,437.8
4500.0,600.6,816.0,594.0,415.1
4600.0,610.0,816.0,583.7,403.1
4700.0,606.3,810.8,590.8,485.8
4800.0,604.7,802.0,582.0,462.6
4900.0,610.0,806.1,585.4,408.0
5000.0,598.0,815.3,577.0,386.3
5100.0,607.1,810.3,590.2,396.4
5200.0,606.0,802.0,580.3,399.7
5300.0,595.0,802.0,577.5,442.0
5400.0,609.3,804.6,578.4,384.4
5500.0,597.3,814.2,590.0,391.5
5600.0,600.0,802.0,594.0,402.0
5700.0,595.0,802.0,581.7,437.1
5800.0,595.0,815.1,581.1,405.0
5900.0,595.0,810.1,591.2,441.6
6000.0,610.0,802.0,590.9,382.2
6100.0,595.0,803.5,584.2,405.4
6200.0,606.7,802.0,587.1,447.5
6300.0,595.0,802.0,588.3,395.3
6400.0,604.2,814.3,586.4,376.0
6500.0,597.8,802.9,585.8,416.3
6600.0,597.3,816.0,594.0,446.0
6700.0,605.7,804.2,585.4,456.4
6800.0,595.3,816.0,582.5,415.6
6900.0,610.0,816.0,578.0,390.3
7000.0,601.4,811.7,584.5,377.9
7100.0,606.1,806.8,594.0,427.2
7200.0,610.0,802.0,577.3,404.3
7300.0,597.6,802.0,580.7,418.8
7400.0,605.1,816.0,594.0,466.2
7500.0,607.5,810.2,577.0,395.1
7600.0,595.0,804.9,586.2,421.6
7700.0,595.1,804.8,578.9,416.7
7800.0,595.0,816.0,577.0,388.0
7900.0,610.0,802.0,590.6,426.2
8000.0,610.0,810.1,577.0,400.8
8100.0,608.9,810.3,588.6,370.0
8200.0,605.3,802.0,594.0,392.4
8300.0,596.4,802.0,577.0,408.8
8400.0,595.0,802.0,579.7,442.0
8500.0,601.1,802.0,577.0,394.2
8600.0,609.4,816.0,581.0,419.4
8700.0,610.0,802.6,585.3,407.8
8800.0,595.0,802.0,577.0,431.0
8900.0,595.0,804.3,583.0,437.0
9000.0,606.9,807.1,591.6,387.0
9100.0,610.0,816.0,579.4,420.7
9200.0,600.9,806.0,589.3,423.9
9300.0,595.8,802.0,577.0,396.8
9400.0,610.0,806.5,591.1,410.3
9500.0,595.5,816.0,577.4,477.0
9600.0,595.0,802.0,585.8,406.9
9700.0,595.0,815.7,585.9,400.9
9800.0,610.0,802.0,577.0,407.9
9900.0,609.0,814.2,594.0,465.5
10000.0,601.3,814.6,577.0,412.6
10100.0,610.0,815.5,594.0,415.5
10200.0,608.3,805.6,583.8,432.8
10300.0,610.0,802.0,585.0,417.5
10400.0,605.4,814.1,579.8,418.5
10500.0,604.9,813.6,577.0,411.5
10600.0,610.0,802.0,590.6,385.7
10700.0,610.0,806.5,594.0,423.7
10800.0,610.0,816.0,594.0,443.7
10900.0,601.2,806.5,586.5,412.0
11000.0,603.9,816.0,588.5,413.2
11100.0,606.6,816.0,587.8,420.4
11200.0,608.1,816.0,594.0,461.1
11300.0,597.0,802.0,577.0,381.3
11400.0,604.7,808.0,577.0,380.8
11500.0,604.4,802.0,577.0,453.0
11600.0,604.8,816.0,594.0,461.8
11700.0,610.0,802.0,582.3,405.7
11800.0,605.9,802.0,594.0,410.1
11900.0,599.4,816.0,594.0,497.0
12000.0,605.2,816.0,585.3,424.2
12100.0,610.0,802.0,583.2,405.4
12200.0,597.0,815.3,584.3,385.4
12300.0,610.0,816.0,586.2,413.4
12400.0,597.9,812.8,581.6,414.0
12500.0,604.4,802.0,580.3,421.9
12600.0,608.5,806.6,577.1,424.8
12700.0,600.1,810.8,581.1,434.7
12800.0,595.0,802.0,582.6,387.0
12900.0,596.0,802.0,594.0,409.2
13000.0,607.3,802.0,580.8,430.8
13100.0,598.7,808.5,583.4,414.8
13200.0,595.0,806.9,586.4,441.3
13300.0,610.0,802.0,577.0,380.8
13400.0,597.6,804.9,589.8,389.6
13500.0,604.2,816.0,594.0,475.5
13600.0,606.0,811.5,583.9,431.4
13700.0,610.0,816.0,584.2,413.9
13800.0,595.0,804.0,579.4,408.7
13900.0,604.6,816.0,585.5,420.3
14000.0,604.2,811.2,578.1,446.9
14100.0,600.8,814.5,590.9,387.1
14200.0,595.0,803.1,581.1,461.3
14300.0,595.0,816.0,580.5,416.6
14400.0,610.0,802.0,584.2,384.2
14500.0,607.6,812.7,594.0,407.3
14600.0,602.9,802.0,594.0,415.2
14700.0,595.0,816.0,577.0,463.0
14800.0,604.5,802.0,577.0,404.2
14900.0,610.0,814.2,594.0,397.8
15000.0,608.3,816.0,594.0,439.9
15100.0,595.0,802.0,579.2,439.1
15200.0,595.0,802.0,582.4,432.6
15300.0,610.0,806.0,581.6,372.6
15400.0,607.1,812.0,594.0,475.0
15500.0,595.0,816.0,587.4,459.3
15600.0,610.0,802.0,579.8,395.4
15700.0,607.1,811.3,594.0,388.2
15800.0,602.9,802.0,585.7,410.2
15900.0,606.8,814.0,577.0,448.9
16000.0,597.8,802.0,577.0,421.1
16100.0,604.3,803.6,577.0,412.2
16200.0,595.0,803.2,587.2,487.1
16300.0,595.0,808.1,593.6,427.8
16400.0,608.0,812.6,587.9,406.6
16500.0,603.9,814.2,587.0,414.4
16600.0,610.0,808.2,581.8,402.0
16700.0,601.5,802.0,589.1,400.8
16800.0,595.8,816.0,577.0,381.0
16900.0,595.0,811.4,577.0,393.3
17000.0,595.7,816.0,583.3,429.0
17100.0,608.6,816.0,588.4,426.0
17200.0,607.9,815.0,578.6,414.4
17300.0,602.4,808.1,594.0,455.5
17400.0,610.0,811.6,577.0,381.8
17500.0,605.0,805.2,590.7,432.3
17600.0,608.7,816.0,590.9,419.6
17700.0,596.1,811.4,589.5,383.8
17800.0,602.8,816.0,580.9,483.3
17900.0,600.0,814.1,581.1,410.5
18000.0,599.2,802.6,586.5,370.0
18100.0,610.0,802.0,593.8,427.3
18200.0,603.7,802.0,586.0,404.5
18300.0,603.4,806.0,577.0,389.1
18400.0,601.8,815.8,581.6,380.1
18500.0,610.0,816.0,594.0,427.4
18600.0,595.0,813.6,579.6,430.3
18700.0,601.7,815.8,577.0,407.1
18800.0,595.0,802.0,577.0,393.2
18900.0,608.2,802.0,582.3,410.0
19000.0,595.0,802.0,587.8,435.7
19100.0,595.0,802.0,578.8,422.2
19200.0,595.0,805.2,589.2,483.6
19300.0,598.7,803.4,582.0,413.1
19400.0,595.0,802.0,594.0,466.5
19500.0,604.2,802.0,581.5,392.3
19600.0,595.6,815.8,580.9,426.2
19700.0,604.5,804.8,594.0,464.2
19800.0,595.0,802.0,579.5,438.3
19900.0,595.0,811.5,594.0,449.9
20000.0,610.0,806.5,591.8,376.1
20100.0,609.4,802.0,586.5,417.4
20200.0,610.0,816.0,586.7,467.8
20300.0,595.4,806.0,577.7,472.9
20400.0,600.7,802.0,577.4,438.4
20500.0,602.0,802.0,593.5,438.7
20600.0,605.7,816.0,580.8,433.3
20700.0,602.2,816.0,590.3,438.4
20800.0,610.0,811.1,586.4,413.9
20900.0,610.0,808.6,577.9,396.2
21000.0,595.0,809.0,594.0,481.4
21100.0,595.0,802.0,587.6,429.6
21200.0,601.9,811.9,577.0,390.3
21300.0,595.0,812.6,580.0,412.6
21400.0,609.7,816.0,579.5,416.3
21500.0,610.0,816.0,578.6,402.6
21600.0,597.8,802.0,577.0,398.6
21700.0,606.3,802.0,577.0,416.5
21800.0,604.8,816.0,585.6,424.8
21900.0,602.7,816.0,580.4,429.0
22000.0,600.3,804.0,577.0,402.6
22100.0,610.0,809.2,577.9,419.6
22200.0,605.5,807.7,589.4,440.4
22300.0,599.9,815.8,594.0,408.0
22400.0,599.1,802.0,582.6,409.1
22500.0,606.0,816.0,578.5,395.3
22600.0,605.9,802.0,577.0,409.3
22700.0,598.6,808.5,592.4,487.1
22800.0,608.7,802.0,594.0,443.6
22900.0,595.0,808.7,588.2,456.0
23000.0,608.9,816.0,584.7,431.0
23100.0,607.4,803.0,585.9,447.3
23200.0,603.2,816.0,592.3,405.7
23300.0,610.0,802.0,594.0,434.4
23400.0,596.9,816.0,581.6,389.2
23500.0,595.1,814.8,588.2,421.4
23600.0,602.3,806.3,585.7,418.1
23700.0,603.6,802.0,580.8,444.2
23800.0,602.8,816.0,587.1,449.4
23900.0,606.1,816.0,582.6,420.8
24000.0,602.3,802.0,577.3,386.5
24100.0,597.3,816.0,585.9,412.0
24200.0,595.0,808.5,577.0,395.4
24300.0,605.9,802.0,588.3,401.7
24400.0,595.0,809.0,588.7,440.7
24500.0,602.5,810.2,584.2,387.7
24600.0,598.1,816.0,581.4,415.4
24700.0,595.1,802.0,588.2,384.3
24800.0,595.0,802.0,580.1,379.1
24900.0,600.0,805.2,578.9,410.7
25000.0,607.2,802.0,579.3,421.7
25100.0,608.2,816.0,594.0,422.1
25200.0,595.0,807.0,587.5,424.7
25300.0,600.4,802.6,579.2,399.1
25400.0,605.4,816.0,588.5,400.1
25500.0,610.0,816.0,592.0,422.4
25600.0,602.0,802.0,587.1,421.8
25700.0,595.0,802.0,594.0,467.2
25800.0,604.8,802.0,580.5,429.7
25900.0,609.1,816.0,577.0,420.4
26000.0,602.7,812.2,586.1,489.0
26100.0,597.3,802.0,577.0,407.7
26200.0,610.0,803.8,591.2,416.4
26300.0,610.0,804.8,586.7,389.7
26400.0,595.0,802.0,577.0,433.7
26500.0,608.1,809.8,578.9,436.2
