timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,602.0,806.0,583.0,421.0
100.0,603.0,807.0,582.0,421.0
200.0,603.0,807.0,582.0,420.0
300.0,602.0,807.0,583.0,420.0
400.0,602.0,807.0,583.0,418.0
500.0,603.0,807.0,582.0,419.0
600.0,603.0,807.0,582.0,417.0
700.0,602.0,807.0,583.0,417.0
800.0,603.0,808.0,582.0,416.0
900.0,603.0,807.0,582.0,415.0
1000.0,602.0,808.0,582.0,415.0
1100.0,603.0,808.0,583.0,413.0
1200.0,603.0,808.0,583.0,414.0
1300.0,602.0,806.0,583.0,414.0
1400.0,603.0,807.0,583.0,415.0
1500.0,602.0,807.0,583.0,415.0
1600.0,603.0,807.0,583.0,416.0
1700.0,602.0,806.0,582.0,416.0
1800.0,603.0,807.0,583.0,418.0
1900.0,602.0,807.0,583.0,418.0
2000.0,602.0,806.0,583.0,418.0
2100.0,603.0,807.0,583.0,417.0
2200.0,603.0,806.0,583.0,417.0
2300.0,603.0,806.0,583.0,417.0
2400.0,602.0,806.0,583.0,414.0
2500.0,602.0,806.0,583.0,413.0
2600.0,602.0,806.0,583.0,412.0
2700.0,603.0,807.0,583.0,410.0
2800.0,603.0,806.0,583.0,408.0
2900.0,603.0,806.0,583.0,407.0
3000.0,603.0,806.0,582.0,403.0
3100.0,602.0,806.0,583.0,401.0
3200.0,603.0,807.0,582.0,398.0
3300.0,603.0,806.0,582.0,396.0
3400.0,603.0,806.0,582.0,395.0
3500.0,603.0,806.0,581.0,393.0
3600.0,603.0,806.0,582.0,392.0
3700.0,603.0,806.0,582.0,390.0
3800.0,603.0,805.0,582.0,389.0
3900.0,603.0,806.0,581.0,389.0
4000.0,604.0,806.0,581.0,389.0
4100.0,603.0,806.0,581.0,387.0
4200.0,604.0,806.0,581.0,387.0
4300.0,603.0,805.0,580.0,384.0
4400.0,604.0,805.0,580.0,382.0
4500.0,604.0,805.0,581.0,380.0
4600.0,603.0,805.0,581.0,379.0
4700.0,604.0,805.0,581.0,378.0
4800.0,604.0,804.0,581.0,376.0
4900.0,604.0,805.0,580.0,375.0
5000.0,604.0,805.0,581.0,374.0
5100.0,604.0,805.0,580.0,374.0
5200.0,604.0,805.0,580.0,373.0
5300.0,603.0,805.0,579.0,371.0
5400.0,603.0,804.0,580.0,372.0
5500.0,603.0,805.0,581.0,372.0
5600.0,603.0,805.0,580.0,373.0
5700.0,603.0,805.0,581.0,373.0
5800.0,603.0,805.0,580.0,376.0
5900.0,603.0,806.0,581.0,379.0
6000.0,603.0,806.0,581.0,384.0
6100.0,602.0,807.0,581.0,388.0
6200.0,601.0,806.0,583.0,392.0
6300.0,602.0,806.0,582.0,397.0
6400.0,601.0,807.0,583.0,400.0
6500.0,602.0,807.0,583.0,403.0
6600.0,602.0,807.0,583.0,406.0
6700.0,602.0,807.0,583.0,409.0
6800.0,601.0,807.0,583.0,410.0
6900.0,602.0,807.0,582.0,411.0
7000.0,601.0,807.0,583.0,413.0
7100.0,602.0,807.0,583.0,413.0
7200.0,602.0,806.0,583.0,412.0
7300.0,602.0,807.0,583.0,412.0
7400.0,601.0,807.0,583.0,412.0
7500.0,601.0,807.0,583.0,413.0
7600.0,602.0,807.0,583.0,414.0
7700.0,602.0,808.0,583.0,416.0
7800.0,602.0,809.0,584.0,421.0
7900.0,602.0,809.0,584.0,426.0
8000.0,602.0,808.0,585.0,430.0
8100.0,601.0,809.0,585.0,434.0
8200.0,602.0,809.0,585.0,439.0
8300.0,602.0,808.0,586.0,443.0
8400.0,601.0,808.0,586.0,445.0
8500.0,602.0,809.0,587.0,447.0
8600.0,602.0,809.0,587.0,447.0
8700.0,601.0,809.0,587.0,447.0
8800.0,601.0,809.0,587.0,446.0
8900.0,601.0,809.0,587.0,446.0
9000.0,601.0,808.0,587.0,445.0
9100.0,601.0,809.0,587.0,444.0
9200.0,601.0,809.0,587.0,443.0
9300.0,601.0,809.0,587.0,444.0
9400.0,602.0,810.0,587.0,444.0
9500.0,601.0,810.0,587.0,443.0
9600.0,601.0,809.0,587.0,443.0
9700.0,601.0,810.0,587.0,442.0
9800.0,601.0,810.0,587.0,443.0
9900.0,602.0,811.0,587.0,441.0
10000.0,601.0,809.0,587.0,441.0
10100.0,601.0,811.0,587.0,442.0
10200.0,601.0,811.0,587.0,444.0
10300.0,601.0,811.0,588.0,442.0
10400.0,601.0,811.0,588.0,443.0
10500.0,602.0,810.0,588.0,444.0
10600.0,602.0,812.0,588.0,443.0
10700.0,601.0,810.0,588.0,443.0
10800.0,601.0,811.0,587.0,442.0
10900.0,602.0,811.0,587.0,444.0
11000.0,602.0,812.0,588.0,445.0
11100.0,602.0,811.0,588.0,444.0
11200.0,602.0,811.0,589.0,446.0
11300.0,602.0,812.0,588.0,446.0
11400.0,602.0,811.0,588.0,446.0
11500.0,602.0,812.0,588.0,445.0
11600.0,601.0,813.0,588.0,446.0
11700.0,602.0,812.0,589.0,447.0
11800.0,602.0,813.0,589.0,447.0
11900.0,602.0,812.0,589.0,446.0
12000.0,602.0,812.0,588.0,448.0
12100.0,602.0,812.0,589.0,449.0
12200.0,602.0,812.0,588.0,451.0
12300.0,602.0,812.0,589.0,451.0
12400.0,602.0,813.0,590.0,450.0
12500.0,601.0,813.0,589.0,451.0
12600.0,602.0,812.0,589.0,451.0
12700.0,602.0,812.0,589.0,450.0
12800.0,603.0,811.0,589.0,448.0
12900.0,603.0,812.0,589.0,445.0
13000.0,603.0,811.0,589.0,444.0
13100.0,603.0,812.0,588.0,441.0
13200.0,603.0,812.0,589.0,439.0
13300.0,603.0,812.0,589.0,437.0
13400.0,603.0,812.0,588.0,436.0
13500.0,603.0,811.0,588.0,435.0
13600.0,603.0,812.0,589.0,433.0
13700.0,603.0,811.0,588.0,431.0
13800.0,604.0,812.0,588.0,429.0
13900.0,603.0,812.0,587.0,429.0
14000.0,603.0,811.0,588.0,429.0
14100.0,603.0,811.0,588.0,427.0
14200.0,603.0,812.0,587.0,429.0
14300.0,603.0,812.0,588.0,429.0
14400.0,603.0,812.0,588.0,429.0
14500.0,603.0,812.0,588.0,432.0
14600.0,602.0,813.0,588.0,433.0
14700.0,602.0,813.0,589.0,435.0
14800.0,603.0,812.0,588.0,436.0
14900.0,604.0,814.0,589.0,438.0
15000.0,603.0,814.0,589.0,441.0
15100.0,603.0,813.0,589.0,444.0
15200.0,603.0,814.0,588.0,446.0
15300.0,603.0,813.0,589.0,450.0
15400.0,603.0,813.0,590.0,451.0
15500.0,604.0,814.0,590.0,454.0
15600.0,603.0,814.0,590.0,456.0
15700.0,603.0,814.0,590.0,459.0
15800.0,603.0,815.0,591.0,461.0
15900.0,604.0,815.0,591.0,463.0
16000.0,603.0,815.0,591.0,466.0
16100.0,603.0,815.0,591.0,469.0
16200.0,603.0,816.0,591.0,471.0
16300.0,603.0,815.0,592.0,472.0
16400.0,602.0,815.0,592.0,472.0
16500.0,603.0,817.0,592.0,473.0
16600.0,603.0,815.0,591.0,474.0
16700.0,603.0,816.0,592.0,474.0
16800.0,603.0,816.0,593.0,475.0
16900.0,603.0,816.0,592.0,473.0
17000.0,604.0,816.0,593.0,473.0
17100.0,603.0,816.0,592.0,472.0
17200.0,603.0,816.0,591.0,472.0
17300.0,604.0,815.0,592.0,470.0
17400.0,604.0,816.0,591.0,468.0
17500.0,604.0,815.0,591.0,466.0
17600.0,604.0,815.0,591.0,463.0
17700.0,605.0,815.0,591.0,461.0
17800.0,605.0,814.0,591.0,458.0
17900.0,605.0,814.0,590.0,454.0
18000.0,605.0,814.0,590.0,451.0
18100.0,606.0,813.0,590.0,447.0
18200.0,606.0,814.0,589.0,443.0
18300.0,605.0,814.0,590.0,439.0
18400.0,605.0,814.0,589.0,435.0
18500.0,605.0,814.0,589.0,431.0
18600.0,607.0,813.0,589.0,427.0
18700.0,606.0,813.0,589.0,424.0
18800.0,607.0,812.0,589.0,421.0
18900.0,606.0,812.0,589.0,417.0
19000.0,606.0,812.0,588.0,416.0
19100.0,607.0,812.0,589.0,413.0
19200.0,607.0,812.0,588.0,414.0
19300.0,607.0,812.0,589.0,413.0
19400.0,606.0,813.0,588.0,416.0
19500.0,606.0,813.0,589.0,416.0
19600.0,605.0,813.0,588.0,419.0
19700.0,605.0,813.0,589.0,418.0
19800.0,606.0,813.0,589.0,420.0
19900.0,605.0,812.0,588.0,419.0
20000.0,605.0,812.0,588.0,420.0
20100.0,605.0,813.0,588.0,420.0
20200.0,606.0,812.0,589.0,419.0
20300.0,605.0,812.0,589.0,417.0
20400.0,606.0,812.0,589.0,417.0
20500.0,606.0,812.0,588.0,415.0
20600.0,605.0,812.0,588.0,413.0
20700.0,605.0,811.0,588.0,410.0
20800.0,606.0,811.0,587.0,407.0
20900.0,605.0,812.0,587.0,406.0
21000.0,606.0,810.0,588.0,403.0
21100.0,606.0,811.0,588.0,403.0
21200.0,607.0,811.0,588.0,402.0
21300.0,606.0,812.0,587.0,403.0
21400.0,605.0,811.0,587.0,401.0
21500.0,607.0,811.0,587.0,401.0
21600.0,606.0,811.0,587.0,402.0
21700.0,606.0,811.0,588.0,402.0
21800.0,606.0,811.0,587.0,402.0
21900.0,606.0,811.0,588.0,403.0
22000.0,606.0,811.0,587.0,402.0
22100.0,605.0,811.0,587.0,404.0
22200.0,605.0,811.0,587.0,402.0
22300.0,606.0,811.0,587.0,403.0
22400.0,606.0,811.0,586.0,405.0
22500.0,606.0,811.0,587.0,405.0
22600.0,606.0,811.0,587.0,406.0
22700.0,606.0,811.0,587.0,405.0
22800.0,605.0,811.0,587.0,404.0
22900.0,605.0,811.0,587.0,402.0
23000.0,605.0,811.0,586.0,403.0
23100.0,606.0,811.0,586.0,402.0
23200.0,605.0,812.0,586.0,404.0
23300.0,606.0,811.0,586.0,404.0
23400.0,605.0,810.0,587.0,404.0
23500.0,606.0,810.0,586.0,406.0
23600.0,605.0,810.0,585.0,404.0
23700.0,606.0,811.0,585.0,406.0
23800.0,606.0,811.0,585.0,405.0
23900.0,606.0,811.0,586.0,405.0
24000.0,605.0,810.0,585.0,404.0
24100.0,606.0,810.0,584.0,403.0
24200.0,606.0,810.0,584.0,402.0
24300.0,606.0,809.0,584.0,400.0
24400.0,607.0,810.0,585.0,400.0
24500.0,607.0,810.0,586.0,399.0
24600.0,607.0,810.0,584.0,396.0
24700.0,606.0,810.0,585.0,396.0
24800.0,605.0,810.0,585.0,395.0
24900.0,606.0,810.0,584.0,395.0
25000.0,607.0,810.0,584.0,394.0
25100.0,606.0,810.0,584.0,395.0
25200.0,607.0,809.0,585.0,397.0
25300.0,607.0,809.0,585.0,396.0
25400.0,606.0,809.0,585.0,397.0
25500.0,606.0,810.0,584.0,397.0
25600.0,606.0,810.0,584.0,399.0
25700.0,606.0,809.0,585.0,400.0
25800.0,605.0,810.0,584.0,398.0
25900.0,606.0,809.0,584.0,399.0
26000.0,606.0,809.0,584.0,399.0
26100.0,606.0,809.0,584.0,398.0
26200.0,606.0,810.0,584.0,398.0
26300.0,606.0,809.0,585.0,398.0
26400.0,605.0,809.0,585.0,398.0
26500.0,605.0,809.0,584.0,397.0
26600.0,605.0,810.0,585.0,398.0
26700.0,605.0,810.0,585.0,398.0
26800.0,605.0,809.0,585.0,400.0
26900.0,606.0,809.0,584.0,401.0
27000.0,605.0,810.0,584.0,403.0
27100.0,605.0,811.0,585.0,405.0
27200.0,605.0,811.0,584.0,406.0
27300.0,605.0,810.0,585.0,410.0
27400.0,604.0,810.0,585.0,414.0
27500.0,605.0,810.0,586.0,415.0
27600.0,605.0,811.0,585.0,419.0
27700.0,604.0,811.0,586.0,423.0
27800.0,604.0,811.0,585.0,427.0
27900.0,604.0,811.0,586.0,430.0
28000.0,604.0,811.0,586.0,431.0
28100.0,604.0,811.0,586.0,430.0
28200.0,604.0,811.0,586.0,432.0
28300.0,604.0,810.0,586.0,431.0
28400.0,604.0,811.0,586.0,431.0
28500.0,604.0,810.0,586.0,427.0
28600.0,605.0,810.0,586.0,427.0
28700.0,604.0,810.0,586.0,427.0
28800.0,604.0,810.0,585.0,425.0
28900.0,604.0,810.0,586.0,422.0
29000.0,605.0,810.0,586.0,420.0
29100.0,604.0,809.0,585.0,418.0
29200.0,604.0,809.0,585.0,415.0
29300.0,604.0,809.0,585.0,414.0
29400.0,604.0,808.0,586.0,409.0
29500.0,605.0,810.0,585.0,407.0
29600.0,604.0,809.0,584.0,405.0
29700.0,604.0,809.0,585.0,404.0
29800.0,604.0,809.0,585.0,404.0
29900.0,605.0,809.0,585.0,403.0
30000.0,604.0,809.0,585.0,404.0
30100.0,604.0,809.0,586.0,406.0
30200.0,604.0,809.0,585.0,408.0
30300.0,604.0,810.0,585.0,409.0
30400.0,604.0,809.0,585.0,411.0
30500.0,604.0,810.0,586.0,414.0
30600.0,604.0,810.0,585.0,415.0
30700.0,604.0,809.0,586.0,418.0
30800.0,603.0,810.0,585.0,419.0
30900.0,604.0,810.0,586.0,420.0
31000.0,603.0,810.0,586.0,423.0
31100.0,604.0,810.0,586.0,426.0
31200.0,604.0,810.0,587.0,426.0
31300.0,603.0,810.0,587.0,427.0
31400.0,603.0,810.0,587.0,427.0
31500.0,604.0,810.0,587.0,429.0
31600.0,604.0,810.0,587.0,429.0
31700.0,603.0,809.0,587.0,428.0
31800.0,603.0,810.0,587.0,428.0
31900.0,604.0,810.0,587.0,427.0
32000.0,604.0,810.0,587.0,425.0
32100.0,604.0,809.0,587.0,423.0
32200.0,603.0,809.0,586.0,422.0
32300.0,604.0,809.0,587.0,421.0
32400.0,604.0,809.0,587.0,420.0
32500.0,604.0,809.0,587.0,421.0
32600.0,604.0,808.0,587.0,419.0
32700.0,605.0,808.0,586.0,419.0
32800.0,604.0,808.0,586.0,418.0
32900.0,604.0,809.0,586.0,417.0
33000.0,604.0,808.0,585.0,416.0
33100.0,605.0,809.0,586.0,414.0
33200.0,605.0,808.0,585.0,413.0
33300.0,603.0,808.0,586.0,413.0
33400.0,604.0,808.0,585.0,410.0
33500.0,605.0,807.0,584.0,405.0
33600.0,605.0,808.0,585.0,404.0
33700.0,604.0,807.0,584.0,402.0
33800.0,604.0,807.0,585.0,400.0
33900.0,605.0,808.0,585.0,397.0
34000.0,604.0,808.0,584.0,395.0
34100.0,604.0,808.0,584.0,393.0
34200.0,605.0,807.0,584.0,390.0
34300.0,604.0,807.0,584.0,389.0
34400.0,605.0,808.0,584.0,388.0
34500.0,605.0,807.0,583.0,389.0
34600.0,605.0,807.0,584.0,389.0
34700.0,604.0,807.0,583.0,390.0
34800.0,605.0,806.0,583.0,390.0
34900.0,605.0,806.0,583.0,391.0
35000.0,605.0,807.0,583.0,391.0
35100.0,604.0,807.0,583.0,391.0
35200.0,605.0,807.0,583.0,392.0
35300.0,605.0,807.0,583.0,391.0
35400.0,604.0,807.0,583.0,392.0
35500.0,604.0,806.0,583.0,390.0
35600.0,604.0,806.0,583.0,390.0
35700.0,604.0,806.0,583.0,387.0
35800.0,605.0,806.0,583.0,387.0
35900.0,604.0,806.0,583.0,384.0
36000.0,604.0,806.0,582.0,383.0
36100.0,603.0,806.0,582.0,383.0
36200.0,604.0,806.0,582.0,382.0
36300.0,605.0,806.0,582.0,381.0
36400.0,604.0,805.0,582.0,379.0
36500.0,605.0,806.0,582.0,381.0
36600.0,605.0,805.0,582.0,380.0
36700.0,604.0,805.0,582.0,379.0
36800.0,605.0,805.0,581.0,380.0
36900.0,604.0,806.0,581.0,380.0
37000.0,604.0,806.0,582.0,378.0
37100.0,604.0,804.0,581.0,379.0
37200.0,605.0,805.0,581.0,378.0
37300.0,605.0,804.0,581.0,376.0
37400.0,604.0,804.0,582.0,375.0
37500.0,605.0,804.0,581.0,374.0
37600.0,605.0,804.0,580.0,371.0
37700.0,605.0,804.0,580.0,371.0
37800.0,606.0,804.0,581.0,368.0
37900.0,606.0,804.0,580.0,367.0
38000.0,605.0,804.0,580.0,365.0
38100.0,605.0,804.0,580.0,364.0
38200.0,604.0,804.0,580.0,363.0
38300.0,605.0,804.0,580.0,362.0
38400.0,605.0,804.0,580.0,360.0
38500.0,605.0,804.0,579.0,359.0
38600.0,605.0,803.0,580.0,359.0
38700.0,605.0,803.0,580.0,357.0
38800.0,605.0,803.0,579.0,358.0
38900.0,605.0,802.0,579.0,357.0
39000.0,606.0,802.0,579.0,355.0
39100.0,604.0,802.0,580.0,355.0
39200.0,605.0,803.0,578.0,354.0
39300.0,605.0,803.0,579.0,354.0
39400.0,605.0,802.0,579.0,353.0
39500.0,605.0,802.0,579.0,353.0
39600.0,604.0,803.0,578.0,351.0
39700.0,605.0,802.0,578.0,349.0
39800.0,604.0,802.0,577.0,348.0
39900.0,604.0,802.0,578.0,346.0
40000.0,604.0,802.0,578.0,346.0
40100.0,604.0,802.0,577.0,344.0
40200.0,604.0,802.0,578.0,343.0
40300.0,606.0,801.0,577.0,342.0
40400.0,604.0,801.0,578.0,341.0
40500.0,604.0,801.0,578.0,340.0
40600.0,605.0,801.0,577.0,338.0
40700.0,604.0,802.0,578.0,337.0
40800.0,605.0,801.0,577.0,338.0
40900.0,605.0,802.0,577.0,337.0
41000.0,606.0,800.0,576.0,336.0
41100.0,605.0,800.0,577.0,336.0
41200.0,605.0,801.0,576.0,336.0
41300.0,604.0,800.0,576.0,336.0
41400.0,605.0,801.0,576.0,336.0
41500.0,604.0,800.0,577.0,335.0
41600.0,604.0,800.0,576.0,335.0
41700.0,604.0,799.0,575.0,335.0
41800.0,605.0,800.0,575.0,334.0
41900.0,604.0,800.0,576.0,334.0
42000.0,605.0,799.0,575.0,333.0
42100.0,605.0,799.0,574.0,332.0
42200.0,604.0,799.0,575.0,330.0
42300.0,604.0,799.0,575.0,330.0
42400.0,604.0,798.0,575.0,329.0
42500.0,605.0,798.0,575.0,329.0
42600.0,605.0,798.0,575.0,328.0
42700.0,605.0,798.0,576.0,327.0
42800.0,604.0,799.0,576.0,327.0
42900.0,605.0,798.0,574.0,326.0
43000.0,605.0,798.0,576.0,327.0
43100.0,604.0,798.0,575.0,328.0
43200.0,603.0,798.0,575.0,328.0
43300.0,604.0,798.0,575.0,329.0
43400.0,603.0,798.0,575.0,331.0
43500.0,604.0,798.0,575.0,333.0
43600.0,604.0,798.0,576.0,335.0
43700.0,603.0,799.0,575.0,337.0
43800.0,602.0,797.0,575.0,338.0
43900.0,603.0,798.0,575.0,341.0
44000.0,603.0,798.0,576.0,344.0
44100.0,603.0,797.0,575.0,346.0
44200.0,603.0,799.0,575.0,347.0
44300.0,601.0,799.0,576.0,348.0
44400.0,601.0,798.0,575.0,351.0
44500.0,602.0,798.0,576.0,354.0
44600.0,602.0,799.0,577.0,355.0
44700.0,601.0,798.0,576.0,356.0
44800.0,602.0,798.0,577.0,358.0
44900.0,601.0,799.0,577.0,359.0
