timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,477.9,741.7,469.3,386.3
100.0,537.7,753.6,547.8,446.4
200.0,518.2,771.1,509.1,385.6
300.0,485.1,754.1,469.7,421.1
400.0,447.3,736.0,450.0,281.9
500.0,550.4,777.4,558.0,490.7
600.0,573.6,824.7,527.8,586.0
700.0,528.3,804.4,499.0,539.3
800.0,499.6,771.0,492.9,324.2
900.0,579.9,782.8,529.7,491.4
1000.0,502.8,755.2,504.9,388.5
1100.0,548.6,760.7,552.9,476.6
1200.0,591.6,796.3,547.4,537.8
1300.0,466.2,756.0,478.1,295.9
1400.0,582.2,821.2,519.3,572.1
1500.0,491.3,787.4,484.5,494.2
1600.0,503.6,756.2,493.8,384.1
1700.0,559.0,783.5,515.7,476.2
1800.0,518.1,769.7,512.3,409.5
1900.0,552.7,770.7,521.4,445.6
2000.0,476.0,752.9,467.8,311.8
2100.0,551.3,804.6,525.0,476.1
2200.0,510.4,746.4,514.5,369.7
2300.0,453.5,746.3,450.0,347.9
2400.0,487.4,737.3,471.6,431.3
2500.0,532.6,775.8,530.0,524.5
2600.0,579.1,816.4,520.7,577.1
2700.0,555.7,771.1,504.9,537.5
2800.0,559.3,779.2,547.9,474.7
2900.0,548.6,804.8,510.7,502.4
3000.0,520.5,754.6,510.9,418.9
3100.0,460.1,752.2,458.7,299.6
3200.0,518.5,767.4,526.5,404.8
3300.0,537.3,826.0,535.4,539.9
3400.0,545.4,804.3,514.9,498.5
3500.0,549.1,826.0,525.9,497.9
3600.0,523.4,764.1,498.1,419.4
3700.0,550.5,801.4,514.9,478.3
3800.0,465.9,756.8,463.1,309.6
3900.0,498.4,762.4,492.8,334.6
4000.0,520.1,775.6,496.1,387.8
4100.0,560.1,791.2,520.1,465.8
4200.0,547.7,783.5,535.7,454.6
4300.0,546.5,810.6,528.0,543.2
4400.0,574.2,792.2,545.7,484.8
4500.0,470.0,745.9,471.9,297.2
4600.0,552.5,809.2,512.7,456.5
4700.0,557.9,762.9,551.8,481.6
4800.0,556.8,826.0,522.1,519.6
4900.0,592.0,796.6,543.0,547.2
5000.0,518.6,772.6,523.1,404.0
5100.0,553.9,822.5,521.2,486.3
5200.0,519.9,782.8,500.0,382.5
5300.0,565.3,801.4,523.3,490.0
5400.0,529.2,750.4,507.3,415.6
5500.0,507.4,763.9,518.0,387.6
5600.0,475.2,736.0,461.8,330.5
5700.0,514.2,748.0,528.5,402.9
5800.0,542.2,826.0,529.4,534.6
5900.0,499.6,751.1,509.5,404.5
6000.0,527.2,758.7,512.3,387.2
6100.0,473.6,744.9,466.5,341.4
6200.0,488.6,778.7,482.5,319.3
6300.0,559.0,804.8,512.2,557.0
6400.0,471.9,747.3,465.7,361.2
6500.0,542.6,803.8,517.3,446.1
6600.0,561.2,796.9,516.0,454.9
6700.0,592.0,812.4,550.6,554.1
6800.0,461.6,736.4,464.6,334.2
6900.0,535.9,778.9,511.3,413.6
7000.0,526.5,788.8,509.1,407.8
7100.0,545.0,798.7,512.4,460.7
7200.0,592.0,798.4,542.4,549.9
7300.0,492.3,764.3,497.7,337.0
7400.0,474.2,743.7,461.7,334.0
7500.0,522.1,753.6,512.7,390.8
7600.0,542.3,823.7,501.9,557.8
7700.0,538.7,795.6,519.1,498.3
7800.0,508.0,758.4,497.5,389.6
7900.0,581.1,824.1,530.3,583.1
8000.0,574.7,799.7,532.3,502.7
8100.0,488.9,753.9,466.9,393.6
8200.0,508.1,776.7,508.4,402.5
8300.0,537.2,774.8,549.6,483.3
8400.0,488.2,753.3,466.7,403.2
8500.0,548.6,792.3,512.3,432.3
8600.0,545.2,780.5,514.5,463.5
8700.0,475.9,746.3,462.4,336.3
8800.0,447.4,758.0,464.5,302.9
8900.0,475.9,771.5,466.0,301.5
9000.0,531.6,795.7,515.7,388.0
9100.0,461.8,747.2,467.5,311.5
9200.0,516.1,763.7,506.2,397.3
9300.0,558.8,801.3,509.9,468.3
9400.0,522.2,757.4,513.0,395.1
9500.0,468.3,751.9,472.2,359.0
9600.0,542.8,809.2,533.9,530.9
9700.0,465.7,747.0,450.0,329.6
9800.0,516.5,774.5,494.7,390.3
9900.0,528.3,755.5,526.2,421.0
10000.0,452.9,740.5,466.4,326.3
10100.0,509.6,762.6,513.6,392.3
10200.0,541.7,814.1,499.9,462.3
10300.0,520.7,779.7,509.1,402.6
10400.0,561.3,816.8,515.8,467.0
10500.0,539.8,806.9,502.6,467.3
10600.0,503.4,772.7,516.8,380.5
10700.0,447.8,757.8,455.6,298.3
10800.0,505.6,770.5,498.0,390.3
10900.0,573.2,826.0,516.3,568.5
11000.0,539.3,812.1,523.3,432.7
11100.0,492.3,774.2,496.2,335.6
11200.0,508.5,763.9,496.1,407.6
11300.0,464.1,744.2,459.3,373.5
11400.0,462.2,769.3,472.2,303.0
11500.0,514.2,766.4,505.6,443.0
11600.0,461.1,756.7,467.9,308.0
11700.0,478.4,766.8,477.2,321.9
11800.0,568.0,772.7,552.1,500.7
11900.0,489.1,763.8,489.0,338.9
12000.0,511.1,815.4,480.0,515.7
12100.0,515.0,767.0,499.7,423.1
12200.0,515.2,763.6,496.9,381.3
12300.0,492.6,779.9,502.7,349.7
12400.0,540.8,800.5,510.3,451.4
12500.0,514.3,750.4,492.2,409.2
12600.0,453.6,760.8,456.9,351.9
12700.0,483.9,760.5,465.3,429.9
12800.0,515.8,775.0,498.9,371.5
12900.0,536.7,769.2,509.4,423.0
13000.0,485.9,749.3,460.1,421.1
13100.0,458.5,754.5,466.2,292.2
13200.0,553.0,788.1,520.4,437.0
13300.0,522.4,774.7,506.3,414.0
13400.0,544.0,765.3,551.4,473.0
13500.0,542.3,779.7,543.9,450.8
13600.0,505.7,770.3,504.4,420.5
13700.0,541.1,752.9,545.8,437.9
