timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,458.0,723.0,450.6,344.7
100.0,433.7,730.4,453.0,362.8
200.0,467.0,765.7,463.0,347.6
300.0,461.0,750.0,468.4,373.0
400.0,469.3,765.9,460.9,422.4
500.0,454.3,760.7,438.4,454.8
600.0,460.4,757.0,465.8,341.6
700.0,509.9,772.5,487.8,449.2
800.0,478.2,745.6,485.3,417.1
900.0,446.3,740.8,465.9,326.0
1000.0,454.3,748.2,434.3,352.7
1100.0,422.4,697.0,432.4,308.5
1200.0,440.4,723.7,421.8,374.5
1300.0,473.6,761.6,470.3,348.6
1400.0,412.1,702.9,437.1,283.0
1500.0,423.1,710.8,439.2,294.2
1600.0,482.6,771.7,462.3,488.0
1700.0,418.3,717.6,425.4,343.9
1800.0,486.5,769.6,462.1,405.3
1900.0,490.3,751.5,457.2,455.5
2000.0,492.2,779.8,481.7,398.3
2100.0,437.7,743.1,433.0,373.0
2200.0,429.3,711.5,432.5,287.6
2300.0,437.5,739.0,442.8,316.2
2400.0,450.9,753.3,461.3,328.0
2500.0,476.6,762.3,451.3,488.0
2600.0,475.5,755.6,477.0,381.6
2700.0,519.0,779.5,492.0,447.1
2800.0,480.1,758.3,465.2,398.8
2900.0,449.6,732.9,422.3,372.5
3000.0,466.2,733.1,479.2,416.7
3100.0,473.1,747.4,486.5,416.1
3200.0,439.9,723.6,435.8,355.4
3300.0,411.1,697.0,430.1,317.3
3400.0,411.4,701.6,438.4,336.3
3500.0,426.8,737.4,452.6,316.5
3600.0,471.8,747.3,476.0,354.1
3700.0,420.2,697.0,424.1,307.5
3800.0,413.7,711.6,424.5,283.0
3900.0,418.2,715.2,424.0,309.8
4000.0,437.5,736.2,447.8,333.6
4100.0,433.1,718.2,423.5,361.0
4200.0,500.6,763.5,454.8,427.0
4300.0,492.9,755.0,479.4,382.7
4400.0,502.7,780.1,460.6,450.7
4500.0,448.9,739.9,470.2,371.7
4600.0,479.3,763.3,474.7,357.3
4700.0,470.0,764.1,466.8,399.5
4800.0,519.0,783.0,492.0,433.8
4900.0,428.2,730.4,423.7,312.6
5000.0,423.9,699.4,422.2,310.0
5100.0,485.0,738.1,451.7,384.9
5200.0,423.0,715.0,442.9,357.3
5300.0,474.6,754.8,469.1,411.7
5400.0,484.1,746.5,475.9,419.9
5500.0,473.0,749.6,477.3,397.1
5600.0,449.1,755.8,468.2,397.9
5700.0,428.0,701.4,426.4,317.0
5800.0,430.2,718.9,442.4,316.2
5900.0,510.4,783.0,484.6,437.2
6000.0,447.7,734.0,452.8,354.5
6100.0,480.2,762.0,472.7,358.0
6200.0,409.0,715.8,419.0,322.6
6300.0,442.8,730.9,432.9,359.8
6400.0,463.3,743.6,456.3,337.9
6500.0,422.4,732.3,442.9,336.9
6600.0,431.1,719.1,434.0,292.2
6700.0,511.8,767.7,479.3,414.5
6800.0,445.7,717.0,439.2,362.0
6900.0,431.6,727.3,432.5,287.4
7000.0,497.1,754.2,471.3,385.5
7100.0,442.8,722.9,432.0,315.6
7200.0,514.8,774.4,486.5,454.1
7300.0,433.9,732.8,435.8,304.6
7400.0,432.8,742.2,425.7,359.4
7500.0,481.7,751.0,467.1,419.8
7600.0,482.7,767.5,464.8,422.3
7700.0,424.3,744.5,455.5,353.2
7800.0,474.7,743.1,482.3,425.2
7900.0,409.0,703.1,425.7,302.6
8000.0,448.1,743.9,453.7,326.7
8100.0,466.7,758.9,469.7,401.9
8200.0,467.8,758.0,461.0,378.1
8300.0,487.1,768.7,465.1,470.8
8400.0,469.2,762.5,452.8,473.7
8500.0,469.3,746.3,461.7,423.4
8600.0,422.2,718.1,423.2,314.5
8700.0,436.3,719.0,428.9,308.2
8800.0,414.2,697.0,432.9,283.0
8900.0,505.9,764.9,481.1,373.2
9000.0,478.8,748.9,479.9,429.9
9100.0,470.9,747.5,466.2,393.3
9200.0,415.8,711.5,433.5,323.7
9300.0,460.3,774.3,455.4,396.9
9400.0,492.0,758.2,464.8,446.9
9500.0,493.0,770.5,452.7,420.1
9600.0,454.1,741.6,477.5,392.1
9700.0,456.8,736.8,461.0,394.5
9800.0,481.5,748.3,464.8,426.4
9900.0,409.0,697.0,424.4,305.1
10000.0,438.4,718.6,423.2,397.4
10100.0,490.1,765.1,475.0,385.1
10200.0,501.1,773.8,458.2,444.3
10300.0,446.0,746.0,453.0,346.4
10400.0,453.7,735.2,467.5,395.1
10500.0,459.2,755.0,458.6,373.6
10600.0,484.5,752.3,476.9,433.1
10700.0,456.8,738.2,447.3,333.4
10800.0,446.2,717.4,435.7,314.7
10900.0,436.9,732.4,436.5,313.5
11000.0,424.5,734.5,435.6,366.3
11100.0,428.6,723.3,438.7,343.0
11200.0,414.7,715.5,429.9,350.3
11300.0,433.2,711.2,424.3,300.5
11400.0,459.8,761.4,463.9,359.8
11500.0,446.3,738.0,452.7,354.7
11600.0,443.3,738.2,422.1,373.4
11700.0,450.6,737.3,459.1,339.2
11800.0,480.0,771.8,477.7,415.0
11900.0,465.3,737.3,471.5,396.7
12000.0,440.4,722.1,436.2,353.2
12100.0,434.2,723.8,450.1,367.2
12200.0,416.3,718.0,424.2,329.7
12300.0,409.0,705.2,426.7,338.5
12400.0,456.1,738.7,462.0,325.4
12500.0,418.7,736.8,424.5,338.1
12600.0,508.8,774.1,487.6,430.3
12700.0,425.4,707.7,430.4,297.2
12800.0,515.3,780.5,492.0,407.6
12900.0,514.7,783.0,487.6,450.5
13000.0,477.0,749.8,461.5,360.4
13100.0,435.8,720.2,437.1,306.3
13200.0,414.4,720.8,426.3,299.3
13300.0,458.7,735.3,453.2,367.3
13400.0,477.3,763.4,464.7,371.3
13500.0,439.5,713.7,451.3,311.8
13600.0,434.5,714.9,453.4,315.4
13700.0,433.7,726.5,425.5,289.6
13800.0,440.0,737.8,448.1,354.7
13900.0,478.6,747.0,476.5,407.3
14000.0,453.7,745.8,443.4,325.1
14100.0,421.7,712.1,419.1,300.5
14200.0,487.6,778.6,476.6,413.7
14300.0,433.2,741.7,463.9,333.2
14400.0,476.4,756.9,462.8,402.4
14500.0,463.8,753.1,478.4,352.9
14600.0,417.7,697.0,419.0,325.5
14700.0,470.4,757.7,466.0,430.2
14800.0,473.7,773.1,478.0,411.5
14900.0,470.1,753.9,461.6,398.9
15000.0,447.5,735.4,470.9,334.2
15100.0,488.9,759.8,481.7,394.2
15200.0,485.8,777.1,476.5,409.3
15300.0,487.0,777.2,472.5,395.4
15400.0,473.9,762.6,479.0,414.9
15500.0,488.7,773.1,479.6,403.0
15600.0,477.5,761.0,450.0,398.7
15700.0,469.0,777.5,460.7,419.3
15800.0,463.3,769.9,446.5,469.6
15900.0,505.9,778.5,478.9,378.4
16000.0,477.4,770.6,461.0,416.9
16100.0,410.7,723.0,426.6,285.6
16200.0,439.7,727.1,424.0,306.9
16300.0,488.6,745.6,481.0,397.0
16400.0,467.3,750.1,470.9,398.1
16500.0,487.0,755.3,451.1,391.8
16600.0,483.4,757.5,486.9,413.0
16700.0,484.5,758.8,473.4,418.1
16800.0,472.7,758.9,471.0,409.7
16900.0,461.8,732.0,469.4,394.1
17000.0,517.2,783.0,486.9,406.6
17100.0,425.6,718.6,440.6,326.5
17200.0,490.1,746.9,486.5,401.8
17300.0,477.1,762.1,483.1,413.7
17400.0,439.0,719.9,444.4,313.0
17500.0,417.2,709.3,429.7,291.6
17600.0,437.7,720.8,428.2,305.8
17700.0,500.6,774.3,456.2,454.2
17800.0,471.6,761.0,443.3,382.3
17900.0,420.1,697.0,427.1,328.3
18000.0,500.2,771.9,468.5,458.3
18100.0,454.3,768.4,453.2,384.2
18200.0,431.6,726.5,440.3,356.4
18300.0,465.8,754.8,457.0,388.8
18400.0,502.2,759.4,470.5,440.4
18500.0,440.2,716.3,432.8,305.5
18600.0,470.3,765.5,441.9,468.7
18700.0,424.6,701.4,425.5,284.5
18800.0,417.3,697.0,422.8,304.7
18900.0,464.5,742.0,459.0,362.5
19000.0,502.4,745.2,465.3,424.1
19100.0,463.9,769.8,451.2,478.3
19200.0,487.6,753.3,471.2,412.6
19300.0,462.9,741.2,464.9,369.5
19400.0,449.5,751.7,473.5,370.9
19500.0,494.3,772.0,467.2,445.7
19600.0,409.0,702.5,420.6,284.2
19700.0,422.9,720.5,446.6,334.6
19800.0,474.3,748.7,446.2,365.4
19900.0,426.8,743.5,459.4,321.2
20000.0,462.3,755.0,466.7,392.3
20100.0,445.8,751.3,427.0,422.5
20200.0,432.8,730.4,450.7,356.2
20300.0,508.0,777.0,492.0,448.3
20400.0,448.0,730.7,455.7,362.3
20500.0,435.1,731.3,453.2,321.8
20600.0,477.1,752.8,470.3,417.5
20700.0,475.3,757.9,476.3,420.9
20800.0,449.9,753.5,470.0,372.3
20900.0,412.7,697.7,419.0,296.4
21000.0,484.7,758.4,467.9,394.2
21100.0,422.0,716.6,428.9,303.6
21200.0,506.0,783.0,492.0,452.7
21300.0,445.3,727.1,436.4,359.0
21400.0,452.7,748.2,442.9,453.2
21500.0,491.8,769.9,455.8,410.5
21600.0,445.7,734.0,430.9,444.2
21700.0,440.7,739.7,436.7,374.9
21800.0,441.6,734.3,441.6,342.9
21900.0,472.6,738.7,466.2,430.2
22000.0,463.1,736.4,467.3,341.4
22100.0,485.0,745.0,482.9,422.2
22200.0,467.7,756.2,463.3,345.0
22300.0,419.1,702.9,426.7,352.4
22400.0,442.7,734.8,443.1,353.9
22500.0,438.3,717.1,429.3,321.0
22600.0,482.8,748.2,477.7,379.1
22700.0,473.2,750.8,469.2,419.9
22800.0,434.5,727.4,446.0,362.4
22900.0,485.0,767.8,466.2,395.4
23000.0,417.0,705.6,419.0,298.3
23100.0,517.1,783.0,485.3,442.9
23200.0,483.9,749.4,477.2,391.5
23300.0,432.9,718.3,422.1,290.1
23400.0,470.6,748.8,469.1,426.6
23500.0,422.9,697.0,422.7,301.2
23600.0,483.6,765.8,468.6,396.4
23700.0,409.0,709.6,424.6,286.6
23800.0,501.6,782.6,475.5,393.9
23900.0,493.9,751.7,463.2,454.0
24000.0,438.8,717.7,420.5,360.9
24100.0,450.3,744.8,445.1,356.9
24200.0,459.0,731.6,445.0,350.2
24300.0,500.6,759.5,467.5,449.3
24400.0,436.3,721.0,432.2,308.6
24500.0,420.6,730.7,446.6,318.6
24600.0,427.0,710.6,427.7,352.5
24700.0,416.9,724.6,432.4,289.9
24800.0,474.4,770.2,487.5,411.1
24900.0,462.7,741.0,467.0,396.3
25000.0,451.0,737.7,439.1,361.6
25100.0,415.3,716.4,422.2,309.5
25200.0,459.0,749.4,458.5,338.3
25300.0,519.0,774.2,492.0,445.9
25400.0,430.0,723.9,449.8,319.2
25500.0,420.1,741.2,450.6,344.9
25600.0,449.0,771.0,446.9,476.4
25700.0,483.4,756.6,474.6,432.1
25800.0,472.8,750.3,459.6,378.5
25900.0,417.1,712.0,434.4,313.3
26000.0,502.9,758.2,472.2,377.4
26100.0,485.4,774.4,459.8,388.8
26200.0,500.5,748.6,470.3,445.5
26300.0,429.1,715.1,432.6,297.5
26400.0,482.2,746.7,468.6,379.1
26500.0,431.2,708.8,426.8,339.1
26600.0,475.0,766.7,466.7,405.7
26700.0,472.6,755.8,445.8,391.5
26800.0,429.3,732.5,450.0,335.1
26900.0,515.3,781.5,492.0,446.4
27000.0,459.7,758.7,456.7,335.7
27100.0,452.6,734.4,440.8,445.6
27200.0,438.8,723.6,428.5,439.5
27300.0,487.1,769.3,472.1,464.3
27400.0,451.1,740.8,461.6,336.6
27500.0,439.3,735.2,419.0,363.9
27600.0,486.1,768.5,481.9,404.6
27700.0,511.1,783.0,492.0,446.0
27800.0,430.7,741.3,446.4,359.0
27900.0,517.9,769.0,480.1,399.8
28000.0,481.4,769.5,475.4,411.6
28100.0,422.0,698.0,431.7,337.4
28200.0,420.5,723.0,426.4,344.0
28300.0,420.8,714.5,432.9,302.8
28400.0,409.0,709.2,419.0,298.7
28500.0,482.0,752.4,464.0,403.4
28600.0,441.9,721.8,426.6,424.5
28700.0,426.5,716.3,431.1,293.6
28800.0,491.4,752.9,463.7,413.3
28900.0,489.2,761.5,476.2,406.4
29000.0,486.5,770.5,471.6,401.2
29100.0,452.4,735.7,445.7,353.9
29200.0,464.1,751.3,449.6,480.9
29300.0,466.4,749.6,470.6,337.5
29400.0,436.9,740.7,424.0,374.6
29500.0,447.1,734.7,429.6,312.6
29600.0,475.4,747.1,481.5,402.3
29700.0,425.8,711.3,419.8,289.2
29800.0,414.6,713.5,432.7,286.4
29900.0,430.2,733.6,433.3,309.3
30000.0,459.3,729.2,471.3,391.1
30100.0,501.1,765.7,465.3,454.2
30200.0,496.9,757.9,465.9,453.3
30300.0,474.2,757.1,470.9,416.6
30400.0,414.6,707.2,419.0,293.3
30500.0,466.0,743.8,459.2,394.8
30600.0,423.5,738.2,453.4,334.1
30700.0,462.3,736.5,455.9,365.7
30800.0,455.9,763.1,441.9,472.6
30900.0,461.3,737.6,460.7,329.8
31000.0,470.7,761.9,474.2,413.7
31100.0,439.2,727.8,428.2,352.1
31200.0,500.9,768.0,477.9,379.4
31300.0,473.4,741.8,469.3,352.6
31400.0,469.8,752.3,465.8,393.2
31500.0,480.0,767.6,469.0,423.8
31600.0,454.6,762.5,441.8,459.3
31700.0,417.6,708.2,420.1,372.2
31800.0,432.5,726.5,439.5,319.8
31900.0,422.9,723.6,432.9,295.8
32000.0,445.1,726.3,449.4,357.7
32100.0,436.1,742.2,434.0,310.0
32200.0,455.7,738.6,424.4,354.7
32300.0,424.7,713.2,436.6,292.8
32400.0,419.6,713.4,422.2,338.5
32500.0,476.9,769.4,475.4,360.6
32600.0,444.1,725.1,427.0,357.8
32700.0,423.1,717.6,441.8,316.8
32800.0,427.7,727.4,442.5,312.5
32900.0,477.5,764.4,465.6,409.6
33000.0,446.8,734.7,429.0,363.0
