timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,422.5,718.2,430.9,404.4
100.0,425.1,737.2,441.7,433.3
200.0,461.4,769.0,447.3,458.8
300.0,413.0,736.0,423.4,352.7
400.0,418.7,718.9,425.1,336.6
500.0,467.6,769.0,441.2,446.7
600.0,441.8,732.8,441.6,376.8
700.0,458.7,769.0,449.9,464.8
800.0,474.8,759.8,453.5,409.3
900.0,455.0,762.0,443.3,445.9
1000.0,432.6,720.8,445.9,409.2
1100.0,437.4,720.1,437.9,441.3
1200.0,446.4,723.0,434.1,374.7
1300.0,440.7,724.3,437.4,375.4
1400.0,453.4,741.9,455.0,468.0
1500.0,415.9,724.2,424.4,339.3
1600.0,443.7,724.7,447.1,434.1
1700.0,432.9,744.6,420.0,389.5
1800.0,430.0,714.6,438.3,352.0
1900.0,466.0,769.0,433.9,449.0
2000.0,440.2,749.1,425.7,411.4
2100.0,416.3,743.0,433.4,385.3
2200.0,461.3,758.3,444.4,417.7
2300.0,442.0,767.8,420.0,408.5
2400.0,464.4,754.0,447.4,362.9
2500.0,463.9,747.3,451.8,375.1
2600.0,462.8,739.8,445.6,436.3
2700.0,459.8,751.4,438.8,391.9
2800.0,456.2,748.0,432.7,390.8
2900.0,445.7,734.7,451.9,383.8
3000.0,467.3,756.8,446.7,453.3
3100.0,420.4,726.7,431.1,383.1
3200.0,437.8,736.8,442.4,411.9
3300.0,427.3,714.0,435.9,334.2
3400.0,448.4,758.9,432.0,359.0
3500.0,460.8,755.0,449.8,456.5
3600.0,448.3,752.2,444.2,413.8
3700.0,413.6,714.0,426.1,379.2
3800.0,427.1,722.8,444.9,363.2
3900.0,413.0,721.2,430.4,350.6
4000.0,450.0,751.2,438.0,391.1
4100.0,447.9,767.6,427.1,449.7
4200.0,454.1,737.9,439.3,372.3
4300.0,452.7,734.8,429.0,377.1
4400.0,458.0,741.2,442.9,399.3
4500.0,438.1,714.0,428.1,368.1
4600.0,432.4,714.0,445.0,416.9
4700.0,430.5,723.3,431.3,343.9
4800.0,447.1,743.5,445.9,371.1
4900.0,428.6,714.0,438.7,377.7
5000.0,426.4,722.2,443.0,361.3
5100.0,433.3,719.3,436.2,360.8
5200.0,453.2,730.7,451.2,381.3
5300.0,415.7,720.8,430.0,345.7
5400.0,455.6,743.3,432.7,372.7
5500.0,453.0,769.0,429.3,403.0
5600.0,446.3,746.5,420.9,405.2
5700.0,419.4,737.2,439.5,401.9
5800.0,420.6,733.9,440.0,423.6
5900.0,425.7,714.0,421.8,337.8
6000.0,460.7,735.7,441.3,395.7
6100.0,429.1,714.0,430.0,378.3
6200.0,413.0,717.9,430.1,347.2
6300.0,440.2,714.0,442.4,401.0
6400.0,451.1,751.7,420.1,415.0
6500.0,435.0,735.7,429.1,352.6
6600.0,434.5,724.5,431.4,435.8
6700.0,438.3,722.8,437.0,435.8
6800.0,433.2,742.7,431.3,377.9
6900.0,450.6,760.5,441.7,468.0
7000.0,429.7,723.4,436.7,371.7
7100.0,429.5,721.5,431.3,359.3
7200.0,443.9,761.9,431.7,379.7
7300.0,422.9,731.0,427.4,337.8
7400.0,427.9,733.0,436.4,341.3
7500.0,434.0,714.8,435.4,380.4
7600.0,447.6,734.7,444.4,405.9
7700.0,473.8,765.5,444.9,461.1
7800.0,465.7,756.4,447.3,468.0
7900.0,435.4,733.2,441.7,421.7
8000.0,440.4,737.9,445.9,379.9
8100.0,437.2,715.5,443.5,391.2
8200.0,469.0,737.1,444.5,397.6
8300.0,452.6,743.6,450.9,412.5
8400.0,463.7,758.8,445.5,394.9
8500.0,429.7,739.1,432.2,380.9
8600.0,453.0,740.2,450.8,378.6
8700.0,420.5,718.4,423.5,387.0
8800.0,454.7,748.0,440.2,384.9
8900.0,429.4,721.9,435.3,352.2
9000.0,429.3,714.0,432.0,371.5
9100.0,423.7,734.1,431.1,359.0
9200.0,419.4,714.0,423.3,335.2
9300.0,475.0,757.8,444.2,443.7
9400.0,434.2,714.0,432.4,336.5
9500.0,444.6,765.3,446.1,441.7
9600.0,437.7,727.4,436.9,354.4
9700.0,451.2,750.1,444.5,349.3
9800.0,454.9,761.9,438.3,364.5
9900.0,450.1,749.4,436.7,458.9
10000.0,448.6,744.9,440.2,413.2
10100.0,452.3,755.8,439.9,436.8
10200.0,441.3,754.6,437.2,426.5
10300.0,459.2,769.0,449.0,461.8
10400.0,475.0,769.0,439.0,450.1
10500.0,420.8,740.9,423.6,352.1
10600.0,456.3,729.9,445.7,365.7
10700.0,422.0,735.2,423.1,332.0
10800.0,452.2,761.9,439.3,450.0
10900.0,445.5,735.8,437.4,406.1
11000.0,470.1,755.6,445.0,372.4
11100.0,456.7,735.3,441.3,386.0
11200.0,424.0,723.1,431.0,337.7
11300.0,426.2,717.7,444.2,406.3
11400.0,470.8,756.1,439.6,455.8
11500.0,422.8,743.7,432.3,371.7
11600.0,413.1,732.7,428.8,375.2
11700.0,451.7,750.0,444.7,468.0
11800.0,475.0,769.0,452.6,446.7
11900.0,451.0,752.4,420.0,410.1
12000.0,434.7,716.1,434.0,332.0
12100.0,413.8,714.0,425.7,373.9
12200.0,426.4,714.0,426.8,368.2
12300.0,447.2,752.2,420.0,400.4
12400.0,454.2,741.2,440.7,369.5
12500.0,472.9,735.7,455.0,425.9
12600.0,453.3,752.6,425.6,414.7
12700.0,413.0,729.3,437.0,343.5
12800.0,449.2,746.2,440.8,378.1
12900.0,422.9,731.4,437.4,350.8
13000.0,453.4,745.2,452.7,457.5
13100.0,452.1,757.8,447.1,358.9
13200.0,456.7,759.4,442.7,355.9
13300.0,436.0,744.9,436.0,371.4
13400.0,459.9,743.8,448.1,426.5
13500.0,438.7,722.2,442.1,360.8
13600.0,448.1,745.0,438.7,367.1
13700.0,458.7,736.8,453.0,416.4
13800.0,419.0,714.0,428.9,393.7
13900.0,446.9,765.9,436.7,468.0
14000.0,468.7,769.0,436.1,467.0
14100.0,446.3,769.0,420.0,412.3
14200.0,442.4,726.6,454.9,384.8
14300.0,438.8,723.7,443.4,408.5
14400.0,447.9,762.1,440.6,396.2
14500.0,471.0,756.4,445.1,398.9
14600.0,471.9,753.1,451.6,415.5
14700.0,442.0,729.6,438.0,376.9
14800.0,474.1,769.0,445.1,451.4
14900.0,454.5,746.0,445.8,369.3
15000.0,446.8,748.3,424.9,402.1
15100.0,449.4,760.7,440.0,440.5
15200.0,454.5,765.7,446.4,455.7
15300.0,420.5,737.8,430.1,361.5
15400.0,436.6,714.0,435.3,361.8
15500.0,430.0,731.8,428.9,367.2
15600.0,464.6,759.6,439.4,461.4
15700.0,447.4,737.4,441.1,413.1
15800.0,425.2,716.9,431.6,341.7
15900.0,467.4,743.6,446.4,434.6
16000.0,462.0,739.1,455.0,437.9
16100.0,453.7,748.9,426.6,360.1
16200.0,421.8,714.0,420.8,332.0
16300.0,415.9,715.8,434.0,351.9
16400.0,423.4,725.1,433.6,383.4
16500.0,451.3,754.9,433.2,468.0
16600.0,437.7,736.9,442.1,376.8
16700.0,430.8,726.5,445.8,426.8
16800.0,444.3,739.0,443.7,414.3
16900.0,439.0,737.4,432.0,348.2
17000.0,439.9,724.2,432.1,347.1
17100.0,444.6,743.1,432.7,415.4
17200.0,446.2,769.0,427.0,396.3
17300.0,464.1,758.4,440.9,389.7
17400.0,469.8,769.0,446.1,456.8
17500.0,458.3,740.1,447.1,392.1
17600.0,440.6,749.1,446.1,382.9
17700.0,422.9,714.0,437.5,383.8
17800.0,418.5,737.0,423.4,333.8
17900.0,426.9,726.5,436.3,350.1
18000.0,427.1,743.3,427.8,363.2
18100.0,460.3,752.2,440.1,464.8
18200.0,452.5,751.7,447.3,376.2
18300.0,416.4,728.0,421.8,400.8
18400.0,422.5,729.5,424.0,332.0
18500.0,451.9,746.2,434.4,432.0
18600.0,420.4,724.8,424.3,346.5
18700.0,441.8,738.5,436.9,350.3
18800.0,417.3,732.0,428.7,355.1
18900.0,434.8,725.3,442.7,359.7
19000.0,473.9,762.7,444.4,409.5
19100.0,427.5,717.0,422.9,338.5
19200.0,452.9,749.9,446.8,382.7
19300.0,443.7,729.0,448.6,380.9
19400.0,456.8,763.5,441.5,457.4
19500.0,457.4,752.2,451.0,455.9
19600.0,464.4,769.0,444.7,443.1
19700.0,423.3,736.9,438.6,377.2
19800.0,423.3,721.8,443.8,424.6
19900.0,448.2,724.3,442.0,374.5
20000.0,470.2,743.9,448.1,385.4
20100.0,426.1,735.2,421.6,348.2
20200.0,432.1,728.4,442.6,420.6
20300.0,428.1,732.9,439.6,394.0
20400.0,413.0,743.8,424.2,347.0
20500.0,475.0,752.4,450.8,439.2
20600.0,429.2,719.8,427.9,400.7
20700.0,448.3,741.7,442.3,385.1
20800.0,459.8,746.6,449.9,431.7
20900.0,437.4,738.9,434.7,350.9
21000.0,467.7,745.4,446.1,468.0
21100.0,414.4,740.5,420.0,372.8
21200.0,443.5,730.8,449.6,374.6
21300.0,428.6,733.7,433.6,342.1
21400.0,436.8,724.4,431.4,342.3
21500.0,447.2,748.8,441.3,401.5
21600.0,421.0,737.0,428.1,332.0
21700.0,427.4,714.0,431.0,366.0
21800.0,423.3,728.1,437.5,398.1
21900.0,447.3,725.7,448.9,373.7
22000.0,463.1,769.0,446.8,399.1
22100.0,423.8,727.0,433.3,392.2
22200.0,457.3,751.4,452.4,378.1
22300.0,467.3,758.7,452.0,461.9
22400.0,415.4,714.0,431.0,383.5
22500.0,475.0,769.0,439.1,436.4
22600.0,418.6,717.4,443.3,407.4
22700.0,429.1,734.9,439.3,392.7
22800.0,458.5,763.2,454.4,406.2
22900.0,413.0,723.0,436.2,397.1
23000.0,444.3,739.3,435.0,395.0
23100.0,439.2,718.1,439.8,345.6
23200.0,418.2,729.9,430.4,393.3
23300.0,457.3,769.0,434.4,459.7
23400.0,425.3,714.0,430.0,365.9
23500.0,451.1,746.7,438.2,370.3
23600.0,438.8,734.9,442.6,393.5
23700.0,418.7,725.6,431.1,373.9
23800.0,462.1,749.3,442.3,398.6
23900.0,428.7,726.3,443.2,430.4
24000.0,444.3,740.0,440.1,346.4
24100.0,457.4,742.3,448.0,390.8
24200.0,417.2,728.5,439.1,405.8
24300.0,414.2,718.8,423.8,340.6
24400.0,426.3,731.7,424.6,340.2
24500.0,420.5,714.0,436.5,369.3
24600.0,423.6,715.3,423.5,391.4
24700.0,466.7,744.4,442.9,415.2
24800.0,419.6,726.0,433.1,408.6
24900.0,464.9,769.0,435.2,461.1
25000.0,437.2,719.8,437.2,412.9
25100.0,449.0,744.5,454.5,394.8
25200.0,456.3,769.0,444.4,460.7
25300.0,446.0,733.7,442.4,370.5
25400.0,419.2,715.2,430.2,354.1
25500.0,456.9,762.4,452.8,415.7
25600.0,434.5,736.4,428.2,348.7
25700.0,423.6,751.3,421.9,391.1
25800.0,456.1,739.5,435.2,382.4
