timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,372.0,447.0,297.0,551.0
100.0,373.0,448.0,299.0,555.0
200.0,374.0,449.0,300.0,557.0
300.0,374.0,449.0,300.0,559.0
400.0,374.0,450.0,302.0,561.0
500.0,375.0,452.0,302.0,562.0
600.0,375.0,452.0,303.0,564.0
700.0,375.0,453.0,302.0,566.0
800.0,375.0,454.0,304.0,567.0
900.0,376.0,455.0,305.0,567.0
1000.0,376.0,457.0,305.0,568.0
1100.0,376.0,458.0,306.0,570.0
1200.0,377.0,458.0,307.0,571.0
1300.0,377.0,459.0,308.0,572.0
1400.0,378.0,461.0,308.0,572.0
1500.0,378.0,462.0,309.0,574.0
1600.0,378.0,462.0,310.0,574.0
1700.0,379.0,463.0,310.0,575.0
1800.0,380.0,465.0,312.0,577.0
1900.0,379.0,465.0,312.0,578.0
2000.0,380.0,466.0,313.0,578.0
2100.0,381.0,467.0,314.0,578.0
2200.0,381.0,469.0,314.0,579.0
2300.0,381.0,469.0,315.0,579.0
2400.0,382.0,470.0,316.0,579.0
2500.0,383.0,471.0,317.0,580.0
2600.0,382.0,473.0,318.0,580.0
2700.0,382.0,473.0,319.0,581.0
2800.0,383.0,474.0,319.0,580.0
2900.0,384.0,475.0,320.0,580.0
3000.0,385.0,477.0,321.0,580.0
3100.0,385.0,477.0,322.0,580.0
3200.0,385.0,478.0,322.0,579.0
3300.0,386.0,479.0,323.0,579.0
3400.0,386.0,480.0,323.0,579.0
3500.0,387.0,481.0,325.0,578.0
3600.0,387.0,481.0,325.0,578.0
3700.0,388.0,482.0,326.0,580.0
3800.0,388.0,484.0,327.0,579.0
3900.0,389.0,484.0,327.0,578.0
4000.0,389.0,485.0,327.0,579.0
4100.0,390.0,486.0,328.0,579.0
4200.0,389.0,486.0,329.0,578.0
4300.0,390.0,487.0,330.0,579.0
4400.0,391.0,488.0,330.0,581.0
4500.0,390.0,489.0,332.0,581.0
4600.0,391.0,490.0,333.0,582.0
4700.0,391.0,491.0,334.0,583.0
4800.0,391.0,493.0,334.0,583.0
4900.0,392.0,493.0,334.0,585.0
5000.0,393.0,494.0,334.0,585.0
5100.0,393.0,495.0,336.0,586.0
5200.0,393.0,496.0,336.0,586.0
5300.0,394.0,497.0,338.0,585.0
5400.0,394.0,497.0,339.0,587.0
5500.0,395.0,498.0,338.0,587.0
5600.0,395.0,499.0,339.0,586.0
5700.0,395.0,501.0,340.0,586.0
5800.0,396.0,501.0,341.0,589.0
5900.0,396.0,501.0,342.0,587.0
6000.0,396.0,502.0,342.0,587.0
6100.0,398.0,503.0,343.0,586.0
6200.0,398.0,505.0,343.0,585.0
6300.0,397.0,504.0,344.0,585.0
6400.0,398.0,506.0,346.0,584.0
6500.0,399.0,506.0,345.0,583.0
6600.0,399.0,507.0,347.0,582.0
6700.0,400.0,508.0,347.0,582.0
6800.0,400.0,509.0,348.0,581.0
6900.0,399.0,509.0,348.0,577.0
7000.0,400.0,509.0,349.0,576.0
7100.0,402.0,511.0,348.0,574.0
7200.0,401.0,511.0,350.0,573.0
7300.0,402.0,512.0,351.0,570.0
7400.0,402.0,512.0,352.0,570.0
7500.0,403.0,513.0,352.0,567.0
7600.0,403.0,514.0,353.0,566.0
7700.0,402.0,515.0,353.0,562.0
7800.0,403.0,515.0,353.0,561.0
7900.0,404.0,515.0,354.0,559.0
8000.0,404.0,516.0,355.0,557.0
