timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,489.0,702.3,551.6,647.0
100.0,405.5,507.8,358.9,548.9
200.0,472.0,679.8,518.1,621.0
300.0,460.2,668.5,487.1,605.7
400.0,483.2,701.4,547.0,644.2
500.0,461.9,630.9,470.1,605.9
600.0,441.3,596.5,430.8,586.0
700.0,404.1,518.7,346.7,554.9
800.0,489.0,706.0,553.9,641.4
900.0,489.0,693.8,551.7,647.0
1000.0,396.3,477.0,323.1,589.4
1100.0,462.0,654.9,506.9,614.3
1200.0,482.8,685.5,535.6,623.3
1300.0,409.8,533.2,370.0,566.6
1400.0,488.5,706.0,548.9,647.0
1500.0,397.1,497.6,344.7,580.7
1600.0,482.7,689.2,537.5,646.4
1700.0,487.8,704.3,558.1,647.0
1800.0,471.6,660.5,491.5,614.0
1900.0,457.1,645.8,497.2,610.4
2000.0,489.0,698.3,561.0,647.0
2100.0,482.7,700.9,559.1,637.9
2200.0,391.9,505.2,343.3,583.3
2300.0,399.8,499.8,344.9,593.2
2400.0,457.1,643.1,485.2,612.6
2500.0,485.1,706.0,561.0,647.0
2600.0,485.8,685.0,539.6,645.0
2700.0,460.5,652.7,487.4,610.2
2800.0,471.5,681.1,530.0,632.8
2900.0,466.3,648.9,486.2,606.6
3000.0,459.9,662.3,492.0,598.5
3100.0,455.1,633.3,474.9,610.4
3200.0,467.8,648.5,479.0,608.5
3300.0,445.9,633.8,454.0,607.7
3400.0,466.9,644.0,475.5,613.2
3500.0,440.4,619.4,439.3,579.8
3600.0,489.0,706.0,541.6,647.0
3700.0,480.2,697.0,529.5,642.6
3800.0,473.8,676.6,503.9,619.1
3900.0,480.4,696.6,535.9,631.0
4000.0,476.3,669.9,505.1,630.2
4100.0,422.5,576.8,402.3,567.2
4200.0,439.1,602.3,417.7,567.7
4300.0,396.9,518.1,350.8,559.5
4400.0,459.9,668.4,497.3,617.0
4500.0,400.2,502.3,335.5,583.9
4600.0,414.3,545.5,373.2,563.6
4700.0,489.0,706.0,550.4,644.4
4800.0,470.0,667.7,498.1,616.6
4900.0,448.4,614.5,455.9,597.0
5000.0,463.5,678.3,501.8,608.8
5100.0,479.6,678.0,521.0,623.1
5200.0,421.1,581.1,400.4,572.3
5300.0,403.7,525.2,358.5,541.0
5400.0,446.0,606.3,435.5,583.9
5500.0,438.4,622.9,447.8,600.1
5600.0,443.1,621.2,446.0,575.4
5700.0,481.3,679.8,527.0,625.9
5800.0,483.4,679.1,532.0,623.8
5900.0,419.8,566.2,400.5,567.3
6000.0,422.7,581.8,398.6,579.4
6100.0,430.1,591.8,417.5,574.9
6200.0,458.0,671.2,489.0,628.9
6300.0,472.3,686.3,525.9,638.0
6400.0,469.9,656.7,506.6,617.1
6500.0,461.1,675.7,508.9,609.9
6600.0,460.3,642.7,482.2,605.5
6700.0,396.2,511.1,350.5,573.4
