timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,509.4,745.5,638.6,681.4
100.0,511.0,744.0,637.0,670.0
200.0,505.0,751.5,641.8,670.0
300.0,511.0,744.7,637.2,670.0
400.0,511.0,752.8,638.3,689.6
500.0,511.0,744.0,632.4,684.8
600.0,511.0,754.0,632.4,690.5
700.0,511.0,754.0,628.0,685.8
800.0,505.0,746.3,642.0,678.8
900.0,511.0,744.0,642.0,671.8
1000.0,505.9,751.3,642.0,684.7
1100.0,505.3,753.7,631.2,682.2
1200.0,511.0,745.7,632.1,691.9
1300.0,509.1,754.0,640.2,672.3
1400.0,511.0,751.0,628.0,670.6
1500.0,510.2,744.0,642.0,670.0
1600.0,511.0,748.6,635.6,677.3
1700.0,505.0,752.2,638.9,683.3
1800.0,505.0,754.0,630.9,696.0
1900.0,511.0,744.0,642.0,688.3
2000.0,509.2,744.0,640.7,683.8
2100.0,507.7,754.0,628.0,675.7
2200.0,511.0,754.0,631.1,690.0
2300.0,511.0,754.0,637.6,684.0
2400.0,510.0,754.0,631.0,672.8
2500.0,511.0,754.0,642.0,695.0
2600.0,505.8,753.6,628.0,681.5
2700.0,511.0,754.0,628.0,670.0
2800.0,505.3,744.0,628.0,694.9
2900.0,511.0,749.7,642.0,696.0
3000.0,511.0,744.0,642.0,684.2
3100.0,505.0,754.0,633.7,680.5
3200.0,505.0,744.0,628.7,670.0
3300.0,505.0,744.8,628.0,670.0
3400.0,511.0,754.0,642.0,696.0
3500.0,509.3,744.0,640.6,686.4
3600.0,505.0,744.0,628.0,684.7
3700.0,505.9,744.0,633.2,687.6
3800.0,505.3,744.0,628.1,694.6
3900.0,508.4,744.0,642.0,675.3
4000.0,510.4,744.0,633.1,686.8
4100.0,511.0,744.0,642.0,679.0
4200.0,505.0,754.0,637.7,679.5
4300.0,505.0,754.0,628.0,679.1
4400.0,511.0,748.8,631.7,670.0
4500.0,505.8,747.6,633.3,674.3
4600.0,511.0,754.0,639.2,675.4
4700.0,511.0,754.0,641.0,670.0
4800.0,505.0,754.0,628.0,673.6
4900.0,511.0,754.0,642.0,670.0
5000.0,505.0,754.0,638.8,679.0
5100.0,511.0,744.0,642.0,688.5
5200.0,511.0,744.0,638.2,670.0
5300.0,511.0,744.0,633.3,673.3
