timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,841.0,936.0,882.0,884.0
100.0,849.0,941.0,882.0,869.6
200.0,849.0,941.0,882.0,884.0
300.0,849.0,936.0,875.0,856.0
400.0,849.0,936.0,882.0,884.0
500.0,841.0,940.7,882.0,856.0
600.0,849.0,941.0,882.0,863.8
700.0,841.0,936.0,875.0,856.0
800.0,849.0,936.0,875.0,883.7
900.0,841.0,940.1,875.0,863.8
1000.0,844.9,941.0,875.0,876.7
1100.0,841.5,936.0,878.7,856.0
1200.0,849.0,936.0,882.0,863.6
1300.0,849.0,936.0,882.0,866.2
1400.0,849.0,936.7,875.0,884.0
1500.0,841.0,941.0,882.0,881.5
1600.0,841.0,941.0,875.0,856.0
1700.0,841.0,936.0,881.1,878.5
1800.0,841.0,936.0,875.0,872.5
1900.0,841.0,936.0,876.4,865.8
2000.0,841.0,936.0,875.0,862.9
2100.0,843.6,936.0,875.0,867.9
2200.0,841.0,936.0,882.0,877.5
2300.0,849.0,936.0,875.0,880.3
2400.0,841.0,938.8,881.8,874.6
2500.0,841.0,941.0,875.0,856.0
2600.0,841.0,941.0,882.0,880.4
2700.0,842.9,936.0,882.0,873.1
2800.0,849.0,936.0,882.0,859.9
2900.0,843.6,941.0,876.0,868.8
3000.0,841.0,941.0,877.8,856.0
3100.0,841.0,941.0,875.0,856.0
3200.0,849.0,941.0,875.0,861.9
3300.0,844.7,936.0,882.0,873.4
3400.0,841.0,939.7,875.0,878.2
3500.0,842.9,941.0,875.0,884.0
3600.0,841.0,941.0,882.0,884.0
3700.0,846.9,936.0,875.0,884.0
3800.0,841.0,941.0,882.0,874.7
3900.0,849.0,936.0,882.0,871.2
4000.0,841.0,941.0,882.0,861.5
4100.0,841.0,936.0,879.5,871.3
4200.0,841.0,941.0,875.0,873.4
4300.0,841.0,936.0,875.0,884.0
4400.0,849.0,936.0,880.3,856.0
4500.0,849.0,941.0,882.0,880.5
4600.0,845.3,941.0,882.0,873.6
4700.0,849.0,941.0,875.0,862.7
4800.0,842.5,936.0,875.0,856.0
4900.0,841.0,936.0,882.0,879.2
5000.0,841.0,941.0,875.0,864.3
5100.0,849.0,941.0,881.2,875.0
5200.0,841.0,936.0,882.0,884.0
5300.0,849.0,936.0,878.8,864.6
5400.0,841.0,936.0,875.0,884.0
5500.0,849.0,936.0,875.0,856.0
5600.0,849.0,936.0,882.0,856.0
5700.0,841.0,936.0,882.0,884.0
5800.0,841.0,936.0,875.0,872.4
5900.0,849.0,936.0,875.0,879.0
6000.0,849.0,937.7,882.0,856.0
6100.0,841.0,941.0,875.0,869.8
6200.0,841.0,936.0,882.0,856.0
6300.0,841.0,936.0,882.0,858.8
