timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,827.1,939.0,885.0,895.0
100.0,824.0,939.0,885.0,895.0
200.0,824.0,937.0,885.0,905.0
300.0,824.0,939.0,881.0,905.0
400.0,828.0,939.0,885.0,904.9
500.0,827.4,939.0,881.0,905.0
600.0,824.0,937.0,881.0,895.0
700.0,828.0,937.0,881.0,895.3
800.0,825.5,939.0,881.0,902.3
900.0,828.0,939.0,881.0,895.0
1000.0,828.0,939.0,885.0,905.0
1100.0,828.0,937.0,881.0,895.0
1200.0,825.5,937.0,881.0,903.0
1300.0,828.0,937.0,884.6,905.0
1400.0,828.0,939.0,885.0,904.8
1500.0,824.0,937.0,885.0,899.4
1600.0,828.0,937.0,881.0,895.0
1700.0,828.0,939.0,885.0,903.8
1800.0,828.0,937.0,885.0,905.0
1900.0,824.0,937.0,881.0,895.0
2000.0,824.0,939.0,881.0,905.0
2100.0,824.0,937.0,881.0,905.0
2200.0,828.0,939.0,885.0,905.0
2300.0,824.0,939.0,885.0,905.0
2400.0,828.0,939.0,881.0,905.0
2500.0,824.0,938.7,885.0,901.2
2600.0,828.0,937.0,881.0,895.0
2700.0,828.0,939.0,885.0,896.4
2800.0,828.0,939.0,882.4,905.0
2900.0,824.0,938.1,881.0,899.0
3000.0,828.0,937.5,883.9,895.0
3100.0,828.0,937.0,881.0,905.0
3200.0,828.0,939.0,881.0,900.7
3300.0,828.0,937.0,881.0,895.0
3400.0,828.0,937.0,881.0,905.0
3500.0,824.0,939.0,881.0,905.0
3600.0,828.0,939.0,881.0,905.0
3700.0,828.0,937.0,881.6,898.1
3800.0,828.0,937.0,885.0,905.0
3900.0,825.4,937.0,881.0,895.3
4000.0,828.0,937.0,881.0,905.0
4100.0,828.0,937.0,881.0,895.0
4200.0,824.0,939.0,885.0,905.0
4300.0,828.0,937.0,881.0,896.6
4400.0,824.0,937.0,881.0,905.0
4500.0,828.0,937.0,885.0,895.0
4600.0,827.6,939.0,881.0,895.0
4700.0,824.0,937.0,885.0,905.0
4800.0,824.0,937.0,881.0,895.0
4900.0,828.0,939.0,881.0,901.6
5000.0,828.0,939.0,881.0,905.0
5100.0,828.0,937.0,881.0,895.0
5200.0,828.0,937.0,881.0,901.0
5300.0,828.0,937.0,881.0,895.1
5400.0,828.0,937.0,885.0,905.0
5500.0,828.0,937.0,885.0,905.0
5600.0,824.0,937.0,885.0,905.0
5700.0,824.0,939.0,885.0,905.0
5800.0,824.0,939.0,885.0,905.0
5900.0,824.0,939.0,881.0,905.0
6000.0,828.0,937.0,884.1,905.0
6100.0,828.0,939.0,881.0,897.3
6200.0,824.0,939.0,881.0,905.0
6300.0,828.0,939.0,885.0,901.0
6400.0,824.0,939.0,881.0,900.9
6500.0,828.0,939.0,885.0,896.6
6600.0,825.3,937.0,881.0,905.0
6700.0,824.0,939.0,881.0,895.0
6800.0,824.0,939.0,881.0,905.0
6900.0,824.0,937.0,881.0,898.5
7000.0,824.0,938.9,885.0,905.0
7100.0,828.0,937.0,885.0,905.0
7200.0,828.0,937.0,885.0,898.7
7300.0,824.0,939.0,884.7,895.0
7400.0,828.0,939.0,885.0,895.0
7500.0,828.0,937.0,885.0,898.9
7600.0,824.0,939.0,881.0,895.0
7700.0,824.0,939.0,881.0,895.0
7800.0,824.0,939.0,881.0,899.8
7900.0,824.0,939.0,881.0,905.0
8000.0,824.0,939.0,881.0,905.0
8100.0,824.0,937.0,881.0,905.0
8200.0,824.0,937.0,885.0,905.0
8300.0,824.0,939.0,885.0,905.0
8400.0,824.0,939.0,885.0,895.0
8500.0,824.0,939.0,885.0,895.0
8600.0,828.0,937.0,881.0,905.0
8700.0,824.0,939.0,885.0,898.7
8800.0,828.0,937.0,885.0,895.0
8900.0,825.0,939.0,881.0,895.0
9000.0,824.0,939.0,885.0,895.0
9100.0,828.0,937.0,881.0,905.0
9200.0,824.0,939.0,885.0,895.0
9300.0,824.0,937.0,885.0,905.0
9400.0,828.0,939.0,885.0,895.0
9500.0,825.1,939.0,881.0,897.2
9600.0,828.0,939.0,881.0,895.0
9700.0,824.0,939.0,885.0,905.0
9800.0,828.0,939.0,885.0,905.0
9900.0,824.0,939.0,885.0,895.0
10000.0,824.0,937.0,885.0,905.0
10100.0,824.0,939.0,881.0,905.0
10200.0,827.7,939.0,881.0,905.0
10300.0,828.0,939.0,881.0,905.0
10400.0,828.0,939.0,881.0,895.0
10500.0,824.0,939.0,883.6,905.0
10600.0,824.0,939.0,881.0,896.6
10700.0,824.0,937.0,881.0,905.0
10800.0,828.0,937.0,885.0,895.0
10900.0,824.0,937.0,881.0,905.0
11000.0,824.0,937.0,881.0,904.8
11100.0,824.0,939.0,881.0,895.0
11200.0,824.0,937.0,881.0,905.0
11300.0,828.0,939.0,881.0,895.0
11400.0,824.0,939.0,881.0,895.0
11500.0,828.0,937.0,885.0,905.0
11600.0,825.1,939.0,881.5,895.0
11700.0,824.0,939.0,885.0,905.0
11800.0,828.0,937.0,881.1,898.4
11900.0,824.0,939.0,885.0,902.2
12000.0,827.2,939.0,885.0,905.0
12100.0,824.0,937.0,881.0,901.2
12200.0,828.0,939.0,885.0,905.0
12300.0,827.0,937.0,885.0,898.2
12400.0,824.0,937.0,881.0,905.0
12500.0,824.0,937.0,885.0,905.0
12600.0,824.0,939.0,881.0,895.0
12700.0,824.0,939.0,883.7,905.0
12800.0,824.0,937.0,885.0,905.0
12900.0,824.0,939.0,884.2,895.0
13000.0,824.0,939.0,881.0,895.0
13100.0,828.0,939.0,881.0,896.2
13200.0,824.1,939.0,881.0,901.8
13300.0,824.4,939.0,881.0,905.0
13400.0,828.0,937.0,884.8,901.6
13500.0,824.0,939.0,885.0,895.0
13600.0,828.0,937.0,881.0,895.0
