timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,635.6,812.0,673.5,629.6
100.0,637.7,812.4,670.7,609.0
200.0,645.0,812.0,657.0,618.1
300.0,633.9,813.0,657.0,599.0
400.0,624.0,821.0,657.0,615.4
500.0,640.5,815.0,657.0,599.0
600.0,630.0,812.0,666.0,606.2
700.0,630.4,815.3,658.9,607.7
800.0,638.7,815.0,667.2,608.7
900.0,636.7,812.0,669.4,599.0
1000.0,626.2,821.0,661.6,610.9
1100.0,642.5,812.0,674.1,621.5
1200.0,638.7,813.3,675.0,632.0
1300.0,624.6,812.0,669.8,625.9
1400.0,644.1,819.5,657.0,623.6
1500.0,633.1,821.0,665.4,601.9
1600.0,624.0,815.0,661.6,604.0
1700.0,629.4,813.3,657.0,599.0
1800.0,632.3,812.0,666.3,606.9
1900.0,643.8,821.0,663.5,631.2
2000.0,644.4,821.0,674.1,619.4
2100.0,624.0,812.0,667.6,599.1
2200.0,637.3,821.0,664.8,599.0
2300.0,645.0,818.8,663.2,602.8
2400.0,645.0,819.5,657.0,627.5
2500.0,645.0,821.0,657.0,613.7
2600.0,645.0,821.0,665.5,603.7
2700.0,640.3,812.0,675.0,632.0
2800.0,629.7,812.0,657.0,608.5
2900.0,640.5,812.0,671.5,612.2
3000.0,636.5,812.0,657.0,599.0
3100.0,624.0,812.9,663.8,599.0
3200.0,638.4,821.0,657.0,623.0
3300.0,634.3,812.0,670.4,618.8
3400.0,642.9,821.0,657.8,620.4
3500.0,625.7,812.0,672.6,623.5
3600.0,645.0,816.6,657.0,612.1
3700.0,635.4,821.0,657.0,603.3
3800.0,645.0,821.0,672.2,630.7
3900.0,639.9,812.0,673.3,627.1
4000.0,633.2,821.0,667.6,599.0
4100.0,635.6,816.6,662.6,616.6
4200.0,627.0,821.0,657.0,611.7
4300.0,645.0,816.8,664.5,608.9
4400.0,645.0,821.0,657.0,600.3
4500.0,639.1,821.0,657.0,622.1
4600.0,624.0,821.0,657.0,605.5
4700.0,645.0,812.0,657.0,628.8
4800.0,643.4,813.3,669.9,631.0
4900.0,630.9,821.0,657.0,606.3
5000.0,640.9,821.0,672.4,613.7
5100.0,645.0,817.7,662.7,620.5
5200.0,645.0,815.8,659.7,609.8
5300.0,625.0,821.0,675.0,624.2
5400.0,642.3,814.2,659.0,621.3
5500.0,641.1,812.0,657.0,616.0
5600.0,632.6,812.0,673.8,606.7
5700.0,645.0,821.0,671.1,621.4
5800.0,645.0,821.0,674.5,627.3
5900.0,633.7,819.6,657.0,609.1
6000.0,627.6,820.2,661.0,600.2
6100.0,634.0,821.0,657.0,619.5
6200.0,624.0,821.0,662.7,627.5
6300.0,624.0,812.0,669.5,607.6
6400.0,630.7,821.0,673.6,620.7
6500.0,632.2,821.0,657.1,611.5
6600.0,629.6,818.7,671.6,604.1
6700.0,645.0,821.0,674.9,628.0
6800.0,639.3,812.0,668.2,607.5
6900.0,624.0,812.0,660.4,603.5
