timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,625.2,815.0,697.0,634.9
100.0,636.0,815.0,697.0,650.8
200.0,624.0,815.0,695.3,648.5
300.0,636.0,815.0,697.0,661.6
400.0,627.4,824.0,697.0,644.7
500.0,624.0,824.0,692.9,661.0
600.0,627.4,815.0,697.0,637.7
700.0,632.2,824.0,690.0,661.3
800.0,624.0,824.0,693.0,662.0
900.0,629.9,815.0,690.0,638.5
1000.0,634.8,815.0,694.5,656.7
1100.0,628.4,824.0,697.0,662.0
1200.0,624.4,824.0,697.0,662.0
1300.0,626.4,815.0,690.0,651.5
1400.0,635.6,824.0,697.0,650.0
1500.0,628.6,824.0,693.6,662.0
1600.0,628.5,815.0,690.0,659.4
1700.0,627.9,815.5,697.0,646.3
1800.0,624.2,817.1,692.8,662.0
1900.0,626.1,824.0,697.0,662.0
2000.0,636.0,815.5,697.0,650.4
2100.0,624.0,817.5,696.9,630.0
2200.0,636.0,824.0,697.0,662.0
2300.0,634.7,824.0,697.0,652.7
2400.0,627.0,824.0,690.0,662.0
2500.0,632.6,824.0,690.0,662.0
2600.0,636.0,821.6,690.8,655.1
2700.0,624.0,818.4,697.0,659.5
2800.0,624.0,815.7,697.0,646.2
2900.0,626.9,824.0,695.8,646.5
3000.0,624.0,824.0,690.0,662.0
3100.0,624.0,815.0,693.5,640.4
3200.0,627.8,821.9,690.0,653.2
3300.0,629.3,824.0,690.0,662.0
3400.0,636.0,824.0,690.0,662.0
3500.0,636.0,824.0,695.8,652.7
3600.0,624.0,819.1,697.0,639.8
3700.0,636.0,815.0,690.0,660.2
3800.0,633.0,824.0,692.0,655.2
3900.0,624.0,824.0,697.0,662.0
4000.0,627.6,815.0,690.0,640.1
4100.0,636.0,824.0,691.7,655.1
4200.0,636.0,824.0,690.0,646.4
4300.0,630.8,815.0,697.0,645.7
4400.0,632.7,815.0,697.0,650.9
4500.0,634.8,815.0,690.0,659.2
4600.0,636.0,815.0,690.0,636.7
4700.0,636.0,824.0,692.9,652.1
4800.0,626.5,815.0,693.1,655.1
4900.0,633.1,815.1,690.0,662.0
5000.0,633.0,815.5,697.0,649.9
5100.0,632.2,824.0,690.0,662.0
5200.0,635.4,824.0,696.4,653.5
5300.0,636.0,824.0,697.0,653.2
5400.0,631.8,815.0,697.0,654.5
5500.0,636.0,824.0,690.0,653.4
5600.0,636.0,824.0,695.0,656.4
5700.0,636.0,821.3,690.0,662.0
5800.0,629.6,815.0,697.0,661.0
5900.0,626.2,817.6,697.0,630.0
6000.0,630.5,824.0,697.0,658.6
6100.0,636.0,815.0,697.0,657.4
6200.0,636.0,824.0,697.0,648.7
6300.0,636.0,815.0,697.0,661.3
6400.0,633.3,815.0,690.0,650.4
6500.0,636.0,824.0,697.0,648.8
6600.0,631.0,815.0,697.0,653.2
6700.0,624.0,815.0,690.0,662.0
6800.0,636.0,815.9,690.0,648.2
6900.0,636.0,821.5,690.0,662.0
7000.0,636.0,818.9,690.0,660.6
7100.0,629.7,824.0,690.0,635.0
7200.0,634.2,821.0,690.0,662.0
7300.0,625.5,818.3,697.0,654.5
7400.0,629.5,815.0,697.0,648.5
7500.0,636.0,824.0,690.0,656.2
7600.0,636.0,817.7,696.9,653.4
7700.0,624.0,824.0,692.1,650.1
7800.0,636.0,815.0,694.7,662.0
7900.0,630.2,818.3,694.3,630.0
8000.0,636.0,815.9,690.0,643.8
8100.0,630.3,822.3,690.0,650.6
8200.0,636.0,819.7,697.0,662.0
8300.0,635.3,823.1,697.0,661.5
8400.0,627.2,824.0,697.0,649.7
8500.0,636.0,824.0,692.4,646.2
8600.0,636.0,824.0,691.8,657.5
8700.0,636.0,824.0,692.8,662.0
8800.0,636.0,824.0,697.0,657.9
8900.0,624.2,815.0,693.7,645.7
9000.0,624.0,815.0,690.3,656.0
9100.0,636.0,815.0,690.0,657.5
9200.0,636.0,815.0,697.0,650.6
9300.0,624.0,824.0,690.0,638.5
9400.0,636.0,815.0,697.0,649.0
9500.0,629.0,824.0,697.0,659.4
9600.0,636.0,820.5,690.0,650.5
9700.0,624.0,815.0,696.2,659.2
9800.0,625.1,815.0,692.6,645.8
9900.0,627.5,824.0,690.4,662.0
10000.0,636.0,815.0,696.0,662.0
10100.0,626.2,815.0,690.0,659.1
10200.0,636.0,820.3,697.0,646.0
10300.0,633.8,824.0,694.6,650.1
10400.0,635.8,824.0,697.0,649.1
10500.0,635.6,824.0,690.2,645.6
10600.0,624.0,815.0,690.0,656.4
10700.0,627.7,824.0,697.0,654.4
10800.0,636.0,824.0,697.0,656.4
10900.0,636.0,824.0,692.3,643.6
11000.0,636.0,824.0,690.0,648.3
11100.0,626.5,824.0,690.0,646.9
11200.0,636.0,824.0,696.6,649.5
11300.0,629.6,815.0,691.6,662.0
11400.0,624.2,824.0,697.0,662.0
11500.0,628.8,815.0,697.0,662.0
11600.0,635.2,823.1,697.0,662.0
11700.0,624.0,815.0,690.0,659.6
11800.0,631.7,820.8,697.0,651.8
11900.0,634.6,824.0,697.0,662.0
12000.0,636.0,815.0,697.0,651.3
12100.0,633.6,818.0,697.0,662.0
12200.0,636.0,815.0,690.0,658.6
12300.0,627.3,824.0,697.0,651.1
12400.0,636.0,815.0,690.0,656.6
12500.0,635.6,824.0,697.0,656.7
12600.0,636.0,824.0,690.0,640.3
12700.0,624.8,817.5,696.1,653.7
12800.0,635.1,815.0,690.0,662.0
12900.0,624.0,819.0,690.0,647.2
13000.0,629.9,824.0,690.0,655.9
13100.0,624.8,824.0,693.1,643.0
13200.0,634.0,815.7,690.0,647.9
13300.0,636.0,815.0,697.0,661.0
13400.0,636.0,815.0,690.0,662.0
13500.0,624.0,815.0,697.0,636.1
13600.0,633.0,816.6,697.0,652.9
13700.0,636.0,824.0,695.5,662.0
13800.0,636.0,815.0,697.0,662.0
13900.0,632.3,815.0,690.0,639.9
14000.0,630.6,824.0,697.0,662.0
14100.0,631.4,824.0,697.0,662.0
14200.0,636.0,815.0,690.0,645.2
14300.0,636.0,815.5,690.0,657.5
14400.0,635.3,824.0,690.0,662.0
14500.0,626.6,817.1,690.0,641.6
14600.0,626.1,815.0,697.0,654.3
14700.0,626.7,815.0,691.4,659.3
14800.0,636.0,824.0,697.0,648.3
14900.0,635.4,824.0,690.0,644.9
15000.0,636.0,824.0,697.0,634.6
15100.0,625.6,824.0,697.0,644.9
15200.0,627.6,820.3,697.0,650.6
15300.0,636.0,815.0,690.0,658.5
15400.0,628.2,815.0,690.0,630.0
15500.0,627.2,815.0,690.0,631.9
15600.0,636.0,824.0,690.0,646.7
15700.0,625.1,824.0,696.9,647.0
15800.0,625.4,824.0,695.3,647.4
15900.0,636.0,816.8,697.0,645.6
16000.0,624.0,815.0,697.0,644.5
16100.0,636.0,824.0,690.0,658.9
16200.0,636.0,824.0,690.0,662.0
16300.0,624.0,824.0,697.0,647.1
16400.0,626.1,824.0,697.0,645.0
16500.0,624.2,819.6,697.0,653.7
16600.0,634.9,815.0,690.0,647.0
16700.0,636.0,815.0,697.0,662.0
16800.0,624.0,824.0,697.0,651.8
16900.0,636.0,824.0,690.0,644.5
17000.0,635.7,824.0,690.0,642.9
17100.0,624.0,815.0,690.2,657.0
17200.0,636.0,815.0,690.0,656.2
17300.0,629.6,824.0,694.4,662.0
17400.0,625.2,815.0,690.0,659.5
17500.0,636.0,817.7,693.1,662.0
17600.0,636.0,824.0,695.7,659.0
17700.0,629.7,824.0,697.0,656.1
17800.0,636.0,824.0,690.0,642.7
17900.0,636.0,817.7,697.0,649.4
18000.0,635.6,824.0,690.0,662.0
18100.0,633.8,824.0,697.0,661.6
18200.0,636.0,824.0,695.7,662.0
18300.0,631.8,815.0,690.0,662.0
18400.0,636.0,815.5,697.0,662.0
18500.0,624.0,817.1,697.0,639.8
18600.0,635.9,824.0,697.0,641.0
18700.0,634.0,815.0,690.0,662.0
18800.0,636.0,818.4,690.0,643.3
18900.0,631.7,815.0,690.0,644.8
19000.0,636.0,824.0,692.0,662.0
19100.0,636.0,824.0,697.0,659.7
19200.0,628.0,815.0,690.0,658.9
19300.0,636.0,815.0,690.0,658.0
19400.0,636.0,824.0,697.0,662.0
