timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,630.0,819.0,696.0,663.0
100.0,625.0,819.0,687.0,645.0
200.0,625.5,813.0,690.3,662.6
300.0,630.0,814.5,687.0,647.7
400.0,625.0,813.0,696.0,663.0
500.0,629.2,813.0,696.0,660.9
600.0,630.0,813.0,693.3,647.1
700.0,630.0,813.0,696.0,663.0
800.0,625.0,819.0,696.0,653.0
900.0,625.0,813.0,696.0,663.0
1000.0,630.0,813.0,695.4,649.4
1100.0,630.0,813.0,687.0,648.7
1200.0,625.0,813.3,693.8,654.7
1300.0,630.0,819.0,687.0,659.1
1400.0,630.0,819.0,691.1,648.1
1500.0,625.0,819.0,687.0,659.5
1600.0,630.0,813.0,687.0,647.4
1700.0,630.0,813.0,696.0,660.9
1800.0,630.0,813.0,687.0,659.7
1900.0,629.9,816.6,696.0,663.0
2000.0,630.0,819.0,688.6,660.1
2100.0,630.0,819.0,696.0,645.0
2200.0,625.0,813.0,687.0,652.8
2300.0,626.3,813.0,687.0,659.1
2400.0,625.0,819.0,687.1,663.0
2500.0,625.0,813.0,687.0,663.0
2600.0,627.6,819.0,696.0,645.0
2700.0,628.6,813.0,687.0,645.3
2800.0,629.1,818.1,691.6,663.0
2900.0,630.0,813.0,687.0,653.1
3000.0,630.0,815.5,695.4,651.0
3100.0,625.0,819.0,696.0,648.6
3200.0,630.0,819.0,695.5,661.9
3300.0,625.0,813.0,696.0,663.0
3400.0,629.7,819.0,696.0,663.0
3500.0,630.0,817.9,687.0,657.5
3600.0,626.5,819.0,695.2,663.0
3700.0,625.0,819.0,690.4,663.0
3800.0,630.0,813.0,696.0,663.0
3900.0,629.8,819.0,696.0,662.9
4000.0,625.0,813.0,687.0,653.9
4100.0,630.0,813.0,696.0,663.0
4200.0,625.0,813.0,687.0,652.6
4300.0,630.0,813.0,696.0,663.0
4400.0,625.0,819.0,687.0,663.0
4500.0,625.5,813.0,687.0,662.8
4600.0,626.5,813.0,691.6,662.4
4700.0,630.0,819.0,687.0,658.8
4800.0,629.8,813.0,687.0,663.0
4900.0,629.5,815.6,687.0,648.2
5000.0,625.0,813.0,696.0,654.8
5100.0,630.0,819.0,687.0,646.1
5200.0,625.0,819.0,695.1,662.0
5300.0,630.0,819.0,687.0,662.1
5400.0,630.0,818.7,696.0,662.0
5500.0,629.1,819.0,696.0,653.0
5600.0,625.0,817.1,695.8,663.0
5700.0,625.8,813.0,687.6,646.0
5800.0,630.0,819.0,696.0,650.6
5900.0,625.0,819.0,687.0,657.0
6000.0,630.0,819.0,695.9,656.9
6100.0,629.1,813.0,687.0,663.0
6200.0,625.0,819.0,689.4,650.7
6300.0,630.0,819.0,696.0,645.0
6400.0,626.5,819.0,690.7,663.0
6500.0,625.0,819.0,696.0,651.6
6600.0,630.0,813.0,692.4,649.3
6700.0,630.0,813.0,687.0,659.3
6800.0,630.0,819.0,695.4,663.0
6900.0,625.0,819.0,696.0,652.4
7000.0,629.7,813.0,687.0,656.1
7100.0,630.0,819.0,695.1,654.5
7200.0,628.1,813.0,688.5,646.1
7300.0,630.0,819.0,687.0,651.3
7400.0,625.0,817.4,693.3,663.0
7500.0,630.0,813.0,687.0,657.2
7600.0,628.1,819.0,689.5,654.6
7700.0,630.0,819.0,688.5,649.0
7800.0,625.2,819.0,696.0,652.2
7900.0,630.0,819.0,691.1,661.0
8000.0,630.0,814.9,687.0,645.0
8100.0,630.0,813.0,696.0,654.5
8200.0,626.2,813.5,696.0,663.0
8300.0,630.0,813.0,694.8,645.0
8400.0,625.0,813.0,687.0,645.0
8500.0,627.1,818.3,687.0,645.0
8600.0,625.4,813.0,696.0,663.0
8700.0,625.0,818.5,696.0,653.0
8800.0,625.0,819.0,696.0,648.1
8900.0,625.0,819.0,695.0,663.0
9000.0,627.0,813.0,696.0,663.0
9100.0,625.0,819.0,690.1,663.0
9200.0,625.0,813.0,687.0,650.5
9300.0,630.0,819.0,695.6,663.0
9400.0,625.0,813.0,692.6,646.0
9500.0,625.0,819.0,687.0,651.0
9600.0,630.0,813.0,696.0,648.6
9700.0,625.0,814.8,694.8,651.6
9800.0,630.0,813.0,692.8,649.9
9900.0,627.4,813.0,687.1,663.0
10000.0,625.0,819.0,687.0,663.0
10100.0,627.9,819.0,687.0,663.0
10200.0,625.0,819.0,693.9,657.9
10300.0,625.0,813.0,696.0,645.0
10400.0,625.0,817.5,687.0,657.3
10500.0,625.0,814.0,689.7,647.2
10600.0,626.5,819.0,696.0,648.8
10700.0,628.3,813.0,696.0,654.4
10800.0,626.2,813.0,696.0,663.0
10900.0,630.0,813.0,694.0,645.0
11000.0,625.0,819.0,687.4,659.8
11100.0,627.9,818.7,687.0,645.0
11200.0,630.0,815.9,696.0,660.7
11300.0,630.0,819.0,690.0,652.6
11400.0,630.0,819.0,696.0,656.5
11500.0,625.0,813.0,687.0,653.9
11600.0,625.0,813.3,696.0,645.0
11700.0,625.0,819.0,690.2,663.0
11800.0,625.0,819.0,687.0,663.0
11900.0,625.0,819.0,696.0,663.0
12000.0,628.2,813.0,696.0,663.0
12100.0,630.0,818.3,694.8,655.2
12200.0,629.7,813.0,687.0,653.2
12300.0,630.0,817.8,689.7,659.3
12400.0,625.0,819.0,696.0,661.2
12500.0,625.0,813.0,696.0,663.0
12600.0,625.0,813.0,687.0,647.3
12700.0,626.5,819.0,696.0,649.3
12800.0,625.0,813.0,696.0,663.0
12900.0,625.0,818.5,696.0,660.4
13000.0,630.0,813.0,687.0,646.1
13100.0,625.4,819.0,687.0,653.2
13200.0,625.5,813.7,696.0,651.6
13300.0,625.0,819.0,687.0,659.5
13400.0,630.0,813.0,687.0,645.7
13500.0,630.0,819.0,690.9,658.5
13600.0,625.0,819.0,690.4,651.5
13700.0,626.4,813.0,696.0,663.0
13800.0,630.0,819.0,687.0,645.2
13900.0,627.0,819.0,696.0,663.0
14000.0,630.0,813.0,696.0,663.0
14100.0,630.0,813.0,687.0,645.2
14200.0,625.0,813.0,695.0,645.0
14300.0,625.0,819.0,696.0,663.0
14400.0,625.0,813.0,696.0,651.8
14500.0,625.0,813.0,687.0,661.3
14600.0,625.0,819.0,695.3,662.4
14700.0,630.0,813.2,690.4,650.2
14800.0,630.0,819.0,692.4,658.8
14900.0,626.0,819.0,696.0,659.3
15000.0,626.5,817.5,687.0,652.3
15100.0,630.0,819.0,696.0,650.6
15200.0,626.6,819.0,696.0,663.0
15300.0,630.0,819.0,696.0,655.3
15400.0,625.0,813.0,696.0,650.4
15500.0,629.1,818.2,692.6,661.2
15600.0,625.0,815.8,696.0,653.8
15700.0,630.0,816.3,687.0,650.8
15800.0,625.0,815.8,692.8,663.0
15900.0,625.0,813.0,696.0,645.4
16000.0,630.0,819.0,689.7,656.6
16100.0,630.0,813.0,696.0,653.0
16200.0,625.0,814.7,696.0,656.9
16300.0,630.0,819.0,695.7,659.7
16400.0,625.0,813.0,689.9,663.0
16500.0,625.0,813.0,696.0,659.1
16600.0,630.0,819.0,696.0,654.7
16700.0,630.0,813.0,687.0,646.9
16800.0,630.0,813.0,687.0,663.0
16900.0,625.0,813.0,694.1,660.6
17000.0,630.0,813.0,693.9,663.0
17100.0,630.0,819.0,696.0,654.1
17200.0,625.0,819.0,687.0,663.0
17300.0,630.0,813.0,687.0,663.0
17400.0,630.0,813.0,696.0,657.5
17500.0,625.0,813.0,696.0,648.2
17600.0,625.0,815.0,687.0,645.4
17700.0,625.7,819.0,687.0,658.7
17800.0,625.0,819.0,696.0,659.1
17900.0,630.0,813.0,687.0,656.1
18000.0,625.0,819.0,687.0,660.4
18100.0,627.7,813.0,687.0,662.1
18200.0,630.0,819.0,687.0,648.9
18300.0,625.0,813.0,687.0,655.4
18400.0,625.0,813.0,692.7,663.0
18500.0,625.0,815.5,696.0,659.9
18600.0,630.0,813.0,696.0,663.0
18700.0,628.2,813.0,696.0,657.5
18800.0,630.0,818.4,687.0,657.7
18900.0,625.0,813.0,694.7,651.6
19000.0,630.0,819.0,688.9,661.3
19100.0,625.0,819.0,687.0,662.2
19200.0,630.0,819.0,696.0,650.2
19300.0,630.0,819.0,696.0,653.7
19400.0,630.0,815.9,696.0,653.6
19500.0,626.2,813.6,693.0,648.8
19600.0,629.0,813.0,696.0,663.0
19700.0,625.0,816.7,687.0,656.5
19800.0,630.0,813.0,696.0,655.8
19900.0,630.0,819.0,687.4,661.3
20000.0,630.0,819.0,696.0,662.7
20100.0,625.0,819.0,688.5,646.5
20200.0,625.0,813.0,687.0,658.9
20300.0,627.4,819.0,687.0,663.0
20400.0,630.0,819.0,696.0,663.0
20500.0,625.0,814.8,696.0,656.5
20600.0,630.0,813.0,696.0,645.0
20700.0,629.8,817.5,696.0,655.3
20800.0,625.0,813.0,696.0,655.0
20900.0,625.0,813.0,687.0,663.0
21000.0,625.0,813.0,696.0,658.8
21100.0,625.0,819.0,696.0,652.8
21200.0,630.0,819.0,687.0,647.6
21300.0,625.3,819.0,696.0,645.0
21400.0,629.6,817.8,687.0,663.0
21500.0,625.0,813.0,696.0,653.0
21600.0,630.0,819.0,696.0,654.4
21700.0,630.0,813.0,693.1,650.2
21800.0,630.0,819.0,689.1,656.3
21900.0,627.2,813.0,689.1,663.0
22000.0,625.0,819.0,691.0,662.9
22100.0,625.0,819.0,696.0,660.0
22200.0,625.0,813.0,696.0,651.4
22300.0,628.6,813.0,695.6,646.1
22400.0,625.0,819.0,687.0,646.1
22500.0,625.0,817.5,696.0,659.2
22600.0,630.0,819.0,696.0,656.5
22700.0,630.0,819.0,687.3,663.0
22800.0,630.0,817.3,687.6,661.7
22900.0,625.0,813.0,687.0,651.5
23000.0,627.7,819.0,689.4,649.4
23100.0,630.0,813.0,696.0,663.0
23200.0,630.0,813.0,687.9,660.7
23300.0,625.0,813.0,691.1,651.4
23400.0,630.0,819.0,689.3,663.0
23500.0,625.0,819.0,696.0,654.6
23600.0,625.0,819.0,696.0,654.3
23700.0,625.0,813.0,696.0,645.0
23800.0,625.0,813.3,690.1,652.3
23900.0,630.0,819.0,696.0,661.8
24000.0,630.0,813.0,696.0,663.0
24100.0,626.8,819.0,693.2,663.0
24200.0,625.0,813.0,692.0,661.8
24300.0,625.0,819.0,696.0,662.2
24400.0,625.0,819.0,696.0,663.0
24500.0,625.0,819.0,694.8,655.8
24600.0,629.2,813.0,694.8,660.3
24700.0,625.0,819.0,687.0,652.0
24800.0,630.0,813.0,689.1,658.6
24900.0,625.0,819.0,696.0,657.5
25000.0,629.7,819.0,696.0,663.0
25100.0,625.0,819.0,696.0,662.9
25200.0,630.0,813.0,687.0,663.0
25300.0,625.0,819.0,696.0,659.9
25400.0,630.0,813.0,696.0,648.5
25500.0,625.0,819.0,696.0,663.0
25600.0,630.0,813.0,695.1,647.8
25700.0,626.7,813.0,687.5,663.0
25800.0,625.0,819.0,687.0,656.9
25900.0,630.0,819.0,693.7,657.1
26000.0,625.0,813.0,687.0,651.8
26100.0,625.0,819.0,696.0,648.0
26200.0,629.7,813.0,696.0,645.0
26300.0,625.0,813.0,696.0,663.0
26400.0,630.0,813.0,687.0,645.0
26500.0,625.0,813.0,696.0,645.8
26600.0,625.0,813.0,696.0,646.1
26700.0,630.0,813.0,696.0,659.5
26800.0,627.2,819.0,696.0,663.0
26900.0,625.0,813.0,687.0,661.2
27000.0,625.0,819.0,696.0,663.0
27100.0,625.0,813.0,696.0,646.3
27200.0,625.0,817.1,687.0,661.7
27300.0,629.5,813.0,687.0,653.5
27400.0,625.0,816.4,694.5,654.4
27500.0,630.0,819.0,687.0,663.0
27600.0,625.0,819.0,696.0,663.0
27700.0,630.0,819.0,693.0,645.0
27800.0,630.0,813.0,687.0,662.9
27900.0,625.0,813.0,687.0,660.2
28000.0,630.0,819.0,696.0,661.1
28100.0,630.0,819.0,694.2,649.2
28200.0,625.8,819.0,695.3,645.0
28300.0,625.0,813.0,694.4,650.2
28400.0,625.0,813.0,687.0,663.0
28500.0,630.0,819.0,695.5,647.1
28600.0,625.0,813.0,695.4,660.7
28700.0,625.0,819.0,687.0,646.4
28800.0,630.0,819.0,687.2,652.3
28900.0,630.0,819.0,687.0,659.7
29000.0,630.0,817.3,687.0,658.6
29100.0,630.0,813.0,696.0,650.0
29200.0,630.0,819.0,696.0,660.0
29300.0,625.0,813.0,696.0,655.3
29400.0,630.0,817.9,687.0,652.5
29500.0,625.0,817.5,696.0,663.0
29600.0,630.0,813.0,695.5,661.4
29700.0,625.0,813.0,687.0,659.7
29800.0,625.0,819.0,696.0,663.0
29900.0,630.0,813.0,688.3,661.6
30000.0,625.0,817.1,687.0,663.0
30100.0,625.0,813.0,691.1,662.5
30200.0,625.0,815.6,696.0,645.0
30300.0,625.0,819.0,696.0,660.1
30400.0,625.4,813.1,696.0,645.0
30500.0,630.0,819.0,687.0,645.0
30600.0,625.0,819.0,692.0,663.0
30700.0,630.0,818.1,687.0,662.5
30800.0,626.3,819.0,696.0,652.0
30900.0,626.4,819.0,696.0,656.3
31000.0,630.0,813.0,689.9,646.1
31100.0,630.0,813.0,687.0,656.7
31200.0,625.0,819.0,696.0,663.0
31300.0,630.0,819.0,687.0,648.5
31400.0,625.0,819.0,696.0,648.8
31500.0,630.0,813.0,687.0,648.2
31600.0,630.0,813.0,696.0,646.0
31700.0,625.0,813.0,693.9,655.5
31800.0,630.0,819.0,687.0,645.0
31900.0,630.0,819.0,696.0,645.0
32000.0,630.0,813.0,689.1,645.0
32100.0,630.0,813.0,694.9,652.1
32200.0,630.0,813.0,693.1,660.2
32300.0,629.3,819.0,696.0,654.2
32400.0,625.0,819.0,696.0,657.7
32500.0,625.0,819.0,687.0,659.8
32600.0,625.0,819.0,687.0,662.8
32700.0,630.0,819.0,696.0,649.1
32800.0,625.0,817.3,693.8,656.4
32900.0,630.0,813.0,696.0,663.0
33000.0,630.0,813.0,696.0,645.9
33100.0,625.0,819.0,696.0,659.0
33200.0,625.0,813.0,696.0,660.9
33300.0,625.0,819.0,687.2,645.0
33400.0,630.0,819.0,696.0,663.0
33500.0,630.0,813.0,687.0,646.1
33600.0,630.0,819.0,696.0,663.0
33700.0,625.0,819.0,687.0,655.1
33800.0,625.9,819.0,695.9,657.9
33900.0,630.0,819.0,692.0,663.0
34000.0,625.6,813.0,687.0,663.0
34100.0,625.0,813.0,696.0,661.1
34200.0,630.0,819.0,687.0,656.8
34300.0,625.0,819.0,687.0,645.0
34400.0,630.0,819.0,687.0,649.3
34500.0,630.0,813.0,692.0,649.9
34600.0,630.0,819.0,687.0,655.2
34700.0,630.0,813.0,696.0,646.6
34800.0,630.0,819.0,687.0,652.5
34900.0,628.9,819.0,688.2,658.5
35000.0,625.5,813.0,687.0,645.0
35100.0,625.0,813.0,696.0,663.0
35200.0,625.0,819.0,687.0,663.0
35300.0,628.5,819.0,696.0,646.6
35400.0,630.0,819.0,696.0,657.5
35500.0,630.0,813.0,687.0,645.0
35600.0,625.0,813.0,696.0,657.1
35700.0,625.0,813.4,687.0,663.0
35800.0,626.7,813.0,696.0,658.0
35900.0,626.5,819.0,691.9,645.2
36000.0,625.0,813.0,695.5,645.8
36100.0,630.0,819.0,696.0,663.0
36200.0,625.0,813.0,687.2,663.0
36300.0,625.0,819.0,696.0,652.7
36400.0,630.0,819.0,687.0,656.4
36500.0,630.0,819.0,696.0,660.5
36600.0,626.0,817.3,687.4,647.6
36700.0,628.3,813.0,696.0,654.1
36800.0,630.0,819.0,687.3,649.4
36900.0,625.0,819.0,687.0,652.1
37000.0,629.7,814.7,687.0,647.2
37100.0,625.0,818.5,688.3,648.1
37200.0,627.6,819.0,696.0,663.0
37300.0,625.0,813.0,687.0,645.6
37400.0,625.0,819.0,694.4,650.7
37500.0,625.0,813.0,687.0,651.1
37600.0,625.0,815.0,687.0,647.5
37700.0,625.0,813.0,689.0,648.3
37800.0,630.0,813.0,687.0,655.9
37900.0,625.0,819.0,692.1,645.0
38000.0,625.0,813.0,687.0,658.6
38100.0,626.4,819.0,687.0,659.5
38200.0,629.5,819.0,689.1,649.5
38300.0,625.0,819.0,687.0,658.5
38400.0,625.0,819.0,687.0,660.5
38500.0,630.0,813.0,687.0,662.0
38600.0,630.0,819.0,687.0,645.0
38700.0,630.0,819.0,687.9,645.0
38800.0,626.0,813.0,696.0,663.0
38900.0,630.0,819.0,687.0,645.0
39000.0,625.0,813.1,687.0,659.0
39100.0,626.2,813.0,687.0,660.8
39200.0,628.2,813.0,688.9,653.7
39300.0,627.6,813.0,687.0,645.5
39400.0,625.0,819.0,695.7,648.3
39500.0,626.5,819.0,687.0,658.1
39600.0,625.0,813.0,690.8,645.0
39700.0,625.8,813.0,687.0,648.5
39800.0,630.0,819.0,696.0,663.0
39900.0,626.7,813.0,696.0,663.0
40000.0,625.0,819.0,696.0,657.4
40100.0,625.0,816.1,696.0,654.9
40200.0,625.0,813.0,687.0,650.0
40300.0,630.0,819.0,696.0,655.0
40400.0,625.0,813.4,687.0,649.3
