timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,616.0,786.0,636.0,651.3
100.0,622.2,766.9,623.6,621.2
200.0,624.1,785.7,635.3,642.0
300.0,620.4,757.4,632.2,612.1
400.0,632.7,786.0,620.1,617.5
500.0,613.5,786.0,636.6,621.0
600.0,557.6,702.7,543.7,703.4
700.0,610.7,779.7,644.7,655.6
800.0,634.0,786.0,631.1,621.6
900.0,610.6,768.6,626.2,622.6
1000.0,622.1,786.0,630.7,615.6
1100.0,625.8,766.3,626.7,620.6
1200.0,627.8,784.0,632.0,627.7
1300.0,628.3,768.1,642.2,642.7
1400.0,634.0,780.7,624.1,639.4
1500.0,621.7,774.6,647.0,658.1
1600.0,630.6,779.2,618.5,617.4
1700.0,628.8,771.5,647.0,649.3
1800.0,619.8,767.6,641.1,657.4
1900.0,617.5,786.0,647.0,650.2
2000.0,582.9,744.7,597.0,678.9
2100.0,598.2,764.4,614.7,640.8
2200.0,611.9,772.8,614.1,615.0
2300.0,627.8,768.4,628.5,625.3
2400.0,627.0,767.9,624.2,616.8
2500.0,595.8,744.5,629.3,658.7
2600.0,634.0,785.7,640.8,619.7
2700.0,618.3,773.9,647.0,649.1
2800.0,619.9,785.2,645.5,642.8
2900.0,622.3,774.0,622.6,621.6
3000.0,596.9,744.7,619.8,674.1
3100.0,597.6,758.2,617.5,663.4
3200.0,634.0,772.5,634.8,618.5
3300.0,618.8,780.2,627.8,644.6
3400.0,620.7,771.5,632.1,625.7
3500.0,634.0,784.2,632.8,626.7
3600.0,634.0,786.0,628.2,637.2
3700.0,630.2,774.8,640.3,655.6
3800.0,633.9,786.0,629.1,622.5
3900.0,572.3,731.6,592.2,696.1
4000.0,634.0,772.5,637.9,628.4
4100.0,618.2,786.0,645.0,642.4
4200.0,622.4,786.0,627.4,628.0
4300.0,631.3,767.4,641.9,648.1
4400.0,625.7,774.6,620.8,618.6
4500.0,620.8,785.6,639.4,613.4
4600.0,634.0,786.0,637.8,641.9
4700.0,634.0,786.0,640.5,649.7
4800.0,618.5,786.0,624.2,636.1
4900.0,579.2,745.3,594.4,696.5
5000.0,624.6,786.0,639.3,636.8
5100.0,634.0,778.8,622.0,613.6
5200.0,578.9,712.8,603.4,708.0
5300.0,626.1,773.4,629.9,636.4
5400.0,629.1,768.7,647.0,638.8
5500.0,629.5,786.0,638.7,639.7
5600.0,634.0,786.0,635.4,632.0
5700.0,634.0,786.0,628.7,618.4
5800.0,596.8,762.2,614.7,666.0
5900.0,631.3,775.3,642.6,644.4
6000.0,609.2,752.1,618.6,641.7
6100.0,627.2,774.5,630.4,627.4
6200.0,600.6,752.1,619.9,645.1
6300.0,618.7,775.6,634.8,622.8
6400.0,625.6,784.6,647.0,660.7
6500.0,555.3,708.3,575.0,704.7
6600.0,593.8,751.4,617.0,690.5
6700.0,602.3,753.1,620.4,666.1
6800.0,620.9,777.1,641.9,626.7
6900.0,634.0,777.1,638.5,623.8
7000.0,631.2,783.0,623.4,639.6
7100.0,628.2,775.7,632.0,638.0
7200.0,631.3,786.0,629.3,634.6
7300.0,624.5,773.4,621.7,625.3
7400.0,555.9,681.0,559.3,716.0
7500.0,615.1,784.2,644.4,656.8
7600.0,632.9,785.2,637.8,660.6
7700.0,550.1,710.7,581.5,702.3
7800.0,615.6,774.3,627.6,630.5
7900.0,627.1,768.8,627.7,645.9
8000.0,574.8,729.1,600.5,693.7
8100.0,634.0,773.1,634.8,614.6
8200.0,634.0,786.0,631.1,620.7
8300.0,630.5,773.8,639.5,663.0
8400.0,553.6,717.3,574.6,709.0
8500.0,593.3,746.4,623.5,663.9
8600.0,571.2,739.3,604.6,696.1
8700.0,630.9,786.0,647.0,656.6
8800.0,633.8,786.0,622.3,622.2
8900.0,555.4,713.9,568.8,716.0
9000.0,622.6,782.9,643.6,620.9
9100.0,622.2,775.0,631.1,621.0
9200.0,629.7,786.0,647.0,640.7
9300.0,619.6,786.0,629.5,641.3
9400.0,596.6,768.7,619.7,639.4
9500.0,630.2,780.7,629.5,636.6
9600.0,622.7,759.6,625.4,610.0
9700.0,634.0,771.4,635.1,624.2
9800.0,632.8,767.5,634.1,624.4
9900.0,623.3,786.0,633.3,653.9
10000.0,623.1,786.0,645.6,655.7
10100.0,627.8,777.2,643.8,621.1
10200.0,632.5,779.7,647.0,658.8
10300.0,622.9,786.0,640.6,659.0
10400.0,617.3,782.0,645.4,656.5
10500.0,628.8,786.0,647.0,648.6
10600.0,631.9,762.6,623.0,624.4
10700.0,630.9,762.1,622.5,628.5
10800.0,621.2,775.2,621.6,642.5
10900.0,618.9,783.9,643.8,652.3
11000.0,631.8,771.9,647.0,650.2
11100.0,608.6,742.2,629.2,641.4
11200.0,558.5,701.0,584.6,702.9
11300.0,627.0,784.5,620.2,618.4
11400.0,616.4,778.1,627.0,613.5
11500.0,619.4,772.9,636.2,627.4
11600.0,620.6,771.6,642.8,655.5
11700.0,622.5,786.0,628.7,649.2
11800.0,631.7,786.0,644.6,661.5
11900.0,632.6,781.8,639.6,647.2
12000.0,616.6,769.4,629.9,638.5
12100.0,628.7,771.3,633.2,634.2
12200.0,629.6,786.0,640.3,628.0
12300.0,634.0,786.0,644.4,632.0
12400.0,627.2,765.8,640.1,656.2
12500.0,619.9,767.8,619.8,620.3
12600.0,609.6,760.9,625.9,624.2
12700.0,622.4,786.0,623.8,610.0
12800.0,615.2,786.0,633.0,643.8
12900.0,619.3,786.0,647.0,659.9
13000.0,634.0,771.7,621.6,622.0
13100.0,626.9,775.3,647.0,639.6
13200.0,557.9,721.6,583.3,716.0
13300.0,629.3,786.0,637.1,638.3
13400.0,622.0,786.0,647.0,650.6
13500.0,549.8,713.7,575.8,702.9
13600.0,634.0,771.5,628.8,629.4
13700.0,620.0,772.5,643.7,632.8
13800.0,624.7,774.1,627.6,631.8
13900.0,632.2,786.0,617.8,629.4
14000.0,633.1,786.0,628.3,626.5
14100.0,634.0,786.0,638.0,610.4
14200.0,632.0,786.0,632.7,630.7
14300.0,630.1,770.5,615.9,615.5
14400.0,634.0,786.0,621.0,633.6
14500.0,634.0,772.3,630.9,619.8
14600.0,621.0,786.0,623.5,613.3
14700.0,626.1,780.9,640.6,643.2
14800.0,624.1,778.4,645.7,647.1
14900.0,584.5,736.3,595.2,688.6
15000.0,611.0,786.0,641.6,665.5
15100.0,567.0,720.0,577.2,706.9
15200.0,634.0,772.1,614.3,621.3
15300.0,631.5,786.0,638.8,617.4
15400.0,629.4,786.0,634.6,634.0
15500.0,623.2,786.0,631.3,656.4
15600.0,634.0,776.4,623.6,611.2
15700.0,634.0,779.0,634.6,630.5
15800.0,614.3,784.0,645.6,654.2
15900.0,625.8,775.5,618.5,616.3
16000.0,619.4,764.6,632.6,624.5
16100.0,548.5,698.0,572.8,704.8
16200.0,633.9,786.0,647.0,659.8
16300.0,629.5,769.8,636.9,621.1
16400.0,632.6,783.1,621.1,630.3
16500.0,621.7,760.9,626.2,630.4
16600.0,580.9,734.0,609.5,693.0
16700.0,634.0,786.0,647.0,648.8
16800.0,634.0,786.0,623.1,632.7
16900.0,619.9,786.0,636.2,616.6
17000.0,613.6,762.3,629.8,615.6
17100.0,627.2,786.0,639.0,640.0
17200.0,632.9,786.0,632.9,615.0
17300.0,634.0,783.0,626.6,628.0
17400.0,623.3,773.4,647.0,641.4
17500.0,578.5,734.7,599.9,677.1
17600.0,615.1,786.0,635.1,657.9
17700.0,619.4,763.5,620.9,642.4
17800.0,588.8,750.9,616.2,646.5
17900.0,619.5,777.2,633.9,632.3
18000.0,622.1,764.5,612.8,612.3
18100.0,630.0,786.0,638.3,647.3
18200.0,619.0,786.0,630.1,649.4
18300.0,627.9,783.0,647.0,651.5
18400.0,620.9,783.2,643.9,626.2
18500.0,624.2,776.6,617.0,615.6
18600.0,566.5,728.5,591.4,702.6
18700.0,627.9,779.4,618.5,621.8
18800.0,578.5,728.6,587.4,687.3
18900.0,634.0,785.8,625.3,610.0
19000.0,625.9,783.7,637.8,629.1
19100.0,615.8,784.2,635.1,659.5
19200.0,619.8,785.1,645.9,648.2
19300.0,623.5,781.3,634.8,650.6
19400.0,619.0,766.9,613.5,617.1
19500.0,632.4,786.0,627.9,626.0
19600.0,632.4,769.9,632.0,630.5
19700.0,617.3,780.2,628.3,633.4
19800.0,625.5,776.9,622.5,622.1
19900.0,613.6,786.0,625.0,646.2
20000.0,634.0,776.6,646.4,630.1
20100.0,615.8,777.4,629.9,646.6
20200.0,632.2,783.6,647.0,656.1
20300.0,555.4,730.6,595.5,704.3
20400.0,612.2,754.0,629.8,634.2
20500.0,634.0,766.4,622.3,612.9
20600.0,565.8,728.4,589.2,689.2
20700.0,634.0,784.7,637.5,650.2
20800.0,630.2,783.4,638.9,643.0
20900.0,628.6,783.6,636.2,615.4
21000.0,616.1,786.0,630.9,610.0
21100.0,618.5,767.3,647.0,656.6
21200.0,613.9,786.0,638.0,653.3
21300.0,595.0,749.9,612.1,631.2
