timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,290.0,485.0,212.0,283.0
100.0,290.0,484.0,213.0,284.0
200.0,291.0,485.0,213.0,283.0
300.0,290.0,486.0,213.0,283.0
400.0,291.0,486.0,212.0,284.0
500.0,291.0,486.0,214.0,282.0
600.0,291.0,485.0,214.0,283.0
700.0,291.0,486.0,213.0,284.0
800.0,291.0,486.0,214.0,283.0
900.0,291.0,487.0,214.0,283.0
1000.0,292.0,487.0,214.0,284.0
1100.0,292.0,487.0,214.0,284.0
1200.0,292.0,487.0,215.0,283.0
1300.0,293.0,487.0,214.0,284.0
1400.0,292.0,488.0,215.0,285.0
1500.0,291.0,488.0,215.0,283.0
1600.0,292.0,488.0,215.0,284.0
1700.0,292.0,488.0,214.0,285.0
1800.0,292.0,490.0,216.0,284.0
1900.0,293.0,489.0,216.0,285.0
2000.0,293.0,489.0,215.0,284.0
2100.0,293.0,489.0,216.0,286.0
2200.0,293.0,490.0,216.0,285.0
2300.0,294.0,489.0,216.0,285.0
2400.0,294.0,491.0,217.0,285.0
2500.0,293.0,490.0,216.0,285.0
2600.0,294.0,490.0,217.0,285.0
2700.0,294.0,490.0,217.0,285.0
2800.0,294.0,491.0,216.0,285.0
2900.0,294.0,491.0,217.0,286.0
3000.0,294.0,492.0,217.0,287.0
3100.0,294.0,492.0,218.0,287.0
3200.0,295.0,492.0,218.0,288.0
3300.0,295.0,492.0,218.0,287.0
3400.0,294.0,493.0,219.0,289.0
3500.0,295.0,493.0,219.0,289.0
3600.0,295.0,493.0,218.0,289.0
3700.0,295.0,494.0,219.0,288.0
3800.0,295.0,494.0,219.0,289.0
3900.0,296.0,494.0,220.0,289.0
4000.0,296.0,494.0,219.0,289.0
4100.0,296.0,494.0,220.0,289.0
4200.0,296.0,495.0,219.0,290.0
4300.0,295.0,495.0,220.0,290.0
4400.0,296.0,495.0,220.0,290.0
4500.0,297.0,496.0,221.0,291.0
4600.0,297.0,496.0,219.0,290.0
4700.0,297.0,496.0,220.0,292.0
4800.0,297.0,496.0,221.0,292.0
4900.0,297.0,497.0,221.0,292.0
5000.0,297.0,497.0,221.0,291.0
5100.0,297.0,497.0,222.0,292.0
5200.0,298.0,497.0,222.0,293.0
5300.0,298.0,498.0,222.0,293.0
5400.0,298.0,498.0,222.0,293.0
5500.0,299.0,498.0,223.0,293.0
5600.0,298.0,499.0,222.0,294.0
5700.0,299.0,498.0,223.0,295.0
5800.0,298.0,499.0,222.0,295.0
5900.0,299.0,499.0,223.0,295.0
6000.0,299.0,499.0,223.0,296.0
6100.0,300.0,500.0,222.0,296.0
6200.0,300.0,501.0,223.0,296.0
6300.0,299.0,500.0,224.0,296.0
6400.0,300.0,500.0,224.0,296.0
6500.0,300.0,500.0,224.0,296.0
6600.0,301.0,501.0,225.0,296.0
6700.0,301.0,501.0,224.0,297.0
6800.0,301.0,501.0,224.0,297.0
6900.0,301.0,502.0,226.0,297.0
7000.0,301.0,502.0,225.0,297.0
7100.0,301.0,502.0,226.0,297.0
7200.0,302.0,503.0,225.0,297.0
7300.0,302.0,503.0,226.0,299.0
7400.0,302.0,504.0,226.0,298.0
7500.0,303.0,504.0,227.0,298.0
7600.0,301.0,504.0,227.0,300.0
7700.0,303.0,504.0,226.0,300.0
7800.0,302.0,504.0,227.0,300.0
7900.0,303.0,505.0,227.0,299.0
8000.0,303.0,505.0,227.0,300.0
8100.0,304.0,506.0,226.0,301.0
8200.0,303.0,506.0,227.0,301.0
8300.0,304.0,507.0,228.0,302.0
8400.0,304.0,506.0,228.0,303.0
8500.0,304.0,507.0,227.0,302.0
8600.0,305.0,507.0,229.0,302.0
8700.0,305.0,508.0,229.0,302.0
8800.0,305.0,508.0,228.0,304.0
8900.0,305.0,508.0,229.0,304.0
9000.0,306.0,508.0,228.0,303.0
9100.0,305.0,509.0,229.0,303.0
9200.0,305.0,509.0,229.0,305.0
9300.0,306.0,508.0,230.0,305.0
9400.0,307.0,509.0,230.0,305.0
9500.0,307.0,509.0,231.0,303.0
9600.0,307.0,509.0,230.0,304.0
9700.0,307.0,510.0,231.0,305.0
9800.0,307.0,509.0,231.0,305.0
9900.0,307.0,510.0,231.0,306.0
10000.0,308.0,511.0,231.0,307.0
10100.0,307.0,511.0,232.0,307.0
10200.0,307.0,512.0,233.0,306.0
10300.0,308.0,512.0,233.0,308.0
10400.0,308.0,513.0,234.0,307.0
10500.0,308.0,512.0,233.0,306.0
10600.0,309.0,513.0,234.0,308.0
10700.0,309.0,513.0,234.0,308.0
10800.0,309.0,513.0,234.0,308.0
10900.0,310.0,514.0,235.0,307.0
11000.0,310.0,513.0,235.0,309.0
11100.0,310.0,514.0,234.0,310.0
11200.0,310.0,514.0,235.0,310.0
11300.0,310.0,515.0,235.0,311.0
11400.0,311.0,515.0,235.0,310.0
11500.0,311.0,515.0,235.0,311.0
11600.0,311.0,516.0,236.0,311.0
11700.0,311.0,515.0,236.0,312.0
11800.0,312.0,516.0,236.0,312.0
11900.0,311.0,516.0,236.0,312.0
12000.0,312.0,517.0,236.0,313.0
12100.0,312.0,517.0,237.0,313.0
12200.0,312.0,517.0,236.0,314.0
12300.0,312.0,518.0,237.0,314.0
12400.0,314.0,517.0,238.0,314.0
12500.0,313.0,518.0,238.0,316.0
12600.0,313.0,518.0,237.0,316.0
12700.0,313.0,518.0,237.0,314.0
12800.0,314.0,519.0,238.0,316.0
12900.0,315.0,519.0,238.0,316.0
13000.0,315.0,520.0,239.0,318.0
13100.0,314.0,520.0,239.0,318.0
13200.0,314.0,520.0,239.0,318.0
13300.0,314.0,521.0,239.0,318.0
13400.0,315.0,521.0,240.0,320.0
13500.0,315.0,521.0,240.0,320.0
13600.0,316.0,522.0,240.0,321.0
13700.0,316.0,522.0,240.0,321.0
13800.0,317.0,522.0,240.0,321.0
13900.0,317.0,522.0,241.0,322.0
14000.0,317.0,523.0,240.0,323.0
14100.0,317.0,523.0,242.0,323.0
14200.0,318.0,523.0,242.0,323.0
14300.0,317.0,523.0,241.0,323.0
14400.0,318.0,524.0,242.0,325.0
14500.0,318.0,525.0,242.0,325.0
14600.0,319.0,525.0,243.0,326.0
14700.0,319.0,526.0,243.0,327.0
14800.0,319.0,526.0,243.0,328.0
14900.0,319.0,526.0,243.0,328.0
15000.0,320.0,525.0,244.0,330.0
15100.0,320.0,526.0,244.0,329.0
15200.0,321.0,526.0,244.0,329.0
15300.0,320.0,527.0,245.0,330.0
15400.0,320.0,527.0,245.0,331.0
15500.0,321.0,528.0,246.0,332.0
15600.0,322.0,528.0,245.0,331.0
15700.0,321.0,528.0,245.0,333.0
15800.0,322.0,529.0,246.0,333.0
15900.0,322.0,529.0,246.0,334.0
16000.0,322.0,529.0,246.0,335.0
16100.0,323.0,529.0,246.0,335.0
16200.0,323.0,530.0,246.0,335.0
16300.0,323.0,530.0,247.0,336.0
16400.0,323.0,530.0,247.0,337.0
16500.0,324.0,531.0,248.0,337.0
16600.0,323.0,532.0,248.0,337.0
16700.0,324.0,531.0,248.0,338.0
16800.0,325.0,531.0,249.0,338.0
16900.0,325.0,532.0,248.0,338.0
17000.0,325.0,533.0,248.0,338.0
17100.0,325.0,533.0,249.0,339.0
17200.0,326.0,533.0,249.0,339.0
17300.0,326.0,534.0,250.0,341.0
17400.0,327.0,533.0,250.0,341.0
17500.0,326.0,535.0,250.0,342.0
17600.0,327.0,534.0,250.0,342.0
17700.0,326.0,535.0,251.0,341.0
17800.0,328.0,535.0,251.0,341.0
17900.0,328.0,535.0,252.0,342.0
18000.0,328.0,536.0,251.0,343.0
18100.0,328.0,537.0,252.0,342.0
18200.0,328.0,537.0,251.0,344.0
18300.0,328.0,537.0,253.0,343.0
18400.0,330.0,538.0,253.0,343.0
18500.0,329.0,538.0,253.0,345.0
18600.0,329.0,537.0,254.0,345.0
18700.0,330.0,538.0,253.0,344.0
18800.0,330.0,538.0,254.0,345.0
18900.0,331.0,539.0,254.0,344.0
19000.0,330.0,539.0,254.0,346.0
19100.0,331.0,539.0,255.0,346.0
19200.0,331.0,540.0,255.0,344.0
19300.0,332.0,540.0,255.0,345.0
19400.0,332.0,540.0,255.0,346.0
19500.0,332.0,541.0,256.0,346.0
19600.0,333.0,541.0,256.0,346.0
19700.0,332.0,541.0,256.0,346.0
19800.0,334.0,542.0,256.0,346.0
19900.0,333.0,542.0,257.0,347.0
20000.0,333.0,543.0,256.0,348.0
20100.0,333.0,543.0,257.0,348.0
20200.0,334.0,543.0,257.0,347.0
20300.0,334.0,544.0,258.0,348.0
20400.0,334.0,544.0,258.0,347.0
20500.0,335.0,544.0,258.0,348.0
20600.0,335.0,544.0,259.0,349.0
20700.0,335.0,545.0,259.0,348.0
20800.0,335.0,545.0,258.0,349.0
20900.0,336.0,546.0,259.0,349.0
21000.0,336.0,544.0,260.0,349.0
21100.0,336.0,545.0,260.0,348.0
21200.0,336.0,546.0,260.0,350.0
21300.0,336.0,546.0,260.0,351.0
21400.0,337.0,547.0,260.0,350.0
21500.0,337.0,547.0,261.0,351.0
21600.0,337.0,547.0,261.0,350.0
21700.0,338.0,547.0,262.0,350.0
21800.0,338.0,548.0,261.0,350.0
21900.0,338.0,548.0,262.0,351.0
22000.0,339.0,549.0,263.0,352.0
22100.0,338.0,549.0,262.0,352.0
22200.0,339.0,549.0,263.0,351.0
22300.0,338.0,549.0,263.0,351.0
22400.0,339.0,549.0,263.0,352.0
22500.0,339.0,551.0,264.0,351.0
22600.0,340.0,550.0,264.0,352.0
22700.0,340.0,550.0,264.0,351.0
22800.0,340.0,551.0,264.0,352.0
