timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,533.7,710.4,573.8,357.5
100.0,556.0,709.0,571.8,376.9
200.0,554.4,711.8,567.0,371.2
300.0,552.6,709.0,580.0,362.4
400.0,536.9,709.0,567.4,363.1
500.0,556.0,709.0,573.3,377.8
600.0,555.1,717.4,568.6,370.5
700.0,556.0,709.0,580.0,372.0
800.0,556.0,709.0,580.0,377.9
900.0,544.1,711.1,580.0,365.9
1000.0,552.3,709.2,577.1,377.2
1100.0,538.5,717.1,580.0,354.0
1200.0,553.0,709.0,580.0,370.2
1300.0,544.8,720.0,575.2,365.0
1400.0,551.0,711.8,577.1,373.1
1500.0,530.0,720.0,580.0,368.0
1600.0,549.9,717.3,580.0,355.3
1700.0,540.4,720.0,570.0,354.0
1800.0,548.2,720.0,580.0,354.0
1900.0,549.3,717.4,578.2,380.4
2000.0,543.1,720.0,565.0,374.8
2100.0,556.0,720.0,573.9,375.1
2200.0,548.8,709.0,565.6,372.1
2300.0,533.4,720.0,565.2,383.0
2400.0,542.5,709.0,579.3,368.8
2500.0,536.7,715.5,572.3,360.5
2600.0,545.7,720.0,575.1,371.3
2700.0,541.0,715.4,580.0,376.9
2800.0,556.0,716.8,580.0,367.5
2900.0,556.0,716.4,577.4,360.5
3000.0,530.0,720.0,572.3,382.7
3100.0,556.0,709.0,579.9,359.2
3200.0,530.0,712.9,571.5,383.0
3300.0,536.7,720.0,576.5,383.0
3400.0,549.8,717.0,580.0,377.0
3500.0,546.1,717.5,566.7,376.1
3600.0,543.6,709.0,577.7,361.8
3700.0,548.6,720.0,578.1,362.8
3800.0,546.2,720.0,575.0,375.3
3900.0,530.0,712.0,579.2,377.8
4000.0,548.7,720.0,574.7,363.9
4100.0,553.5,709.0,574.4,360.0
4200.0,530.0,709.0,574.8,372.1
4300.0,547.5,709.0,577.7,383.0
4400.0,547.0,709.2,580.0,369.4
4500.0,550.4,710.7,571.7,370.5
4600.0,556.0,720.0,572.7,374.0
4700.0,530.0,709.0,580.0,372.3
4800.0,541.5,709.0,576.9,365.4
4900.0,556.0,713.4,580.0,371.0
5000.0,530.0,720.0,565.0,383.0
5100.0,556.0,720.0,580.0,371.2
5200.0,537.3,720.0,575.4,383.0
5300.0,554.7,709.2,575.1,360.9
5400.0,530.0,709.0,565.0,368.6
5500.0,546.0,709.7,572.6,376.4
5600.0,556.0,720.0,577.7,369.3
5700.0,553.1,720.0,580.0,366.2
5800.0,551.9,709.0,575.4,377.0
5900.0,556.0,718.2,580.0,381.2
6000.0,542.6,720.0,571.2,369.6
6100.0,553.0,709.0,579.4,378.1
6200.0,553.7,720.0,573.2,366.9
6300.0,556.0,717.6,579.4,381.4
6400.0,539.6,720.0,569.2,363.0
6500.0,552.3,709.5,580.0,357.0
6600.0,533.4,713.8,569.4,375.1
6700.0,539.1,720.0,574.4,373.6
6800.0,548.5,709.0,580.0,373.0
6900.0,545.4,709.0,565.0,362.4
7000.0,544.3,720.0,578.0,370.8
7100.0,538.9,709.0,565.0,376.1
7200.0,540.2,720.0,580.0,354.0
7300.0,543.5,720.0,567.1,368.3
7400.0,543.2,716.8,580.0,377.2
7500.0,544.5,712.8,579.3,369.8
7600.0,554.7,720.0,580.0,383.0
7700.0,546.1,711.2,580.0,383.0
7800.0,556.0,709.0,568.1,374.5
7900.0,556.0,718.9,577.5,377.2
8000.0,545.0,709.0,580.0,357.7
8100.0,555.5,709.2,569.5,363.6
8200.0,547.7,720.0,577.6,365.1
8300.0,545.7,709.0,573.1,365.5
8400.0,555.2,709.7,579.1,372.1
8500.0,556.0,711.0,580.0,366.5
8600.0,549.0,709.0,580.0,361.7
8700.0,556.0,712.0,570.1,365.3
8800.0,543.1,720.0,571.4,377.5
8900.0,538.0,716.3,577.0,377.5
9000.0,553.2,720.0,569.1,383.0
9100.0,537.2,709.0,570.9,363.6
9200.0,545.0,720.0,580.0,375.0
9300.0,556.0,717.5,580.0,375.2
9400.0,551.7,711.0,580.0,369.3
9500.0,553.7,709.5,574.4,354.1
9600.0,541.5,720.0,570.1,364.9
9700.0,547.9,717.7,580.0,375.6
9800.0,556.0,720.0,574.4,370.5
9900.0,537.3,709.8,580.0,369.5
10000.0,549.4,709.0,580.0,361.7
10100.0,538.7,709.0,566.1,360.7
10200.0,551.6,709.0,580.0,371.8
10300.0,549.1,720.0,573.0,366.5
10400.0,543.3,715.1,580.0,361.0
10500.0,540.8,709.0,566.6,354.1
10600.0,549.4,720.0,569.0,373.8
10700.0,551.5,709.0,580.0,378.8
10800.0,556.0,716.6,579.7,370.9
10900.0,541.3,709.0,568.2,355.3
11000.0,551.6,720.0,565.0,383.0
11100.0,536.3,720.0,580.0,364.6
11200.0,556.0,720.0,572.1,377.8
11300.0,544.5,720.0,575.6,369.7
11400.0,551.9,714.1,567.6,363.7
11500.0,554.2,709.0,573.5,368.7
11600.0,543.8,716.2,573.4,378.5
11700.0,544.6,720.0,580.0,378.6
11800.0,556.0,709.0,576.5,372.9
11900.0,544.7,709.0,580.0,380.4
12000.0,540.9,720.0,570.8,370.6
12100.0,551.8,720.0,576.4,377.3
12200.0,548.5,715.8,580.0,372.7
12300.0,556.0,720.0,577.3,370.8
12400.0,543.3,720.0,572.1,377.3
12500.0,556.0,709.1,565.3,379.2
12600.0,556.0,718.7,580.0,354.0
12700.0,556.0,720.0,579.5,364.8
12800.0,541.3,720.0,580.0,379.7
12900.0,555.3,720.0,575.2,366.6
13000.0,536.2,711.7,565.0,371.3
13100.0,547.2,719.9,572.7,371.7
13200.0,556.0,709.0,576.8,367.2
13300.0,556.0,720.0,566.5,383.0
13400.0,545.5,709.0,574.0,375.0
13500.0,556.0,720.0,567.3,369.0
13600.0,549.2,720.0,566.5,369.8
13700.0,551.2,711.3,572.0,362.7
13800.0,553.2,720.0,576.9,370.9
13900.0,553.3,709.0,565.0,365.1
14000.0,556.0,709.0,568.4,369.5
14100.0,548.6,720.0,569.0,374.3
14200.0,530.0,709.0,567.5,378.7
14300.0,544.6,718.3,568.3,370.3
14400.0,551.0,718.4,578.6,358.5
14500.0,543.8,720.0,577.1,359.6
14600.0,550.9,716.2,571.7,377.9
14700.0,539.2,716.7,580.0,381.7
14800.0,552.1,720.0,580.0,366.0
14900.0,543.9,709.0,580.0,366.6
15000.0,546.3,709.0,577.2,380.5
15100.0,549.8,720.0,580.0,370.1
15200.0,538.8,720.0,568.6,383.0
15300.0,541.2,718.7,565.7,369.0
15400.0,549.7,711.8,580.0,373.1
15500.0,556.0,712.3,577.9,375.9
15600.0,548.9,720.0,577.7,369.5
15700.0,549.2,709.0,571.3,372.5
15800.0,543.7,709.0,580.0,373.4
15900.0,554.6,720.0,569.1,376.4
16000.0,542.5,709.0,576.0,364.1
16100.0,547.2,720.0,580.0,370.4
16200.0,544.3,720.0,572.7,377.8
