timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,420.0,621.6,373.0,215.0
100.0,420.0,620.9,376.0,214.6
200.0,422.0,620.0,376.0,215.0
300.0,420.0,623.5,376.0,212.9
400.0,422.0,620.1,376.0,215.0
500.0,420.0,622.2,376.0,212.0
600.0,422.0,620.1,373.0,215.0
700.0,420.7,623.1,374.4,214.6
800.0,420.0,620.0,373.0,212.0
900.0,422.0,625.0,376.0,215.0
1000.0,422.0,625.0,373.0,212.0
1100.0,420.0,625.0,373.0,212.2
1200.0,422.0,625.0,373.0,214.1
1300.0,420.9,622.6,373.0,215.0
1400.0,420.0,624.3,375.7,215.0
1500.0,422.0,620.0,376.0,212.6
1600.0,420.0,625.0,375.3,212.0
1700.0,420.0,625.0,373.8,212.0
1800.0,420.0,620.0,373.0,215.0
1900.0,420.0,620.0,373.1,213.0
2000.0,420.0,620.0,375.6,212.0
2100.0,420.0,625.0,373.0,215.0
2200.0,420.0,625.0,376.0,212.0
2300.0,422.0,620.1,376.0,213.2
2400.0,422.0,625.0,376.0,212.8
2500.0,422.0,620.0,376.0,215.0
2600.0,422.0,620.0,376.0,215.0
2700.0,422.0,620.0,373.0,214.2
2800.0,421.3,625.0,375.2,212.0
2900.0,420.4,625.0,374.6,212.0
3000.0,420.0,625.0,376.0,212.0
3100.0,420.0,620.0,373.0,215.0
3200.0,422.0,620.0,374.1,215.0
3300.0,422.0,625.0,373.0,215.0
3400.0,422.0,620.0,373.0,212.0
3500.0,422.0,620.0,376.0,212.0
3600.0,422.0,620.0,376.0,212.3
3700.0,422.0,625.0,373.4,214.2
3800.0,422.0,620.0,373.0,212.0
3900.0,420.0,620.0,376.0,215.0
4000.0,420.0,620.0,373.0,215.0
4100.0,422.0,625.0,376.0,212.0
4200.0,420.0,625.0,373.0,213.9
4300.0,420.0,625.0,376.0,215.0
4400.0,421.1,625.0,373.0,215.0
4500.0,420.0,620.0,376.0,212.9
4600.0,420.0,625.0,376.0,215.0
4700.0,420.0,620.9,376.0,215.0
4800.0,421.5,625.0,376.0,214.2
4900.0,420.0,620.0,373.0,212.6
5000.0,422.0,625.0,376.0,215.0
5100.0,421.1,620.0,374.8,215.0
5200.0,422.0,620.0,373.0,212.9
5300.0,420.0,625.0,373.2,213.3
5400.0,420.0,625.0,373.9,215.0
5500.0,422.0,620.0,376.0,212.0
5600.0,422.0,625.0,376.0,214.6
5700.0,420.0,625.0,373.0,215.0
5800.0,420.0,625.0,373.0,215.0
