timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,431.0,629.0,298.0,513.0
100.0,432.0,630.0,298.0,512.0
200.0,432.0,630.0,299.0,511.0
300.0,431.0,630.0,299.0,512.0
400.0,433.0,631.0,299.0,511.0
500.0,431.0,631.0,300.0,511.0
600.0,432.0,631.0,300.0,512.0
700.0,433.0,631.0,300.0,510.0
800.0,431.0,631.0,300.0,512.0
900.0,432.0,632.0,301.0,510.0
1000.0,430.0,632.0,300.0,509.0
1100.0,430.0,631.0,301.0,509.0
1200.0,430.0,631.0,301.0,508.0
1300.0,429.0,632.0,300.0,507.0
1400.0,429.0,632.0,300.0,508.0
1500.0,428.0,632.0,301.0,505.0
1600.0,428.0,631.0,301.0,504.0
1700.0,427.0,630.0,301.0,503.0
1800.0,427.0,631.0,302.0,504.0
1900.0,427.0,631.0,301.0,503.0
2000.0,426.0,630.0,302.0,501.0
2100.0,425.0,630.0,302.0,501.0
2200.0,425.0,630.0,301.0,500.0
2300.0,424.0,629.0,302.0,498.0
2400.0,423.0,629.0,301.0,497.0
2500.0,422.0,628.0,302.0,496.0
2600.0,423.0,630.0,301.0,495.0
2700.0,423.0,629.0,302.0,495.0
2800.0,423.0,629.0,301.0,495.0
2900.0,423.0,630.0,302.0,494.0
3000.0,423.0,630.0,302.0,495.0
3100.0,422.0,631.0,301.0,497.0
3200.0,422.0,630.0,302.0,498.0
3300.0,423.0,631.0,302.0,501.0
3400.0,423.0,632.0,303.0,502.0
3500.0,423.0,633.0,303.0,505.0
3600.0,423.0,633.0,304.0,507.0
3700.0,424.0,633.0,304.0,510.0
3800.0,425.0,634.0,305.0,512.0
3900.0,426.0,635.0,304.0,513.0
4000.0,426.0,636.0,305.0,514.0
4100.0,427.0,635.0,305.0,516.0
4200.0,427.0,636.0,306.0,517.0
4300.0,428.0,637.0,306.0,518.0
4400.0,428.0,638.0,306.0,520.0
4500.0,429.0,638.0,307.0,522.0
4600.0,429.0,639.0,307.0,523.0
4700.0,429.0,640.0,308.0,527.0
4800.0,430.0,640.0,309.0,529.0
4900.0,430.0,640.0,309.0,534.0
5000.0,430.0,642.0,309.0,537.0
5100.0,431.0,642.0,310.0,540.0
5200.0,430.0,643.0,311.0,546.0
5300.0,430.0,643.0,311.0,549.0
5400.0,430.0,644.0,311.0,553.0
5500.0,431.0,645.0,312.0,557.0
5600.0,431.0,646.0,312.0,562.0
5700.0,430.0,646.0,313.0,566.0
5800.0,431.0,647.0,313.0,570.0
5900.0,431.0,648.0,313.0,572.0
6000.0,432.0,650.0,314.0,575.0
6100.0,432.0,650.0,315.0,579.0
6200.0,432.0,650.0,315.0,582.0
6300.0,432.0,651.0,315.0,585.0
6400.0,432.0,652.0,316.0,589.0
6500.0,433.0,652.0,316.0,591.0
6600.0,432.0,653.0,317.0,595.0
6700.0,432.0,653.0,316.0,595.0
6800.0,433.0,654.0,317.0,598.0
6900.0,432.0,655.0,317.0,600.0
7000.0,433.0,656.0,318.0,604.0
7100.0,433.0,657.0,318.0,606.0
7200.0,433.0,658.0,319.0,610.0
7300.0,434.0,659.0,318.0,611.0
7400.0,435.0,660.0,319.0,614.0
7500.0,435.0,660.0,320.0,616.0
7600.0,436.0,661.0,321.0,618.0
7700.0,436.0,662.0,321.0,620.0
7800.0,436.0,662.0,321.0,620.0
7900.0,437.0,663.0,322.0,622.0
8000.0,437.0,664.0,323.0,623.0
8100.0,437.0,665.0,323.0,623.0
8200.0,437.0,665.0,323.0,621.0
8300.0,439.0,666.0,324.0,622.0
8400.0,439.0,667.0,325.0,623.0
8500.0,439.0,668.0,326.0,621.0
8600.0,440.0,668.0,326.0,621.0
8700.0,440.0,670.0,326.0,623.0
8800.0,441.0,669.0,328.0,623.0
8900.0,442.0,671.0,327.0,622.0
9000.0,443.0,670.0,328.0,621.0
9100.0,443.0,671.0,328.0,622.0
9200.0,443.0,671.0,330.0,622.0
9300.0,443.0,672.0,330.0,621.0
9400.0,443.0,672.0,330.0,620.0
9500.0,444.0,672.0,332.0,619.0
9600.0,443.0,672.0,332.0,618.0
9700.0,443.0,672.0,332.0,616.0
9800.0,443.0,672.0,333.0,615.0
9900.0,443.0,672.0,333.0,613.0
10000.0,442.0,672.0,332.0,611.0
10100.0,443.0,672.0,333.0,609.0
10200.0,442.0,671.0,333.0,606.0
10300.0,442.0,671.0,333.0,605.0
10400.0,442.0,671.0,333.0,602.0
10500.0,441.0,671.0,334.0,601.0
10600.0,441.0,671.0,334.0,599.0
10700.0,441.0,670.0,334.0,599.0
10800.0,440.0,670.0,333.0,599.0
10900.0,440.0,670.0,335.0,599.0
11000.0,440.0,671.0,335.0,597.0
11100.0,440.0,670.0,335.0,597.0
11200.0,439.0,671.0,335.0,598.0
11300.0,439.0,671.0,335.0,595.0
11400.0,439.0,671.0,336.0,596.0
11500.0,439.0,671.0,336.0,596.0
11600.0,438.0,671.0,336.0,596.0
11700.0,438.0,670.0,337.0,595.0
11800.0,438.0,670.0,336.0,594.0
11900.0,438.0,671.0,337.0,593.0
12000.0,437.0,670.0,337.0,592.0
12100.0,437.0,669.0,338.0,591.0
12200.0,437.0,670.0,338.0,588.0
12300.0,437.0,669.0,337.0,588.0
12400.0,436.0,669.0,336.0,587.0
