timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,429.7,678.7,373.2,575.5
100.0,443.1,718.0,385.1,549.6
200.0,428.7,683.6,377.6,572.0
300.0,442.2,714.7,387.9,566.1
400.0,428.4,718.0,392.2,584.4
500.0,438.2,710.7,397.5,553.2
600.0,443.9,718.0,392.5,600.7
700.0,448.4,694.7,376.4,553.6
800.0,411.6,679.1,361.2,563.6
900.0,434.3,700.8,371.5,585.5
1000.0,440.2,682.9,364.4,570.1
1100.0,426.7,704.0,395.1,525.4
1200.0,429.7,699.9,377.4,525.7
1300.0,430.4,705.2,385.7,531.6
1400.0,431.1,700.9,390.2,554.2
1500.0,454.0,704.4,387.6,586.3
1600.0,434.3,697.1,397.3,553.4
1700.0,440.0,683.0,334.4,594.5
1800.0,436.8,687.1,378.8,584.9
1900.0,430.5,692.5,393.8,492.0
2000.0,454.0,709.7,389.8,598.0
2100.0,428.9,629.3,310.9,520.0
2200.0,437.5,680.1,333.0,590.6
2300.0,430.0,701.2,372.9,573.7
2400.0,436.7,667.4,332.8,575.2
2500.0,435.5,716.0,394.7,547.1
2600.0,423.7,713.4,397.8,507.6
2700.0,438.4,673.7,353.2,591.9
2800.0,433.1,718.0,390.3,579.0
2900.0,426.8,704.4,377.0,583.9
3000.0,439.4,715.2,392.9,559.3
3100.0,437.6,660.0,337.7,609.1
3200.0,434.7,665.1,343.9,577.2
3300.0,439.0,718.0,394.7,544.9
3400.0,433.1,712.4,384.6,544.0
3500.0,421.3,638.7,298.0,492.0
3600.0,454.0,718.0,389.4,590.2
3700.0,449.7,697.0,374.7,551.2
3800.0,443.2,713.2,396.3,550.8
3900.0,453.8,702.6,388.8,579.8
4000.0,443.1,677.3,333.6,591.7
4100.0,446.9,718.0,387.6,592.5
4200.0,415.7,688.4,374.6,563.7
4300.0,437.7,699.9,389.1,569.4
4400.0,441.6,684.0,367.2,594.4
4500.0,429.1,686.7,374.3,582.2
4600.0,412.4,697.0,359.8,555.1
4700.0,435.4,717.3,398.0,533.6
4800.0,416.7,693.8,391.8,492.0
4900.0,424.0,701.6,382.0,542.7
5000.0,427.4,702.6,388.2,537.7
5100.0,432.4,716.8,386.0,523.0
5200.0,437.7,713.4,382.6,550.4
5300.0,436.4,681.3,367.5,579.9
5400.0,446.5,708.3,374.6,562.3
5500.0,432.1,698.0,398.0,518.0
5600.0,438.4,682.0,358.8,590.1
5700.0,423.9,703.5,393.7,542.3
5800.0,451.5,682.8,358.1,603.1
5900.0,443.7,694.6,369.5,602.6
