timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,420.2,693.1,403.4,574.3
100.0,450.2,715.0,413.5,601.9
200.0,430.2,704.4,402.9,536.0
300.0,429.5,712.7,395.2,531.2
400.0,433.5,724.4,404.3,550.1
500.0,423.1,697.7,409.3,603.7
600.0,427.7,720.5,409.1,608.3
700.0,426.9,719.1,400.8,543.2
800.0,427.8,715.9,414.9,586.3
900.0,423.0,705.7,410.7,528.7
1000.0,426.9,690.0,393.2,500.4
1100.0,437.0,722.6,395.9,550.5
1200.0,427.5,711.2,393.5,529.5
1300.0,426.1,704.9,391.0,562.2
1400.0,424.8,698.9,409.8,603.1
1500.0,458.0,720.3,409.6,629.0
1600.0,445.6,700.9,414.6,556.9
1700.0,438.0,718.6,412.0,558.4
1800.0,433.5,704.4,409.2,577.5
1900.0,435.7,712.3,402.2,558.7
2000.0,442.1,715.8,416.0,606.4
2100.0,414.1,707.1,413.9,595.7
2200.0,448.6,726.0,416.0,609.5
2300.0,446.8,726.0,408.1,589.6
2400.0,426.5,698.0,403.9,536.5
2500.0,427.5,703.3,400.5,503.8
2600.0,420.6,720.5,392.9,520.4
2700.0,430.8,711.4,395.9,530.8
2800.0,427.1,726.0,397.4,515.8
2900.0,435.2,726.0,398.7,544.5
3000.0,424.6,716.8,403.9,601.5
3100.0,444.1,700.0,404.8,551.0
3200.0,442.8,699.0,409.1,606.4
3300.0,436.8,704.3,403.3,556.6
3400.0,453.6,719.9,402.2,576.9
3500.0,425.4,716.5,406.0,597.1
3600.0,400.4,704.5,399.0,512.6
3700.0,417.8,700.7,401.5,535.4
3800.0,418.2,704.7,388.8,505.8
3900.0,414.8,706.7,414.2,584.3
4000.0,446.2,725.1,388.0,500.0
4100.0,437.3,707.2,408.3,577.8
4200.0,443.1,710.1,405.3,606.8
4300.0,412.6,715.3,399.1,516.3
4400.0,433.0,724.0,403.5,555.8
4500.0,438.2,709.9,409.6,578.8
4600.0,447.7,716.5,410.2,621.5
4700.0,425.5,711.9,396.3,530.2
4800.0,424.7,701.0,395.1,514.9
4900.0,441.5,726.0,401.5,572.7
5000.0,416.4,700.2,403.7,510.5
5100.0,436.0,713.7,393.7,552.1
5200.0,435.4,709.3,402.4,507.8
5300.0,415.7,694.9,408.6,599.2
5400.0,422.1,694.1,410.9,558.9
5500.0,417.5,701.9,397.7,524.1
5600.0,436.1,705.9,405.2,563.8
5700.0,441.4,719.1,408.7,578.9
5800.0,419.6,695.9,404.3,566.7
5900.0,417.4,694.9,404.1,588.8
6000.0,447.7,721.4,414.2,563.0
6100.0,436.3,711.6,406.8,576.1
6200.0,452.4,705.9,407.0,566.8
6300.0,443.0,707.5,407.8,587.0
6400.0,412.8,707.9,410.7,572.0
6500.0,418.4,716.3,409.3,534.8
6600.0,413.7,697.5,406.4,558.4
6700.0,433.3,725.7,405.9,582.1
6800.0,449.7,719.7,396.3,550.8
6900.0,433.1,698.7,395.2,513.7
7000.0,425.6,709.4,406.8,516.2
7100.0,409.0,693.0,408.0,560.2
7200.0,417.3,720.8,404.2,539.1
7300.0,418.6,710.3,398.3,514.8
7400.0,433.4,704.7,395.0,559.7
7500.0,421.3,709.5,394.0,490.8
7600.0,440.0,715.9,402.0,567.2
7700.0,441.3,711.6,406.4,552.0
7800.0,431.4,712.9,398.3,501.6
7900.0,441.9,718.3,401.4,568.4
8000.0,428.3,705.6,401.7,554.5
8100.0,444.4,703.7,415.1,588.3
8200.0,440.3,699.6,399.6,581.6
8300.0,427.8,712.1,405.1,505.7
8400.0,415.9,693.6,410.9,552.6
8500.0,425.9,714.7,392.3,527.7
8600.0,430.4,698.6,411.0,599.8
8700.0,417.9,702.2,409.9,547.9
8800.0,433.7,715.4,409.0,533.3
8900.0,448.1,717.5,400.5,510.5
9000.0,428.0,713.0,399.2,512.2
9100.0,404.3,696.6,400.1,512.9
9200.0,414.3,702.5,397.5,495.3
9300.0,431.0,719.8,401.5,530.7
9400.0,434.6,711.4,388.0,485.8
9500.0,429.0,702.4,405.8,552.4
9600.0,423.3,707.1,409.3,541.4
9700.0,433.8,704.5,399.4,541.3
9800.0,407.4,715.0,390.1,510.8
9900.0,434.1,715.7,410.8,618.1
10000.0,449.9,708.3,405.7,588.5
10100.0,442.3,722.2,399.0,508.3
10200.0,417.0,703.2,406.8,510.8
10300.0,428.2,716.9,404.7,509.4
10400.0,431.8,707.6,409.0,543.2
10500.0,430.0,705.4,401.0,578.1
10600.0,439.8,710.9,400.6,559.2
10700.0,458.0,726.0,400.4,579.2
10800.0,427.6,712.9,413.9,600.0
10900.0,433.7,714.4,410.0,553.8
11000.0,431.0,702.9,399.1,568.9
11100.0,436.9,726.0,400.7,527.3
11200.0,432.0,708.2,400.5,548.8
11300.0,426.4,713.1,398.3,532.6
11400.0,430.5,712.6,403.7,590.3
11500.0,427.0,699.8,412.8,590.1
11600.0,420.2,700.4,404.7,553.0
11700.0,433.7,724.9,402.3,522.2
11800.0,453.5,715.7,400.9,586.8
11900.0,433.6,700.3,411.8,592.1
12000.0,451.0,713.3,403.5,562.7
12100.0,426.7,701.7,392.1,519.4
12200.0,436.3,725.0,413.2,610.8
12300.0,439.8,719.3,412.6,574.5
12400.0,434.8,722.6,402.4,515.4
12500.0,420.5,695.2,394.6,526.3
12600.0,416.8,703.3,400.4,561.7
12700.0,435.0,708.1,406.7,543.3
12800.0,421.2,695.3,406.8,530.7
12900.0,442.1,713.2,410.3,544.4
13000.0,435.8,696.8,408.3,587.3
13100.0,431.1,698.2,391.7,500.7
13200.0,425.0,697.7,409.2,538.3
13300.0,446.6,721.0,399.1,571.1
13400.0,443.0,714.5,395.0,502.3
13500.0,435.8,720.8,388.6,505.3
13600.0,441.3,712.9,410.5,560.9
13700.0,451.2,722.5,398.4,594.1
13800.0,449.3,716.4,406.1,608.6
13900.0,447.0,711.1,398.8,589.0
14000.0,426.1,703.9,411.7,585.9
14100.0,440.3,725.6,411.9,552.0
14200.0,447.4,716.9,416.0,565.9
14300.0,430.3,700.6,404.9,558.5
14400.0,442.4,711.0,397.1,585.7
14500.0,446.0,706.0,397.6,517.6
14600.0,417.5,717.4,404.1,593.8
14700.0,440.8,714.8,400.7,517.4
14800.0,415.9,707.8,407.8,586.7
14900.0,419.1,695.0,408.0,541.7
15000.0,423.1,706.3,409.9,590.5
15100.0,439.6,694.4,396.7,534.7
15200.0,427.4,707.0,395.6,494.6
15300.0,432.3,710.9,403.8,519.0
15400.0,414.2,708.4,393.7,529.4
15500.0,416.3,721.0,402.3,491.0
15600.0,445.4,717.7,388.0,503.8
15700.0,450.1,712.9,408.3,545.4
15800.0,420.6,697.3,389.7,490.9
15900.0,398.0,690.0,392.1,552.9
16000.0,436.9,715.7,405.3,529.7
16100.0,444.5,724.2,393.6,512.8
16200.0,405.6,690.2,391.5,514.9
16300.0,416.6,705.7,399.2,531.0
16400.0,443.3,725.1,404.8,572.7
16500.0,421.4,713.3,394.6,508.1
16600.0,404.5,690.0,402.8,509.6
16700.0,435.3,694.9,407.9,589.5
16800.0,435.8,696.6,399.5,584.3
16900.0,408.2,692.1,398.4,519.0
17000.0,435.8,714.5,401.9,511.7
17100.0,430.6,721.0,402.7,569.9
17200.0,432.0,712.8,408.5,540.8
17300.0,443.1,701.2,406.2,557.2
17400.0,417.5,703.9,399.4,523.1
17500.0,433.9,704.0,397.2,599.5
17600.0,426.8,725.8,399.7,562.9
17700.0,436.0,712.6,404.0,557.5
17800.0,421.4,698.5,395.7,489.1
17900.0,456.5,709.5,396.3,538.9
18000.0,425.3,693.0,413.5,604.2
18100.0,432.9,709.8,402.5,585.2
18200.0,440.9,725.0,399.4,550.9
18300.0,431.8,721.1,414.9,592.8
18400.0,439.0,714.3,397.8,575.9
18500.0,434.5,703.1,403.2,582.5
18600.0,416.8,691.4,405.5,517.5
18700.0,427.6,712.9,410.6,608.2
18800.0,425.5,706.8,390.8,500.0
18900.0,450.0,726.0,396.0,544.2
19000.0,428.6,711.4,403.1,586.9
19100.0,437.8,708.8,403.5,590.0
19200.0,427.5,717.2,393.9,528.7
19300.0,436.5,716.9,397.5,583.4
19400.0,423.2,699.4,398.9,508.4
19500.0,419.6,715.9,400.2,559.3
19600.0,428.4,702.8,399.3,518.0
19700.0,456.1,712.3,395.5,574.5
19800.0,424.2,716.2,396.1,523.5
19900.0,454.5,726.0,402.9,555.8
20000.0,404.8,690.0,396.1,520.8
20100.0,452.9,726.0,408.1,603.8
20200.0,428.1,695.2,414.0,586.0
20300.0,438.9,711.7,406.9,545.2
20400.0,433.1,715.0,401.3,554.1
20500.0,458.0,718.3,411.3,613.8
20600.0,443.0,698.1,410.6,540.8
20700.0,445.0,709.0,411.5,555.0
20800.0,450.5,714.5,402.2,562.4
20900.0,428.1,709.6,400.2,534.9
21000.0,451.0,720.6,416.0,626.5
21100.0,428.2,717.0,410.4,579.2
21200.0,425.1,699.7,404.4,499.2
21300.0,426.4,717.2,398.9,508.3
21400.0,422.9,704.1,392.0,556.0
21500.0,441.3,709.7,408.2,557.7
21600.0,431.7,715.6,398.1,549.5
21700.0,440.9,703.7,408.5,548.4
21800.0,444.7,703.9,413.7,574.5
21900.0,427.4,695.7,389.2,491.0
