timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,389.0,657.0,332.0,365.0
100.0,389.0,658.0,332.0,366.0
200.0,389.0,658.0,331.0,365.0
300.0,389.0,657.0,330.0,363.0
400.0,388.0,657.0,331.0,362.0
500.0,388.0,657.0,331.0,361.0
600.0,388.0,657.0,330.0,360.0
700.0,388.0,656.0,331.0,360.0
800.0,388.0,656.0,329.0,356.0
900.0,387.0,655.0,329.0,356.0
1000.0,387.0,656.0,329.0,355.0
1100.0,387.0,655.0,329.0,355.0
1200.0,387.0,655.0,330.0,353.0
1300.0,387.0,655.0,329.0,352.0
1400.0,386.0,654.0,329.0,350.0
1500.0,386.0,654.0,328.0,350.0
1600.0,386.0,654.0,328.0,349.0
1700.0,386.0,654.0,328.0,347.0
1800.0,386.0,653.0,328.0,346.0
1900.0,385.0,653.0,328.0,345.0
2000.0,385.0,653.0,328.0,344.0
2100.0,385.0,652.0,328.0,342.0
2200.0,385.0,652.0,328.0,340.0
2300.0,385.0,651.0,326.0,339.0
2400.0,383.0,652.0,326.0,340.0
2500.0,383.0,651.0,326.0,339.0
2600.0,384.0,652.0,326.0,338.0
2700.0,383.0,651.0,326.0,337.0
2800.0,383.0,650.0,326.0,336.0
2900.0,382.0,650.0,326.0,334.0
3000.0,383.0,650.0,326.0,334.0
3100.0,383.0,650.0,325.0,333.0
3200.0,382.0,649.0,326.0,331.0
3300.0,381.0,649.0,325.0,331.0
3400.0,381.0,648.0,325.0,329.0
3500.0,381.0,648.0,324.0,326.0
3600.0,381.0,648.0,324.0,326.0
3700.0,380.0,647.0,324.0,324.0
3800.0,379.0,647.0,324.0,323.0
3900.0,380.0,647.0,324.0,322.0
4000.0,379.0,647.0,323.0,321.0
4100.0,379.0,646.0,323.0,319.0
4200.0,378.0,646.0,323.0,318.0
4300.0,379.0,645.0,323.0,316.0
4400.0,378.0,645.0,323.0,316.0
4500.0,378.0,644.0,322.0,315.0
4600.0,377.0,645.0,322.0,314.0
4700.0,378.0,644.0,321.0,313.0
4800.0,377.0,643.0,322.0,312.0
4900.0,377.0,644.0,321.0,311.0
5000.0,377.0,643.0,321.0,310.0
