timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,470.5,708.6,379.5,574.7
100.0,406.8,655.9,343.9,499.9
200.0,465.2,723.0,374.8,593.3
300.0,405.2,644.6,328.9,447.3
400.0,442.9,705.3,371.5,534.2
500.0,401.9,666.2,341.3,478.8
600.0,382.9,662.6,333.6,356.0
700.0,413.9,648.0,332.0,469.7
800.0,403.5,671.7,338.7,459.5
900.0,390.4,643.8,326.8,384.5
1000.0,376.9,637.4,326.7,322.7
1100.0,431.2,677.6,351.4,520.8
1200.0,438.3,722.4,370.8,527.7
1300.0,443.0,707.3,391.0,586.6
1400.0,434.8,704.6,370.7,509.2
1500.0,389.9,651.5,329.5,365.4
1600.0,458.2,702.4,368.4,603.2
1700.0,454.4,720.8,388.7,551.2
1800.0,379.3,631.6,318.2,310.3
1900.0,434.2,686.4,370.0,534.5
2000.0,447.5,695.7,366.0,518.8
2100.0,471.0,738.0,383.0,612.0
2200.0,384.2,636.0,325.6,322.1
2300.0,447.9,711.6,386.0,561.1
2400.0,455.1,726.7,381.8,537.9
2500.0,410.8,668.1,345.1,479.9
2600.0,443.2,701.7,366.4,521.2
2700.0,443.2,702.8,364.8,583.5
2800.0,421.8,659.2,353.4,521.5
2900.0,435.1,685.3,374.2,512.2
3000.0,446.6,707.9,379.9,525.5
3100.0,394.5,645.1,328.8,409.1
3200.0,461.0,714.6,387.2,575.5
3300.0,450.5,716.4,370.7,536.2
3400.0,436.5,714.8,383.6,517.3
3500.0,440.4,690.5,360.4,593.3
3600.0,439.2,693.5,364.8,536.1
3700.0,435.7,665.6,346.2,532.6
3800.0,402.2,661.9,350.4,483.4
3900.0,401.3,642.9,325.3,374.7
4000.0,417.2,649.3,340.0,523.4
4100.0,441.2,707.6,368.1,524.6
4200.0,445.0,699.7,365.6,547.2
4300.0,383.3,628.3,325.6,350.7
4400.0,449.2,708.4,382.4,575.6
4500.0,456.1,697.8,370.6,569.3
4600.0,445.4,716.5,391.0,551.0
4700.0,454.8,719.8,389.0,528.8
4800.0,470.0,705.3,376.3,591.9
4900.0,439.8,701.3,377.4,525.7
5000.0,449.0,702.0,367.5,605.8
5100.0,481.0,737.5,391.0,603.7
5200.0,431.3,687.3,351.0,554.3
5300.0,434.5,666.8,351.9,552.5
5400.0,409.4,675.6,347.0,494.9
5500.0,383.5,647.9,326.8,347.5
5600.0,407.5,630.4,332.6,451.3
5700.0,423.9,662.8,352.8,490.0
5800.0,427.7,682.7,359.0,548.1
5900.0,416.7,673.0,338.3,507.5
6000.0,440.2,691.6,360.6,595.8
6100.0,446.6,721.5,381.5,554.3
6200.0,444.0,685.3,358.6,588.1
6300.0,444.4,720.3,391.0,541.3
6400.0,446.8,707.0,380.6,521.3
6500.0,445.6,720.4,373.9,518.3
6600.0,453.2,703.4,377.7,593.6
6700.0,478.9,734.3,384.0,599.8
6800.0,416.6,673.0,346.8,520.2
6900.0,439.3,690.0,370.0,507.2
7000.0,407.4,658.3,341.3,479.5
7100.0,386.6,658.7,326.2,358.0
7200.0,441.9,682.1,369.7,514.8
7300.0,442.1,702.1,375.0,515.5
7400.0,474.4,735.4,391.0,560.1
7500.0,453.2,714.0,381.8,555.7
7600.0,407.0,659.5,345.0,452.8
7700.0,392.5,651.1,325.3,433.8
7800.0,442.3,717.5,383.3,531.8
7900.0,422.9,676.1,355.1,537.1
8000.0,388.1,626.0,321.3,366.8
8100.0,426.1,682.0,342.1,528.7
8200.0,432.4,719.0,377.0,504.9
8300.0,443.3,699.3,374.2,529.8
8400.0,433.8,668.5,350.5,549.1
8500.0,450.5,711.6,371.8,531.0
8600.0,441.1,699.4,376.2,567.4
8700.0,425.9,659.1,337.7,515.7
