timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,391.0,478.0,176.0,443.0
100.0,392.0,481.0,175.0,444.0
200.0,393.0,483.0,176.0,445.0
300.0,396.0,486.0,176.0,446.0
400.0,398.0,490.0,176.0,447.0
500.0,399.0,494.0,177.0,448.0
600.0,402.0,497.0,177.0,449.0
700.0,404.0,499.0,177.0,449.0
800.0,406.0,504.0,177.0,452.0
900.0,409.0,507.0,178.0,453.0
1000.0,410.0,511.0,178.0,456.0
1100.0,415.0,514.0,180.0,459.0
1200.0,417.0,518.0,181.0,463.0
1300.0,419.0,522.0,181.0,467.0
1400.0,423.0,525.0,181.0,471.0
1500.0,425.0,529.0,183.0,477.0
1600.0,429.0,533.0,184.0,485.0
1700.0,432.0,536.0,186.0,492.0
1800.0,435.0,539.0,188.0,499.0
1900.0,437.0,542.0,190.0,507.0
2000.0,440.0,545.0,191.0,514.0
2100.0,442.0,548.0,192.0,522.0
2200.0,446.0,550.0,195.0,531.0
2300.0,448.0,553.0,197.0,537.0
2400.0,448.0,554.0,199.0,544.0
2500.0,451.0,556.0,201.0,552.0
2600.0,451.0,556.0,203.0,558.0
2700.0,453.0,557.0,205.0,565.0
2800.0,453.0,557.0,207.0,570.0
2900.0,454.0,558.0,210.0,573.0
3000.0,455.0,559.0,212.0,578.0
3100.0,456.0,560.0,214.0,580.0
3200.0,456.0,560.0,214.0,582.0
3300.0,456.0,560.0,216.0,584.0
3400.0,456.0,560.0,217.0,584.0
3500.0,457.0,560.0,218.0,585.0
3600.0,457.0,560.0,219.0,584.0
3700.0,456.0,559.0,219.0,584.0
3800.0,456.0,559.0,220.0,582.0
3900.0,455.0,559.0,220.0,583.0
4000.0,455.0,558.0,221.0,582.0
4100.0,455.0,557.0,221.0,581.0
4200.0,455.0,558.0,222.0,577.0
4300.0,454.0,558.0,222.0,576.0
4400.0,453.0,558.0,222.0,575.0
4500.0,453.0,558.0,222.0,572.0
4600.0,452.0,559.0,223.0,569.0
4700.0,453.0,559.0,222.0,568.0
4800.0,453.0,560.0,222.0,566.0
4900.0,453.0,560.0,223.0,564.0
5000.0,453.0,561.0,223.0,563.0
5100.0,452.0,561.0,222.0,561.0
5200.0,453.0,562.0,223.0,558.0
5300.0,453.0,563.0,223.0,558.0
5400.0,454.0,563.0,223.0,556.0
5500.0,454.0,565.0,224.0,556.0
5600.0,454.0,565.0,224.0,556.0
5700.0,454.0,566.0,223.0,555.0
5800.0,453.0,566.0,224.0,554.0
5900.0,455.0,567.0,224.0,555.0
6000.0,455.0,568.0,225.0,554.0
6100.0,454.0,569.0,225.0,555.0
6200.0,454.0,570.0,226.0,555.0
6300.0,455.0,571.0,226.0,555.0
6400.0,455.0,572.0,226.0,556.0
6500.0,456.0,574.0,227.0,556.0
6600.0,456.0,575.0,228.0,557.0
6700.0,456.0,575.0,228.0,558.0
6800.0,456.0,577.0,227.0,559.0
6900.0,457.0,578.0,229.0,561.0
7000.0,457.0,579.0,229.0,559.0
7100.0,457.0,580.0,229.0,559.0
7200.0,458.0,581.0,230.0,560.0
7300.0,458.0,582.0,229.0,558.0
7400.0,457.0,583.0,230.0,559.0
7500.0,458.0,583.0,230.0,557.0
7600.0,458.0,583.0,230.0,556.0
7700.0,458.0,584.0,230.0,556.0
7800.0,457.0,584.0,231.0,555.0
7900.0,457.0,585.0,231.0,553.0
8000.0,457.0,584.0,231.0,552.0
8100.0,457.0,584.0,230.0,550.0
8200.0,456.0,585.0,230.0,549.0
8300.0,456.0,585.0,230.0,545.0
8400.0,456.0,585.0,230.0,543.0
8500.0,456.0,586.0,229.0,541.0
8600.0,455.0,586.0,230.0,539.0
8700.0,455.0,586.0,229.0,538.0
8800.0,455.0,587.0,230.0,535.0
8900.0,455.0,588.0,229.0,534.0
9000.0,454.0,590.0,230.0,532.0
9100.0,455.0,590.0,228.0,531.0
9200.0,455.0,591.0,229.0,531.0
9300.0,455.0,591.0,230.0,529.0
9400.0,455.0,592.0,230.0,528.0
9500.0,455.0,594.0,230.0,528.0
9600.0,455.0,595.0,231.0,528.0
9700.0,455.0,595.0,231.0,527.0
9800.0,456.0,595.0,231.0,527.0
9900.0,455.0,596.0,232.0,527.0
10000.0,455.0,597.0,232.0,528.0
10100.0,455.0,597.0,233.0,528.0
10200.0,455.0,597.0,233.0,527.0
10300.0,455.0,597.0,234.0,528.0
10400.0,455.0,599.0,233.0,526.0
10500.0,454.0,599.0,234.0,525.0
10600.0,454.0,599.0,235.0,526.0
10700.0,453.0,598.0,235.0,526.0
10800.0,453.0,599.0,234.0,525.0
10900.0,453.0,598.0,234.0,523.0
11000.0,452.0,599.0,235.0,522.0
11100.0,452.0,599.0,235.0,521.0
11200.0,450.0,598.0,235.0,520.0
11300.0,451.0,598.0,235.0,520.0
11400.0,450.0,597.0,235.0,518.0
11500.0,449.0,597.0,235.0,518.0
11600.0,448.0,597.0,236.0,516.0
11700.0,448.0,596.0,236.0,514.0
11800.0,446.0,596.0,236.0,513.0
11900.0,445.0,596.0,235.0,509.0
12000.0,445.0,596.0,236.0,510.0
12100.0,444.0,596.0,235.0,507.0
12200.0,443.0,596.0,236.0,507.0
12300.0,442.0,595.0,236.0,504.0
12400.0,442.0,595.0,236.0,504.0
12500.0,441.0,595.0,235.0,503.0
12600.0,440.0,594.0,236.0,502.0
12700.0,439.0,594.0,236.0,500.0
12800.0,439.0,595.0,237.0,499.0
12900.0,439.0,593.0,236.0,499.0
13000.0,437.0,593.0,236.0,498.0
13100.0,437.0,593.0,236.0,495.0
13200.0,436.0,594.0,236.0,495.0
13300.0,435.0,593.0,237.0,493.0
13400.0,435.0,592.0,236.0,492.0
13500.0,435.0,592.0,236.0,493.0
13600.0,434.0,593.0,236.0,490.0
13700.0,434.0,592.0,236.0,490.0
13800.0,433.0,593.0,237.0,491.0
13900.0,432.0,593.0,237.0,490.0
14000.0,432.0,593.0,237.0,487.0
14100.0,431.0,594.0,237.0,487.0
14200.0,431.0,593.0,237.0,486.0
14300.0,430.0,594.0,236.0,486.0
14400.0,429.0,594.0,237.0,485.0
14500.0,430.0,594.0,237.0,484.0
14600.0,429.0,594.0,237.0,484.0
14700.0,430.0,594.0,237.0,484.0
14800.0,429.0,595.0,236.0,483.0
14900.0,428.0,595.0,237.0,482.0
15000.0,428.0,597.0,237.0,481.0
15100.0,429.0,597.0,238.0,480.0
15200.0,428.0,597.0,237.0,481.0
15300.0,428.0,597.0,238.0,479.0
15400.0,428.0,597.0,238.0,480.0
15500.0,428.0,598.0,238.0,479.0
15600.0,428.0,598.0,238.0,479.0
15700.0,426.0,597.0,238.0,477.0
15800.0,426.0,598.0,238.0,478.0
15900.0,426.0,598.0,239.0,477.0
16000.0,427.0,599.0,238.0,476.0
16100.0,425.0,599.0,238.0,475.0
16200.0,426.0,598.0,239.0,474.0
16300.0,424.0,598.0,238.0,474.0
16400.0,425.0,599.0,239.0,472.0
16500.0,424.0,597.0,239.0,473.0
16600.0,424.0,598.0,238.0,472.0
16700.0,424.0,598.0,239.0,472.0
16800.0,423.0,596.0,239.0,471.0
16900.0,423.0,596.0,239.0,471.0
17000.0,423.0,596.0,239.0,471.0
17100.0,421.0,595.0,240.0,471.0
17200.0,421.0,596.0,238.0,471.0
17300.0,421.0,596.0,239.0,473.0
17400.0,421.0,596.0,239.0,472.0
17500.0,420.0,595.0,239.0,474.0
17600.0,420.0,595.0,239.0,474.0
17700.0,419.0,595.0,240.0,475.0
17800.0,419.0,594.0,240.0,474.0
17900.0,419.0,594.0,239.0,474.0
18000.0,418.0,595.0,240.0,473.0
18100.0,418.0,593.0,239.0,474.0
18200.0,416.0,594.0,240.0,473.0
18300.0,416.0,592.0,239.0,471.0
18400.0,416.0,592.0,239.0,471.0
18500.0,415.0,592.0,239.0,469.0
18600.0,414.0,592.0,238.0,468.0
18700.0,413.0,591.0,239.0,466.0
18800.0,413.0,591.0,239.0,464.0
18900.0,412.0,590.0,239.0,462.0
19000.0,411.0,591.0,239.0,460.0
19100.0,411.0,589.0,239.0,459.0
19200.0,410.0,589.0,238.0,457.0
19300.0,410.0,589.0,239.0,457.0
19400.0,410.0,588.0,238.0,456.0
19500.0,408.0,588.0,238.0,456.0
