timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,431.5,657.2,301.4,505.4
100.0,379.3,619.4,278.1,360.9
200.0,406.2,647.3,304.7,473.0
300.0,439.0,642.9,303.8,516.7
400.0,396.6,612.5,282.2,371.2
500.0,455.0,682.0,290.3,540.0
600.0,383.4,611.9,292.2,418.5
700.0,402.4,632.0,290.3,424.8
800.0,401.1,623.4,278.0,391.5
900.0,449.7,673.5,298.8,516.0
1000.0,379.3,601.0,274.0,327.0
1100.0,436.5,675.9,297.1,498.7
1200.0,446.5,679.5,300.2,538.9
1300.0,430.3,615.4,288.2,489.5
1400.0,406.6,610.4,294.3,450.9
1500.0,427.4,647.1,286.2,500.5
1600.0,398.2,616.4,288.5,423.3
1700.0,403.8,636.7,293.1,449.5
1800.0,392.9,609.5,274.0,382.8
1900.0,443.8,682.0,303.7,499.8
2000.0,441.6,653.9,297.4,520.9
2100.0,449.1,674.8,289.8,521.6
2200.0,419.9,627.4,287.7,477.8
2300.0,390.8,623.8,285.1,418.7
2400.0,404.2,611.9,287.2,438.2
2500.0,376.0,601.0,284.3,333.1
2600.0,394.4,607.5,283.9,386.5
2700.0,400.5,648.8,302.5,460.7
2800.0,406.9,626.0,286.0,421.1
2900.0,424.3,661.8,302.9,490.6
3000.0,399.8,607.7,289.1,429.7
3100.0,455.0,671.1,298.3,540.0
3200.0,407.1,650.8,294.5,473.2
3300.0,425.1,615.7,295.5,462.6
3400.0,413.2,641.8,301.1,476.1
3500.0,407.3,619.0,288.8,422.8
3600.0,438.4,623.4,296.2,481.4
3700.0,418.2,613.6,277.5,446.3
3800.0,394.0,616.3,290.9,423.7
3900.0,404.3,641.1,299.0,463.3
4000.0,409.8,648.8,293.9,436.3
4100.0,434.6,674.0,301.2,509.7
4200.0,401.8,612.1,278.8,401.6
4300.0,431.3,675.4,303.2,470.4
4400.0,428.2,624.1,299.1,491.1
4500.0,389.4,621.5,289.7,380.6
4600.0,409.7,638.4,289.8,461.4
4700.0,392.8,621.5,291.7,430.0
4800.0,390.6,601.0,292.0,436.4
4900.0,434.8,660.2,282.4,504.5
5000.0,412.9,660.4,305.7,446.2
5100.0,387.5,603.1,284.5,413.4
5200.0,424.0,668.3,297.4,472.7
5300.0,405.7,613.9,284.3,421.6
5400.0,437.4,626.8,291.9,480.0
5500.0,419.4,660.3,296.3,465.2
5600.0,408.1,660.4,297.6,434.8
5700.0,403.4,638.1,291.2,383.2
5800.0,400.2,615.3,290.5,407.1
5900.0,404.4,626.5,286.3,429.5
6000.0,399.2,631.2,284.8,389.1
6100.0,428.5,619.7,302.2,472.5
6200.0,398.0,618.8,283.4,435.0
6300.0,397.6,634.8,281.7,377.5
6400.0,426.4,654.0,295.5,484.3
6500.0,434.6,648.3,292.9,519.3
6600.0,399.2,617.0,291.1,453.0
6700.0,407.0,655.7,294.5,444.6
6800.0,437.9,635.2,301.2,500.3
6900.0,394.7,604.6,277.2,340.2
7000.0,407.6,646.6,296.5,470.5
7100.0,393.1,618.6,281.2,361.5
7200.0,435.5,643.4,293.6,495.8
7300.0,415.4,656.4,301.7,466.1
7400.0,413.4,628.6,290.7,466.9
7500.0,423.5,667.1,299.2,487.2
7600.0,412.9,617.9,301.6,472.7
7700.0,426.6,663.2,297.8,486.9
7800.0,430.8,669.1,293.4,486.7
7900.0,423.8,651.4,290.9,447.6
8000.0,423.9,660.8,300.4,460.7
8100.0,395.8,601.7,286.6,403.3
8200.0,416.4,657.3,306.2,480.0
8300.0,402.2,657.9,295.6,458.8
8400.0,426.7,657.8,300.1,461.6
8500.0,415.9,648.3,294.5,448.1
8600.0,386.3,615.8,281.3,358.8
8700.0,419.7,640.3,299.6,493.9
8800.0,386.8,605.0,283.0,392.7
8900.0,424.2,650.2,290.0,452.4
9000.0,410.8,623.7,290.4,448.6
9100.0,382.0,622.2,278.7,378.7
9200.0,411.6,622.6,288.3,397.7
9300.0,411.1,659.6,304.0,460.4
9400.0,440.6,622.1,303.9,518.6
9500.0,433.7,673.3,308.0,500.9
9600.0,399.7,632.7,288.6,444.5
9700.0,422.5,624.3,302.9,486.7
9800.0,380.9,612.5,288.4,366.6
9900.0,415.6,661.3,303.7,471.6
10000.0,390.0,612.3,288.2,399.7
10100.0,406.5,608.0,291.2,454.2
10200.0,407.3,662.8,302.5,472.6
10300.0,426.8,665.4,302.8,486.0
10400.0,412.8,663.8,298.9,451.4
10500.0,447.8,674.9,298.2,531.2
10600.0,394.4,601.5,288.1,380.5
10700.0,405.2,635.8,282.7,375.3
10800.0,437.0,635.2,304.7,513.7
10900.0,411.4,644.7,303.3,457.6
11000.0,423.8,624.3,287.2,470.8
11100.0,410.3,632.1,276.8,449.5
11200.0,447.4,678.3,292.5,527.5
11300.0,427.2,662.4,300.3,486.8
11400.0,410.6,647.7,299.3,444.5
11500.0,416.6,619.9,302.3,484.8
11600.0,444.1,665.1,301.5,531.4
11700.0,433.9,620.4,292.6,469.4
11800.0,399.1,639.8,297.7,458.1
11900.0,420.4,655.1,297.1,443.2
12000.0,404.1,646.0,298.0,448.7
12100.0,430.6,661.7,297.7,500.9
12200.0,405.2,646.5,288.1,405.2
12300.0,410.2,628.7,274.7,440.4
12400.0,398.8,620.2,283.5,374.4
12500.0,387.1,601.0,286.7,361.2
12600.0,398.6,614.1,285.0,373.4
12700.0,376.0,614.8,282.4,345.9
12800.0,455.0,679.4,289.8,540.0
12900.0,428.1,678.8,308.0,495.9
13000.0,453.4,649.1,294.2,540.0
13100.0,416.7,643.3,296.8,414.4
13200.0,383.8,617.3,279.8,358.4
13300.0,455.0,673.1,294.8,540.0
13400.0,422.7,626.0,299.5,498.3
13500.0,443.7,682.0,301.6,525.8
13600.0,415.2,657.5,308.0,457.7
13700.0,401.2,655.7,295.3,430.4
13800.0,455.0,682.0,291.2,535.3
13900.0,385.4,610.3,274.0,321.4
14000.0,417.1,650.3,290.1,437.4
14100.0,412.0,620.0,287.5,453.0
14200.0,403.4,615.8,280.9,364.2
14300.0,451.5,682.0,295.6,516.4
14400.0,438.3,664.0,298.9,485.9
14500.0,415.2,651.8,289.8,435.1
14600.0,423.3,661.8,301.4,517.2
14700.0,425.2,673.2,301.0,481.7
14800.0,416.9,644.6,307.3,449.8
14900.0,425.0,652.2,289.0,428.2
15000.0,391.0,613.3,286.3,346.8
15100.0,382.6,606.0,275.5,341.4
15200.0,418.7,634.8,282.6,468.8
15300.0,400.1,652.7,294.7,440.7
15400.0,397.7,647.5,293.8,438.8
15500.0,413.1,651.5,296.1,459.2
15600.0,425.6,676.6,296.4,473.3
15700.0,422.5,629.2,293.9,479.1
15800.0,395.4,655.0,297.6,450.6
15900.0,402.6,614.7,288.2,384.3
16000.0,401.5,625.7,288.1,396.9
16100.0,425.2,663.9,305.1,483.4
16200.0,412.2,641.3,295.1,429.6
16300.0,427.2,657.9,300.7,479.5
16400.0,417.8,638.2,284.6,458.2
16500.0,414.4,648.9,300.8,468.7
16600.0,434.3,647.3,301.3,503.6
16700.0,383.5,609.4,292.5,418.7
16800.0,419.1,673.9,305.0,472.1
16900.0,437.1,655.8,307.8,489.8
17000.0,387.3,613.4,280.4,370.6
17100.0,393.4,642.8,296.4,451.7
17200.0,439.4,663.6,293.7,530.2
17300.0,409.4,669.9,306.4,469.1
17400.0,393.7,613.2,287.8,383.2
17500.0,419.4,668.9,301.0,459.7
17600.0,390.4,606.7,292.2,381.3
17700.0,420.1,666.6,300.4,465.7
17800.0,424.4,634.3,297.6,489.4
17900.0,390.4,602.6,287.5,394.7
18000.0,413.7,664.9,304.1,466.9
18100.0,432.6,635.0,300.4,504.5
18200.0,401.4,624.9,287.2,424.4
18300.0,388.9,602.7,274.0,342.0
18400.0,425.8,631.3,296.1,518.6
18500.0,384.4,604.5,289.6,398.2
18600.0,402.4,605.8,286.2,422.1
