timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,411.0,645.0,303.7,481.8
100.0,387.8,619.1,289.1,338.4
200.0,382.0,619.4,290.9,339.7
300.0,397.8,633.6,290.8,437.4
400.0,411.8,635.0,291.8,458.9
500.0,412.0,640.4,309.7,438.6
600.0,411.7,657.1,303.0,460.2
700.0,414.4,644.2,295.6,409.9
800.0,395.1,621.7,290.0,350.1
900.0,408.0,640.9,306.1,472.3
1000.0,415.0,636.7,292.5,421.5
1100.0,404.8,634.6,306.6,424.4
1200.0,409.2,637.7,299.7,484.8
1300.0,414.7,629.2,295.3,475.3
1400.0,408.2,646.3,300.3,431.9
1500.0,397.9,623.5,298.4,373.7
1600.0,391.0,616.0,290.5,365.1
1700.0,426.9,658.8,298.5,474.1
1800.0,389.7,632.9,287.4,367.2
1900.0,392.9,638.3,297.3,388.6
2000.0,396.7,616.0,295.8,398.0
2100.0,399.5,632.8,292.1,436.8
2200.0,401.0,644.6,299.6,375.2
2300.0,383.2,616.0,292.2,348.2
2400.0,404.2,644.7,292.4,433.7
2500.0,419.5,656.9,292.6,417.2
2600.0,422.0,646.1,315.9,501.7
2700.0,421.0,635.5,309.1,490.7
2800.0,410.3,641.9,303.6,439.2
2900.0,413.6,632.4,296.0,464.4
3000.0,419.6,659.0,304.7,515.9
3100.0,390.4,629.3,301.6,361.1
3200.0,428.0,645.3,308.6,504.7
3300.0,413.2,653.4,310.7,427.5
3400.0,404.0,632.5,305.9,392.3
3500.0,414.7,634.2,308.4,450.4
3600.0,394.8,627.6,293.2,413.3
3700.0,406.8,639.0,301.6,463.9
3800.0,398.7,629.2,306.3,398.2
3900.0,390.8,620.0,292.9,390.0
4000.0,402.3,628.0,295.2,470.7
4100.0,389.0,628.1,286.0,383.6
4200.0,383.2,629.5,291.7,367.5
4300.0,406.8,643.8,293.9,411.0
4400.0,399.9,645.0,292.6,418.5
4500.0,406.9,633.4,302.2,418.6
4600.0,385.6,616.0,302.4,348.5
4700.0,408.7,631.6,298.7,464.7
4800.0,397.4,618.5,299.8,367.6
4900.0,394.7,616.0,288.9,366.9
5000.0,416.1,651.5,297.8,402.6
5100.0,399.4,645.6,308.0,383.0
5200.0,382.0,623.7,287.0,365.4
5300.0,428.0,645.5,314.8,497.9
5400.0,403.5,635.2,291.5,452.7
5500.0,400.8,624.3,290.2,418.9
5600.0,389.0,623.5,291.0,348.4
5700.0,412.4,635.3,297.6,507.7
5800.0,420.3,656.1,305.4,455.7
5900.0,423.9,637.3,298.1,498.8
6000.0,411.9,655.2,296.9,477.3
6100.0,405.8,654.7,296.8,428.3
6200.0,414.1,635.7,303.9,476.3
6300.0,394.9,628.0,296.2,377.6
6400.0,385.6,616.0,305.3,358.0
6500.0,426.5,652.3,299.0,490.9
6600.0,426.7,659.0,306.6,505.4
6700.0,396.0,625.5,298.1,360.7
6800.0,404.8,638.5,307.8,407.8
6900.0,408.7,640.4,299.7,511.1
7000.0,414.7,627.3,307.0,461.0
7100.0,420.4,647.7,309.8,531.6
7200.0,402.2,647.2,307.5,437.2
7300.0,410.8,638.9,302.2,478.4
7400.0,412.5,656.1,308.9,431.6
7500.0,386.4,616.0,288.2,356.2
7600.0,384.6,618.0,290.8,364.1
7700.0,401.6,638.3,304.8,445.3
7800.0,410.7,639.6,303.8,439.9
7900.0,420.0,649.5,302.9,501.1
8000.0,408.9,642.6,304.9,453.5
8100.0,420.6,644.1,298.2,479.4
8200.0,410.2,636.2,301.5,436.6
8300.0,425.5,641.8,298.1,484.1
8400.0,393.2,634.1,296.2,413.9
8500.0,396.4,640.8,289.1,422.8
8600.0,388.9,631.1,292.1,357.7
8700.0,391.7,626.4,295.1,366.9
8800.0,400.2,643.6,300.9,386.4
8900.0,419.0,635.2,288.1,418.6
9000.0,412.5,658.3,304.3,443.1
9100.0,382.0,616.0,286.0,354.0
9200.0,406.6,644.1,291.6,436.6
9300.0,395.8,620.6,303.9,374.3
9400.0,414.9,633.7,306.8,485.0
9500.0,417.7,646.1,290.8,417.8
9600.0,414.8,632.9,303.3,501.1
9700.0,395.2,616.0,287.0,366.6
9800.0,382.0,631.5,286.0,383.1
9900.0,405.0,641.1,304.5,493.9
10000.0,399.9,642.4,290.5,373.8
10100.0,417.5,648.8,307.5,457.2
10200.0,389.8,624.7,298.1,339.4
10300.0,395.0,638.5,301.8,386.9
10400.0,417.6,629.6,300.8,464.5
10500.0,406.4,643.8,305.2,418.5
10600.0,407.1,628.1,305.0,469.7
10700.0,403.7,641.3,294.2,422.6
10800.0,382.0,630.7,286.0,391.0
10900.0,422.5,651.7,310.4,489.3
11000.0,404.1,635.3,300.1,397.5
11100.0,397.6,640.2,305.6,381.3
11200.0,403.7,640.1,298.1,421.2
11300.0,387.4,616.0,306.0,372.9
11400.0,410.8,640.3,307.3,479.6
11500.0,399.8,650.7,297.0,424.6
11600.0,382.0,616.0,287.8,356.3
11700.0,408.7,634.2,301.6,456.7
11800.0,428.0,659.0,309.7,549.1
11900.0,403.4,631.6,304.5,423.9
12000.0,399.3,646.1,293.4,436.7
12100.0,403.8,639.3,298.5,376.7
12200.0,428.0,659.0,307.9,540.1
12300.0,391.6,616.0,290.8,407.1
12400.0,423.4,644.8,310.7,478.2
12500.0,428.0,658.5,312.0,504.3
12600.0,407.5,655.4,299.1,474.4
12700.0,419.5,643.9,305.0,489.9
12800.0,407.0,658.5,286.8,421.8
12900.0,412.4,632.5,304.0,504.4
13000.0,397.0,643.7,299.8,420.0
13100.0,414.0,646.3,302.5,484.7
13200.0,397.8,616.0,302.7,357.3
13300.0,389.9,636.4,286.2,363.1
13400.0,393.8,616.0,304.8,365.0
13500.0,395.4,627.3,294.4,363.6
13600.0,413.9,627.6,306.4,444.7
13700.0,397.3,624.6,295.1,397.3
13800.0,394.4,636.2,287.1,368.4
13900.0,425.1,659.0,312.8,472.3
14000.0,404.0,628.8,301.5,380.1
14100.0,413.6,650.1,287.5,440.6
14200.0,397.3,642.5,298.8,434.4
14300.0,406.2,644.7,306.9,467.6
14400.0,423.7,643.5,306.0,485.8
14500.0,416.5,632.8,301.2,466.0
14600.0,413.8,653.5,300.6,465.3
14700.0,399.1,634.0,294.6,403.4
14800.0,402.9,645.1,292.9,446.2
14900.0,416.4,659.0,292.8,426.9
15000.0,405.3,630.2,292.9,465.6
15100.0,403.2,633.5,292.3,469.5
15200.0,397.8,648.2,297.6,379.7
15300.0,397.9,623.6,287.1,409.5
15400.0,408.5,622.9,297.9,417.0
15500.0,412.0,657.3,301.2,494.1
15600.0,408.6,648.4,305.0,434.9
15700.0,392.1,630.9,295.0,393.9
15800.0,415.4,638.2,294.2,441.8
15900.0,401.9,622.0,303.4,373.2
16000.0,412.2,629.7,303.2,478.2
16100.0,388.2,629.9,287.3,371.9
16200.0,422.8,659.0,305.5,491.8
16300.0,395.8,616.0,290.4,339.6
16400.0,413.8,627.1,300.1,460.0
16500.0,392.1,616.0,303.5,374.1
16600.0,423.5,654.9,309.5,479.8
16700.0,394.4,631.1,291.1,401.3
16800.0,391.3,622.7,286.0,385.2
16900.0,407.7,638.3,296.6,443.2
17000.0,388.7,618.1,291.6,361.5
17100.0,417.9,654.7,288.7,413.6
17200.0,424.1,635.0,308.4,481.5
17300.0,401.1,640.6,291.4,435.9
17400.0,407.3,630.5,305.5,419.8
17500.0,424.9,645.5,305.1,494.9
17600.0,391.6,616.4,287.2,410.1
17700.0,426.9,659.0,309.1,502.9
17800.0,398.9,646.6,308.4,446.3
17900.0,386.6,630.5,295.9,371.7
18000.0,403.3,650.0,295.7,472.3
18100.0,428.0,643.8,316.6,545.3
18200.0,405.5,649.0,295.2,446.5
18300.0,391.4,616.0,286.0,395.7
18400.0,383.3,627.8,294.4,381.3
18500.0,400.1,625.7,288.2,403.3
18600.0,415.2,641.0,302.7,508.0
18700.0,391.9,630.6,296.2,379.5
18800.0,383.5,616.0,291.6,409.4
18900.0,399.2,640.5,297.3,444.0
19000.0,407.7,633.8,302.0,396.5
19100.0,392.1,640.2,288.7,399.9
19200.0,423.3,653.7,311.1,509.2
19300.0,409.6,624.7,302.9,474.6
19400.0,409.9,653.0,294.5,415.2
19500.0,415.6,652.1,310.3,518.5
19600.0,401.3,630.1,289.4,367.5
19700.0,405.7,647.1,289.6,425.9
19800.0,408.7,644.8,307.6,471.2
19900.0,415.9,644.1,297.3,456.3
20000.0,412.2,640.6,295.5,439.7
20100.0,389.6,616.0,296.7,405.4
20200.0,406.6,658.8,299.6,467.4
20300.0,386.6,619.2,287.7,371.7
20400.0,382.0,616.0,303.6,358.4
20500.0,401.8,626.4,299.8,436.6
20600.0,403.5,648.6,291.2,461.5
20700.0,407.2,640.3,307.2,491.6
20800.0,417.1,633.9,293.8,471.9
20900.0,394.3,632.6,303.3,400.8
21000.0,414.7,631.5,306.7,480.1
21100.0,389.5,622.2,296.3,405.4
21200.0,404.6,641.8,308.8,442.9
21300.0,408.3,638.0,298.3,507.9
21400.0,393.3,637.5,297.9,420.3
21500.0,413.3,645.3,303.1,491.0
21600.0,386.5,616.1,291.2,345.6
21700.0,417.5,636.9,302.9,459.6
21800.0,387.5,623.4,290.2,339.5
21900.0,386.9,624.5,292.2,364.1
22000.0,409.3,638.4,296.9,413.3
22100.0,392.4,626.9,304.5,369.2
22200.0,412.2,639.6,296.4,425.1
22300.0,428.0,646.0,314.1,489.8
22400.0,407.6,658.7,302.6,447.3
22500.0,391.3,628.9,292.3,341.8
22600.0,403.7,624.9,297.2,377.7
22700.0,421.7,644.7,307.5,501.2
22800.0,415.2,651.0,290.8,431.2
22900.0,412.5,633.2,301.0,449.5
23000.0,419.5,647.0,317.0,544.7
23100.0,410.2,648.3,305.9,418.4
23200.0,412.1,635.1,300.0,496.1
23300.0,382.6,616.0,300.5,356.7
23400.0,382.0,621.5,291.0,350.1
23500.0,383.0,631.8,286.8,404.2
23600.0,398.8,631.6,302.1,450.6
23700.0,394.7,626.0,291.9,361.3
23800.0,385.2,629.0,296.5,373.7
23900.0,411.0,640.6,291.3,443.9
24000.0,382.5,622.7,294.2,396.6
24100.0,383.6,631.8,286.1,365.4
24200.0,394.1,641.6,294.4,404.7
24300.0,402.0,625.1,302.1,377.9
24400.0,382.8,616.0,292.0,357.6
24500.0,400.9,616.0,290.8,401.9
24600.0,398.5,636.3,298.6,399.3
24700.0,409.6,638.1,308.0,450.0
24800.0,398.3,632.2,301.1,367.1
24900.0,391.3,623.5,298.4,358.3
25000.0,424.8,646.0,300.6,484.3
25100.0,413.8,654.1,314.0,478.7
25200.0,391.5,621.3,287.9,366.0
25300.0,407.8,645.4,289.7,419.9
25400.0,409.4,626.1,301.2,457.5
25500.0,412.2,647.3,295.7,469.9
25600.0,422.2,657.6,311.7,498.5
25700.0,408.0,636.7,305.5,475.6
25800.0,398.2,632.5,289.1,433.8
25900.0,399.1,637.6,293.9,427.2
26000.0,394.2,617.4,303.8,352.1
26100.0,396.3,632.1,300.3,371.0
26200.0,420.9,635.4,302.8,445.4
26300.0,411.4,646.7,309.1,487.9
26400.0,424.0,649.3,304.0,497.8
26500.0,419.2,633.0,296.3,468.6
26600.0,410.9,651.6,294.4,415.8
26700.0,387.3,622.0,286.0,393.1
26800.0,393.1,623.4,298.4,368.2
26900.0,403.9,625.3,301.9,393.9
27000.0,406.6,630.8,295.9,395.3
27100.0,397.2,640.2,296.4,435.0
27200.0,389.0,616.0,293.0,369.4
27300.0,399.6,629.0,304.5,423.6
27400.0,382.0,625.4,292.9,344.0
27500.0,404.6,641.7,306.6,419.5
27600.0,382.0,622.4,298.2,352.1
27700.0,411.3,645.8,304.7,450.9
27800.0,421.6,659.0,306.9,503.3
27900.0,406.5,659.0,294.7,416.7
28000.0,403.1,619.3,298.4,420.0
28100.0,412.5,640.9,291.8,408.6
28200.0,400.7,645.4,292.5,436.4
28300.0,400.9,638.8,300.2,466.8
28400.0,393.3,646.1,294.6,409.0
28500.0,385.2,624.8,286.2,376.6
28600.0,427.4,640.2,301.4,498.3
28700.0,396.7,649.4,288.2,437.4
28800.0,407.1,629.7,298.0,394.8
28900.0,395.5,632.5,294.2,377.8
29000.0,396.7,631.7,301.7,437.4
29100.0,411.7,636.2,305.1,503.3
29200.0,401.2,632.4,301.2,453.5
