timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,447.0,621.0,483.6,395.0
100.0,451.0,621.0,476.4,395.0
200.0,449.8,623.2,473.0,395.0
300.0,447.0,625.3,473.0,387.0
400.0,447.0,629.0,477.9,387.0
500.0,448.5,628.1,481.6,394.6
600.0,448.9,626.3,484.0,390.6
700.0,447.0,629.0,478.2,395.0
800.0,448.0,629.0,479.0,391.9
900.0,447.0,629.0,473.7,387.0
1000.0,451.0,624.3,479.4,389.5
1100.0,447.0,628.1,484.0,395.0
1200.0,451.0,629.0,482.8,395.0
1300.0,447.5,629.0,483.6,392.2
1400.0,447.0,621.0,474.2,390.3
1500.0,447.0,621.0,473.0,387.0
1600.0,451.0,621.0,477.5,394.1
1700.0,447.0,621.4,473.2,392.4
1800.0,451.0,621.0,473.0,387.0
1900.0,450.5,629.0,476.4,393.7
2000.0,449.5,629.0,478.9,387.0
2100.0,451.0,621.0,480.5,395.0
2200.0,447.0,621.2,484.0,395.0
2300.0,451.0,629.0,479.6,393.4
2400.0,448.4,625.3,478.3,387.0
2500.0,447.0,621.0,474.8,389.1
2600.0,451.0,627.1,480.8,394.7
2700.0,447.0,621.0,480.0,387.0
2800.0,448.5,629.0,484.0,395.0
2900.0,451.0,621.0,482.4,391.5
3000.0,451.0,624.0,476.5,395.0
3100.0,450.3,621.0,484.0,395.0
3200.0,451.0,629.0,473.7,395.0
3300.0,451.0,629.0,473.0,390.2
3400.0,447.0,629.0,477.1,391.7
3500.0,447.0,621.0,477.7,389.8
3600.0,448.3,624.1,474.6,395.0
3700.0,451.0,629.0,484.0,387.0
3800.0,451.0,629.0,476.2,395.0
3900.0,447.0,621.0,479.5,387.0
4000.0,451.0,628.0,484.0,387.0
4100.0,451.0,625.1,481.4,392.3
4200.0,451.0,621.4,481.8,388.0
4300.0,450.6,621.0,474.2,395.0
4400.0,447.5,621.0,473.0,390.6
4500.0,447.9,621.2,480.4,392.8
4600.0,447.0,621.8,473.0,393.0
4700.0,451.0,621.0,473.0,391.7
4800.0,447.0,624.9,479.7,395.0
4900.0,451.0,629.0,473.0,388.3
5000.0,451.0,629.0,477.5,387.0
5100.0,447.0,629.0,484.0,388.1
5200.0,449.4,621.0,484.0,395.0
5300.0,451.0,624.9,475.1,395.0
5400.0,447.0,626.6,484.0,394.5
5500.0,447.0,625.0,484.0,392.1
5600.0,449.5,621.0,473.0,387.0
5700.0,449.7,621.0,482.6,387.9
5800.0,451.0,627.4,474.6,394.6
5900.0,450.3,621.0,484.0,394.5
6000.0,451.0,629.0,484.0,395.0
6100.0,447.0,621.7,473.0,395.0
6200.0,451.0,629.0,484.0,387.0
6300.0,447.0,621.0,473.0,391.6
6400.0,451.0,621.0,484.0,395.0
6500.0,447.0,629.0,473.0,387.6
6600.0,451.0,621.0,474.1,391.0
6700.0,451.0,627.7,473.0,388.0
6800.0,447.0,629.0,483.1,392.8
6900.0,447.0,629.0,475.3,389.9
7000.0,451.0,624.8,481.9,394.6
7100.0,447.0,625.5,478.1,387.3
7200.0,451.0,621.0,473.0,387.0
7300.0,451.0,621.0,483.7,389.4
7400.0,451.0,628.2,480.5,391.7
7500.0,447.5,629.0,484.0,395.0
7600.0,451.0,624.3,473.0,387.6
7700.0,447.0,629.0,473.0,387.0
7800.0,447.0,629.0,483.3,391.8
7900.0,447.0,629.0,473.0,394.6
8000.0,447.5,629.0,482.9,391.5
8100.0,451.0,621.0,484.0,393.9
8200.0,447.0,621.0,484.0,395.0
8300.0,448.9,621.0,482.4,387.0
8400.0,451.0,625.2,476.7,387.0
8500.0,447.0,629.0,482.9,387.0
8600.0,447.0,621.0,484.0,387.0
8700.0,449.7,621.2,473.0,387.8
8800.0,447.2,629.0,483.7,387.0
8900.0,451.0,623.6,474.5,394.0
9000.0,447.0,629.0,479.3,395.0
9100.0,447.7,629.0,474.7,394.0
9200.0,451.0,629.0,478.7,395.0
9300.0,451.0,625.9,473.0,395.0
9400.0,447.3,621.0,473.0,388.6
9500.0,447.0,626.5,477.1,390.9
9600.0,450.6,629.0,479.9,394.7
9700.0,451.0,629.0,473.0,393.6
9800.0,451.0,621.0,473.0,393.6
9900.0,447.0,621.0,481.5,395.0
10000.0,447.0,629.0,473.0,392.6
10100.0,447.0,621.0,484.0,395.0
10200.0,447.0,629.0,474.3,392.0
10300.0,451.0,629.0,483.7,388.4
10400.0,451.0,624.6,479.1,389.6
10500.0,451.0,629.0,473.0,387.0
10600.0,448.5,623.7,477.3,395.0
10700.0,447.4,621.0,478.6,394.4
10800.0,451.0,621.0,476.3,388.7
10900.0,447.0,621.0,473.0,391.1
11000.0,451.0,623.4,473.0,387.0
11100.0,447.0,623.0,481.9,387.0
11200.0,447.0,627.3,473.0,387.0
11300.0,451.0,629.0,484.0,391.9
11400.0,449.5,629.0,473.0,387.0
11500.0,451.0,621.0,473.0,389.9
11600.0,449.5,624.8,484.0,387.4
