timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,436.5,555.3,396.4,387.1
100.0,434.0,571.8,402.8,386.7
200.0,401.0,450.4,282.5,389.7
300.0,402.1,453.6,299.0,394.6
400.0,443.9,572.9,416.0,394.8
500.0,423.3,517.1,343.8,396.0
600.0,366.5,357.2,214.1,315.8
700.0,425.1,490.0,323.3,393.4
800.0,431.4,509.9,337.2,376.0
900.0,437.0,550.3,393.6,382.5
1000.0,447.0,567.6,396.3,396.0
1100.0,428.3,546.6,373.8,385.4
1200.0,436.0,520.4,352.4,388.3
1300.0,433.3,549.4,392.2,389.6
1400.0,433.0,517.5,356.0,394.0
1500.0,397.0,436.2,284.3,377.4
1600.0,428.7,508.4,339.3,388.6
1700.0,387.6,424.4,267.4,384.8
1800.0,435.4,550.1,399.6,390.9
1900.0,395.7,438.2,273.3,378.3
2000.0,421.4,490.2,330.3,389.3
2100.0,360.2,359.2,222.0,324.8
2200.0,426.7,512.5,348.6,392.2
2300.0,436.3,581.0,409.5,384.2
2400.0,402.0,468.4,313.1,385.8
2500.0,441.9,579.1,409.7,388.4
2600.0,420.0,476.5,313.5,396.0
2700.0,436.9,551.7,385.6,393.7
2800.0,393.5,420.4,268.9,380.3
2900.0,442.4,577.0,402.3,395.4
3000.0,446.4,580.1,413.1,389.5
3100.0,384.8,418.0,257.2,382.3
3200.0,429.3,540.2,376.0,394.9
3300.0,442.2,554.2,385.3,390.8
3400.0,444.6,553.4,386.4,386.9
3500.0,366.8,366.0,222.1,324.9
3600.0,383.2,428.5,265.6,373.1
3700.0,420.1,512.8,350.7,392.7
3800.0,445.0,540.5,384.3,391.3
3900.0,447.0,566.4,412.8,395.2
4000.0,406.6,461.5,291.8,393.2
4100.0,365.4,364.5,218.9,323.3
4200.0,404.5,460.6,294.8,395.3
4300.0,378.0,401.1,243.4,379.8
4400.0,447.0,551.9,384.3,388.9
4500.0,441.0,556.7,377.6,393.0
4600.0,360.0,357.0,217.3,321.0
4700.0,436.6,509.5,349.4,394.8
4800.0,442.6,570.9,406.8,386.8
4900.0,418.7,519.2,346.7,383.3
5000.0,437.7,562.6,398.6,385.8
5100.0,440.3,538.2,379.9,392.6
5200.0,416.9,501.2,328.0,385.9
5300.0,446.2,544.1,386.1,394.8
5400.0,414.6,475.6,324.3,395.6
5500.0,382.3,407.5,249.7,374.3
5600.0,423.2,484.6,327.5,396.0
5700.0,443.6,555.1,397.5,383.8
5800.0,387.5,401.2,254.0,371.4
5900.0,360.0,362.4,220.7,328.3
6000.0,447.0,568.3,412.9,396.0
6100.0,433.9,526.0,360.3,396.0
6200.0,395.9,451.0,287.4,389.6
6300.0,447.0,568.8,388.3,395.5
6400.0,447.0,573.8,408.9,396.0
6500.0,441.8,581.0,408.1,396.0
6600.0,434.1,560.5,388.7,385.9
6700.0,428.6,546.7,377.4,392.1
6800.0,439.4,565.6,395.3,383.5
6900.0,396.0,449.6,289.1,382.3
7000.0,443.9,572.9,411.3,393.7
7100.0,438.2,563.9,402.4,390.7
7200.0,361.5,361.8,216.7,321.3
7300.0,381.1,395.3,252.0,369.6
7400.0,427.2,528.9,368.8,390.9
7500.0,403.1,461.8,295.3,395.0
7600.0,364.0,361.5,224.4,315.9
7700.0,365.4,367.8,220.9,311.8
7800.0,434.0,562.6,391.1,396.0
7900.0,388.2,442.9,276.2,384.7
8000.0,447.0,571.8,404.7,393.4
8100.0,440.3,547.6,385.4,387.4
8200.0,393.1,416.3,263.6,387.2
8300.0,441.0,529.8,359.7,396.0
8400.0,401.6,443.7,292.8,379.6
8500.0,433.4,525.6,375.0,385.8
8600.0,430.4,555.5,377.4,387.1
8700.0,394.6,419.2,265.6,373.1
8800.0,401.4,455.3,292.1,385.8
8900.0,360.5,371.3,229.0,355.9
9000.0,424.1,498.7,338.8,382.3
9100.0,420.8,480.8,323.9,384.1
9200.0,395.4,444.2,277.8,388.7
9300.0,447.0,581.0,412.3,386.4
9400.0,441.1,534.3,370.4,389.2
9500.0,414.1,491.6,324.3,387.9
9600.0,433.0,528.9,373.6,380.7
9700.0,385.3,411.5,257.6,382.3
9800.0,441.9,573.3,406.4,394.5
9900.0,380.2,412.3,255.5,372.2
10000.0,441.6,559.9,406.3,385.7
10100.0,372.0,394.5,246.8,376.2
10200.0,437.4,576.0,416.0,390.3
10300.0,427.3,504.9,332.2,386.7
