timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,601.0,840.0,604.0,366.0
100.0,598.0,840.0,601.0,359.6
200.0,598.0,839.6,601.0,359.0
300.0,601.0,840.0,604.0,360.9
400.0,601.0,840.0,604.0,359.0
500.0,601.0,836.0,604.0,359.0
600.0,601.0,836.0,603.3,359.0
700.0,598.0,840.0,601.0,365.7
800.0,598.0,836.0,604.0,359.0
900.0,601.0,840.0,601.0,366.0
1000.0,601.0,836.0,601.0,364.1
1100.0,601.0,836.0,601.0,359.0
1200.0,598.0,836.0,601.0,366.0
1300.0,601.0,836.0,601.0,359.0
1400.0,598.0,837.9,604.0,361.7
1500.0,598.0,836.0,604.0,366.0
1600.0,601.0,840.0,604.0,359.0
1700.0,598.0,837.6,601.0,366.0
1800.0,601.0,836.8,604.0,359.0
1900.0,601.0,836.0,601.4,366.0
2000.0,601.0,840.0,601.0,365.5
2100.0,598.0,836.0,601.0,359.0
2200.0,598.0,840.0,601.0,363.9
2300.0,598.0,836.0,601.9,364.5
2400.0,601.0,840.0,601.3,364.3
2500.0,601.0,840.0,601.0,359.0
2600.0,598.0,840.0,604.0,363.2
2700.0,601.0,837.5,601.0,359.0
2800.0,598.0,839.1,604.0,366.0
2900.0,598.0,837.1,604.0,366.0
3000.0,601.0,840.0,601.0,363.3
3100.0,600.9,840.0,604.0,363.2
3200.0,598.0,840.0,604.0,359.0
3300.0,601.0,836.0,604.0,359.0
3400.0,601.0,840.0,601.0,366.0
3500.0,598.0,836.0,601.0,365.8
3600.0,598.0,840.0,604.0,360.7
3700.0,601.0,836.0,601.0,362.0
3800.0,601.0,838.7,601.0,366.0
3900.0,598.0,836.0,601.0,365.0
4000.0,601.0,840.0,602.3,359.0
4100.0,598.0,840.0,603.4,359.0
4200.0,601.0,836.0,604.0,362.3
4300.0,598.0,840.0,604.0,366.0
4400.0,598.0,836.0,601.0,359.0
4500.0,598.0,836.0,604.0,359.3
4600.0,598.0,836.0,601.0,359.0
4700.0,598.0,840.0,601.0,359.0
4800.0,598.0,840.0,601.0,360.8
4900.0,598.0,836.3,604.0,362.6
5000.0,598.0,836.0,602.1,359.0
5100.0,598.9,839.3,604.0,365.1
5200.0,601.0,840.0,604.0,359.2
5300.0,598.0,839.4,601.0,366.0
5400.0,600.5,836.0,604.0,364.2
5500.0,601.0,839.7,604.0,359.7
5600.0,599.2,836.0,601.0,366.0
5700.0,601.0,836.0,601.0,359.0
5800.0,598.0,840.0,601.0,359.3
5900.0,601.0,836.0,604.0,359.0
6000.0,598.1,840.0,601.0,359.0
6100.0,601.0,836.0,604.0,365.7
6200.0,601.0,837.9,601.0,366.0
6300.0,601.0,840.0,604.0,364.3
6400.0,601.0,840.0,604.0,362.0
6500.0,598.0,836.0,601.0,363.7
6600.0,599.2,840.0,604.0,359.2
6700.0,598.0,836.0,604.0,363.9
6800.0,598.0,839.5,603.4,359.3
6900.0,601.0,840.0,603.8,366.0
7000.0,598.0,836.5,601.0,359.2
7100.0,601.0,836.0,604.0,359.0
7200.0,601.0,840.0,601.0,366.0
7300.0,598.0,836.0,601.0,359.0
7400.0,598.0,840.0,601.0,362.9
7500.0,601.0,836.0,601.0,359.0
7600.0,601.0,840.0,604.0,362.1
7700.0,600.4,836.0,604.0,366.0
7800.0,599.7,836.0,601.0,360.0
7900.0,601.0,836.0,601.0,360.5
8000.0,598.0,840.0,604.0,359.0
8100.0,598.0,836.0,603.5,366.0
8200.0,601.0,836.0,601.0,361.7
8300.0,598.0,836.0,601.3,360.8
8400.0,601.0,836.0,601.0,359.3
8500.0,601.0,840.0,604.0,366.0
8600.0,601.0,836.0,604.0,365.6
8700.0,598.0,836.0,601.0,359.0
8800.0,598.0,836.0,604.0,366.0
8900.0,598.0,836.0,604.0,359.0
9000.0,601.0,840.0,601.0,364.2
9100.0,601.0,840.0,601.0,364.7
9200.0,598.0,840.0,601.0,359.0
9300.0,601.0,840.0,604.0,359.0
9400.0,598.0,840.0,601.0,359.0
9500.0,598.0,836.0,604.0,362.9
9600.0,598.0,836.0,604.0,365.5
9700.0,598.0,840.0,604.0,360.6
9800.0,598.0,840.0,604.0,366.0
9900.0,598.0,836.0,604.0,359.0
10000.0,598.0,840.0,604.0,364.3
10100.0,599.6,840.0,604.0,359.0
10200.0,599.8,836.0,601.0,365.6
10300.0,600.4,836.0,604.0,366.0
10400.0,601.0,836.0,601.0,361.1
10500.0,598.0,840.0,601.0,359.0
10600.0,601.0,836.0,604.0,361.5
10700.0,598.0,840.0,601.0,363.4
10800.0,601.0,836.0,604.0,362.3
10900.0,598.5,840.0,604.0,359.0
11000.0,598.0,837.0,601.0,359.0
11100.0,598.0,836.0,601.0,362.3
11200.0,601.0,840.0,601.0,359.0
11300.0,598.0,840.0,601.0,365.5
11400.0,601.0,836.0,601.0,363.3
11500.0,598.0,839.1,604.0,361.5
11600.0,598.0,840.0,601.0,363.4
11700.0,598.0,836.0,601.0,362.6
11800.0,599.9,836.0,604.0,359.9
11900.0,601.0,840.0,601.0,359.0
12000.0,598.0,836.0,601.1,364.7
12100.0,598.0,840.0,604.0,359.5
12200.0,598.0,840.0,601.0,363.4
12300.0,598.3,836.0,604.0,362.8
12400.0,601.0,836.0,601.0,366.0
12500.0,601.0,840.0,601.0,366.0
12600.0,601.0,840.0,604.0,366.0
12700.0,601.0,840.0,601.2,364.3
12800.0,601.0,836.0,604.0,359.0
12900.0,598.0,836.0,603.0,359.0
13000.0,601.0,837.9,601.0,364.1
13100.0,601.0,840.0,601.0,362.1
13200.0,598.0,839.5,601.0,363.4
13300.0,598.0,839.4,604.0,361.9
13400.0,598.0,840.0,601.0,363.4
13500.0,598.0,836.0,601.0,362.4
13600.0,601.0,836.0,604.0,359.0
13700.0,601.0,840.0,604.0,359.0
13800.0,598.0,840.0,604.0,363.2
13900.0,601.0,840.0,601.0,366.0
14000.0,600.1,839.4,601.0,359.0
14100.0,601.0,840.0,601.0,366.0
14200.0,601.0,836.0,604.0,359.0
14300.0,598.0,840.0,601.0,359.0
14400.0,598.0,840.0,603.5,359.3
14500.0,601.0,840.0,601.0,363.0
14600.0,601.0,836.0,601.0,361.6
14700.0,598.7,836.0,604.0,360.0
14800.0,598.0,836.0,601.0,362.8
14900.0,600.2,838.2,601.0,359.0
15000.0,601.0,836.0,601.0,366.0
15100.0,601.0,840.0,604.0,359.0
15200.0,600.2,836.0,601.0,359.0
15300.0,599.2,840.0,601.0,366.0
15400.0,601.0,836.0,603.9,360.0
15500.0,598.0,836.6,601.0,366.0
15600.0,601.0,836.0,604.0,359.0
15700.0,598.0,836.0,604.0,359.3
15800.0,598.0,840.0,604.0,361.5
15900.0,598.0,836.0,604.0,359.0
16000.0,598.0,836.0,601.0,366.0
16100.0,598.0,836.7,604.0,363.5
16200.0,601.0,836.0,601.0,363.9
16300.0,601.0,836.0,601.0,363.8
16400.0,598.1,836.0,604.0,359.7
16500.0,598.0,840.0,601.0,359.0
16600.0,598.0,840.0,604.0,362.3
16700.0,601.0,836.0,601.0,363.1
16800.0,598.0,840.0,601.0,359.0
16900.0,598.0,840.0,601.0,359.0
17000.0,601.0,836.0,604.0,362.3
17100.0,601.0,836.0,601.0,366.0
17200.0,601.0,840.0,601.0,360.2
17300.0,598.0,838.6,601.0,365.4
17400.0,598.0,840.0,601.0,359.0
17500.0,601.0,840.0,601.0,364.7
17600.0,598.0,840.0,601.0,366.0
17700.0,598.4,840.0,604.0,359.0
17800.0,600.5,836.0,602.1,359.0
17900.0,598.6,840.0,604.0,366.0
18000.0,601.0,840.0,604.0,365.0
18100.0,598.0,836.0,601.0,365.1
18200.0,598.0,840.0,604.0,366.0
18300.0,598.0,837.0,602.0,359.0
18400.0,598.0,837.5,601.0,365.0
18500.0,600.1,836.0,602.1,362.1
18600.0,598.0,840.0,601.0,359.7
18700.0,601.0,837.8,604.0,363.0
18800.0,598.0,840.0,603.2,359.0
18900.0,598.0,836.5,601.0,366.0
19000.0,601.0,837.3,601.0,366.0
19100.0,598.0,840.0,604.0,363.2
19200.0,598.0,836.0,604.0,366.0
19300.0,598.7,837.3,602.9,365.0
19400.0,598.0,836.0,601.0,366.0
19500.0,601.0,840.0,604.0,366.0
19600.0,598.0,840.0,601.0,366.0
19700.0,598.0,837.9,601.0,366.0
19800.0,598.0,840.0,601.0,366.0
19900.0,601.0,836.0,601.0,365.0
20000.0,601.0,840.0,604.0,366.0
20100.0,598.0,840.0,601.0,364.3
20200.0,601.0,836.0,601.0,362.5
20300.0,601.0,838.7,604.0,364.5
20400.0,598.0,839.5,604.0,363.0
20500.0,601.0,840.0,601.0,363.9
20600.0,601.0,840.0,601.0,361.8
20700.0,598.0,840.0,604.0,366.0
20800.0,598.0,836.0,601.0,365.5
20900.0,601.0,836.0,603.1,364.3
21000.0,598.0,840.0,601.0,366.0
21100.0,598.0,836.0,601.0,366.0
21200.0,601.0,840.0,601.0,366.0
21300.0,598.0,840.0,604.0,365.2
21400.0,600.3,837.1,604.0,366.0
21500.0,598.0,839.7,601.0,362.2
21600.0,598.0,840.0,601.0,360.6
21700.0,598.0,836.0,601.1,365.3
21800.0,601.0,840.0,601.0,366.0
21900.0,601.0,840.0,601.0,359.0
22000.0,598.0,840.0,604.0,359.0
22100.0,601.0,836.0,601.0,359.0
22200.0,601.0,836.0,601.0,359.0
22300.0,601.0,836.0,604.0,359.0
22400.0,601.0,840.0,602.5,359.0
22500.0,601.0,840.0,601.0,362.0
22600.0,598.0,836.0,602.5,360.2
22700.0,601.0,840.0,602.5,366.0
22800.0,598.0,836.0,601.5,359.0
22900.0,598.0,840.0,602.6,365.7
23000.0,598.0,836.0,601.0,364.5
23100.0,601.0,836.0,601.3,359.2
23200.0,598.0,836.0,604.0,365.1
23300.0,598.2,836.0,604.0,359.9
23400.0,601.0,840.0,601.6,359.0
23500.0,601.0,840.0,602.2,361.1
23600.0,601.0,840.0,604.0,366.0
23700.0,598.0,840.0,602.2,360.7
23800.0,598.0,840.0,604.0,362.1
23900.0,598.0,836.0,601.0,360.6
24000.0,601.0,840.0,604.0,366.0
24100.0,598.0,836.0,601.0,362.4
24200.0,598.0,836.0,604.0,359.0
24300.0,601.0,837.0,603.8,363.0
24400.0,601.0,838.9,604.0,365.3
24500.0,598.0,836.0,604.0,361.4
24600.0,598.0,840.0,604.0,366.0
24700.0,600.4,840.0,601.0,365.2
24800.0,598.0,840.0,601.0,366.0
24900.0,601.0,840.0,604.0,359.0
25000.0,601.0,840.0,604.0,362.8
25100.0,598.0,840.0,604.0,360.0
25200.0,601.0,836.0,601.0,359.0
25300.0,598.0,836.0,604.0,366.0
25400.0,598.0,840.0,601.0,359.0
25500.0,599.7,836.0,601.8,361.6
25600.0,598.0,836.1,603.5,361.4
25700.0,600.3,840.0,604.0,361.1
25800.0,598.0,840.0,601.0,362.1
25900.0,601.0,836.0,601.0,359.0
26000.0,598.0,836.0,604.0,360.6
26100.0,598.0,840.0,601.0,366.0
26200.0,601.0,836.0,601.2,362.1
26300.0,601.0,836.0,601.0,359.0
26400.0,601.0,840.0,601.0,359.0
26500.0,601.0,840.0,601.0,360.7
26600.0,601.0,840.0,601.0,359.0
26700.0,601.0,840.0,601.0,363.3
26800.0,601.0,840.0,604.0,360.5
26900.0,598.0,840.0,602.7,363.1
27000.0,598.0,840.0,601.0,360.9
27100.0,601.0,840.0,601.0,360.6
27200.0,598.0,836.0,601.0,365.2
27300.0,598.0,836.2,601.0,361.6
27400.0,598.0,836.0,601.0,359.0
27500.0,601.0,836.0,602.0,359.0
27600.0,601.0,840.0,604.0,364.8
27700.0,598.0,840.0,604.0,366.0
27800.0,598.0,836.0,601.0,359.0
27900.0,601.0,836.7,604.0,364.8
28000.0,601.0,840.0,601.0,359.0
28100.0,598.4,836.0,604.0,359.0
28200.0,601.0,836.0,601.0,360.5
28300.0,601.0,840.0,601.0,366.0
28400.0,598.6,836.0,601.0,359.8
28500.0,598.9,840.0,601.0,359.0
28600.0,598.0,840.0,604.0,362.3
28700.0,601.0,836.0,604.0,365.3
28800.0,601.0,836.0,604.0,359.6
28900.0,601.0,840.0,604.0,359.0
29000.0,601.0,840.0,604.0,366.0
29100.0,598.0,836.0,601.0,359.2
29200.0,598.0,840.0,604.0,359.0
29300.0,598.0,838.5,604.0,366.0
29400.0,601.0,836.0,604.0,366.0
29500.0,598.0,836.0,601.0,365.2
29600.0,598.0,840.0,601.0,363.0
29700.0,598.0,838.2,601.0,359.0
29800.0,598.0,836.0,604.0,365.1
29900.0,600.8,836.0,601.0,360.2
