timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,596.0,651.0,349.0,340.0
100.0,596.0,653.0,350.0,342.0
200.0,597.0,654.0,352.0,342.0
300.0,598.0,656.0,353.0,343.0
400.0,600.0,657.0,355.0,342.0
500.0,600.0,659.0,356.0,342.0
600.0,601.0,660.0,358.0,342.0
700.0,603.0,661.0,359.0,344.0
800.0,602.0,662.0,360.0,343.0
900.0,603.0,663.0,362.0,341.0
1000.0,604.0,664.0,362.0,343.0
1100.0,605.0,666.0,364.0,342.0
1200.0,605.0,666.0,365.0,342.0
1300.0,606.0,667.0,366.0,341.0
1400.0,606.0,668.0,367.0,341.0
1500.0,607.0,669.0,368.0,341.0
1600.0,607.0,670.0,369.0,340.0
1700.0,607.0,671.0,370.0,339.0
1800.0,607.0,672.0,371.0,338.0
1900.0,608.0,673.0,372.0,338.0
2000.0,608.0,674.0,373.0,337.0
2100.0,608.0,675.0,374.0,336.0
2200.0,609.0,676.0,375.0,336.0
2300.0,610.0,677.0,376.0,336.0
2400.0,610.0,678.0,376.0,335.0
2500.0,610.0,678.0,377.0,334.0
2600.0,610.0,679.0,378.0,334.0
2700.0,611.0,679.0,379.0,333.0
2800.0,612.0,680.0,380.0,333.0
2900.0,612.0,680.0,381.0,332.0
3000.0,613.0,683.0,382.0,333.0
3100.0,613.0,683.0,384.0,332.0
3200.0,614.0,685.0,384.0,333.0
3300.0,616.0,685.0,386.0,334.0
3400.0,616.0,686.0,387.0,333.0
3500.0,616.0,687.0,388.0,332.0
3600.0,617.0,688.0,388.0,334.0
3700.0,618.0,690.0,389.0,334.0
3800.0,619.0,691.0,391.0,335.0
3900.0,619.0,692.0,392.0,336.0
4000.0,619.0,693.0,392.0,336.0
4100.0,620.0,694.0,394.0,336.0
4200.0,621.0,695.0,395.0,336.0
4300.0,621.0,696.0,396.0,337.0
4400.0,620.0,696.0,396.0,336.0
4500.0,622.0,697.0,397.0,336.0
4600.0,621.0,697.0,398.0,337.0
4700.0,621.0,699.0,399.0,337.0
4800.0,622.0,700.0,399.0,337.0
4900.0,622.0,700.0,401.0,337.0
5000.0,622.0,701.0,403.0,339.0
5100.0,622.0,702.0,404.0,340.0
5200.0,623.0,702.0,405.0,340.0
5300.0,623.0,703.0,406.0,341.0
5400.0,624.0,705.0,407.0,340.0
5500.0,624.0,704.0,408.0,342.0
5600.0,624.0,706.0,409.0,341.0
5700.0,625.0,706.0,409.0,341.0
5800.0,625.0,707.0,410.0,342.0
5900.0,624.0,708.0,411.0,341.0
6000.0,625.0,708.0,411.0,341.0
6100.0,625.0,708.0,412.0,341.0
6200.0,625.0,709.0,414.0,340.0
6300.0,625.0,710.0,415.0,341.0
6400.0,626.0,711.0,416.0,341.0
6500.0,625.0,710.0,416.0,341.0
6600.0,625.0,711.0,417.0,340.0
6700.0,626.0,712.0,418.0,339.0
6800.0,626.0,713.0,418.0,340.0
6900.0,625.0,713.0,419.0,340.0
7000.0,626.0,713.0,420.0,338.0
7100.0,626.0,713.0,420.0,339.0
7200.0,627.0,714.0,421.0,339.0
7300.0,627.0,715.0,421.0,339.0
7400.0,627.0,715.0,423.0,339.0
7500.0,628.0,716.0,424.0,338.0
7600.0,628.0,717.0,424.0,338.0
7700.0,628.0,716.0,424.0,339.0
7800.0,628.0,718.0,426.0,338.0
7900.0,628.0,718.0,427.0,340.0
8000.0,629.0,719.0,427.0,339.0
8100.0,629.0,720.0,428.0,342.0
8200.0,629.0,719.0,429.0,342.0
8300.0,630.0,721.0,430.0,343.0
8400.0,629.0,722.0,431.0,342.0
8500.0,629.0,721.0,431.0,344.0
8600.0,630.0,722.0,432.0,343.0
8700.0,629.0,721.0,433.0,343.0
8800.0,629.0,722.0,433.0,343.0
8900.0,631.0,722.0,434.0,342.0
9000.0,630.0,723.0,435.0,343.0
9100.0,630.0,722.0,436.0,343.0
9200.0,631.0,723.0,436.0,342.0
9300.0,631.0,723.0,436.0,342.0
9400.0,630.0,723.0,436.0,341.0
9500.0,630.0,724.0,437.0,339.0
9600.0,630.0,725.0,438.0,340.0
9700.0,631.0,725.0,439.0,339.0
9800.0,631.0,725.0,439.0,339.0
9900.0,631.0,725.0,439.0,338.0
10000.0,630.0,725.0,440.0,339.0
10100.0,630.0,726.0,440.0,337.0
10200.0,630.0,726.0,441.0,337.0
10300.0,630.0,727.0,441.0,336.0
10400.0,630.0,726.0,441.0,336.0
10500.0,631.0,727.0,441.0,334.0
10600.0,631.0,726.0,443.0,335.0
10700.0,631.0,727.0,443.0,334.0
10800.0,631.0,728.0,443.0,334.0
10900.0,631.0,728.0,444.0,332.0
11000.0,631.0,728.0,444.0,333.0
11100.0,632.0,728.0,444.0,333.0
11200.0,631.0,729.0,445.0,332.0
11300.0,631.0,729.0,445.0,332.0
11400.0,631.0,729.0,446.0,331.0
11500.0,631.0,730.0,447.0,331.0
11600.0,632.0,730.0,447.0,332.0
11700.0,631.0,731.0,446.0,331.0
11800.0,632.0,730.0,447.0,332.0
11900.0,632.0,731.0,448.0,332.0
12000.0,631.0,731.0,449.0,333.0
12100.0,632.0,732.0,449.0,333.0
12200.0,632.0,732.0,450.0,333.0
12300.0,632.0,732.0,450.0,335.0
12400.0,633.0,733.0,451.0,335.0
12500.0,632.0,733.0,451.0,337.0
12600.0,632.0,733.0,452.0,337.0
12700.0,633.0,734.0,453.0,338.0
12800.0,633.0,735.0,454.0,340.0
12900.0,634.0,735.0,454.0,339.0
13000.0,634.0,736.0,455.0,341.0
13100.0,633.0,736.0,456.0,342.0
13200.0,634.0,737.0,456.0,343.0
13300.0,635.0,737.0,457.0,343.0
13400.0,635.0,737.0,458.0,344.0
13500.0,636.0,738.0,458.0,344.0
13600.0,636.0,738.0,458.0,345.0
13700.0,637.0,739.0,460.0,346.0
13800.0,637.0,740.0,460.0,347.0
13900.0,638.0,741.0,461.0,349.0
14000.0,638.0,740.0,462.0,350.0
14100.0,638.0,742.0,463.0,351.0
14200.0,639.0,742.0,464.0,353.0
14300.0,640.0,743.0,465.0,355.0
14400.0,640.0,745.0,465.0,356.0
14500.0,640.0,746.0,466.0,359.0
14600.0,640.0,746.0,467.0,361.0
14700.0,642.0,747.0,468.0,362.0
14800.0,642.0,747.0,469.0,365.0
14900.0,642.0,749.0,470.0,367.0
15000.0,642.0,750.0,470.0,369.0
15100.0,643.0,751.0,471.0,371.0
15200.0,643.0,750.0,473.0,374.0
15300.0,644.0,752.0,473.0,376.0
15400.0,645.0,753.0,475.0,380.0
15500.0,646.0,754.0,475.0,381.0
15600.0,646.0,754.0,476.0,384.0
15700.0,646.0,754.0,477.0,386.0
15800.0,647.0,755.0,478.0,388.0
15900.0,647.0,756.0,479.0,388.0
16000.0,647.0,756.0,480.0,390.0
16100.0,648.0,758.0,480.0,392.0
16200.0,649.0,758.0,482.0,392.0
16300.0,649.0,758.0,483.0,393.0
16400.0,649.0,759.0,484.0,393.0
16500.0,649.0,760.0,485.0,393.0
16600.0,649.0,761.0,485.0,392.0
16700.0,650.0,760.0,486.0,393.0
16800.0,650.0,761.0,487.0,393.0
16900.0,651.0,762.0,486.0,392.0
17000.0,651.0,762.0,486.0,393.0
