timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,676.7,811.4,579.0,382.0
100.0,665.0,799.2,579.0,376.4
200.0,660.8,812.8,534.5,439.3
300.0,647.9,822.1,563.7,377.2
400.0,661.1,827.5,570.0,377.6
500.0,657.3,755.5,487.5,401.3
600.0,670.0,806.0,541.0,448.7
700.0,678.0,794.7,532.7,439.1
800.0,661.7,817.6,538.0,431.4
900.0,647.9,810.7,579.0,360.6
1000.0,674.2,802.8,548.1,432.5
1100.0,661.8,777.2,518.6,409.4
1200.0,663.4,808.6,562.0,416.9
1300.0,663.0,828.0,579.0,417.0
1400.0,660.6,783.7,509.9,409.7
1500.0,646.3,770.4,509.9,397.1
1600.0,656.9,805.0,572.2,369.9
1700.0,676.2,828.0,543.5,462.0
1800.0,667.1,807.7,566.9,399.5
1900.0,675.7,825.7,568.9,430.5
2000.0,661.2,811.7,579.0,402.7
2100.0,671.9,821.8,567.9,424.9
2200.0,675.7,824.3,546.1,461.0
2300.0,678.0,808.4,569.9,429.5
2400.0,660.2,816.2,574.6,397.2
2500.0,646.5,802.5,576.1,383.3
2600.0,678.0,828.0,568.3,400.2
2700.0,669.1,826.6,579.0,389.3
2800.0,676.1,809.2,536.8,451.9
2900.0,663.8,828.0,579.0,385.8
3000.0,648.2,823.7,579.0,381.2
3100.0,669.1,811.9,569.6,398.7
3200.0,678.0,816.1,555.3,441.2
3300.0,673.9,823.6,579.0,391.0
3400.0,606.6,675.1,365.3,344.2
3500.0,678.0,826.2,572.1,387.6
3600.0,615.9,730.1,429.6,339.4
3700.0,657.6,818.4,571.9,384.0
3800.0,608.8,690.4,383.2,333.0
3900.0,676.2,816.2,579.0,435.8
4000.0,660.0,807.1,579.0,388.2
4100.0,644.3,801.1,566.5,380.6
4200.0,662.4,824.3,577.9,392.8
4300.0,659.6,770.5,483.4,387.0
4400.0,652.4,801.8,577.8,367.9
4500.0,678.0,828.0,567.8,420.7
4600.0,618.6,691.3,395.9,337.7
4700.0,678.0,819.7,579.0,408.0
4800.0,601.7,680.5,367.9,347.0
4900.0,676.8,828.0,579.0,395.5
5000.0,678.0,828.0,566.5,420.8
5100.0,676.5,828.0,568.8,417.7
5200.0,662.1,803.9,569.9,396.3
5300.0,673.3,788.7,528.9,437.1
5400.0,657.0,821.6,579.0,362.5
5500.0,678.0,809.1,542.4,438.3
5600.0,654.9,824.2,579.0,399.5
5700.0,678.0,816.2,551.2,437.2
5800.0,635.0,749.8,478.1,368.3
5900.0,674.2,783.0,527.2,421.0
6000.0,656.3,810.1,579.0,395.7
6100.0,675.8,828.0,578.7,421.7
6200.0,615.1,674.9,370.5,332.7
6300.0,668.0,812.9,576.7,379.2
6400.0,669.7,828.0,550.9,452.3
6500.0,668.6,819.2,563.7,379.8
6600.0,677.8,798.8,515.6,431.0
6700.0,656.6,825.6,564.3,372.7
6800.0,663.9,815.3,579.0,382.5
6900.0,674.4,809.4,579.0,431.1
7000.0,666.3,814.4,562.9,368.3
7100.0,632.2,737.0,445.3,334.0
7200.0,621.1,691.1,393.2,331.7
7300.0,662.2,810.5,569.1,391.6
7400.0,641.9,724.8,450.2,331.2
7500.0,657.2,805.2,566.0,383.7
7600.0,646.2,806.1,571.9,375.6
7700.0,653.7,821.0,567.3,385.8
7800.0,658.0,828.0,579.0,395.2
7900.0,678.0,828.0,566.9,431.9
8000.0,623.2,713.5,436.2,338.2
