timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,641.0,814.9,565.0,381.3
100.0,641.7,803.0,571.5,372.6
200.0,641.0,816.4,565.0,403.6
300.0,641.0,803.0,565.0,376.3
400.0,652.0,803.0,575.6,370.5
500.0,652.0,820.0,577.0,382.8
600.0,641.0,809.3,576.4,387.5
700.0,643.5,813.8,577.0,361.7
800.0,642.0,820.0,565.7,375.7
900.0,652.0,818.3,565.0,368.7
1000.0,652.0,813.5,574.9,376.7
1100.0,652.0,820.0,577.0,399.8
1200.0,652.0,803.0,565.0,381.5
1300.0,641.0,820.0,565.0,377.5
1400.0,647.7,820.0,565.0,386.5
1500.0,641.6,819.0,565.0,371.4
1600.0,648.6,803.0,572.1,368.8
1700.0,643.4,804.7,577.0,399.6
1800.0,643.0,813.8,569.3,432.7
1900.0,646.1,820.0,565.0,392.3
2000.0,644.4,820.0,577.0,382.4
2100.0,641.0,803.0,568.5,372.6
2200.0,641.0,817.1,568.8,396.0
2300.0,652.0,803.0,565.0,378.5
2400.0,641.0,803.0,570.3,383.6
2500.0,651.5,820.0,565.0,359.2
2600.0,643.8,820.0,565.0,390.6
2700.0,641.0,820.0,565.0,373.2
2800.0,652.0,806.2,565.0,374.6
2900.0,641.0,806.0,565.2,362.5
3000.0,651.4,820.0,570.9,393.2
3100.0,652.0,803.0,565.0,357.1
3200.0,641.0,805.6,567.3,425.3
3300.0,641.3,812.6,565.0,374.5
3400.0,650.4,803.0,572.4,376.0
3500.0,649.8,805.5,577.0,377.8
3600.0,652.0,803.0,573.8,375.6
3700.0,641.0,803.0,573.2,379.7
3800.0,641.0,813.7,568.7,384.7
3900.0,641.0,803.0,570.4,368.2
4000.0,641.0,820.0,565.8,393.4
4100.0,652.0,808.0,565.0,400.2
4200.0,641.2,803.0,572.3,373.4
4300.0,648.1,820.0,577.0,434.6
4400.0,650.6,818.5,566.6,367.5
4500.0,641.0,805.3,568.5,374.4
4600.0,652.0,808.3,565.0,385.0
4700.0,641.0,819.4,577.0,388.0
4800.0,649.1,820.0,566.0,405.4
4900.0,648.8,803.0,565.0,404.6
