timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,648.2,806.0,579.8,384.6
100.0,646.8,813.0,572.1,364.9
200.0,645.8,816.2,587.0,420.3
300.0,643.8,816.4,566.0,382.4
400.0,640.0,806.0,566.0,381.9
500.0,645.5,812.9,583.6,409.9
600.0,641.8,808.8,566.0,383.1
700.0,644.4,813.9,583.3,421.3
800.0,640.0,807.6,577.5,405.1
900.0,640.0,806.0,570.5,407.5
1000.0,643.9,809.8,570.5,395.1
1100.0,640.0,824.4,581.4,387.9
1200.0,651.7,810.2,587.0,428.1
1300.0,653.0,810.1,578.2,432.5
1400.0,653.0,806.0,570.3,431.4
1500.0,653.0,808.5,575.3,384.1
1600.0,653.0,813.2,566.0,383.8
1700.0,653.0,809.6,578.9,437.7
1800.0,642.2,815.2,567.5,389.3
1900.0,640.0,820.8,576.5,426.9
2000.0,653.0,825.0,572.9,411.2
2100.0,640.2,825.0,587.0,437.1
2200.0,640.0,814.6,567.0,371.0
2300.0,649.3,806.0,579.1,407.7
2400.0,642.4,812.3,575.5,409.7
2500.0,642.1,806.0,579.4,392.4
2600.0,646.0,822.8,567.8,394.3
2700.0,640.0,806.0,566.0,396.7
2800.0,653.0,820.5,587.0,438.0
2900.0,640.0,818.5,569.3,380.6
3000.0,651.7,807.3,571.5,392.4
3100.0,652.0,821.6,587.0,410.8
3200.0,647.4,821.9,574.8,424.2
3300.0,652.5,806.0,575.3,394.2
3400.0,645.0,813.7,569.9,389.7
3500.0,653.0,818.0,576.5,437.5
3600.0,647.9,823.8,580.3,422.6
3700.0,647.8,819.5,575.1,434.1
3800.0,653.0,825.0,571.1,381.7
3900.0,648.2,808.2,579.6,430.1
4000.0,646.6,811.8,581.1,438.0
4100.0,640.0,809.3,580.7,424.4
4200.0,653.0,825.0,587.0,414.4
4300.0,653.0,825.0,566.0,426.5
4400.0,653.0,806.5,587.0,436.6
4500.0,640.0,814.9,566.0,377.3
4600.0,650.3,819.9,574.9,365.3
4700.0,640.0,806.0,581.7,390.9
4800.0,641.1,814.1,571.9,391.3
4900.0,640.0,825.0,569.7,436.7
5000.0,640.0,806.0,566.0,393.7
5100.0,640.0,806.0,570.3,392.1
5200.0,653.0,825.0,587.0,438.0
5300.0,641.5,819.8,568.6,419.4
5400.0,649.5,806.0,571.0,385.5
5500.0,646.0,825.0,569.5,428.9
5600.0,652.1,825.0,576.6,437.3
5700.0,653.0,808.0,579.2,392.2
5800.0,651.5,806.0,581.3,402.5
5900.0,650.4,812.9,587.0,438.0
6000.0,653.0,821.4,585.8,419.4
6100.0,648.8,820.2,574.4,384.2
6200.0,640.0,811.3,566.0,383.6
6300.0,642.5,825.0,587.0,434.1
6400.0,640.0,806.0,566.0,393.4
6500.0,647.9,819.6,575.0,424.9
6600.0,646.0,806.0,578.1,438.0
6700.0,640.0,824.6,568.6,389.9
6800.0,645.4,813.9,571.4,382.1
6900.0,640.0,815.1,577.1,369.8
7000.0,640.6,820.1,587.0,407.9
7100.0,641.4,806.0,566.0,379.2
7200.0,640.9,825.0,583.6,397.3
7300.0,640.0,822.8,584.8,424.0
7400.0,640.0,812.3,583.4,413.5
7500.0,640.0,817.2,582.5,390.4
7600.0,643.9,822.2,566.0,367.7
7700.0,640.4,814.6,587.0,416.9
7800.0,640.0,814.5,567.2,384.5
7900.0,641.5,825.0,584.7,424.4
8000.0,648.7,818.5,574.4,418.6
8100.0,653.0,806.0,574.8,432.3
8200.0,647.9,812.2,566.0,392.5
8300.0,642.3,825.0,584.5,426.0
8400.0,640.0,824.8,566.0,378.4
8500.0,653.0,806.0,583.1,419.9
8600.0,643.2,806.0,568.7,407.5
8700.0,642.7,806.0,577.3,427.2
8800.0,653.0,825.0,587.0,422.3
8900.0,653.0,824.2,572.9,408.7
9000.0,649.2,818.2,567.1,379.7
9100.0,644.3,809.1,587.0,419.1
9200.0,640.3,812.8,575.7,434.0
9300.0,647.9,809.0,566.2,386.7
9400.0,643.3,806.0,581.0,385.8
9500.0,642.8,825.0,587.0,438.0
9600.0,648.2,815.2,575.0,403.5
9700.0,640.0,806.0,568.9,364.0
9800.0,643.5,806.0,566.7,392.1
9900.0,650.0,806.0,568.8,392.3
10000.0,653.0,824.8,587.0,434.5
10100.0,653.0,806.0,566.7,392.8
10200.0,644.0,821.8,566.0,403.7
10300.0,645.6,825.0,586.6,408.1
10400.0,653.0,822.2,581.9,420.5
10500.0,653.0,808.1,573.5,383.8
10600.0,646.7,808.9,576.1,380.5
10700.0,640.0,820.4,587.0,423.4
10800.0,650.4,825.0,586.5,428.7
10900.0,651.1,820.4,587.0,426.9
11000.0,640.0,825.0,566.0,396.4
11100.0,641.9,806.0,578.8,433.2
11200.0,640.0,806.0,580.8,414.8
11300.0,642.2,816.5,579.1,406.6
11400.0,649.5,825.0,580.2,435.9
11500.0,649.0,806.0,574.5,393.2
11600.0,648.3,820.6,579.3,394.2
11700.0,640.0,806.0,566.0,365.7
11800.0,643.6,821.6,580.8,392.9
11900.0,640.0,806.0,571.7,379.3
12000.0,640.0,822.8,566.0,376.3
12100.0,640.0,806.0,574.8,366.6
12200.0,640.0,819.4,566.0,383.8
12300.0,640.6,820.4,586.5,401.1
12400.0,640.0,814.5,566.0,381.8
12500.0,646.3,825.0,579.9,387.4
12600.0,640.0,806.0,587.0,411.3
12700.0,640.0,817.9,571.5,364.0
12800.0,653.0,809.3,576.2,431.2
12900.0,643.1,825.0,571.8,412.0
13000.0,649.5,825.0,574.4,414.4
13100.0,640.0,806.0,574.4,392.5
13200.0,640.0,814.0,566.0,396.3
13300.0,640.0,821.0,566.0,392.4
13400.0,653.0,806.0,566.0,397.2
13500.0,648.2,825.0,587.0,411.7
13600.0,640.0,820.3,575.6,417.1
13700.0,645.5,808.5,583.6,415.7
13800.0,643.2,806.0,578.0,405.8
13900.0,640.0,809.5,575.5,364.0
14000.0,640.0,825.0,572.5,423.1
14100.0,640.0,806.0,568.7,406.0
14200.0,640.0,806.0,578.9,383.2
14300.0,643.1,814.2,587.0,418.4
14400.0,650.3,821.7,567.1,381.8
14500.0,651.4,806.0,576.1,388.6
14600.0,640.0,806.0,567.3,377.9
14700.0,640.3,807.9,573.6,390.7
14800.0,651.6,812.7,566.0,389.6
14900.0,640.0,824.4,574.4,382.0
15000.0,640.0,806.0,575.7,405.6
15100.0,646.1,822.3,575.1,431.7
15200.0,652.4,806.0,566.0,367.5
15300.0,653.0,806.8,587.0,418.1
15400.0,650.9,819.2,577.6,415.1
15500.0,653.0,816.9,587.0,415.3
15600.0,650.8,812.4,586.5,426.3
15700.0,652.2,825.0,581.7,438.0
15800.0,640.0,824.3,571.1,425.6
15900.0,640.0,806.0,572.9,413.2
16000.0,640.0,813.9,566.0,375.1
16100.0,653.0,815.1,580.4,416.0
16200.0,652.6,825.0,566.0,392.2
16300.0,646.0,825.0,587.0,420.0
16400.0,640.0,825.0,576.5,420.4
16500.0,648.3,815.6,587.0,423.9
16600.0,640.0,806.0,566.0,378.0
16700.0,640.0,816.4,566.4,386.1
16800.0,650.6,818.1,572.6,413.7
16900.0,641.3,806.0,575.4,400.7
17000.0,647.1,818.5,579.3,427.0
17100.0,640.0,806.0,579.6,400.6
17200.0,641.5,806.0,567.4,384.8
17300.0,640.0,807.7,571.3,382.7
17400.0,640.0,825.0,576.4,435.7
17500.0,653.0,812.0,586.5,419.7
17600.0,640.0,820.0,566.0,393.0
17700.0,649.9,816.8,582.3,383.2
17800.0,642.3,825.0,578.4,390.6
17900.0,649.8,807.9,572.5,406.5
18000.0,649.7,809.4,587.0,436.4
18100.0,653.0,825.0,568.9,411.9
18200.0,650.2,806.0,566.0,364.0
18300.0,653.0,810.2,587.0,420.1
18400.0,640.0,817.7,566.0,391.6
18500.0,640.0,806.0,575.5,411.6
18600.0,643.0,806.0,587.0,432.8
18700.0,644.9,820.4,575.8,387.7
18800.0,653.0,808.2,587.0,409.8
18900.0,640.0,818.0,568.0,388.6
19000.0,653.0,806.0,585.2,438.0
19100.0,644.0,807.2,571.6,379.8
19200.0,644.2,806.0,578.0,377.1
19300.0,653.0,825.0,582.7,421.2
19400.0,653.0,806.0,587.0,425.3
19500.0,640.0,825.0,566.0,373.4
19600.0,644.6,806.0,566.0,381.6
19700.0,640.8,822.7,581.2,384.4
19800.0,648.0,816.6,584.4,435.3
19900.0,640.3,806.0,583.1,388.4
20000.0,640.0,810.1,579.7,398.2
20100.0,653.0,807.6,575.4,380.5
20200.0,644.4,809.2,579.5,387.0
20300.0,653.0,825.0,578.8,438.0
20400.0,647.7,824.3,577.1,396.3
20500.0,649.5,809.1,574.2,383.1
20600.0,653.0,825.0,587.0,427.7
20700.0,653.0,806.0,578.1,397.5
20800.0,653.0,806.0,581.1,421.1
20900.0,645.7,825.0,579.6,434.8
21000.0,650.4,806.0,587.0,415.6
21100.0,653.0,825.0,587.0,436.2
21200.0,647.4,814.7,577.6,433.9
21300.0,653.0,825.0,583.0,426.1
21400.0,643.3,824.1,587.0,424.7
21500.0,640.3,824.1,572.2,390.5
21600.0,647.2,806.0,577.6,416.2
21700.0,640.0,806.0,566.4,373.0
21800.0,640.7,806.0,568.3,411.9
21900.0,644.8,825.0,587.0,435.9
22000.0,650.0,806.0,578.4,404.1
22100.0,641.4,816.1,567.0,364.0
22200.0,643.9,821.8,574.8,404.4
22300.0,653.0,825.0,580.3,425.8
22400.0,640.0,806.0,566.7,406.8
22500.0,651.9,825.0,573.2,411.0
22600.0,645.2,807.0,578.9,391.1
22700.0,640.0,814.1,574.4,411.8
22800.0,640.0,811.6,573.8,391.3
22900.0,644.4,806.0,573.0,378.5
23000.0,649.4,806.0,568.6,391.4
23100.0,647.9,818.5,570.4,398.5
23200.0,640.9,814.0,581.4,382.2
23300.0,640.0,808.2,578.3,380.2
23400.0,640.0,806.0,570.1,382.6
23500.0,652.7,818.8,573.7,410.0
23600.0,644.9,806.0,566.0,391.3
23700.0,640.6,823.6,576.3,365.7
23800.0,648.3,806.0,578.9,420.3
23900.0,651.2,819.3,587.0,436.7
24000.0,653.0,815.8,578.9,436.1
24100.0,641.9,825.0,575.8,428.2
24200.0,640.0,822.5,576.7,380.7
24300.0,640.0,825.0,579.8,421.2
24400.0,648.1,808.1,575.0,429.5
24500.0,652.0,816.2,584.9,418.8
24600.0,643.1,825.0,576.5,423.9
24700.0,645.5,806.5,566.0,413.1
24800.0,640.0,821.9,577.5,391.0
24900.0,653.0,825.0,582.3,438.0
25000.0,640.0,806.0,577.8,394.5
25100.0,651.0,806.3,578.1,416.9
25200.0,649.7,806.8,566.7,378.9
25300.0,653.0,812.0,572.5,437.7
25400.0,650.4,806.0,566.0,369.8
25500.0,646.1,806.0,571.5,389.3
25600.0,653.0,822.6,587.0,424.0
25700.0,642.4,812.6,583.0,413.0
25800.0,653.0,817.3,582.1,435.6
25900.0,640.2,806.0,566.7,368.9
26000.0,649.3,806.0,574.6,405.4
26100.0,646.6,814.0,566.0,392.8
26200.0,647.2,818.7,569.1,418.6
26300.0,640.0,811.6,567.8,372.7
26400.0,640.0,821.1,581.2,388.9
26500.0,653.0,809.1,579.8,435.1
26600.0,642.1,825.0,579.4,389.9
26700.0,645.1,809.8,574.9,434.1
26800.0,640.0,817.2,572.8,390.5
26900.0,653.0,808.5,574.8,391.2
27000.0,653.0,806.1,583.4,384.8
27100.0,640.0,818.2,567.8,397.0
27200.0,640.0,806.4,566.0,364.0
27300.0,649.8,808.3,587.0,406.7
27400.0,649.9,808.4,566.0,376.4
27500.0,653.0,825.0,566.0,390.9
