timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,653.0,814.0,591.9,281.0
100.0,645.0,812.1,598.4,284.0
200.0,646.9,803.0,594.5,260.5
300.0,653.0,809.1,595.7,284.9
400.0,645.0,813.8,601.0,287.3
500.0,645.5,805.9,593.3,290.3
600.0,645.0,803.0,589.8,259.3
700.0,649.8,809.5,588.7,271.1
800.0,653.0,803.0,601.0,285.3
900.0,653.0,814.0,588.0,272.3
1000.0,653.0,809.0,597.3,279.6
1100.0,650.1,809.3,599.2,283.5
1200.0,653.0,811.1,601.0,283.1
1300.0,653.0,805.5,601.0,282.0
1400.0,653.0,805.4,588.3,282.2
1500.0,651.4,808.8,596.6,276.2
1600.0,645.0,803.0,600.6,259.8
1700.0,649.1,803.0,588.0,258.3
1800.0,645.0,814.0,601.0,279.3
1900.0,649.1,804.8,591.5,276.3
2000.0,653.0,814.0,595.8,282.0
2100.0,653.0,803.0,601.0,292.7
2200.0,645.0,814.0,588.0,275.8
2300.0,647.5,809.1,596.5,277.1
2400.0,653.0,804.7,601.0,268.5
2500.0,653.0,812.7,599.8,277.4
2600.0,645.5,803.5,601.0,268.9
2700.0,652.1,803.0,596.8,262.5
2800.0,653.0,811.7,599.3,273.4
2900.0,647.2,814.0,601.0,282.1
3000.0,653.0,814.0,593.0,281.6
3100.0,650.1,814.0,591.0,282.4
3200.0,649.0,814.0,593.1,281.5
3300.0,653.0,803.0,596.4,273.7
3400.0,645.0,814.0,591.3,273.8
3500.0,653.0,814.0,588.7,286.8
3600.0,645.7,805.3,599.7,277.3
3700.0,653.0,803.0,591.2,279.6
3800.0,645.0,812.9,601.0,269.0
3900.0,645.0,814.0,588.0,282.4
4000.0,653.0,814.0,588.0,278.0
4100.0,646.7,808.2,588.0,265.6
4200.0,645.0,814.0,601.0,270.1
4300.0,649.0,813.7,601.0,278.8
4400.0,653.0,814.0,589.2,267.5
4500.0,652.2,814.0,593.7,276.7
4600.0,648.3,809.6,588.0,259.2
4700.0,648.2,807.8,594.4,283.3
4800.0,652.9,810.9,601.0,272.3
4900.0,645.0,814.0,589.7,287.7
5000.0,653.0,803.0,601.0,278.7
5100.0,645.0,803.0,592.9,279.5
5200.0,650.4,803.0,597.8,277.2
5300.0,646.1,814.0,596.2,278.1
5400.0,650.9,814.0,601.0,280.0
5500.0,649.7,803.0,588.0,261.7
5600.0,653.0,808.9,597.2,291.0
5700.0,653.0,814.0,601.0,279.3
5800.0,648.0,814.0,601.0,279.4
5900.0,645.0,807.9,588.0,260.5
6000.0,645.0,807.4,588.0,277.0
6100.0,645.0,805.2,601.0,266.0
6200.0,645.0,808.8,601.0,276.2
6300.0,653.0,814.0,598.6,290.5
6400.0,653.0,803.0,595.4,277.7
6500.0,653.0,803.0,601.0,278.9
6600.0,647.9,814.0,601.0,288.9
6700.0,653.0,807.7,592.6,279.0
6800.0,647.2,803.0,601.0,284.5
6900.0,645.0,803.0,601.0,279.1
7000.0,649.7,803.0,594.0,263.3
7100.0,653.0,813.1,601.0,281.4
7200.0,648.3,814.0,601.0,294.0
7300.0,653.0,814.0,588.0,277.1
7400.0,647.0,811.8,598.2,265.9
7500.0,653.0,814.0,601.0,280.5
7600.0,645.0,814.0,601.0,280.4
7700.0,653.0,814.0,593.9,274.9
7800.0,645.0,813.3,601.0,282.7
7900.0,648.3,813.9,601.0,261.0
8000.0,653.0,803.0,594.7,277.2
8100.0,653.0,814.0,589.4,271.8
8200.0,649.8,811.0,595.7,271.1
8300.0,652.2,814.0,601.0,275.7
8400.0,645.0,803.0,595.3,284.4
8500.0,645.0,814.0,601.0,285.4
8600.0,653.0,814.0,588.0,267.7
8700.0,647.6,812.1,593.4,282.4
8800.0,653.0,803.0,601.0,271.8
8900.0,645.0,803.0,588.0,256.1
9000.0,653.0,804.0,600.6,271.0
9100.0,648.9,803.0,590.9,288.5
9200.0,645.0,803.9,588.0,261.6
9300.0,653.0,808.6,598.8,272.5
9400.0,647.8,814.0,601.0,270.8
9500.0,652.7,814.0,588.0,283.5
9600.0,652.1,813.9,592.4,277.6
9700.0,653.0,814.0,601.0,281.0
9800.0,650.9,814.0,601.0,282.3
9900.0,653.0,814.0,596.6,273.6
10000.0,646.4,803.0,588.0,274.0
10100.0,645.0,814.0,601.0,265.2
